Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, Y PSNR, U PSNR, V PSNR, YUV PSNR, Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 32x32, Inter 16x16, Inter 8x8, Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
0, I-SLICE,    0, 24.00,     836904, 0,0.00,40.624, 44.864, 46.223, 41.854,27,  -, -, 0.00%,  0.00%,  0.00%, 1.26%,  1.53%,  5.46%, 5.33%,  2.42%, 15.10%, 8.57%,  3.42%, 30.28%,26.61%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 23103.63, 3875.36, 0.00, 171121.44 , 17, 235, 125.86, 56, 149, 109.96, 105, 227, 146.28, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 95.13%, 0.00%,0.00%, 4.87%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 11441.2, 110.9, 52557.7, 49225.7, 0.0, 0.0, 63354.3, 1.000, 0
1, P-SLICE,    4, 27.00,     395768, 0,1.48,38.896, 43.671, 44.383, 40.179,24, 0 , -, 0.00%,  0.00%,  0.00%, 2.21%,  1.51%, 11.25%, 5.27%,  2.15%, 24.79%, 8.02%,  3.45%, 39.76%, 0.00%,  0.00%,  0.00%,  0.00%,  0.88%,  0.00%,  0.00%,  0.05%,  0.65%,  0.00%,  0.00%,  0.00%,  0.03%, 34947.00, 5495.53, 0.00, 204623.18 , 17, 235, 124.31, 58, 148, 110.47, 108, 220, 146.69, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 99.84%, 0.16%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 91.63%, 1.21%,0.00%, 6.86%, 0.30%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 52965.9, 410.6, 429774.4, 412778.3, 0.0, 0.0, 545340.1, 1.000, 0
2, B-SLICE,    2, 28.00,    1282816, 0,1.51,35.286, 42.804, 43.189, 37.213,27, 0 ,4 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.29%,  1.13%,  6.06%, 86.02%,  0.00%,  0.00%,  0.06%,  2.17%,  0.00%,  0.01%,  0.20%,  4.05%, 100295.05, 7184.17, 0.00, 1296529.39 , 17, 235, 125.25, 58, 149, 110.09, 103, 226, 146.37, 0.00%, 0.00%,0.00%, 0.00%, 100.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 1.67%,0.00%, 0.83%, 97.50%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 4.22%,0.00%, 6.33%, 89.45%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 6.66%,0.00%, 52.47%, 40.87%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 146.3, 16.1, 741640.3, 708536.8, 0.0, 0.0, 1287881.3, 1.000, 0
3, b-SLICE,    1, 29.00,    1144016, 0,1.54,34.372, 42.391, 42.542, 36.396,29, 0 ,2 4 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.09%,  1.37%,  5.70%, 85.41%,  0.00%,  0.01%,  0.16%,  3.08%,  0.00%,  0.01%,  0.24%,  3.94%, 129756.32, 8254.52, 0.00, 869538.46 , 17, 235, 125.79, 57, 151, 110.04, 106, 227, 146.19, 0.00%, 0.00%,0.00%, 0.00%, 100.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 1.29%,0.00%, 0.00%, 98.71%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 6.52%,0.00%, 4.40%, 89.08%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 7.51%,0.00%, 53.36%, 39.13%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 164.8, 5.7, 855196.8, 810762.0, 0.0, 0.0, 2143772.6, 1.000, 0
4, b-SLICE,    3, 29.00,    2438304, 0,1.50,33.798, 42.746, 42.951, 36.061,28, 2 0 ,4 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.09%,  1.90%, 97.08%,  0.00%,  0.00%,  0.00%,  0.57%,  0.00%,  0.00%,  0.00%,  0.36%, 172834.45, 7222.56, 0.00, 714638.51 , 17, 235, 124.77, 56, 149, 110.30, 103, 220, 146.53, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 3.85%, 96.15%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.17%,0.00%, 40.00%, 59.83%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.94%,0.00%, 76.83%, 22.22%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 131.0, 16.3, 1160792.2, 1109341.1, 0.0, 0.0, 3304404.1, 1.000, 0
5, P-SLICE,    8, 27.00,     393504, 0,1.48,38.940, 43.711, 44.442, 40.224,24, 4 2 0 , -, 0.00%,  0.00%,  0.00%, 1.93%,  1.22%, 11.20%, 5.91%,  1.92%, 24.39%, 8.29%,  2.72%, 42.26%, 0.00%,  0.00%,  0.00%,  0.00%,  0.11%,  0.00%,  0.00%,  0.00%,  0.03%,  0.00%,  0.00%,  0.00%,  0.00%, 34603.82, 5449.64, 0.00, 211160.21 , 17, 235, 124.36, 56, 150, 110.71, 104, 219, 146.64, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 94.35%, 0.05%,0.00%, 5.61%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 11572.4, 200.9, 926941.9, 889242.6, 0.0, 0.0, 4241922.3, 1.000, 0
6, B-SLICE,    6, 28.00,    1344784, 0,1.46,35.188, 42.665, 42.910, 37.088,27, 4 2 0 ,8 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.47%,  1.47%,  6.62%, 84.56%,  0.00%,  0.00%,  0.10%,  2.33%,  0.00%,  0.01%,  0.19%,  4.25%, 101934.24, 7644.84, 0.00, 1419397.46 , 17, 235, 124.21, 57, 154, 110.66, 107, 219, 146.77, 0.00%, 0.00%,0.00%, 0.00%, 100.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.72%,0.00%, 0.00%, 99.28%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 4.17%,0.00%, 6.17%, 89.66%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 7.12%,0.00%, 45.69%, 47.19%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 5.5, 3.4, 950448.0, 903964.5, 0.0, 0.0, 5193262.5, 1.000, 0
7, b-SLICE,    5, 29.00,    1190568, 0,1.47,34.294, 42.151, 42.267, 36.273,29, 4 2 ,6 8 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.17%,  1.47%,  6.46%, 84.60%,  0.00%,  0.00%,  0.08%,  2.55%,  0.00%,  0.03%,  0.21%,  4.42%, 131466.84, 8764.98, 0.00, 965823.39 , 17, 235, 123.96, 56, 148, 110.63, 107, 219, 146.82, 0.00%, 0.00%,0.00%, 0.00%, 100.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 2.21%,0.00%, 0.00%, 97.79%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 4.28%,0.00%, 4.70%, 91.02%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 7.52%,0.00%, 50.20%, 42.27%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 73.8, 4.7, 1004633.5, 957949.7, 0.0, 0.0, 6198626.7, 1.000, 0
8, b-SLICE,    7, 29.00,    2528696, 0,1.47,33.775, 42.697, 42.831, 36.022,28, 6 4 2 ,8 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.15%,  2.27%, 96.81%,  0.00%,  0.00%,  0.01%,  0.47%,  0.00%,  0.00%,  0.01%,  0.29%, 174890.48, 7338.73, 0.00, 747821.92 , 17, 235, 124.53, 58, 156, 110.64, 107, 219, 146.73, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 2.27%, 97.73%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.74%,0.00%, 35.20%, 64.06%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.77%,0.00%, 74.36%, 24.87%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 3.4, 4.1, 1268059.0, 1207718.4, 0.0, 0.0, 7466462.2, 1.000, 0
9, P-SLICE,   13, 27.00,     376840, 0,1.54,39.016, 43.687, 44.546, 40.291,23, 8 6 4 , -, 0.00%,  0.00%,  0.00%, 2.30%,  1.39%, 12.98%, 5.60%,  1.98%, 24.27%, 8.43%,  3.12%, 39.88%, 0.00%,  0.00%,  0.00%,  0.00%,  0.06%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 34012.78, 5412.87, 0.00, 196749.67 , 17, 235, 123.88, 57, 144, 110.68, 108, 217, 145.41, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 93.88%, 0.00%,0.00%, 6.12%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 12776.3, 156.9, 849444.0, 817111.2, 0.0, 0.0, 8327267.5, 1.000, 0
