Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, Y PSNR, U PSNR, V PSNR, YUV PSNR, Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 32x32, Inter 16x16, Inter 8x8, Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
0, I-SLICE,    0, 19.00,     846832, 0,0.00,43.423, 42.850, 42.853, 43.280,27,  -, -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.03%,  0.00%,  0.03%, 0.25%,  0.49%,  5.53%,93.66%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 12142.45, 6386.06, 0.00, 2218014.47 , 0, 212, 119.42, 0, 230, 120.49, 0, 234, 119.92, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 89.43%, 0.00%,0.00%, 10.57%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 2437.8, 119.6, 11538.1, 10553.6, 0.0, 0.0, 13522.1, 1.000, 0
1, i-SLICE,    1, 19.00,     852400, 1,1.00,43.453, 42.797, 42.830, 43.293,27,  -, -, 0.00%,  0.00%,  0.00%, 0.00%,  0.03%,  0.23%, 0.03%,  0.06%,  0.16%, 0.32%,  0.61%,  9.27%,89.28%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 11932.47, 6447.98, 0.00, 2001736.61 , 0, 234, 105.07, 0, 203, 87.91, 0, 195, 90.89, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 92.94%, 0.00%,0.00%, 7.06%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 588.2, 9.2, 8254.2, 7532.1, 0.0, 0.0, 22274.7, 1.000, 0
2, P-SLICE,    2, 22.00,     626792, 0,1.01,38.698, 38.684, 38.803, 38.709,27, 1 0 , -, 0.00%,  0.00%,  0.00%, 0.05%,  0.25%,  0.45%, 0.50%,  0.60%, 15.50%, 0.94%,  1.14%, 80.58%, 0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 36270.00, 17693.14, 0.00, 2415431.61 , 0, 212, 85.36, 1, 198, 81.34, 0, 204, 81.63, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 98.58%, 0.00%,0.00%, 1.42%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 5394.6, 165.3, 48181.2, 45628.3, 0.0, 0.0, 76008.7, 1.000, 0
3, P-SLICE,    3, 22.00,     597368, 0,1.00,38.803, 38.811, 38.714, 38.793,27, 2 1 0 , -, 0.00%,  0.00%,  0.00%, 0.06%,  0.53%,  4.06%, 0.06%,  0.06%,  6.89%, 0.35%,  0.29%, 87.63%, 0.00%,  0.00%,  0.00%,  0.00%,  0.06%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 35793.57, 17800.45, 0.00, 6187529.02 , 1, 255, 100.64, 1, 255, 106.28, 0, 233, 110.28, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 98.36%, 0.00%,0.00%, 1.57%, 0.07%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 257.8, 39.0, 79735.9, 76008.4, 0.0, 0.0, 156029.0, 1.000, 0
4, P-SLICE,    6, 22.00,     454344, 0,1.11,38.891, 40.232, 39.753, 39.167,25, 3 2 1 , -, 0.00%,  0.00%,  0.00%, 0.07%,  0.22%,  7.29%, 0.07%,  0.00%,  9.00%, 0.07%,  0.37%, 80.88%, 0.00%,  0.00%,  0.00%,  0.00%,  2.01%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 34817.86, 13404.20, 0.00, 5225089.10 , 0, 255, 132.55, 57, 152, 124.47, 49, 153, 116.98, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 95.54%, 0.00%,0.00%, 3.23%, 1.22%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 358.6, 151.3, 33405.2, 31464.5, 0.0, 0.0, 189862.6, 1.000, 0
5, B-SLICE,    5, 23.00,     712232, 0,1.03,37.724, 37.923, 37.897, 37.770,27, 3 2 1 ,6 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  1.57%, 13.88%, 18.74%, 65.81%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 52873.96, 22273.90, 0.00, 6492901.16 , 0, 255, 135.64, 0, 255, 136.29, 0, 255, 134.58, 0.00%, 0.00%,0.00%, 0.00%, 100.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 2.06%, 97.94%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 17.56%, 82.44%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 47.93%, 52.07%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 18.5, 17.6, 106625.6, 101783.1, 0.0, 0.0, 296596.3, 1.000, 0
6, b-SLICE,    4, 24.00,     676888, 0,1.03,37.013, 37.361, 37.255, 37.087,29, 3 2 ,5 6 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  2.16%, 32.85%, 16.07%, 48.92%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 63690.75, 25658.86, 0.00, 7020628.67 , 0, 255, 119.84, 11, 255, 137.88, 1, 250, 138.61, 0.00%, 0.00%,0.00%, 0.00%, 100.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 5.11%, 94.89%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 13.43%, 86.57%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 41.23%, 58.77%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 18.1, 4.9, 132932.2, 127067.2, 0.0, 0.0, 429603.1, 1.000, 0
7, P-SLICE,    7, 22.00,     225272, 0,1.00,39.965, 39.949, 40.206, 39.993,27, 6 5 3 , -, 0.00%,  0.00%,  0.00%, 3.70%,  4.51%, 15.30%, 1.77%,  1.61%, 19.65%, 2.90%,  3.22%, 47.34%, 0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 27091.61, 13055.96, 0.00, 274914.51 , 19, 161, 117.63, 88, 154, 116.26, 53, 163, 115.98, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 93.26%, 0.00%,0.00%, 6.74%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 579.3, 31.6, 84133.3, 80245.8, 0.0, 0.0, 514257.6, 1.000, 0
8, P-SLICE,    9, 22.00,     207616, 0,1.01,41.661, 41.255, 41.506, 41.591,26, 7 6 5 , -, 0.00%,  0.00%,  0.00%, 6.35%,  4.54%, 28.57%, 0.68%,  0.45%, 13.15%, 1.13%,  0.68%, 44.44%, 0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 18899.94, 10250.51, 0.00, 469933.90 , 93, 218, 136.64, 90, 195, 139.42, 95, 191, 141.29, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 89.47%, 0.00%,0.00%, 10.53%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 273.1, 123.3, 33230.3, 31463.5, 0.0, 0.0, 547815.3, 1.000, 0
9, b-SLICE,    8, 24.00,     390368, 0,1.01,38.045, 39.210, 39.404, 38.360,28, 7 6 5 ,9 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  2.45%,  3.57%,  7.54%, 86.44%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 55999.06, 16827.78, 0.00, 1404656.55 , 49, 230, 122.29, 104, 231, 139.35, 94, 232, 133.28, 0.00%, 0.00%,0.00%, 0.00%, 100.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.00%, 100.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 8.11%, 91.89%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 49.77%, 50.23%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.9, 7.9, 126261.9, 121108.7, 0.0, 0.0, 674155.8, 1.000, 0
