Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, Y PSNR, U PSNR, V PSNR, YUV PSNR, Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 32x32, Inter 16x16, Inter 8x8, Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
0, I-SLICE,    0, 34.00,   13908096, 0,0.00,33.518, 32.199, 31.797, 33.138,27,  -, -, 0.00%,  0.00%,  0.00%, 1.22%,  3.78%, 48.23%, 0.50%,  0.50%,  7.35%, 1.16%,  0.66%, 14.69%,21.92%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 135371.28, 92612.31, 0.00, 15110651.45 , 0, 255, 65.63, 0, 255, 60.46, 0, 255, 63.96, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 83.00%, 0.00%,0.00%, 17.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 48182.4, 103.9, 277821.2, 262809.1, 0.0, 0.0, 325258.7, 1.000, 0
1, i-SLICE,    1, 34.00,   11415912, 1,1.01,32.878, 34.019, 33.475, 33.096,27,  -, -, 0.00%,  0.00%,  0.00%, 0.54%,  1.11%, 14.02%, 0.30%,  0.36%,  8.08%, 0.73%,  0.62%, 41.29%,32.95%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 156800.80, 57172.57, 0.00, 9932334.00 , 0, 255, 70.94, 0, 255, 96.65, 0, 255, 105.99, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 92.89%, 0.00%,0.00%, 7.11%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 13665.0, 8.9, 256390.9, 244273.9, 0.0, 0.0, 593673.5, 1.000, 0
2, P-SLICE,    2, 37.00,    3084856, 0,1.01,30.533, 29.330, 28.618, 30.143,27, 1 0 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.01%, 0.00%,  0.01%,  0.02%, 0.09%,  0.19%,  0.69%, 0.00%,  0.10%,  1.26%,  3.24%, 47.84%,  0.00%,  0.06%,  0.37%,  1.56%,  0.28%,  2.27%,  8.95%, 33.05%, 260052.15, 181521.21, 0.00, 1180922.33 , 0, 255, 65.70, 0, 255, 60.50, 0, 255, 64.00, 0.00%, 74.24%,0.00%, 9.17%, 16.59%, 0.00%, 0.00%, 0.00%, 0.00%, 0.37%, 64.59%,0.00%, 4.11%, 30.93%, 0.00%, 0.00%, 0.00%, 0.00%, 0.19%, 71.80%,0.00%, 7.08%, 20.93%, 0.00%, 0.00%, 0.00%, 0.00%, 1.17%, 41.49%,0.00%, 5.64%, 51.70%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 173058.2, 698.1, 1374443.9, 1352970.3, 0.0, 0.0, 2140356.4, 1.000, 0
3, P-SLICE,    7, 37.00,    4429392, 0,1.01,29.071, 32.120, 30.682, 29.653,23, 2 1 0 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.02%,  0.25%, 0.02%,  0.07%,  0.67%, 0.19%,  0.54%,  6.33%, 0.00%,  0.06%,  2.40%,  7.47%, 50.31%,  0.00%,  0.19%,  0.99%,  4.22%,  0.08%,  1.76%,  6.14%, 18.31%, 356100.00, 109560.44, 0.00, 2632323.94 , 0, 255, 71.00, 0, 255, 96.58, 0, 255, 105.98, 0.00%, 59.26%,0.00%, 12.35%, 28.40%, 0.00%, 0.00%, 0.00%, 0.00%, 5.81%, 42.25%,0.00%, 10.60%, 41.35%, 0.00%, 0.00%, 0.00%, 0.00%, 4.79%, 45.20%,0.00%, 16.13%, 33.89%, 0.00%, 0.00%, 0.00%, 0.00%, 8.83%, 28.20%,0.00%, 17.44%, 45.54%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 10071.4, 884.6, 1804071.5, 1763745.0, 0.0, 0.0, 3948261.0, 1.000, 0
4, B-SLICE,    5, 38.00,     129120, 0,1.01,29.495, 32.790, 31.174, 30.116,26, 2 1 0 ,7 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.58%, 20.13%,  6.92%,  1.99%,  0.00%,  1.49%,  1.28%,  0.69%,  3.00%, 43.72%, 16.78%,  3.41%, 309340.35, 94248.38, 0.00, 322609.25 , 0, 255, 71.00, 0, 255, 96.58, 0, 255, 105.98, 0.00%, 83.93%,0.00%, 3.87%, 12.20%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 69.19%,0.00%, 4.39%, 26.43%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 65.57%,0.00%, 17.25%, 17.18%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 67.31%,0.00%, 17.66%, 15.03%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 275.0, 12.3, 1620094.7, 1585452.3, 0.0, 0.0, 5571245.4, 1.000, 0
5, b-SLICE,    3, 39.00,    2396176, 0,1.01,28.126, 32.126, 30.420, 28.912,29, 2 1 ,5 7 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.11%,  2.11%,  4.97%, 54.81%,  0.00%,  0.57%,  1.81%,  7.25%,  0.33%,  3.38%,  5.93%, 18.75%, 428080.92, 108667.53, 0.00, 1448825.63 , 0, 255, 70.93, 0, 255, 96.64, 0, 255, 105.97, 0.00%, 75.34%,0.00%, 15.53%, 9.13%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 65.21%,0.00%, 22.55%, 12.24%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 58.71%,0.00%, 29.15%, 12.14%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 32.18%,0.00%, 34.52%, 33.30%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 481.2, 19.1, 2354915.3, 2305814.6, 0.0, 0.0, 7929661.8, 1.000, 0
6, b-SLICE,    4, 39.00,    3307528, 0,1.01,29.516, 28.037, 27.130, 29.033,29, 2 1 ,5 7 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.14%,  1.70%,  5.18%, 54.56%,  0.00%,  0.13%,  0.39%,  1.88%,  0.29%,  2.18%,  6.00%, 27.54%, 315551.75, 246894.12, 0.00, 1174329.69 , 0, 255, 65.95, 0, 255, 60.67, 0, 255, 64.07, 0.00%, 67.72%,0.00%, 10.63%, 21.65%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 57.64%,0.00%, 6.17%, 36.19%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 53.36%,0.00%, 10.73%, 35.91%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 35.04%,0.00%, 9.29%, 55.67%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 10.1, 3.7, 2007403.6, 1969294.0, 0.0, 0.0, 9935612.5, 1.000, 0
7, b-SLICE,    6, 39.00,    3100288, 0,1.01,29.535, 28.101, 27.146, 29.057,28, 5 2 1 ,7 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.07%,  1.60%,  4.82%, 52.43%,  0.00%,  0.13%,  0.37%,  1.64%,  0.18%,  2.88%,  6.23%, 29.64%, 314183.20, 244164.32, 0.00, 1197960.15 , 0, 255, 65.95, 0, 255, 60.67, 0, 255, 64.07, 0.00%, 71.52%,0.00%, 8.61%, 19.87%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 65.39%,0.00%, 6.39%, 28.21%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 55.82%,0.00%, 10.48%, 33.70%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 37.37%,0.00%, 7.03%, 55.60%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 6.8, 3.5, 2068666.0, 2024742.1, 0.0, 0.0, 12001228.1, 1.000, 0
8, P-SLICE,    8, 37.00,    4960648, 0,1.01,30.628, 29.007, 28.343, 30.140,27, 7 5 2 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.01%,  0.09%, 0.01%,  0.02%,  0.26%, 0.11%,  0.17%,  1.49%, 0.00%,  0.05%,  2.80%,  9.55%, 57.03%,  0.00%,  0.06%,  0.43%,  2.59%,  0.04%,  0.96%,  4.42%, 19.92%, 249764.51, 196556.19, 0.00, 1273050.28 , 0, 255, 66.22, 0, 255, 60.88, 0, 255, 64.20, 0.00%, 43.40%,0.00%, 13.21%, 43.40%, 0.00%, 0.00%, 0.00%, 0.00%, 2.55%, 25.86%,0.00%, 11.82%, 59.77%, 0.00%, 0.00%, 0.00%, 0.00%, 1.93%, 32.18%,0.00%, 11.92%, 53.98%, 0.00%, 0.00%, 0.00%, 0.00%, 2.17%, 27.69%,0.00%, 10.31%, 59.83%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 42178.6, 613.7, 1717765.9, 1686058.7, 0.0, 0.0, 13759918.6, 1.000, 0
9, P-SLICE,    9, 37.00,    3822208, 0,1.01,29.151, 32.306, 30.753, 29.746,27, 8 7 5 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.01%,  0.12%, 0.02%,  0.02%,  0.38%, 0.10%,  0.30%,  4.13%, 0.00%,  0.06%,  2.31%,  6.62%, 51.46%,  0.00%,  0.23%,  1.14%,  4.71%,  0.05%,  2.13%,  6.68%, 19.52%, 342561.81, 104573.12, 0.00, 1962600.20 , 0, 255, 71.08, 0, 255, 96.47, 0, 255, 105.94, 0.00%, 47.54%,0.00%, 22.95%, 29.51%, 0.00%, 0.00%, 0.00%, 0.00%, 2.69%, 49.26%,0.00%, 11.09%, 36.96%, 0.00%, 0.00%, 0.00%, 0.00%, 2.77%, 51.16%,0.00%, 17.36%, 28.70%, 0.00%, 0.00%, 0.00%, 0.00%, 5.66%, 30.20%,0.00%, 21.03%, 43.12%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 9104.0, 1007.1, 1783208.7, 1739186.7, 0.0, 0.0, 15552435.4, 1.000, 0
