Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, Y PSNR, U PSNR, V PSNR, YUV PSNR, Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 32x32, Inter 16x16, Inter 8x8, Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
0, I-SLICE,    0, 24.00,    1856336, 0,0.00,39.627, 40.951, 43.305, 40.252,27,  -, -, 0.00%,  0.00%,  0.00%, 0.36%,  0.77%,  0.68%, 2.51%,  2.58%,  6.04%,11.31%,  8.27%, 29.89%,37.60%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 29022.35, 8694.10, 0.00, 434773.66 , 0, 255, 113.51, 19, 176, 117.14, 90, 232, 136.18, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 97.65%, 0.00%,0.00%, 2.35%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 11299.5, 118.0, 70143.7, 67356.8, 0.0, 0.0, 80735.4, 1.000, 0
1, P-SLICE,    4, 27.00,     392568, 0,2.77,37.161, 39.104, 42.195, 38.033,24, 0 , -, 0.00%,  0.00%,  0.00%, 0.30%,  0.16%,  0.54%, 0.98%,  0.59%,  3.13%, 3.20%,  1.69%, 12.58%, 0.00%,  0.09%,  3.49%, 11.32%, 35.03%,  0.00%,  0.64%,  2.07%,  5.25%,  0.07%,  4.13%,  9.30%,  5.41%, 53618.53, 12762.17, 0.00, 205976.05 , 0, 255, 113.19, 19, 178, 117.21, 90, 231, 136.14, 0.00%, 43.75%,0.00%, 56.25%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 10.82%, 51.55%,0.00%, 25.17%, 12.47%, 0.00%, 0.00%, 0.00%, 0.00%, 17.18%, 41.50%,0.00%, 21.26%, 20.06%, 0.00%, 0.00%, 0.00%, 0.00%, 26.62%, 16.25%,0.00%, 35.85%, 21.27%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 48263.2, 142.5, 17085.6, 15588.1, 0.0, 0.0, 145281.2, 1.000, 0
2, B-SLICE,    2, 28.00,     125640, 0,2.71,37.177, 39.131, 42.456, 38.081,27, 0 ,4 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.56%,  7.36%, 15.47%, 30.18%,  0.00%,  1.52%,  3.00%,  5.90%,  0.56%, 15.27%,  6.59%, 13.58%, 51943.62, 12062.37, 0.00, 84461.02 , 0, 255, 113.39, 20, 177, 117.26, 91, 232, 136.16, 0.00%, 50.00%,0.00%, 48.33%, 1.67%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 69.52%,0.00%, 21.07%, 9.41%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 38.28%,0.00%, 39.78%, 21.95%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 35.96%,0.00%, 38.52%, 25.52%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 127.0, 18.2, 9670.0, 9107.3, 0.0, 0.0, 155407.7, 1.000, 0
3, b-SLICE,    1, 29.00,      55848, 0,2.69,37.164, 39.160, 42.569, 38.089,29, 0 ,2 4 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.59%,  8.54%,  8.15%, 23.67%,  0.00%,  2.52%,  2.57%,  5.02%,  1.47%, 22.49%,  9.32%, 15.66%, 51520.08, 11775.32, 0.00, 61047.30 , 0, 255, 113.48, 18, 180, 117.22, 91, 232, 136.14, 0.00%, 71.43%,0.00%, 27.38%, 1.19%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 74.54%,0.00%, 18.75%, 6.71%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 59.34%,0.00%, 26.25%, 14.41%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 41.18%,0.00%, 35.92%, 22.90%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 79.7, 6.9, 7929.7, 7114.8, 0.0, 0.0, 163654.5, 1.000, 0
4, b-SLICE,    3, 29.00,      56152, 0,2.72,37.004, 39.105, 42.292, 37.927,28, 2 0 ,4 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  1.35%,  8.91%, 11.08%, 23.54%,  0.00%,  2.08%,  2.37%,  3.87%,  5.98%,  9.73%, 12.28%, 18.79%, 53294.97, 12095.30, 0.00, 60913.36 , 0, 255, 113.31, 20, 181, 117.22, 91, 232, 136.18, 0.00%, 81.60%,0.00%, 16.40%, 2.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 57.00%,0.00%, 31.54%, 11.46%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 56.95%,0.00%, 29.50%, 13.55%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 42.57%,0.00%, 38.05%, 19.38%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 132.5, 15.5, 6633.5, 6092.8, 0.0, 0.0, 170047.1, 1.000, 0
5, P-SLICE,    9, 27.00,     333544, 0,2.81,37.204, 39.162, 42.116, 38.063,23, 4 2 0 , -, 0.00%,  0.00%,  0.00%, 0.24%,  0.19%,  0.40%, 1.09%,  0.56%,  2.41%, 2.33%,  1.07%,  9.26%, 0.00%,  0.34%,  4.42%, 12.37%, 43.85%,  0.00%,  0.23%,  1.39%,  4.63%,  1.48%,  3.31%,  3.08%,  7.36%, 51505.77, 12339.35, 0.00, 145155.93 , 0, 255, 112.74, 18, 178, 117.20, 91, 232, 136.16, 0.00%, 81.25%,0.00%, 11.81%, 6.94%, 0.00%, 0.00%, 0.00%, 0.00%, 9.48%, 40.23%,0.00%, 23.85%, 26.44%, 0.00%, 0.00%, 0.00%, 0.00%, 19.40%, 21.39%,0.00%, 31.30%, 27.92%, 0.00%, 0.00%, 0.00%, 0.00%, 17.71%, 16.76%,0.00%, 43.97%, 21.56%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 12039.2, 11.9, 17950.0, 16567.5, 0.0, 0.0, 198692.4, 1.000, 0
6, B-SLICE,    7, 28.00,     171864, 0,2.97,37.024, 39.024, 42.023, 37.899,26, 4 2 0 ,9 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.92%,  6.57%, 17.47%, 41.25%,  0.00%,  0.90%,  2.20%,  7.73%,  2.69%,  3.10%,  5.62%, 11.54%, 53144.97, 12540.75, 0.00, 89673.31 , 0, 255, 112.90, 19, 178, 117.22, 89, 232, 136.19, 0.00%, 74.52%,0.00%, 21.63%, 3.85%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 37.87%,0.00%, 37.87%, 24.26%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 30.91%,0.00%, 43.73%, 25.36%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 29.80%,0.00%, 41.80%, 28.40%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 7.4, 4.2, 13143.9, 12461.7, 0.0, 0.0, 212445.6, 1.000, 0
7, b-SLICE,    5, 29.00,      65440, 0,2.82,36.907, 39.050, 42.101, 37.824,29, 4 2 ,7 9 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  1.48%,  7.93%, 14.25%, 27.70%,  0.00%,  1.71%,  3.77%,  6.55%,  4.71%,  7.31%,  9.10%, 15.49%, 54325.37, 12317.80, 0.00, 64667.50 , 0, 255, 113.09, 19, 178, 117.24, 90, 232, 136.16, 0.00%, 76.13%,0.00%, 20.16%, 3.70%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 53.23%,0.00%, 35.49%, 11.28%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 47.46%,0.00%, 37.69%, 14.85%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 39.46%,0.00%, 43.07%, 17.47%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 70.8, 8.5, 6244.9, 5854.3, 0.0, 0.0, 219129.4, 1.000, 0
8, b-SLICE,    6, 29.00,      70968, 0,2.91,36.825, 38.999, 41.970, 37.740,29, 4 2 ,7 9 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  1.24%,  8.99%, 17.14%, 29.04%,  0.00%,  1.44%,  3.53%,  7.50%,  4.50%,  6.71%,  8.07%, 11.85%, 55358.52, 12562.00, 0.00, 66634.01 , 0, 255, 112.97, 18, 178, 117.17, 89, 232, 136.16, 0.00%, 78.35%,0.00%, 18.61%, 3.03%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 47.54%,0.00%, 38.70%, 13.77%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 40.36%,0.00%, 43.73%, 15.90%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 35.60%,0.00%, 42.41%, 21.98%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.5, 4.0, 10257.3, 9556.7, 0.0, 0.0, 229214.3, 1.000, 0
9, b-SLICE,    8, 29.00,      43784, 0,2.88,36.968, 39.060, 42.080, 37.869,28, 7 4 2 ,9 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  1.50%,  8.31%,  9.71%, 22.06%,  0.00%,  2.13%,  4.90%,  5.79%,  7.20%, 10.00%, 11.17%, 17.22%, 53432.82, 12322.40, 0.00, 59380.93 , 0, 255, 112.87, 20, 180, 117.22, 90, 232, 136.17, 0.00%, 82.78%,0.00%, 15.02%, 2.20%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 59.35%,0.00%, 33.18%, 7.48%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 62.35%,0.00%, 28.02%, 9.63%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 43.66%,0.00%, 36.05%, 20.29%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.8, 3.4, 7352.7, 6656.2, 0.0, 0.0, 236098.4, 1.000, 0
