Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, Y PSNR, U PSNR, V PSNR, YUV PSNR, Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 32x32, Inter 16x16, Inter 8x8, Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
0, I-SLICE,    0, 34.00,     467696, 0,0.00,34.739, 37.714, 39.226, 35.672,27,  -, -, 0.00%,  0.00%,  0.00%, 1.07%,  1.24%,  1.82%, 4.97%,  2.87%, 12.87%,11.41%,  6.02%, 35.66%,22.07%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 92728.83, 20348.61, 0.00, 500689.90 , 0, 255, 113.51, 19, 176, 117.14, 90, 232, 136.18, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 96.97%, 0.00%,0.00%, 3.03%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 11599.2, 130.7, 51111.9, 48160.0, 0.0, 0.0, 62020.6, 1.000, 0
1, P-SLICE,    4, 37.00,      81400, 0,2.77,33.430, 37.250, 38.728, 34.570,24, 0 , -, 0.00%,  0.00%,  0.00%, 0.31%,  0.13%,  0.58%, 0.92%,  0.54%,  2.70%, 1.84%,  0.78%,  6.31%, 0.00%,  0.14%,  7.08%, 15.83%, 18.93%,  0.00%,  0.72%,  2.92%,  6.27%,  0.97%, 11.81%, 11.86%,  9.36%, 123892.71, 21701.52, 0.00, 267247.86 , 0, 255, 113.19, 19, 178, 117.21, 90, 231, 136.14, 0.00%, 87.10%,0.00%, 6.45%, 6.45%, 0.00%, 0.00%, 0.00%, 0.00%, 4.90%, 60.75%,0.00%, 14.42%, 19.93%, 0.00%, 0.00%, 0.00%, 0.00%, 11.98%, 42.51%,0.00%, 29.76%, 15.76%, 0.00%, 0.00%, 0.00%, 0.00%, 18.67%, 32.69%,0.00%, 35.52%, 13.12%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 45138.4, 185.0, 203450.2, 192417.7, 0.0, 0.0, 309481.4, 1.000, 0
2, B-SLICE,    2, 38.00,      24456, 0,2.71,33.765, 37.420, 38.943, 34.869,27, 0 ,4 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.76%, 11.19%, 10.05%, 11.16%,  0.00%,  2.69%,  4.21%,  5.49%,  4.59%, 26.74%,  9.91%, 13.20%, 112500.92, 20402.61, 0.00, 134180.08 , 0, 255, 113.39, 20, 177, 117.26, 91, 232, 136.16, 0.00%, 85.81%,0.00%, 12.26%, 1.94%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 72.45%,0.00%, 21.34%, 6.21%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 58.43%,0.00%, 30.14%, 11.43%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 49.00%,0.00%, 38.04%, 12.95%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 239.6, 20.6, 307814.8, 289825.8, 0.0, 0.0, 618176.3, 1.000, 0
3, b-SLICE,    1, 39.00,      11168, 0,2.69,33.902, 37.512, 39.038, 34.995,29, 0 ,2 4 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.74%,  8.48%,  5.81%,  5.68%,  0.00%,  4.02%,  2.66%,  3.98%,  7.21%, 38.36%,  8.78%, 14.29%, 108341.59, 19970.44, 0.00, 112084.32 , 0, 255, 113.48, 18, 180, 117.22, 91, 232, 136.14, 0.00%, 90.66%,0.00%, 7.69%, 1.65%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 83.33%,0.00%, 13.23%, 3.44%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 66.33%,0.00%, 28.86%, 4.81%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 53.05%,0.00%, 42.64%, 4.31%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 82.7, 90.4, 351422.3, 332416.6, 0.0, 0.0, 970055.6, 1.000, 0
4, b-SLICE,    3, 39.00,      10016, 0,2.72,33.496, 37.354, 38.839, 34.646,28, 2 0 ,4 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  2.84%,  8.27%,  5.44%,  7.62%,  0.00%,  3.49%,  2.25%,  3.31%, 18.62%, 14.89%, 13.48%, 19.80%, 118835.90, 20791.24, 0.00, 122260.29 , 0, 255, 113.31, 20, 181, 117.22, 91, 232, 136.18, 0.00%, 86.78%,0.00%, 11.85%, 1.38%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 68.96%,0.00%, 27.05%, 3.99%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 74.30%,0.00%, 21.79%, 3.91%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 51.45%,0.00%, 40.79%, 7.76%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 138.0, 15.4, 371709.8, 351427.9, 0.0, 0.0, 1341324.9, 1.000, 0
5, P-SLICE,    9, 37.00,      71824, 0,2.81,33.277, 37.199, 38.640, 34.438,23, 4 2 0 , -, 0.00%,  0.00%,  0.00%, 0.49%,  0.19%,  0.64%, 0.71%,  0.66%,  3.26%, 1.11%,  0.75%,  4.57%, 0.00%,  0.90%,  7.03%, 14.68%, 28.68%,  0.00%,  0.73%,  2.87%,  7.33%,  3.94%,  4.46%,  6.52%, 10.46%, 127775.92, 21845.45, 0.00, 210865.93 , 0, 255, 112.74, 18, 178, 117.20, 91, 232, 136.16, 0.00%, 81.42%,0.00%, 10.18%, 8.41%, 0.00%, 0.00%, 0.00%, 0.00%, 9.81%, 38.29%,0.00%, 25.00%, 26.90%, 0.00%, 0.00%, 0.00%, 0.00%, 16.13%, 32.71%,0.00%, 32.86%, 18.30%, 0.00%, 0.00%, 0.00%, 0.00%, 11.08%, 30.65%,0.00%, 46.94%, 11.34%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 10566.2, 9.4, 466157.1, 448740.6, 0.0, 0.0, 1816261.5, 1.000, 0
6, B-SLICE,    7, 38.00,      29096, 0,2.97,33.077, 37.123, 38.548, 34.266,26, 4 2 0 ,9 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  2.58%, 14.40%, 13.73%, 13.65%,  0.00%,  2.35%,  6.14%,  4.93%,  8.80%,  7.20%, 10.52%, 15.69%, 131734.75, 22065.61, 0.00, 157171.60 , 0, 255, 112.90, 19, 178, 117.22, 89, 232, 136.19, 0.00%, 77.32%,0.00%, 17.53%, 5.15%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 39.87%,0.00%, 46.08%, 14.05%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 54.83%,0.00%, 32.95%, 12.23%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 47.22%,0.00%, 38.71%, 14.07%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 4.4, 81.6, 523406.8, 496502.9, 0.0, 0.0, 2340368.8, 1.000, 0
7, b-SLICE,    5, 39.00,      11384, 0,2.82,33.170, 37.224, 38.656, 34.363,29, 4 2 ,7 9 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  2.91%, 13.60%,  7.83%,  5.89%,  0.00%,  3.58%,  3.10%,  1.94%, 18.64%, 12.26%, 11.60%, 18.64%, 128070.40, 21530.31, 0.00, 134896.67 , 0, 255, 113.09, 19, 178, 117.24, 90, 232, 136.16, 0.00%, 86.48%,0.00%, 11.83%, 1.69%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 53.81%,0.00%, 41.44%, 4.74%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 65.23%,0.00%, 23.45%, 11.32%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 50.15%,0.00%, 44.53%, 5.33%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 91.1, 4.1, 464986.1, 439938.2, 0.0, 0.0, 2806028.1, 1.000, 0
8, b-SLICE,    6, 39.00,      11624, 0,2.91,32.984, 37.144, 38.590, 34.205,29, 4 2 ,7 9 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  4.10%, 15.27%,  7.12%,  8.21%,  0.00%,  3.19%,  2.85%,  4.56%, 15.95%,  9.52%, 11.00%, 18.23%, 133704.56, 21928.65, 0.00, 140312.52 , 0, 255, 112.97, 18, 178, 117.17, 89, 232, 136.16, 0.00%, 79.55%,0.00%, 19.32%, 1.14%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 45.42%,0.00%, 46.44%, 8.15%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 66.03%,0.00%, 22.55%, 11.41%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 51.02%,0.00%, 41.33%, 7.65%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.8, 3.6, 459418.8, 434917.9, 0.0, 0.0, 3265154.7, 1.000, 0
9, b-SLICE,    8, 39.00,       7688, 0,2.88,33.221, 37.203, 38.672, 34.400,28, 7 4 2 ,9 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  2.70%,  7.91%,  4.02%,  4.83%,  0.00%,  4.27%,  2.45%,  2.51%, 20.21%, 16.45%, 13.87%, 20.78%, 126372.04, 21568.22, 0.00, 128440.31 , 0, 255, 112.87, 20, 180, 117.22, 90, 232, 136.17, 0.00%, 88.22%,0.00%, 11.23%, 0.55%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 72.37%,0.00%, 25.44%, 2.19%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 80.25%,0.00%, 14.81%, 4.94%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 53.92%,0.00%, 42.88%, 3.20%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.5, 3.4, 424391.8, 403990.3, 0.0, 0.0, 3689001.5, 1.000, 0
