 , RBER 1E-3, RBER 1E-3, RBER 1E-4, RBER 1E-4, RBER 1E-5, RBER 1E-5, RBER 1E-6, RBER 1E-6, RBER 1E-7, RBER 1E-7
 QP 22, 165532.21, 39.056, 42431.25, 39.627, 35355.85, 39.771, 34976.40, 39.779, 34973.00, 39.782,
 QP 27, 84733.34, 35.884, 12809.98, 37.100, 9685.58, 37.882, 9507.19, 37.908, 9490.41, 37.911,
 QP 32, 33369.51, 32.976, 5768.11, 34.987, 4328.29, 36.187, 4248.92, 36.227, 4241.37, 36.228,
 QP 37, 9150.92, 30.670, 2646.44, 33.087, 2102.33, 34.191, 2072.64, 34.229, 2066.31, 34.235,

 , WBER 1E-3, WBER 1E-3, WBER 1E-4, WBER 1E-4, WBER 1E-5, WBER 1E-5, WBER 1E-6, WBER 1E-6, WBER 1E-7, WBER 1E-7
 QP 22, 34926.55, 39.781, 34926.55, 39.781, 34926.55, 39.781, 34926.55, 39.781, 34926.55, 39.781,
 QP 27, 9495.01, 37.911, 9495.01, 37.911, 9495.01, 37.911, 9495.01, 37.911, 9495.01, 37.911,
 QP 32, 4238.44, 36.230, 4238.44, 36.230, 4238.44, 36.230, 4238.44, 36.230, 4238.44, 36.230,
 QP 37, 2068.69, 34.235, 2068.69, 34.235, 2068.69, 34.235, 2068.69, 34.235, 2068.69, 34.235,
