Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, Y PSNR, U PSNR, V PSNR, YUV PSNR, Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 32x32, Inter 16x16, Inter 8x8, Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
0, I-SLICE,    0, 19.00,    3874736, 0,0.00,43.637, 43.924, 45.535, 43.910,27,  -, -, 0.00%,  0.00%,  0.00%, 0.46%,  0.87%,  0.87%, 1.96%,  2.55%,  4.04%, 9.13%,  8.79%, 23.62%,47.70%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 11409.96, 4457.34, 0.00, 441298.97 , 0, 255, 113.51, 19, 176, 117.14, 90, 232, 136.18, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 97.25%, 0.00%,0.00%, 2.75%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 12548.5, 102.9, 85504.3, 78830.9, 0.0, 0.0, 97333.5, 1.000, 0
1, P-SLICE,    4, 22.00,    1533832, 0,2.77,39.604, 41.087, 43.803, 40.314,24, 0 , -, 0.00%,  0.00%,  0.00%, 0.55%,  0.67%,  1.26%, 2.09%,  1.98%,  6.44%, 7.09%,  5.82%, 23.32%, 0.00%,  0.00%,  0.57%,  6.17%, 42.17%,  0.00%,  0.01%,  0.12%,  1.26%,  0.00%,  0.00%,  0.04%,  0.44%, 29494.56, 8117.56, 0.00, 250152.85 , 0, 255, 113.19, 19, 178, 117.21, 90, 231, 136.14, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 80.99%, 0.40%,0.00%, 4.36%, 14.26%, 0.00%, 0.00%, 0.00%, 0.00%, 62.42%, 0.94%,0.00%, 11.27%, 25.38%, 0.00%, 0.00%, 0.00%, 0.00%, 44.42%, 2.08%,0.00%, 24.58%, 28.91%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 43094.7, 147.5, 333667.6, 317759.1, 0.0, 0.0, 472879.5, 1.000, 0
2, B-SLICE,    2, 23.00,     699056, 0,2.71,38.977, 40.601, 43.957, 39.802,27, 0 ,4 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.09%,  5.85%, 19.36%, 60.55%,  0.00%,  0.93%,  0.92%,  3.42%,  0.07%,  1.54%,  2.03%,  5.22%, 34720.12, 8658.82, 0.00, 77194.20 , 0, 255, 113.39, 20, 177, 117.26, 91, 232, 136.16, 0.00%, 44.44%,0.00%, 50.00%, 5.56%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 29.71%,0.00%, 41.59%, 28.70%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 13.26%,0.00%, 40.78%, 45.96%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 12.09%,0.00%, 36.08%, 51.83%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 143.3, 16.5, 553588.5, 525539.6, 0.0, 0.0, 1027247.3, 1.000, 0
3, b-SLICE,    1, 24.00,     393784, 0,2.69,38.594, 40.246, 43.987, 39.474,29, 0 ,2 4 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.17%,  6.89%, 18.09%, 52.27%,  0.00%,  1.04%,  1.65%,  4.73%,  0.22%,  4.36%,  2.83%,  7.76%, 37664.39, 9145.38, 0.00, 55663.52 , 0, 255, 113.48, 18, 180, 117.22, 91, 232, 136.14, 0.00%, 55.88%,0.00%, 41.18%, 2.94%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 43.94%,0.00%, 36.65%, 19.41%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 19.85%,0.00%, 40.88%, 39.28%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 18.49%,0.00%, 37.14%, 44.37%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 120.0, 6.4, 578511.3, 551798.6, 0.0, 0.0, 1606195.6, 1.000, 0
4, b-SLICE,    3, 24.00,     373336, 0,2.72,38.574, 40.248, 43.756, 39.431,28, 2 0 ,4 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.46%,  6.74%, 17.20%, 50.68%,  0.00%,  0.97%,  1.63%,  3.73%,  0.47%,  4.78%,  3.46%,  9.88%, 37480.78, 9201.76, 0.00, 52562.06 , 0, 255, 113.31, 20, 181, 117.22, 91, 232, 136.18, 0.00%, 50.68%,0.00%, 41.10%, 8.22%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 46.02%,0.00%, 28.67%, 25.31%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 22.86%,0.00%, 33.66%, 43.49%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 20.22%,0.00%, 33.94%, 45.84%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 129.6, 13.7, 556102.5, 529898.8, 0.0, 0.0, 2161822.2, 1.000, 0
5, P-SLICE,    9, 22.00,    1242568, 0,2.81,39.576, 41.040, 43.796, 40.286,23, 4 2 0 , -, 0.00%,  0.00%,  0.00%, 0.19%,  0.24%,  0.27%, 0.94%,  0.99%,  2.38%, 3.61%,  2.92%, 11.09%, 0.00%,  0.06%,  2.94%, 12.36%, 55.62%,  0.00%,  0.26%,  0.48%,  1.81%,  0.03%,  0.55%,  0.83%,  2.43%, 29514.19, 8093.89, 0.00, 162884.78 , 0, 255, 112.74, 18, 178, 117.20, 91, 232, 136.16, 0.00%, 30.77%,0.00%, 46.15%, 23.08%, 0.00%, 0.00%, 0.00%, 0.00%, 15.83%, 18.18%,0.00%, 30.41%, 35.58%, 0.00%, 0.00%, 0.00%, 0.00%, 24.04%, 7.23%,0.00%, 28.51%, 40.22%, 0.00%, 0.00%, 0.00%, 0.00%, 22.25%, 5.36%,0.00%, 33.98%, 38.41%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 10658.2, 8.6, 610497.0, 582013.7, 0.0, 0.0, 2781132.5, 1.000, 0
6, B-SLICE,    7, 23.00,     707744, 0,2.97,38.974, 40.552, 43.619, 39.752,26, 4 2 0 ,9 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.21%,  5.43%, 18.61%, 61.44%,  0.00%,  0.70%,  1.12%,  3.70%,  0.24%,  1.56%,  1.84%,  5.14%, 33947.67, 8828.88, 0.00, 79647.43 , 0, 255, 112.90, 19, 178, 117.22, 89, 232, 136.19, 0.00%, 53.19%,0.00%, 40.43%, 6.38%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 29.42%,0.00%, 40.30%, 30.28%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 13.72%,0.00%, 42.72%, 43.56%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 12.19%,0.00%, 42.03%, 45.79%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 4.7, 3.2, 793701.7, 757170.5, 0.0, 0.0, 3575459.9, 1.000, 0
7, b-SLICE,    5, 24.00,     391808, 0,2.82,38.581, 40.252, 43.624, 39.420,29, 4 2 ,7 9 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.39%,  5.44%, 16.24%, 54.29%,  0.00%,  1.08%,  1.98%,  5.29%,  0.40%,  3.14%,  3.09%,  8.66%, 37154.23, 9254.66, 0.00, 55649.18 , 0, 255, 113.09, 19, 178, 117.24, 90, 232, 136.16, 0.00%, 50.70%,0.00%, 46.48%, 2.82%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 43.71%,0.00%, 35.47%, 20.82%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 23.78%,0.00%, 40.50%, 35.72%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 19.68%,0.00%, 41.09%, 39.23%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 111.2, 4.9, 694343.1, 666736.6, 0.0, 0.0, 4270537.9, 1.000, 0
8, b-SLICE,    6, 24.00,     415096, 0,2.91,38.584, 40.224, 43.528, 39.407,29, 4 2 ,7 9 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.38%,  6.01%, 16.84%, 56.91%,  0.00%,  1.10%,  1.59%,  4.02%,  0.32%,  2.63%,  2.64%,  7.56%, 37120.17, 9354.75, 0.00, 56288.65 , 0, 255, 112.97, 18, 178, 117.17, 89, 232, 136.16, 0.00%, 45.31%,0.00%, 48.44%, 6.25%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 38.30%,0.00%, 40.87%, 20.83%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 20.07%,0.00%, 44.18%, 35.75%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 16.29%,0.00%, 41.91%, 41.80%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.8, 2.7, 689477.1, 660013.4, 0.0, 0.0, 4959727.4, 1.000, 0
9, b-SLICE,    8, 24.00,     340768, 0,2.88,38.581, 40.214, 43.630, 39.416,28, 7 4 2 ,9 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.62%,  5.98%, 17.13%, 49.50%,  0.00%,  0.82%,  2.03%,  4.61%,  0.96%,  3.74%,  3.86%, 10.77%, 37147.00, 9307.32, 0.00, 50059.14 , 0, 255, 112.87, 20, 180, 117.22, 90, 232, 136.17, 0.00%, 60.83%,0.00%, 37.50%, 1.67%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 43.25%,0.00%, 29.50%, 27.25%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 25.57%,0.00%, 33.87%, 40.56%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 22.60%,0.00%, 32.16%, 45.24%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.9, 3.4, 629230.9, 597687.5, 0.0, 0.0, 5588346.4, 1.000, 0
