Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, Y PSNR, U PSNR, V PSNR, YUV PSNR, Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 32x32, Inter 16x16, Inter 8x8, Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
0, I-SLICE,    0, 34.00,     467696, 0,0.00,34.739, 37.714, 39.226, 35.672,27,  -, -, 0.00%,  0.00%,  0.00%, 1.07%,  1.24%,  1.82%, 4.97%,  2.87%, 12.87%,11.41%,  6.02%, 35.66%,22.07%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 92728.83, 20348.61, 0.00, 500689.90 , 0, 255, 113.51, 19, 176, 117.14, 90, 232, 136.18, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 96.97%, 0.00%,0.00%, 3.03%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 28596.3, 93.2, 125750.6, 120216.7, 0.0, 0.0, 153657.4, 1.000, 0
1, P-SLICE,    4, 37.00,      80272, 0,2.77,33.450, 37.251, 38.712, 34.583,24, 0 , -, 0.00%,  0.00%,  0.00%, 0.31%,  0.16%,  0.60%, 0.88%,  0.44%,  2.18%, 2.12%,  1.03%,  6.79%, 0.00%,  0.38%,  7.60%, 15.71%, 18.52%,  0.00%,  0.84%,  2.73%,  6.21%,  0.79%, 11.74%, 11.59%,  9.36%, 123193.88, 21720.87, 0.00, 262844.45 , 0, 255, 113.19, 19, 178, 117.21, 90, 231, 136.14, 0.00%, 67.19%,0.00%, 25.00%, 7.81%, 0.00%, 0.00%, 0.00%, 0.00%, 5.08%, 59.17%,0.00%, 16.45%, 19.29%, 0.00%, 0.00%, 0.00%, 0.00%, 10.43%, 42.71%,0.00%, 31.13%, 15.73%, 0.00%, 0.00%, 0.00%, 0.00%, 20.54%, 32.15%,0.00%, 34.19%, 13.12%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 139622.3, 176.8, 39119.5, 36619.8, 0.0, 0.0, 331524.4, 1.000, 0
2, B-SLICE,    2, 38.00,      24200, 0,2.71,33.807, 37.420, 38.924, 34.898,27, 0 ,4 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.60%, 12.04%,  9.92%,  9.89%,  0.00%,  2.79%,  2.90%,  4.03%,  4.70%, 27.93%, 10.17%, 15.04%, 111347.50, 20440.80, 0.00, 133544.84 , 0, 255, 113.39, 20, 177, 117.26, 91, 232, 136.16, 0.00%, 88.67%,0.00%, 9.33%, 2.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 71.84%,0.00%, 21.88%, 6.28%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 56.84%,0.00%, 30.11%, 13.06%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 50.94%,0.00%, 37.92%, 11.13%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 87.7, 52.2, 38672.4, 35977.7, 0.0, 0.0, 370873.8, 1.000, 0
3, b-SLICE,    1, 39.00,      11160, 0,2.69,33.957, 37.509, 39.021, 35.034,29, 0 ,2 4 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.82%,  8.83%,  4.74%,  5.73%,  0.00%,  3.23%,  2.80%,  5.30%,  7.24%, 37.12%,  9.22%, 14.99%, 107003.20, 20009.86, 0.00, 111030.29 , 0, 255, 113.48, 18, 180, 117.22, 91, 232, 136.14, 0.00%, 89.84%,0.00%, 9.09%, 1.07%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 82.05%,0.00%, 14.71%, 3.24%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 71.72%,0.00%, 23.39%, 4.88%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 55.81%,0.00%, 39.57%, 4.62%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 147.0, 84.5, 42889.5, 40015.1, 0.0, 0.0, 414200.4, 1.000, 0
4, b-SLICE,    3, 39.00,       9712, 0,2.72,33.557, 37.357, 38.854, 34.694,28, 2 0 ,4 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  3.35%,  7.89%,  5.08%,  7.23%,  0.00%,  3.76%,  3.52%,  4.42%, 18.58%, 14.28%, 13.20%, 18.70%, 117192.43, 20752.98, 0.00, 120561.52 , 0, 255, 113.31, 20, 181, 117.22, 91, 232, 136.18, 0.00%, 84.74%,0.00%, 13.90%, 1.36%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 69.59%,0.00%, 26.50%, 3.92%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 76.71%,0.00%, 19.45%, 3.84%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 51.74%,0.00%, 42.78%, 5.48%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 135.1, 90.1, 45037.9, 41952.9, 0.0, 0.0, 459031.0, 1.000, 0
5, P-SLICE,    9, 37.00,      69288, 0,2.81,33.305, 37.197, 38.629, 34.457,23, 4 2 0 , -, 0.00%,  0.00%,  0.00%, 0.29%,  0.11%,  0.45%, 0.58%,  0.63%,  3.02%, 1.28%,  0.72%,  3.67%, 0.00%,  1.05%,  7.41%, 14.07%, 29.03%,  0.00%,  0.69%,  2.87%,  8.45%,  4.23%,  5.02%,  6.52%,  9.90%, 126760.99, 21847.09, 0.00, 209369.99 , 0, 255, 112.74, 18, 178, 117.20, 91, 232, 136.16, 0.00%, 80.08%,0.00%, 11.44%, 8.47%, 0.00%, 0.00%, 0.00%, 0.00%, 6.09%, 40.87%,0.00%, 27.08%, 25.96%, 0.00%, 0.00%, 0.00%, 0.00%, 15.29%, 33.90%,0.00%, 33.09%, 17.72%, 0.00%, 0.00%, 0.00%, 0.00%, 9.70%, 31.40%,0.00%, 49.77%, 9.13%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 41288.1, 76.2, 65657.9, 62552.1, 0.0, 0.0, 564674.3, 1.000, 0
6, B-SLICE,    7, 38.00,      28832, 0,2.97,33.130, 37.129, 38.528, 34.305,26, 4 2 0 ,9 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  2.44%, 14.26%, 14.43%, 12.67%,  0.00%,  1.83%,  5.34%,  4.48%,  9.78%,  7.78%, 10.88%, 16.10%, 130134.98, 22094.18, 0.00, 156758.72 , 0, 255, 112.90, 19, 178, 117.22, 89, 232, 136.19, 0.00%, 80.00%,0.00%, 15.67%, 4.33%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 40.27%,0.00%, 45.90%, 13.82%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 52.93%,0.00%, 34.04%, 13.03%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 47.82%,0.00%, 38.92%, 13.26%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 6.4, 86.5, 59474.4, 57318.7, 0.0, 0.0, 624875.9, 1.000, 0
7, b-SLICE,    5, 39.00,      11064, 0,2.82,33.223, 37.227, 38.665, 34.404,29, 4 2 ,7 9 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  4.11%, 12.75%,  7.54%,  7.11%,  0.00%,  3.74%,  3.74%,  4.47%, 18.50%,  9.80%, 10.91%, 17.34%, 126444.56, 21517.51, 0.00, 131713.93 , 0, 255, 113.09, 19, 178, 117.24, 90, 232, 136.16, 0.00%, 81.84%,0.00%, 17.07%, 1.08%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 51.52%,0.00%, 44.99%, 3.50%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 66.02%,0.00%, 25.41%, 8.56%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 50.00%,0.00%, 46.07%, 3.93%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 72.8, 85.9, 47421.7, 43932.7, 0.0, 0.0, 672863.3, 1.000, 0
8, b-SLICE,    6, 39.00,      11072, 0,2.91,33.032, 37.149, 38.567, 34.239,29, 4 2 ,7 9 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  3.97%, 14.09%,  7.05%,  7.16%,  0.00%,  3.49%,  4.09%,  3.32%, 17.41%,  9.35%, 11.43%, 18.65%, 132223.30, 21955.24, 0.00, 138497.19 , 0, 255, 112.97, 18, 178, 117.17, 89, 232, 136.16, 0.00%, 81.44%,0.00%, 18.28%, 0.28%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 47.69%,0.00%, 45.49%, 6.81%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 68.77%,0.00%, 22.57%, 8.66%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 50.68%,0.00%, 42.62%, 6.69%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.9, 81.6, 47770.5, 44918.2, 0.0, 0.0, 720602.2, 1.000, 0
9, b-SLICE,    8, 39.00,       7368, 0,2.88,33.258, 37.199, 38.640, 34.424,28, 7 4 2 ,9 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  3.00%,  8.07%,  4.60%,  4.73%,  0.00%,  3.40%,  2.27%,  2.27%, 21.93%, 17.33%, 12.20%, 20.20%, 125253.08, 21637.98, 0.00, 127323.41 , 0, 255, 112.87, 20, 180, 117.22, 90, 232, 136.17, 0.00%, 87.97%,0.00%, 11.76%, 0.27%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 71.99%,0.00%, 25.69%, 2.31%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 75.87%,0.00%, 19.93%, 4.20%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 52.01%,0.00%, 44.91%, 3.09%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.5, 99.4, 49354.3, 45892.1, 0.0, 0.0, 769563.1, 1.000, 0
