Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, Y PSNR, U PSNR, V PSNR, YUV PSNR, Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 32x32, Inter 16x16, Inter 8x8, Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
0, I-SLICE,    0, 19.00,    2570712, 0,0.00,44.705, 46.178, 47.859, 45.283,23,  -, -, 0.00%,  0.00%,  0.00%, 0.06%,  0.16%,  0.12%, 0.91%,  0.67%,  1.52%,24.22%, 12.20%, 49.02%,11.11%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 8889.60, 2677.74, 0.00, 122140.26 , 17, 235, 125.86, 56, 149, 109.96, 105, 227, 146.28, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 99.02%, 0.00%,0.00%, 0.98%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 11847.9, 113.2, 127807.9, 118714.6, 0.0, 0.0, 138915.2, 1.000, 0
1, P-SLICE,    1, 22.00,     765368, 0,0.00,40.355, 45.171, 46.728, 41.754,23, 0 , -, 0.00%,  0.00%,  0.00%, 0.53%,  0.44%,  1.27%, 3.74%,  1.32%, 14.16%, 6.56%,  2.84%, 26.00%, 0.00%,  0.00%,  0.42%,  6.25%, 24.16%,  0.00%,  0.25%,  3.28%,  3.63%,  0.00%,  0.37%,  2.55%,  2.24%, 25904.01, 3507.65, 0.00, 100476.50 , 17, 235, 125.79, 57, 151, 110.04, 106, 227, 146.19, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 68.42%, 18.76%,0.00%, 8.47%, 4.35%, 0.00%, 0.00%, 0.00%, 0.00%, 61.41%, 18.62%,0.00%, 16.59%, 3.38%, 0.00%, 0.00%, 0.00%, 0.00%, 52.66%, 8.73%,0.00%, 22.58%, 16.04%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 374.4, 94.4, 37350.0, 34554.2, 0.0, 0.0, 176271.0, 1.000, 0
2, P-SLICE,    2, 22.00,     619000, 0,0.00,40.463, 45.101, 46.611, 41.811,23, 1 0 , -, 0.00%,  0.00%,  0.00%, 0.54%,  0.33%,  1.05%, 1.63%,  0.87%,  5.16%, 3.96%,  1.73%, 15.58%, 0.00%,  0.07%,  6.60%, 12.99%, 35.98%,  0.00%,  0.51%,  1.67%,  4.27%,  0.05%,  1.43%,  2.12%,  3.46%, 24547.05, 3573.53, 0.00, 81254.58 , 17, 235, 125.25, 58, 149, 110.09, 103, 226, 146.37, 0.00%, 41.67%,0.00%, 58.33%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 18.44%, 18.54%,0.00%, 38.09%, 24.93%, 0.00%, 0.00%, 0.00%, 0.00%, 31.32%, 15.51%,0.00%, 28.93%, 24.23%, 0.00%, 0.00%, 0.00%, 0.00%, 31.51%, 11.45%,0.00%, 25.74%, 31.30%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 208.9, 340.7, 30177.6, 27999.6, 0.0, 0.0, 206647.4, 1.000, 0
3, P-SLICE,    3, 22.00,     595952, 0,0.00,40.481, 45.063, 46.539, 41.811,23, 2 1 0 , -, 0.00%,  0.00%,  0.00%, 0.30%,  0.35%,  0.81%, 1.65%,  0.51%,  4.62%, 4.59%,  1.48%, 14.41%, 0.00%,  0.42%,  6.21%, 12.47%, 37.88%,  0.00%,  0.56%,  1.52%,  3.53%,  0.15%,  1.18%,  2.22%,  5.13%, 24200.26, 3632.33, 0.00, 79306.52 , 17, 235, 124.77, 56, 149, 110.30, 103, 220, 146.53, 0.00%, 26.42%,0.00%, 41.51%, 32.08%, 0.00%, 0.00%, 0.00%, 0.00%, 15.53%, 18.48%,0.00%, 41.61%, 24.38%, 0.00%, 0.00%, 0.00%, 0.00%, 29.53%, 16.25%,0.00%, 28.46%, 25.77%, 0.00%, 0.00%, 0.00%, 0.00%, 29.43%, 12.45%,0.00%, 28.51%, 29.60%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 302.4, 210.4, 29312.3, 27368.0, 0.0, 0.0, 236137.5, 1.000, 0
4, P-SLICE,    4, 22.00,     599848, 0,0.00,40.499, 45.019, 46.490, 41.813,23, 3 2 1 , -, 0.00%,  0.00%,  0.00%, 0.32%,  0.31%,  0.74%, 1.32%,  0.69%,  4.40%, 4.79%,  1.74%, 14.42%, 0.00%,  0.42%,  6.17%, 13.65%, 37.20%,  0.00%,  0.53%,  1.70%,  4.59%,  0.14%,  0.81%,  1.88%,  4.19%, 23962.50, 3678.73, 0.00, 83662.68 , 17, 235, 124.31, 58, 148, 110.47, 108, 220, 146.69, 0.00%, 24.53%,0.00%, 60.38%, 15.09%, 0.00%, 0.00%, 0.00%, 0.00%, 15.55%, 15.08%,0.00%, 45.58%, 23.79%, 0.00%, 0.00%, 0.00%, 0.00%, 27.10%, 15.15%,0.00%, 32.73%, 25.02%, 0.00%, 0.00%, 0.00%, 0.00%, 30.17%, 12.64%,0.00%, 29.13%, 28.06%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 208.5, 295.0, 29883.7, 27748.8, 0.0, 0.0, 266187.9, 1.000, 0
5, P-SLICE,    5, 22.00,     612344, 0,0.00,40.495, 45.027, 46.501, 41.812,23, 4 3 2 , -, 0.00%,  0.00%,  0.00%, 0.44%,  0.32%,  0.92%, 1.80%,  0.78%,  4.47%, 4.39%,  1.92%, 14.70%, 0.00%,  0.42%,  6.44%, 13.47%, 36.89%,  0.00%,  0.66%,  1.67%,  4.48%,  0.12%,  0.82%,  1.76%,  3.53%, 23930.28, 3665.91, 0.00, 78237.87 , 17, 235, 123.96, 56, 148, 110.63, 107, 219, 146.82, 0.00%, 22.00%,0.00%, 60.00%, 18.00%, 0.00%, 0.00%, 0.00%, 0.00%, 17.55%, 15.41%,0.00%, 42.86%, 24.18%, 0.00%, 0.00%, 0.00%, 0.00%, 29.44%, 14.34%,0.00%, 32.10%, 24.12%, 0.00%, 0.00%, 0.00%, 0.00%, 30.67%, 11.70%,0.00%, 27.76%, 29.87%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 89.4, 175.8, 29036.7, 26652.6, 0.0, 0.0, 295153.9, 1.000, 0
6, P-SLICE,    6, 22.00,     617784, 0,0.00,40.501, 45.001, 46.423, 41.804,23, 5 4 3 , -, 0.00%,  0.00%,  0.00%, 0.47%,  0.34%,  0.86%, 1.96%,  0.81%,  4.89%, 4.91%,  1.79%, 16.18%, 0.00%,  0.42%,  6.73%, 13.59%, 34.32%,  0.00%,  0.56%,  1.41%,  3.91%,  0.05%,  1.15%,  1.74%,  3.92%, 23874.97, 3718.21, 0.00, 83339.15 , 17, 235, 124.21, 57, 154, 110.66, 107, 219, 146.77, 0.00%, 11.63%,0.00%, 72.09%, 16.28%, 0.00%, 0.00%, 0.00%, 0.00%, 16.56%, 16.88%,0.00%, 41.88%, 24.68%, 0.00%, 0.00%, 0.00%, 0.00%, 31.39%, 12.91%,0.00%, 30.72%, 24.98%, 0.00%, 0.00%, 0.00%, 0.00%, 33.83%, 11.56%,0.00%, 27.17%, 27.44%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 157.0, 0.3, 32709.7, 30428.8, 0.0, 0.0, 327688.5, 1.000, 0
7, P-SLICE,    7, 22.00,     607920, 0,0.00,40.507, 45.032, 46.422, 41.812,23, 6 5 4 , -, 0.00%,  0.00%,  0.00%, 0.57%,  0.29%,  0.95%, 1.84%,  0.70%,  4.90%, 4.77%,  1.47%, 15.38%, 0.00%,  0.38%,  6.82%, 13.80%, 35.26%,  0.00%,  0.49%,  1.82%,  4.29%,  0.13%,  1.05%,  1.80%,  3.30%, 23844.58, 3699.56, 0.00, 89658.15 , 17, 235, 124.53, 58, 156, 110.64, 107, 219, 146.73, 0.00%, 26.09%,0.00%, 50.00%, 23.91%, 0.00%, 0.00%, 0.00%, 0.00%, 17.78%, 15.16%,0.00%, 42.09%, 24.97%, 0.00%, 0.00%, 0.00%, 0.00%, 29.93%, 14.54%,0.00%, 30.29%, 25.25%, 0.00%, 0.00%, 0.00%, 0.00%, 32.20%, 11.31%,0.00%, 27.94%, 28.55%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 129.3, 165.4, 27079.3, 25595.6, 0.0, 0.0, 354728.4, 1.000, 0
8, P-SLICE,    8, 22.00,     595160, 0,0.00,40.518, 45.006, 46.430, 41.818,23, 7 6 5 , -, 0.00%,  0.00%,  0.00%, 0.54%,  0.36%,  0.89%, 2.02%,  0.83%,  4.79%, 4.89%,  1.67%, 14.63%, 0.00%,  0.47%,  6.19%, 14.37%, 36.12%,  0.00%,  0.54%,  1.81%,  3.68%,  0.12%,  0.87%,  1.60%,  3.62%, 23766.29, 3706.20, 0.00, 87622.86 , 17, 235, 124.36, 56, 150, 110.71, 104, 219, 146.64, 0.00%, 20.37%,0.00%, 68.52%, 11.11%, 0.00%, 0.00%, 0.00%, 0.00%, 19.00%, 15.03%,0.00%, 45.22%, 20.75%, 0.00%, 0.00%, 0.00%, 0.00%, 30.05%, 13.41%,0.00%, 32.63%, 23.90%, 0.00%, 0.00%, 0.00%, 0.00%, 31.52%, 10.86%,0.00%, 29.23%, 28.40%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 157.1, 0.2, 30493.2, 28742.7, 0.0, 0.0, 385046.1, 1.000, 0
9, P-SLICE,    9, 22.00,     601112, 0,0.00,40.523, 45.019, 46.413, 41.821,23, 8 7 6 , -, 0.00%,  0.00%,  0.00%, 0.45%,  0.31%,  0.76%, 1.96%,  0.74%,  4.87%, 5.03%,  1.81%, 14.70%, 0.00%,  0.35%,  6.51%, 13.27%, 35.97%,  0.00%,  0.53%,  1.62%,  4.14%,  0.14%,  1.00%,  2.00%,  3.82%, 23736.99, 3708.33, 0.00, 83855.58 , 17, 235, 124.04, 57, 148, 110.84, 107, 219, 146.56, 0.00%, 28.26%,0.00%, 52.17%, 19.57%, 0.00%, 0.00%, 0.00%, 0.00%, 15.96%, 15.96%,0.00%, 42.92%, 25.17%, 0.00%, 0.00%, 0.00%, 0.00%, 30.98%, 14.79%,0.00%, 31.02%, 23.21%, 0.00%, 0.00%, 0.00%, 0.00%, 31.66%, 11.70%,0.00%, 29.73%, 26.91%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 87.3, 281.4, 28502.3, 26490.7, 0.0, 0.0, 413583.0, 1.000, 0
