Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, Y PSNR, U PSNR, V PSNR, YUV PSNR, Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 32x32, Inter 16x16, Inter 8x8, Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
0, I-SLICE,    0, 29.00,     364208, 0,0.00,38.973, 43.350, 43.978, 40.146,23,  -, -, 0.00%,  0.00%,  0.00%, 2.61%,  1.37%,  7.59%, 6.87%,  2.45%, 19.11%, 8.20%,  3.02%, 36.21%,12.56%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 34545.63, 5957.03, 0.00, 194930.63 , 17, 235, 125.86, 56, 149, 109.96, 105, 227, 146.28, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 94.69%, 0.00%,0.00%, 5.31%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 10819.6, 105.4, 142887.9, 136367.2, 0.0, 0.0, 153092.9, 1.000, 0
1, P-SLICE,    1, 32.00,      70264, 0,0.00,38.072, 42.974, 43.308, 39.339,23, 0 , -, 0.00%,  0.00%,  0.00%, 0.54%,  0.11%,  1.81%, 1.21%,  0.19%,  5.66%, 1.48%,  0.54%,  9.32%, 0.00%,  2.21%,  9.89%, 13.20%, 12.31%,  0.00%,  1.91%,  3.26%,  3.91%,  2.72%, 10.00%,  9.35%, 10.37%, 42465.85, 6585.22, 0.00, 90782.49 , 17, 235, 125.79, 57, 151, 110.04, 106, 227, 146.19, 0.00%, 55.19%,0.00%, 22.95%, 21.86%, 0.00%, 0.00%, 0.00%, 0.00%, 10.11%, 49.11%,0.00%, 21.89%, 18.89%, 0.00%, 0.00%, 0.00%, 0.00%, 21.48%, 38.36%,0.00%, 23.36%, 16.80%, 0.00%, 0.00%, 0.00%, 0.00%, 25.55%, 32.16%,0.00%, 29.19%, 13.11%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 247.5, 80.5, 19234.4, 17939.5, 0.0, 0.0, 172327.0, 1.000, 0
2, P-SLICE,    2, 32.00,      74280, 0,0.00,37.993, 42.824, 43.107, 39.236,23, 1 0 , -, 0.00%,  0.00%,  0.00%, 0.50%,  0.27%,  1.75%, 2.13%,  0.33%,  7.25%, 2.69%,  0.83%, 10.62%, 0.00%,  4.73%, 10.97%, 13.96%, 11.71%,  0.00%,  0.83%,  2.93%,  6.33%,  3.05%,  3.61%,  6.54%,  8.99%, 43250.02, 6854.08, 0.00, 93475.96 , 17, 235, 125.25, 58, 149, 110.09, 103, 226, 146.37, 0.00%, 39.16%,0.00%, 40.30%, 20.53%, 0.00%, 0.00%, 0.00%, 0.00%, 14.03%, 24.75%,0.00%, 31.68%, 29.54%, 0.00%, 0.00%, 0.00%, 0.00%, 29.29%, 28.57%,0.00%, 20.89%, 21.25%, 0.00%, 0.00%, 0.00%, 0.00%, 29.29%, 31.74%,0.00%, 30.15%, 8.82%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 171.6, 338.6, 21667.4, 20639.5, 0.0, 0.0, 194317.9, 1.000, 0
3, P-SLICE,    3, 32.00,      74376, 0,0.00,37.906, 42.747, 42.985, 39.146,23, 2 1 0 , -, 0.00%,  0.00%,  0.00%, 0.55%,  0.24%,  2.09%, 2.18%,  0.67%,  6.97%, 3.82%,  1.21%, 10.82%, 0.00%,  5.03%, 10.85%, 13.73%, 12.67%,  0.00%,  1.06%,  2.76%,  4.64%,  3.12%,  3.30%,  6.00%,  8.30%, 44026.68, 7054.24, 0.00, 93379.25 , 17, 235, 124.77, 56, 149, 110.30, 103, 220, 146.53, 0.00%, 38.29%,0.00%, 40.89%, 20.82%, 0.00%, 0.00%, 0.00%, 0.00%, 15.91%, 24.12%,0.00%, 24.96%, 35.01%, 0.00%, 0.00%, 0.00%, 0.00%, 30.39%, 27.11%,0.00%, 18.76%, 23.73%, 0.00%, 0.00%, 0.00%, 0.00%, 32.52%, 26.55%,0.00%, 28.11%, 12.81%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 298.2, 292.3, 23425.1, 21824.6, 0.0, 0.0, 218148.4, 1.000, 0
4, P-SLICE,    4, 32.00,      78272, 0,0.00,37.820, 42.664, 42.867, 39.057,23, 3 2 1 , -, 0.00%,  0.00%,  0.00%, 0.65%,  0.18%,  2.11%, 1.40%,  0.48%,  5.82%, 2.94%,  0.74%, 10.22%, 0.00%,  5.02%, 11.32%, 14.82%, 12.95%,  0.00%,  1.19%,  3.51%,  5.05%,  2.79%,  2.85%,  5.91%, 10.04%, 44712.74, 7241.65, 0.00, 96190.17 , 17, 235, 124.31, 58, 148, 110.47, 108, 220, 146.69, 0.00%, 35.74%,0.00%, 42.21%, 22.05%, 0.00%, 0.00%, 0.00%, 0.00%, 16.07%, 22.08%,0.00%, 31.33%, 30.52%, 0.00%, 0.00%, 0.00%, 0.00%, 24.09%, 29.49%,0.00%, 22.23%, 24.19%, 0.00%, 0.00%, 0.00%, 0.00%, 28.33%, 30.75%,0.00%, 26.63%, 14.29%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 207.3, 292.8, 23115.9, 21744.3, 0.0, 0.0, 241579.0, 1.000, 0
5, P-SLICE,    5, 32.00,      80056, 0,0.00,37.761, 42.623, 42.808, 39.000,23, 4 3 2 , -, 0.00%,  0.00%,  0.00%, 0.81%,  0.21%,  1.82%, 1.37%,  0.54%,  5.73%, 2.57%,  1.14%,  9.59%, 0.00%,  4.78%, 11.50%, 12.63%, 13.92%,  0.00%,  1.46%,  3.35%,  5.38%,  2.93%,  3.67%,  6.42%, 10.19%, 45408.54, 7365.92, 0.00, 95583.71 , 17, 235, 123.96, 56, 148, 110.63, 107, 219, 146.82, 0.00%, 37.98%,0.00%, 41.09%, 20.93%, 0.00%, 0.00%, 0.00%, 0.00%, 14.57%, 26.38%,0.00%, 30.21%, 28.83%, 0.00%, 0.00%, 0.00%, 0.00%, 25.45%, 32.50%,0.00%, 19.48%, 22.56%, 0.00%, 0.00%, 0.00%, 0.00%, 26.61%, 31.16%,0.00%, 28.41%, 13.82%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 154.3, 167.2, 22688.7, 21035.9, 0.0, 0.0, 264404.2, 1.000, 0
6, P-SLICE,    6, 32.00,      83288, 0,0.00,37.724, 42.603, 42.672, 38.952,23, 5 4 3 , -, 0.00%,  0.00%,  0.00%, 1.09%,  0.15%,  2.26%, 1.94%,  0.18%,  5.69%, 2.93%,  1.56%, 10.15%, 0.00%,  4.43%, 11.59%, 13.47%, 13.38%,  0.00%,  1.41%,  3.20%,  7.13%,  2.90%,  3.46%,  5.28%,  7.81%, 45841.70, 7487.38, 0.00, 108196.39 , 17, 235, 124.21, 57, 154, 110.66, 107, 219, 146.77, 0.00%, 39.60%,0.00%, 38.80%, 21.60%, 0.00%, 0.00%, 0.00%, 0.00%, 17.50%, 24.41%,0.00%, 27.21%, 30.88%, 0.00%, 0.00%, 0.00%, 0.00%, 26.23%, 28.50%,0.00%, 19.82%, 25.44%, 0.00%, 0.00%, 0.00%, 0.00%, 29.28%, 29.87%,0.00%, 25.35%, 15.49%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 126.7, 0.3, 23277.3, 21473.0, 0.0, 0.0, 287624.9, 1.000, 0
7, P-SLICE,    7, 32.00,      82944, 0,0.00,37.706, 42.534, 42.650, 38.927,23, 6 5 4 , -, 0.00%,  0.00%,  0.00%, 0.97%,  0.32%,  2.46%, 1.99%,  0.73%,  5.27%, 3.40%,  0.94%, 10.49%, 0.00%,  4.57%, 10.87%, 13.62%, 14.24%,  0.00%,  0.97%,  3.34%,  5.62%,  2.87%,  3.72%,  5.30%,  8.32%, 46046.00, 7494.33, 0.00, 115050.12 , 17, 235, 124.53, 58, 156, 110.64, 107, 219, 146.73, 0.00%, 38.58%,0.00%, 37.40%, 24.02%, 0.00%, 0.00%, 0.00%, 0.00%, 19.42%, 24.28%,0.00%, 28.98%, 27.31%, 0.00%, 0.00%, 0.00%, 0.00%, 26.43%, 28.56%,0.00%, 21.78%, 23.23%, 0.00%, 0.00%, 0.00%, 0.00%, 29.63%, 27.87%,0.00%, 26.23%, 16.28%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 150.8, 164.5, 23765.2, 22083.8, 0.0, 0.0, 311520.3, 1.000, 0
8, P-SLICE,    8, 32.00,      80936, 0,0.00,37.722, 42.519, 42.581, 38.929,23, 7 6 5 , -, 0.00%,  0.00%,  0.00%, 0.91%,  0.23%,  2.02%, 2.46%,  0.61%,  6.00%, 3.04%,  0.82%,  8.37%, 0.00%,  3.89%, 12.44%, 15.77%, 13.52%,  0.00%,  1.11%,  3.45%,  5.74%,  3.04%,  4.01%,  5.18%,  7.37%, 45847.83, 7578.92, 0.00, 96864.45 , 17, 235, 124.36, 56, 150, 110.71, 104, 219, 146.64, 0.00%, 43.88%,0.00%, 33.76%, 22.36%, 0.00%, 0.00%, 0.00%, 0.00%, 15.25%, 24.72%,0.00%, 28.95%, 31.07%, 0.00%, 0.00%, 0.00%, 0.00%, 27.10%, 25.79%,0.00%, 21.85%, 25.26%, 0.00%, 0.00%, 0.00%, 0.00%, 26.66%, 28.57%,0.00%, 28.32%, 16.45%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 151.3, 0.3, 22090.1, 20626.7, 0.0, 0.0, 333583.4, 1.000, 0
9, P-SLICE,    9, 32.00,      79528, 0,0.00,37.716, 42.504, 42.554, 38.919,23, 8 7 6 , -, 0.00%,  0.00%,  0.00%, 0.52%,  0.23%,  1.95%, 2.00%,  0.69%,  5.38%, 3.92%,  1.00%,  9.56%, 0.00%,  4.35%, 11.59%, 14.79%, 13.28%,  0.00%,  0.80%,  2.37%,  5.06%,  2.69%,  4.18%,  6.35%,  9.30%, 46027.73, 7604.99, 0.00, 100311.80 , 17, 235, 124.04, 57, 148, 110.84, 107, 219, 146.56, 0.00%, 38.21%,0.00%, 38.21%, 23.58%, 0.00%, 0.00%, 0.00%, 0.00%, 13.97%, 25.85%,0.00%, 29.87%, 30.31%, 0.00%, 0.00%, 0.00%, 0.00%, 25.54%, 27.63%,0.00%, 23.19%, 23.64%, 0.00%, 0.00%, 0.00%, 0.00%, 29.56%, 29.32%,0.00%, 26.75%, 14.37%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 153.2, 290.4, 22205.7, 20518.0, 0.0, 0.0, 355957.6, 1.000, 0
