Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, Y PSNR, U PSNR, V PSNR, YUV PSNR, Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 32x32, Inter 16x16, Inter 8x8, Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
0, I-SLICE,    0, 34.00,     193008, 0,0.00,37.350, 41.788, 41.859, 38.468,23,  -, -, 0.00%,  0.00%,  0.00%, 3.22%,  1.76%,  8.49%, 7.72%,  2.64%, 21.80%, 8.66%,  2.53%, 36.49%, 6.68%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 51225.74, 9204.41, 0.00, 224559.46 , 17, 235, 125.86, 56, 149, 109.96, 105, 227, 146.28, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 94.17%, 0.00%,0.00%, 5.83%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 7994.2, 75.1, 34939.8, 33301.4, 0.0, 0.0, 42174.0, 1.000, 0
1, P-SLICE,    1, 37.00,      34888, 0,0.00,36.502, 41.546, 41.308, 37.733,23, 0 , -, 0.00%,  0.00%,  0.00%, 0.47%,  0.29%,  2.11%, 1.27%,  0.40%,  4.58%, 1.34%,  0.25%,  4.54%, 0.00%,  2.22%, 11.12%, 11.41%,  6.36%,  0.00%,  3.16%,  4.14%,  2.94%,  5.63%, 15.12%, 11.16%, 11.45%, 60762.28, 9728.34, 0.00, 103401.74 , 17, 235, 125.79, 57, 151, 110.04, 106, 227, 146.19, 0.00%, 71.76%,0.00%, 15.28%, 12.96%, 0.00%, 0.00%, 0.00%, 0.00%, 8.90%, 56.64%,0.00%, 20.61%, 13.85%, 0.00%, 0.00%, 0.00%, 0.00%, 18.96%, 46.42%,0.00%, 19.63%, 14.99%, 0.00%, 0.00%, 0.00%, 0.00%, 17.24%, 40.41%,0.00%, 36.22%, 6.12%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 322.8, 95.2, 5971.4, 5574.6, 0.0, 0.0, 48217.1, 1.000, 0
2, P-SLICE,    2, 37.00,      39160, 0,0.00,36.385, 41.451, 41.197, 37.620,23, 1 0 , -, 0.00%,  0.00%,  0.00%, 0.89%,  0.16%,  2.06%, 2.67%,  0.93%,  6.59%, 2.67%,  1.17%,  7.36%, 0.00%,  6.07%,  8.74%, 11.45%,  6.51%,  0.00%,  0.85%,  2.63%,  4.69%,  7.44%,  4.53%,  9.39%, 13.19%, 62633.56, 10046.64, 0.00, 112589.55 , 17, 235, 125.25, 58, 149, 110.09, 103, 226, 146.37, 0.00%, 55.09%,0.00%, 29.64%, 15.27%, 0.00%, 0.00%, 0.00%, 0.00%, 18.08%, 31.22%,0.00%, 27.70%, 23.00%, 0.00%, 0.00%, 0.00%, 0.00%, 30.29%, 35.70%,0.00%, 18.39%, 15.62%, 0.00%, 0.00%, 0.00%, 0.00%, 24.73%, 39.46%,0.00%, 29.38%, 6.43%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 236.0, 337.5, 6248.5, 5851.1, 0.0, 0.0, 54852.1, 1.000, 0
3, P-SLICE,    3, 37.00,      39512, 0,0.00,36.270, 41.390, 41.074, 37.511,23, 2 1 0 , -, 0.00%,  0.00%,  0.00%, 0.84%,  0.12%,  1.92%, 2.40%,  0.60%,  6.95%, 2.48%,  0.76%,  6.75%, 0.00%,  5.80%, 11.95%, 11.03%,  7.95%,  0.00%,  1.44%,  3.44%,  5.20%,  6.59%,  5.04%,  7.19%, 11.55%, 64404.14, 10257.83, 0.00, 118774.56 , 17, 235, 124.77, 56, 149, 110.30, 103, 220, 146.53, 0.00%, 53.23%,0.00%, 30.00%, 16.77%, 0.00%, 0.00%, 0.00%, 0.00%, 13.51%, 30.39%,0.00%, 27.95%, 28.14%, 0.00%, 0.00%, 0.00%, 0.00%, 31.48%, 33.63%,0.00%, 16.43%, 18.46%, 0.00%, 0.00%, 0.00%, 0.00%, 22.56%, 37.82%,0.00%, 30.42%, 9.21%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 215.9, 259.7, 6919.8, 6460.2, 0.0, 0.0, 62067.2, 1.000, 0
4, P-SLICE,    4, 37.00,      41856, 0,0.00,36.171, 41.260, 40.897, 37.398,23, 3 2 1 , -, 0.00%,  0.00%,  0.00%, 1.05%,  0.35%,  2.09%, 1.51%,  0.66%,  6.12%, 2.56%,  1.05%,  8.49%, 0.00%,  6.47%, 10.62%, 11.71%,  8.53%,  0.00%,  1.63%,  3.60%,  4.34%,  5.66%,  4.11%,  7.67%, 11.78%, 65628.67, 10625.03, 0.00, 115206.90 , 17, 235, 124.31, 58, 148, 110.47, 108, 220, 146.69, 0.00%, 46.65%,0.00%, 29.71%, 23.64%, 0.00%, 0.00%, 0.00%, 0.00%, 17.58%, 28.91%,0.00%, 24.61%, 28.91%, 0.00%, 0.00%, 0.00%, 0.00%, 26.52%, 36.06%,0.00%, 16.73%, 20.69%, 0.00%, 0.00%, 0.00%, 0.00%, 26.26%, 35.02%,0.00%, 29.21%, 9.51%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 173.9, 231.8, 7347.9, 6705.6, 0.0, 0.0, 69642.0, 1.000, 0
5, P-SLICE,    5, 37.00,      42040, 0,0.00,36.105, 41.268, 40.834, 37.341,23, 4 3 2 , -, 0.00%,  0.00%,  0.00%, 1.27%,  0.45%,  2.29%, 2.13%,  1.06%,  5.94%, 2.13%,  0.86%,  6.80%, 0.00%,  6.47%, 11.34%, 13.55%,  6.96%,  0.00%,  1.11%,  2.95%,  4.38%,  6.35%,  4.87%,  7.45%, 11.63%, 66780.15, 10768.81, 0.00, 111273.35 , 17, 235, 123.96, 56, 148, 110.63, 107, 219, 146.82, 0.00%, 49.52%,0.00%, 32.59%, 17.89%, 0.00%, 0.00%, 0.00%, 0.00%, 18.81%, 28.02%,0.00%, 25.91%, 27.26%, 0.00%, 0.00%, 0.00%, 0.00%, 27.60%, 31.44%,0.00%, 18.19%, 22.77%, 0.00%, 0.00%, 0.00%, 0.00%, 22.98%, 37.60%,0.00%, 31.06%, 8.37%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 162.8, 131.6, 7101.0, 6633.2, 0.0, 0.0, 76797.3, 1.000, 0
6, P-SLICE,    6, 37.00,      44312, 0,0.00,36.047, 41.216, 40.725, 37.278,23, 5 4 3 , -, 0.00%,  0.00%,  0.00%, 1.23%,  0.15%,  3.30%, 2.00%,  0.54%,  5.38%, 3.03%,  1.23%,  7.45%, 0.00%,  6.03%, 10.14%, 11.41%,  8.49%,  0.00%,  1.38%,  4.61%,  5.95%,  5.57%,  5.26%,  6.61%, 10.25%, 67885.14, 10914.57, 0.00, 127563.64 , 17, 235, 124.21, 57, 154, 110.66, 107, 219, 146.77, 0.00%, 48.01%,0.00%, 30.13%, 21.85%, 0.00%, 0.00%, 0.00%, 0.00%, 21.82%, 30.95%,0.00%, 21.65%, 25.58%, 0.00%, 0.00%, 0.00%, 0.00%, 25.91%, 36.73%,0.00%, 18.11%, 19.25%, 0.00%, 0.00%, 0.00%, 0.00%, 25.67%, 35.52%,0.00%, 28.79%, 10.02%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 157.0, 0.2, 7539.6, 7026.2, 0.0, 0.0, 84181.2, 1.000, 0
7, P-SLICE,    7, 37.00,      44704, 0,0.00,36.014, 41.198, 40.675, 37.245,23, 6 5 4 , -, 0.00%,  0.00%,  0.00%, 1.19%,  0.40%,  3.05%, 2.22%,  0.79%,  5.98%, 2.26%,  0.63%,  6.86%, 0.00%,  5.95%, 12.21%, 11.81%,  8.20%,  0.00%,  1.47%,  3.05%,  3.53%,  5.55%,  6.10%,  7.41%, 11.34%, 68544.17, 11014.27, 0.00, 128973.94 , 17, 235, 124.53, 58, 156, 110.64, 107, 219, 146.73, 0.00%, 48.28%,0.00%, 28.97%, 22.76%, 0.00%, 0.00%, 0.00%, 0.00%, 18.99%, 31.01%,0.00%, 26.46%, 23.54%, 0.00%, 0.00%, 0.00%, 0.00%, 28.77%, 33.46%,0.00%, 16.10%, 21.67%, 0.00%, 0.00%, 0.00%, 0.00%, 23.03%, 35.11%,0.00%, 30.81%, 11.05%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 151.1, 156.4, 7386.1, 6748.3, 0.0, 0.0, 91694.3, 1.000, 0
8, P-SLICE,    8, 37.00,      43392, 0,0.00,36.027, 41.204, 40.665, 37.254,23, 7 6 5 , -, 0.00%,  0.00%,  0.00%, 1.23%,  0.41%,  2.84%, 1.93%,  0.58%,  5.35%, 1.69%,  0.74%,  4.86%, 0.00%,  5.88%, 12.14%, 13.00%,  8.85%,  0.00%,  1.28%,  4.20%,  4.40%,  6.54%,  5.56%,  7.78%, 10.74%, 68240.18, 11048.78, 0.00, 125509.54 , 17, 235, 124.36, 56, 150, 110.71, 104, 219, 146.64, 0.00%, 52.65%,0.00%, 28.15%, 19.21%, 0.00%, 0.00%, 0.00%, 0.00%, 19.12%, 29.12%,0.00%, 23.51%, 28.25%, 0.00%, 0.00%, 0.00%, 0.00%, 23.93%, 36.47%,0.00%, 20.30%, 19.30%, 0.00%, 0.00%, 0.00%, 0.00%, 17.70%, 36.80%,0.00%, 32.50%, 13.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 119.7, 0.3, 7235.3, 6621.7, 0.0, 0.0, 98868.5, 1.000, 0
9, P-SLICE,    9, 37.00,      41256, 0,0.00,35.969, 41.192, 40.537, 37.193,23, 8 7 6 , -, 0.00%,  0.00%,  0.00%, 1.04%,  0.58%,  2.36%, 2.48%,  0.62%,  6.00%, 2.19%,  0.58%,  4.72%, 0.00%,  5.47%, 11.59%, 14.45%,  6.29%,  0.00%,  1.16%,  4.27%,  4.60%,  7.37%,  5.05%,  7.58%, 11.59%, 68898.61, 11205.55, 0.00, 125877.35 , 17, 235, 124.04, 57, 148, 110.84, 107, 219, 146.56, 0.00%, 57.42%,0.00%, 27.42%, 15.16%, 0.00%, 0.00%, 0.00%, 0.00%, 18.25%, 28.52%,0.00%, 24.90%, 28.33%, 0.00%, 0.00%, 0.00%, 0.00%, 25.73%, 33.45%,0.00%, 19.06%, 21.75%, 0.00%, 0.00%, 0.00%, 0.00%, 18.78%, 40.56%,0.00%, 30.91%, 9.75%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 87.1, 233.3, 7217.7, 6600.5, 0.0, 0.0, 106139.0, 1.000, 0
