0, I-SLICE,    0, 34.00,     193960, 0,0.00,37.348, 41.732, 41.875, 38.462,23,  -, -, 0.00%,  0.00%,  0.00%, 2.96%,  1.82%,  8.52%, 7.75%,  2.38%, 21.35%, 8.70%,  2.71%, 37.22%, 6.58%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 51333.07, 9249.89, 0.00, 226475.76 , 17, 235, 125.86, 56, 149, 109.96, 105, 227, 146.28, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 94.34%, 0.00%,0.00%, 5.66%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 7644.1, 102.2, 62335.2, 59032.9, 0.0, 0.0, 69508.9, 1.000, 0
1, P-SLICE,    1, 37.00,      35352, 0,0.00,36.496, 41.509, 41.317, 37.725,23, 0 , -, 0.00%,  0.00%,  0.00%, 0.55%,  0.07%,  2.13%, 1.58%,  0.26%,  6.20%, 1.47%,  0.29%,  4.22%, 0.00%,  2.31%, 10.17%, 10.32%,  5.65%,  0.00%,  2.46%,  4.07%,  2.90%,  5.73%, 16.78%, 11.09%, 11.75%, 60853.12, 9781.10, 0.00, 104358.17 , 17, 235, 125.79, 57, 151, 110.04, 106, 227, 146.19, 0.00%, 71.23%,0.00%, 18.26%, 10.50%, 0.00%, 0.00%, 0.00%, 0.00%, 8.56%, 59.82%,0.00%, 19.52%, 12.10%, 0.00%, 0.00%, 0.00%, 0.00%, 23.99%, 45.24%,0.00%, 18.95%, 11.83%, 0.00%, 0.00%, 0.00%, 0.00%, 17.05%, 41.74%,0.00%, 35.46%, 5.75%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 310.0, 109.3, 6747.7, 6239.2, 0.0, 0.0, 76418.6, 1.000, 0
2, P-SLICE,    2, 37.00,      39208, 0,0.00,36.376, 41.446, 41.201, 37.613,23, 1 0 , -, 0.00%,  0.00%,  0.00%, 0.80%,  0.30%,  3.42%, 1.90%,  0.72%,  5.57%, 2.62%,  0.51%,  6.84%, 0.00%,  5.23%, 10.72%, 10.51%,  7.34%,  0.00%,  1.56%,  3.29%,  5.23%,  8.40%,  4.51%,  7.64%, 12.91%, 62892.39, 10052.02, 0.00, 118953.96 , 17, 235, 125.25, 58, 149, 110.09, 103, 226, 146.37, 0.00%, 61.61%,0.00%, 27.24%, 11.15%, 0.00%, 0.00%, 0.00%, 0.00%, 21.19%, 28.51%,0.00%, 25.15%, 25.15%, 0.00%, 0.00%, 0.00%, 0.00%, 27.64%, 36.89%,0.00%, 16.67%, 18.80%, 0.00%, 0.00%, 0.00%, 0.00%, 21.85%, 39.81%,0.00%, 29.63%, 8.70%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 190.8, 351.1, 7004.1, 6540.8, 0.0, 0.0, 83780.8, 1.000, 0
3, P-SLICE,    3, 37.00,      39672, 0,0.00,36.293, 41.310, 41.105, 37.521,23, 2 1 0 , -, 0.00%,  0.00%,  0.00%, 1.09%,  0.25%,  2.67%, 2.21%,  0.71%,  8.23%, 2.42%,  0.75%,  7.10%, 0.00%,  5.93%, 11.74%, 11.82%,  6.14%,  0.00%,  1.21%,  3.68%,  4.80%,  7.23%,  4.51%,  7.48%, 10.03%, 64095.71, 10328.68, 0.00, 115485.70 , 17, 235, 124.77, 56, 149, 110.30, 103, 220, 146.53, 0.00%, 54.92%,0.00%, 28.57%, 16.51%, 0.00%, 0.00%, 0.00%, 0.00%, 18.68%, 26.65%,0.00%, 24.51%, 30.16%, 0.00%, 0.00%, 0.00%, 0.00%, 32.68%, 32.68%,0.00%, 17.26%, 17.38%, 0.00%, 0.00%, 0.00%, 0.00%, 24.90%, 35.93%,0.00%, 33.00%, 6.17%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 210.1, 208.4, 7968.0, 7398.8, 0.0, 0.0, 91990.1, 1.000, 0
4, P-SLICE,    4, 37.00,      41808, 0,0.00,36.184, 41.233, 40.947, 37.411,23, 3 2 1 , -, 0.00%,  0.00%,  0.00%, 0.91%,  0.40%,  2.11%, 1.75%,  0.91%,  6.01%, 2.59%,  1.23%,  8.07%, 0.00%,  6.09%, 12.13%, 10.90%,  6.56%,  0.00%,  1.83%,  4.85%,  6.17%,  6.21%,  3.82%,  7.72%,  9.75%, 65613.15, 10693.80, 0.00, 116669.79 , 17, 235, 124.31, 58, 148, 110.47, 108, 220, 146.69, 0.00%, 50.49%,0.00%, 31.72%, 17.80%, 0.00%, 0.00%, 0.00%, 0.00%, 16.14%, 26.64%,0.00%, 25.14%, 32.08%, 0.00%, 0.00%, 0.00%, 0.00%, 26.98%, 39.11%,0.00%, 15.84%, 18.07%, 0.00%, 0.00%, 0.00%, 0.00%, 27.08%, 36.23%,0.00%, 29.89%, 6.79%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 210.2, 200.6, 7745.5, 7188.9, 0.0, 0.0, 99908.5, 1.000, 0
5, P-SLICE,    5, 37.00,      42656, 0,0.00,36.109, 41.248, 40.885, 37.348,23, 4 3 2 , -, 0.00%,  0.00%,  0.00%, 1.26%,  0.33%,  2.44%, 1.67%,  0.69%,  4.67%, 2.40%,  0.69%,  6.38%, 0.00%,  6.79%, 11.79%, 11.95%,  8.37%,  0.00%,  1.71%,  3.78%,  5.00%,  5.89%,  4.23%,  7.85%, 12.11%, 66713.34, 10737.86, 0.00, 116204.13 , 17, 235, 123.96, 56, 148, 110.63, 107, 219, 146.82, 0.00%, 46.47%,0.00%, 34.29%, 19.23%, 0.00%, 0.00%, 0.00%, 0.00%, 18.50%, 27.29%,0.00%, 26.92%, 27.29%, 0.00%, 0.00%, 0.00%, 0.00%, 22.97%, 37.98%,0.00%, 19.12%, 19.92%, 0.00%, 0.00%, 0.00%, 0.00%, 21.18%, 38.27%,0.00%, 30.36%, 10.18%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 165.5, 133.9, 8137.1, 7369.7, 0.0, 0.0, 108163.9, 1.000, 0
6, P-SLICE,    6, 37.00,      43720, 0,0.00,36.043, 41.212, 40.787, 37.282,23, 5 4 3 , -, 0.00%,  0.00%,  0.00%, 1.25%,  0.49%,  2.43%, 1.75%,  0.42%,  6.26%, 2.13%,  1.40%,  7.21%, 0.00%,  5.47%, 10.93%, 11.28%,  8.88%,  0.00%,  1.44%,  2.54%,  4.10%,  5.96%,  4.67%,  8.35%, 13.02%, 67923.81, 10830.32, 0.00, 117991.29 , 17, 235, 124.21, 57, 154, 110.66, 107, 219, 146.77, 0.00%, 52.16%,0.00%, 25.25%, 22.59%, 0.00%, 0.00%, 0.00%, 0.00%, 19.68%, 28.80%,0.00%, 22.54%, 28.98%, 0.00%, 0.00%, 0.00%, 0.00%, 27.54%, 35.61%,0.00%, 14.39%, 22.46%, 0.00%, 0.00%, 0.00%, 0.00%, 23.43%, 37.33%,0.00%, 28.56%, 10.68%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 128.5, 0.2, 7836.6, 7267.4, 0.0, 0.0, 115951.9, 1.000, 0
7, P-SLICE,    7, 37.00,      43888, 0,0.00,35.988, 41.181, 40.744, 37.232,23, 6 5 4 , -, 0.00%,  0.00%,  0.00%, 1.51%,  0.37%,  3.30%, 2.49%,  0.73%,  6.28%, 2.85%,  0.81%,  6.28%, 0.00%,  5.99%, 12.31%, 11.12%,  6.60%,  0.00%,  1.75%,  4.03%,  5.05%,  5.99%,  5.42%,  7.25%,  9.86%, 68813.52, 10840.23, 0.00, 134139.88 , 17, 235, 124.53, 58, 156, 110.64, 107, 219, 146.73, 0.00%, 50.00%,0.00%, 31.29%, 18.71%, 0.00%, 0.00%, 0.00%, 0.00%, 20.99%, 29.09%,0.00%, 23.64%, 26.28%, 0.00%, 0.00%, 0.00%, 0.00%, 29.76%, 35.38%,0.00%, 15.45%, 19.41%, 0.00%, 0.00%, 0.00%, 0.00%, 24.11%, 36.17%,0.00%, 30.63%, 9.09%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 156.1, 129.5, 8630.8, 7948.9, 0.0, 0.0, 124587.0, 1.000, 0
8, P-SLICE,    8, 37.00,      44016, 0,0.00,36.032, 41.180, 40.680, 37.256,23, 7 6 5 , -, 0.00%,  0.00%,  0.00%, 1.16%,  0.42%,  2.99%, 1.87%,  0.67%,  5.32%, 1.95%,  0.58%,  5.07%, 0.00%,  5.53%, 13.63%, 12.47%,  8.98%,  0.00%,  1.45%,  3.03%,  3.41%,  6.82%,  5.28%,  8.27%, 11.10%, 68041.73, 11068.03, 0.00, 130364.38 , 17, 235, 124.36, 56, 150, 110.71, 104, 219, 146.64, 0.00%, 55.22%,0.00%, 23.57%, 21.21%, 0.00%, 0.00%, 0.00%, 0.00%, 18.33%, 27.00%,0.00%, 24.50%, 30.17%, 0.00%, 0.00%, 0.00%, 0.00%, 24.84%, 35.74%,0.00%, 17.21%, 22.21%, 0.00%, 0.00%, 0.00%, 0.00%, 18.52%, 35.32%,0.00%, 32.49%, 13.66%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 112.9, 0.2, 7663.3, 7180.6, 0.0, 0.0, 132186.0, 1.000, 0
9, P-SLICE,    9, 37.00,      42688, 0,0.00,36.002, 41.208, 40.682, 37.238,23, 8 7 6 , -, 0.00%,  0.00%,  0.00%, 0.86%,  0.53%,  2.40%, 2.08%,  0.69%,  6.44%, 2.08%,  0.49%,  4.81%, 0.00%,  6.52%, 11.04%, 15.08%,  7.66%,  0.00%,  1.22%,  3.14%,  5.66%,  6.44%,  3.99%,  6.97%, 11.90%, 68540.70, 11014.25, 0.00, 118859.08 , 17, 235, 124.04, 57, 148, 110.84, 107, 219, 146.56, 0.00%, 49.69%,0.00%, 27.99%, 22.33%, 0.00%, 0.00%, 0.00%, 0.00%, 18.90%, 26.02%,0.00%, 26.63%, 28.46%, 0.00%, 0.00%, 0.00%, 0.00%, 26.78%, 29.38%,0.00%, 19.67%, 24.17%, 0.00%, 0.00%, 0.00%, 0.00%, 17.40%, 41.44%,0.00%, 31.54%, 9.62%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 85.3, 284.6, 8141.1, 7563.2, 0.0, 0.0, 140519.6, 1.000, 0
