Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, Y PSNR, U PSNR, V PSNR, YUV PSNR, Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 32x32, Inter 16x16, Inter 8x8, Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
0, I-SLICE,    0, 19.00,    3879208, 0,0.00,43.627, 43.936, 45.539, 43.905,23,  -, -, 0.00%,  0.00%,  0.00%, 0.49%,  0.93%,  0.82%, 1.97%,  2.45%,  4.16%, 9.77%,  9.89%, 26.65%,42.87%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 11443.92, 4454.93, 0.00, 459148.75 , 0, 255, 113.51, 19, 176, 117.14, 90, 232, 136.18, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 97.51%, 0.00%,0.00%, 2.49%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 12145.8, 110.9, 201004.7, 188794.2, 0.0, 0.0, 212431.0, 1.000, 0
1, P-SLICE,    1, 22.00,    1339728, 0,0.00,39.632, 41.085, 44.015, 40.361,23, 0 , -, 0.00%,  0.00%,  0.00%, 0.31%,  0.53%,  0.95%, 1.79%,  1.92%,  5.12%, 6.24%,  5.17%, 16.28%, 0.00%,  0.00%,  1.01%,  9.54%, 48.60%,  0.00%,  0.00%,  0.20%,  1.53%,  0.00%,  0.00%,  0.07%,  0.74%, 29574.05, 8046.17, 0.00, 146204.40 , 0, 255, 113.48, 18, 180, 117.22, 91, 232, 136.14, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 63.76%, 0.00%,0.00%, 9.61%, 26.64%, 0.00%, 0.00%, 0.00%, 0.00%, 47.41%, 1.41%,0.00%, 18.09%, 33.09%, 0.00%, 0.00%, 0.00%, 0.00%, 34.60%, 2.84%,0.00%, 23.82%, 38.74%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 211.5, 73.4, 71769.6, 66440.5, 0.0, 0.0, 284134.9, 1.000, 0
2, P-SLICE,    2, 22.00,    1166128, 0,0.00,39.600, 41.054, 43.931, 40.324,23, 1 0 , -, 0.00%,  0.00%,  0.00%, 0.08%,  0.16%,  0.15%, 0.53%,  0.59%,  1.19%, 3.35%,  2.47%,  7.89%, 0.00%,  0.03%,  3.15%, 13.93%, 59.67%,  0.00%,  0.09%,  0.48%,  1.99%,  0.00%,  0.28%,  0.98%,  2.99%, 29619.82, 8041.90, 0.00, 106705.20 , 0, 255, 113.39, 20, 177, 117.26, 91, 232, 136.16, 0.00%, 0.00%,0.00%, 60.00%, 40.00%, 0.00%, 0.00%, 0.00%, 0.00%, 9.97%, 9.29%,0.00%, 30.57%, 50.17%, 0.00%, 0.00%, 0.00%, 0.00%, 13.08%, 8.24%,0.00%, 31.20%, 47.48%, 0.00%, 0.00%, 0.00%, 0.00%, 17.16%, 6.22%,0.00%, 28.95%, 47.67%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 214.1, 3.6, 60935.1, 56337.9, 0.0, 0.0, 344967.7, 1.000, 0
3, P-SLICE,    3, 22.00,    1125264, 0,0.00,39.607, 41.046, 43.881, 40.321,23, 2 1 0 , -, 0.00%,  0.00%,  0.00%, 0.06%,  0.15%,  0.11%, 0.47%,  0.45%,  0.83%, 2.80%,  1.93%,  6.39%, 0.00%,  0.03%,  2.54%, 13.48%, 64.00%,  0.00%,  0.20%,  0.61%,  2.44%,  0.03%,  0.30%,  0.77%,  2.40%, 29450.81, 8045.38, 0.00, 102157.88 , 0, 255, 113.31, 20, 181, 117.22, 91, 232, 136.18, 0.00%, 44.44%,0.00%, 11.11%, 44.44%, 0.00%, 0.00%, 0.00%, 0.00%, 9.72%, 14.77%,0.00%, 37.01%, 38.50%, 0.00%, 0.00%, 0.00%, 0.00%, 10.53%, 8.33%,0.00%, 37.95%, 43.18%, 0.00%, 0.00%, 0.00%, 0.00%, 13.65%, 5.94%,0.00%, 33.90%, 46.51%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 302.1, 0.4, 58660.0, 55279.3, 0.0, 0.0, 403675.8, 1.000, 0
4, P-SLICE,    4, 22.00,    1097184, 0,0.00,39.591, 41.049, 43.804, 40.300,23, 3 2 1 , -, 0.00%,  0.00%,  0.00%, 0.07%,  0.13%,  0.15%, 0.31%,  0.38%,  0.76%, 2.18%,  1.71%,  5.26%, 0.00%,  0.04%,  3.09%, 13.54%, 65.35%,  0.00%,  0.13%,  0.63%,  2.02%,  0.03%,  0.50%,  0.95%,  2.77%, 29467.01, 8076.65, 0.00, 98101.84 , 0, 255, 113.19, 19, 178, 117.21, 90, 231, 136.14, 0.00%, 40.00%,0.00%, 30.00%, 30.00%, 0.00%, 0.00%, 0.00%, 0.00%, 8.63%, 15.64%,0.00%, 42.18%, 33.55%, 0.00%, 0.00%, 0.00%, 0.00%, 8.69%, 9.54%,0.00%, 36.78%, 44.99%, 0.00%, 0.00%, 0.00%, 0.00%, 11.32%, 5.93%,0.00%, 36.10%, 46.65%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 290.7, 1.3, 58594.9, 54430.7, 0.0, 0.0, 462219.4, 1.000, 0
5, P-SLICE,    5, 22.00,    1086256, 0,0.00,39.584, 41.024, 43.768, 40.287,23, 4 3 2 , -, 0.00%,  0.00%,  0.00%, 0.07%,  0.17%,  0.12%, 0.34%,  0.36%,  0.63%, 1.95%,  1.54%,  4.47%, 0.00%,  0.05%,  2.78%, 13.18%, 67.18%,  0.00%,  0.20%,  0.63%,  2.14%,  0.03%,  0.40%,  0.81%,  2.96%, 29441.33, 8120.08, 0.00, 97561.71 , 0, 255, 113.09, 19, 178, 117.24, 90, 232, 136.16, 0.00%, 38.46%,0.00%, 46.15%, 15.38%, 0.00%, 0.00%, 0.00%, 0.00%, 9.50%, 16.06%,0.00%, 41.97%, 32.47%, 0.00%, 0.00%, 0.00%, 0.00%, 8.26%, 9.03%,0.00%, 39.37%, 43.34%, 0.00%, 0.00%, 0.00%, 0.00%, 9.73%, 6.24%,0.00%, 37.66%, 46.37%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 161.2, 0.4, 56958.4, 52830.0, 0.0, 0.0, 518992.6, 1.000, 0
6, P-SLICE,    6, 22.00,    1063232, 0,0.00,39.573, 41.007, 43.720, 40.271,23, 5 4 3 , -, 0.00%,  0.00%,  0.00%, 0.07%,  0.16%,  0.06%, 0.35%,  0.33%,  0.53%, 1.79%,  1.43%,  4.54%, 0.00%,  0.05%,  2.83%, 13.86%, 66.25%,  0.00%,  0.18%,  0.64%,  2.45%,  0.05%,  0.47%,  0.98%,  3.00%, 29505.13, 8167.41, 0.00, 89895.49 , 0, 255, 112.97, 18, 178, 117.17, 89, 232, 136.16, 0.00%, 53.33%,0.00%, 40.00%, 6.67%, 0.00%, 0.00%, 0.00%, 0.00%, 7.84%, 17.07%,0.00%, 43.73%, 31.36%, 0.00%, 0.00%, 0.00%, 0.00%, 7.24%, 9.69%,0.00%, 39.92%, 43.15%, 0.00%, 0.00%, 0.00%, 0.00%, 9.57%, 6.72%,0.00%, 36.84%, 46.87%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 152.9, 0.3, 55718.1, 51678.0, 0.0, 0.0, 574515.9, 1.000, 0
7, P-SLICE,    7, 22.00,    1026904, 0,0.00,39.584, 41.005, 43.734, 40.281,23, 6 5 4 , -, 0.00%,  0.00%,  0.00%, 0.05%,  0.18%,  0.11%, 0.34%,  0.34%,  0.58%, 1.92%,  1.57%,  4.34%, 0.00%,  0.07%,  2.72%, 13.23%, 67.33%,  0.00%,  0.21%,  0.60%,  2.13%,  0.07%,  0.57%,  0.89%,  2.76%, 29452.99, 8152.17, 0.00, 87244.50 , 0, 255, 112.90, 19, 178, 117.22, 89, 232, 136.19, 0.00%, 52.38%,0.00%, 28.57%, 19.05%, 0.00%, 0.00%, 0.00%, 0.00%, 8.79%, 20.34%,0.00%, 37.76%, 33.10%, 0.00%, 0.00%, 0.00%, 0.00%, 7.86%, 9.31%,0.00%, 40.40%, 42.43%, 0.00%, 0.00%, 0.00%, 0.00%, 9.59%, 5.99%,0.00%, 36.77%, 47.64%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 129.4, 0.3, 51676.0, 48574.7, 0.0, 0.0, 625972.3, 1.000, 0
8, P-SLICE,    8, 22.00,    1035728, 0,0.00,39.599, 41.035, 43.801, 40.304,23, 7 6 5 , -, 0.00%,  0.00%,  0.00%, 0.06%,  0.16%,  0.08%, 0.37%,  0.34%,  0.58%, 1.99%,  1.52%,  4.36%, 0.00%,  0.12%,  2.36%, 13.17%, 67.51%,  0.00%,  0.17%,  0.61%,  2.23%,  0.06%,  0.41%,  0.86%,  3.05%, 29351.80, 8081.31, 0.00, 88036.80 , 0, 255, 112.87, 20, 180, 117.22, 90, 232, 136.17, 0.00%, 33.33%,0.00%, 59.26%, 7.41%, 0.00%, 0.00%, 0.00%, 0.00%, 9.47%, 17.95%,0.00%, 43.00%, 29.59%, 0.00%, 0.00%, 0.00%, 0.00%, 8.07%, 9.28%,0.00%, 39.88%, 42.77%, 0.00%, 0.00%, 0.00%, 0.00%, 9.57%, 6.42%,0.00%, 37.49%, 46.52%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 154.9, 0.2, 51050.3, 47244.8, 0.0, 0.0, 676833.8, 1.000, 0
9, P-SLICE,    9, 22.00,    1052912, 0,0.00,39.589, 41.001, 43.795, 40.291,23, 8 7 6 , -, 0.00%,  0.00%,  0.00%, 0.04%,  0.14%,  0.09%, 0.31%,  0.43%,  0.70%, 2.28%,  1.70%,  5.41%, 0.00%,  0.10%,  2.49%, 13.11%, 65.80%,  0.00%,  0.16%,  0.58%,  2.41%,  0.12%,  0.39%,  0.92%,  2.81%, 29388.76, 8122.34, 0.00, 92038.43 , 0, 255, 112.74, 18, 178, 117.20, 91, 232, 136.16, 0.00%, 54.29%,0.00%, 37.14%, 8.57%, 0.00%, 0.00%, 0.00%, 0.00%, 7.94%, 16.47%,0.00%, 41.87%, 33.73%, 0.00%, 0.00%, 0.00%, 0.00%, 9.01%, 9.34%,0.00%, 39.26%, 42.40%, 0.00%, 0.00%, 0.00%, 0.00%, 11.45%, 6.37%,0.00%, 36.35%, 45.82%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 156.5, 0.3, 58027.4, 53902.8, 0.0, 0.0, 734678.9, 1.000, 0
