Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, Y PSNR, U PSNR, V PSNR, YUV PSNR, Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 32x32, Inter 16x16, Inter 8x8, Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
0, I-SLICE,    0, 19.00,    3876544, 0,0.00,43.623, 43.924, 45.536, 43.900,23,  -, -, 0.00%,  0.00%,  0.00%, 0.51%,  1.00%,  0.87%, 1.86%,  2.58%,  4.15%, 9.79%,  9.54%, 26.58%,43.11%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 11453.04, 4459.12, 0.00, 457774.21 , 0, 255, 113.51, 19, 176, 117.14, 90, 232, 136.18, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 97.46%, 0.00%,0.00%, 2.54%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 10998.6, 117.7, 135230.6, 124973.4, 0.0, 0.0, 145422.6, 1.000, 0
1, P-SLICE,    1, 22.00,    1336928, 0,0.00,39.625, 41.087, 44.015, 40.357,23, 0 , -, 0.00%,  0.00%,  0.00%, 0.26%,  0.51%,  0.88%, 1.73%,  1.88%,  4.75%, 6.81%,  5.30%, 16.97%, 0.00%,  0.00%,  1.07%,  9.04%, 48.34%,  0.00%,  0.00%,  0.20%,  1.48%,  0.00%,  0.00%,  0.02%,  0.77%, 29630.68, 8039.40, 0.00, 146618.18 , 0, 255, 113.48, 18, 180, 117.22, 91, 232, 136.14, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 60.66%, 0.00%,0.00%, 11.21%, 28.13%, 0.00%, 0.00%, 0.00%, 0.00%, 47.42%, 1.29%,0.00%, 18.86%, 32.43%, 0.00%, 0.00%, 0.00%, 0.00%, 35.86%, 2.76%,0.00%, 23.33%, 38.04%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 376.3, 50.8, 47578.6, 44007.6, 0.0, 0.0, 192980.6, 1.000, 0
2, P-SLICE,    2, 22.00,    1168112, 0,0.00,39.610, 41.047, 43.935, 40.330,23, 1 0 , -, 0.00%,  0.00%,  0.00%, 0.07%,  0.18%,  0.18%, 0.60%,  0.69%,  1.11%, 3.28%,  2.81%,  7.75%, 0.00%,  0.04%,  2.98%, 14.36%, 59.67%,  0.00%,  0.09%,  0.54%,  2.09%,  0.01%,  0.16%,  0.90%,  2.49%, 29537.46, 8049.74, 0.00, 106375.97 , 0, 255, 113.39, 20, 177, 117.26, 91, 232, 136.16, 0.00%, 14.29%,0.00%, 28.57%, 57.14%, 0.00%, 0.00%, 0.00%, 0.00%, 11.83%, 6.63%,0.00%, 33.15%, 48.39%, 0.00%, 0.00%, 0.00%, 0.00%, 13.25%, 7.88%,0.00%, 30.06%, 48.81%, 0.00%, 0.00%, 0.00%, 0.00%, 17.36%, 5.75%,0.00%, 28.57%, 48.31%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 303.2, 7.2, 36727.7, 33446.1, 0.0, 0.0, 229659.3, 1.000, 0
3, P-SLICE,    3, 22.00,    1120536, 0,0.00,39.606, 41.030, 43.889, 40.319,23, 2 1 0 , -, 0.00%,  0.00%,  0.00%, 0.04%,  0.15%,  0.14%, 0.42%,  0.44%,  0.91%, 2.86%,  2.14%,  6.16%, 0.00%,  0.03%,  2.98%, 13.43%, 63.58%,  0.00%,  0.20%,  0.67%,  2.31%,  0.01%,  0.38%,  0.86%,  2.31%, 29456.33, 8055.76, 0.00, 101079.25 , 0, 255, 113.31, 20, 181, 117.22, 91, 232, 136.18, 0.00%, 20.00%,0.00%, 40.00%, 40.00%, 0.00%, 0.00%, 0.00%, 0.00%, 8.36%, 14.88%,0.00%, 35.95%, 40.80%, 0.00%, 0.00%, 0.00%, 0.00%, 10.53%, 9.17%,0.00%, 35.86%, 44.44%, 0.00%, 0.00%, 0.00%, 0.00%, 13.79%, 5.71%,0.00%, 32.93%, 47.57%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 166.0, 0.4, 41600.4, 38583.1, 0.0, 0.0, 271176.1, 1.000, 0
4, P-SLICE,    4, 22.00,    1098904, 0,0.00,39.593, 41.040, 43.796, 40.299,23, 3 2 1 , -, 0.00%,  0.00%,  0.00%, 0.07%,  0.13%,  0.13%, 0.41%,  0.35%,  0.79%, 2.12%,  1.94%,  5.30%, 0.00%,  0.11%,  2.86%, 13.99%, 64.95%,  0.00%,  0.27%,  0.55%,  2.04%,  0.03%,  0.30%,  0.73%,  2.94%, 29438.38, 8092.21, 0.00, 98771.14 , 0, 255, 113.19, 19, 178, 117.21, 90, 231, 136.14, 0.00%, 19.05%,0.00%, 61.90%, 19.05%, 0.00%, 0.00%, 0.00%, 0.00%, 8.51%, 15.25%,0.00%, 40.96%, 35.28%, 0.00%, 0.00%, 0.00%, 0.00%, 9.25%, 7.63%,0.00%, 39.03%, 44.09%, 0.00%, 0.00%, 0.00%, 0.00%, 11.56%, 6.16%,0.00%, 35.18%, 47.10%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 290.1, 1.4, 40554.3, 37416.3, 0.0, 0.0, 311695.0, 1.000, 0
5, P-SLICE,    5, 22.00,    1084112, 0,0.00,39.581, 41.030, 43.763, 40.285,23, 4 3 2 , -, 0.00%,  0.00%,  0.00%, 0.08%,  0.15%,  0.10%, 0.39%,  0.40%,  0.63%, 2.03%,  1.72%,  4.29%, 0.00%,  0.06%,  2.52%, 13.65%, 66.40%,  0.00%,  0.20%,  0.60%,  2.08%,  0.02%,  0.46%,  1.01%,  3.22%, 29477.39, 8118.21, 0.00, 97061.41 , 0, 255, 113.09, 19, 178, 117.24, 90, 232, 136.16, 0.00%, 25.00%,0.00%, 58.33%, 16.67%, 0.00%, 0.00%, 0.00%, 0.00%, 9.49%, 18.80%,0.00%, 38.32%, 33.39%, 0.00%, 0.00%, 0.00%, 0.00%, 8.49%, 9.68%,0.00%, 39.32%, 42.51%, 0.00%, 0.00%, 0.00%, 0.00%, 9.90%, 6.51%,0.00%, 36.92%, 46.67%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 158.4, 0.4, 44970.8, 39644.2, 0.0, 0.0, 356489.5, 1.000, 0
6, P-SLICE,    6, 22.00,    1067168, 0,0.00,39.582, 41.007, 43.705, 40.275,23, 5 4 3 , -, 0.00%,  0.00%,  0.00%, 0.09%,  0.15%,  0.08%, 0.33%,  0.42%,  0.56%, 1.82%,  1.39%,  4.43%, 0.00%,  0.07%,  3.08%, 14.54%, 65.46%,  0.00%,  0.24%,  0.75%,  2.38%,  0.04%,  0.45%,  0.76%,  2.96%, 29443.66, 8169.03, 0.00, 90050.22 , 0, 255, 112.97, 18, 178, 117.17, 89, 232, 136.16, 0.00%, 35.29%,0.00%, 52.94%, 11.76%, 0.00%, 0.00%, 0.00%, 0.00%, 7.83%, 16.83%,0.00%, 41.83%, 33.50%, 0.00%, 0.00%, 0.00%, 0.00%, 7.54%, 8.67%,0.00%, 40.78%, 43.01%, 0.00%, 0.00%, 0.00%, 0.00%, 9.54%, 6.68%,0.00%, 36.70%, 47.08%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 302.1, 0.3, 69100.8, 63931.0, 0.0, 0.0, 425557.5, 1.000, 0
7, P-SLICE,    7, 22.00,    1030544, 0,0.00,39.595, 40.992, 43.752, 40.289,23, 6 5 4 , -, 0.00%,  0.00%,  0.00%, 0.05%,  0.13%,  0.08%, 0.34%,  0.39%,  0.60%, 2.09%,  1.48%,  4.24%, 0.00%,  0.09%,  2.74%, 13.14%, 67.50%,  0.00%,  0.13%,  0.54%,  2.00%,  0.03%,  0.39%,  0.84%,  3.19%, 29367.21, 8153.28, 0.00, 86175.91 , 0, 255, 112.90, 19, 178, 117.22, 89, 232, 136.19, 0.00%, 26.32%,0.00%, 68.42%, 5.26%, 0.00%, 0.00%, 0.00%, 0.00%, 7.65%, 14.75%,0.00%, 45.54%, 32.06%, 0.00%, 0.00%, 0.00%, 0.00%, 8.43%, 8.67%,0.00%, 39.56%, 43.33%, 0.00%, 0.00%, 0.00%, 0.00%, 9.52%, 6.33%,0.00%, 36.90%, 47.25%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 316.0, 0.4, 76717.2, 71663.4, 0.0, 0.0, 502259.1, 1.000, 0
8, P-SLICE,    8, 22.00,    1032224, 0,0.00,39.592, 41.029, 43.795, 40.297,23, 7 6 5 , -, 0.00%,  0.00%,  0.00%, 0.04%,  0.10%,  0.11%, 0.35%,  0.36%,  0.62%, 2.13%,  1.37%,  4.57%, 0.00%,  0.10%,  2.16%, 13.22%, 67.04%,  0.00%,  0.14%,  0.75%,  2.87%,  0.05%,  0.47%,  0.87%,  2.68%, 29398.23, 8091.60, 0.00, 87522.53 , 0, 255, 112.87, 20, 180, 117.22, 90, 232, 136.17, 0.00%, 33.33%,0.00%, 54.17%, 12.50%, 0.00%, 0.00%, 0.00%, 0.00%, 8.51%, 20.12%,0.00%, 40.25%, 31.12%, 0.00%, 0.00%, 0.00%, 0.00%, 8.23%, 10.02%,0.00%, 40.06%, 41.69%, 0.00%, 0.00%, 0.00%, 0.00%, 9.82%, 6.75%,0.00%, 37.13%, 46.30%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 428.4, 0.4, 77225.6, 71309.2, 0.0, 0.0, 579577.8, 1.000, 0
9, P-SLICE,    9, 22.00,    1053944, 0,0.00,39.594, 41.013, 43.801, 40.297,23, 8 7 6 , -, 0.00%,  0.00%,  0.00%, 0.03%,  0.15%,  0.10%, 0.36%,  0.39%,  0.64%, 2.08%,  1.76%,  5.28%, 0.00%,  0.11%,  2.52%, 12.55%, 66.45%,  0.00%,  0.15%,  0.45%,  2.29%,  0.05%,  0.47%,  0.95%,  3.21%, 29343.36, 8103.78, 0.00, 93714.45 , 0, 255, 112.74, 18, 178, 117.20, 91, 232, 136.16, 0.00%, 32.00%,0.00%, 48.00%, 20.00%, 0.00%, 0.00%, 0.00%, 0.00%, 8.04%, 18.32%,0.00%, 40.75%, 32.90%, 0.00%, 0.00%, 0.00%, 0.00%, 9.06%, 9.14%,0.00%, 39.19%, 42.61%, 0.00%, 0.00%, 0.00%, 0.00%, 11.03%, 6.66%,0.00%, 37.00%, 45.31%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 252.2, 0.3, 67913.5, 62176.7, 0.0, 0.0, 647403.8, 1.000, 0
