Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, Y PSNR, U PSNR, V PSNR, YUV PSNR, Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 32x32, Inter 16x16, Inter 8x8, Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
0, I-SLICE,    0, 24.00,    1858560, 0,0.00,39.620, 40.947, 43.296, 40.246,23,  -, -, 0.00%,  0.00%,  0.00%, 0.45%,  0.78%,  0.66%, 2.62%,  2.71%,  6.80%,11.82%,  8.43%, 31.09%,34.65%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 29084.86, 8703.69, 0.00, 452048.70 , 0, 255, 113.51, 19, 176, 117.14, 90, 232, 136.18, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 97.68%, 0.00%,0.00%, 2.32%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 10830.6, 109.4, 75419.5, 69886.9, 0.0, 0.0, 85565.8, 1.000, 0
1, P-SLICE,    1, 27.00,     208336, 0,0.00,37.259, 39.131, 42.561, 38.156,23, 0 , -, 0.00%,  0.00%,  0.00%, 0.06%,  0.06%,  0.15%, 0.31%,  0.12%,  0.65%, 1.57%,  0.89%,  4.26%, 0.00%,  0.10%,  4.89%, 13.64%, 34.10%,  0.00%,  1.18%,  3.74%,  5.93%,  0.16%,  6.43%, 12.15%,  9.61%, 52605.57, 12345.81, 0.00, 112768.88 , 0, 255, 113.48, 18, 180, 117.22, 91, 232, 136.14, 0.00%, 61.90%,0.00%, 38.10%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 2.13%, 59.61%,0.00%, 24.73%, 13.53%, 0.00%, 0.00%, 0.00%, 0.00%, 3.55%, 51.89%,0.00%, 23.85%, 20.71%, 0.00%, 0.00%, 0.00%, 0.00%, 11.31%, 26.21%,0.00%, 31.01%, 31.47%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 246.6, 86.3, 13746.0, 13100.2, 0.0, 0.0, 99369.5, 1.000, 0
2, P-SLICE,    2, 27.00,     218256, 0,0.00,37.286, 39.180, 42.402, 38.162,23, 1 0 , -, 0.00%,  0.00%,  0.00%, 0.01%,  0.00%,  0.04%, 0.10%,  0.01%,  0.55%, 1.18%,  0.43%,  4.23%, 0.00%,  0.70%,  6.43%, 14.10%, 44.72%,  0.00%,  0.58%,  1.49%,  5.31%,  1.77%,  3.96%,  4.14%, 10.23%, 50925.63, 12122.15, 0.00, 89204.64 , 0, 255, 113.39, 20, 177, 117.26, 91, 232, 136.16, 0.00%, 71.69%,0.00%, 19.88%, 8.43%, 0.00%, 0.00%, 0.00%, 0.00%, 0.54%, 41.16%,0.00%, 30.23%, 28.07%, 0.00%, 0.00%, 0.00%, 0.00%, 3.28%, 27.59%,0.00%, 34.16%, 34.96%, 0.00%, 0.00%, 0.00%, 0.00%, 8.38%, 22.31%,0.00%, 35.83%, 33.48%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 310.2, 6.4, 12035.0, 10914.3, 0.0, 0.0, 111532.2, 1.000, 0
3, P-SLICE,    3, 27.00,     223384, 0,0.00,37.290, 39.191, 42.292, 38.153,23, 2 1 0 , -, 0.00%,  0.00%,  0.00%, 0.03%,  0.01%,  0.03%, 0.12%,  0.07%,  0.41%, 0.85%,  0.49%,  4.27%, 0.00%,  0.60%,  5.92%, 13.84%, 45.65%,  0.00%,  0.47%,  2.15%,  5.32%,  2.36%,  2.11%,  4.14%, 11.14%, 50311.00, 12062.98, 0.00, 85358.15 , 0, 255, 113.31, 20, 181, 117.22, 91, 232, 136.18, 0.00%, 79.60%,0.00%, 16.42%, 3.98%, 0.00%, 0.00%, 0.00%, 0.00%, 0.86%, 30.07%,0.00%, 34.71%, 34.36%, 0.00%, 0.00%, 0.00%, 0.00%, 2.91%, 30.35%,0.00%, 31.77%, 34.97%, 0.00%, 0.00%, 0.00%, 0.00%, 7.88%, 23.10%,0.00%, 35.57%, 33.46%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 304.7, 0.4, 12418.4, 11180.0, 0.0, 0.0, 123963.9, 1.000, 0
4, P-SLICE,    4, 27.00,     222320, 0,0.00,37.268, 39.166, 42.180, 38.119,23, 3 2 1 , -, 0.00%,  0.00%,  0.00%, 0.01%,  0.01%,  0.03%, 0.16%,  0.03%,  0.39%, 0.95%,  0.30%,  3.90%, 0.00%,  0.52%,  5.77%, 15.04%, 45.34%,  0.00%,  0.36%,  1.24%,  5.04%,  2.49%,  2.32%,  4.99%, 11.10%, 50310.26, 12192.60, 0.00, 81091.12 , 0, 255, 113.19, 19, 178, 117.21, 90, 231, 136.14, 0.00%, 82.67%,0.00%, 8.91%, 8.42%, 0.00%, 0.00%, 0.00%, 0.00%, 0.70%, 31.52%,0.00%, 31.35%, 36.43%, 0.00%, 0.00%, 0.00%, 0.00%, 2.66%, 28.51%,0.00%, 31.24%, 37.59%, 0.00%, 0.00%, 0.00%, 0.00%, 7.34%, 22.98%,0.00%, 35.65%, 34.02%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 190.4, 1.3, 11548.2, 10719.2, 0.0, 0.0, 135499.3, 1.000, 0
5, P-SLICE,    5, 27.00,     215792, 0,0.00,37.201, 39.158, 42.084, 38.056,23, 4 3 2 , -, 0.00%,  0.00%,  0.00%, 0.02%,  0.00%,  0.05%, 0.08%,  0.00%,  0.27%, 0.63%,  0.36%,  3.08%, 0.00%,  0.68%,  5.93%, 14.17%, 46.72%,  0.00%,  0.45%,  1.52%,  4.12%,  2.22%,  2.90%,  5.27%, 11.55%, 51000.92, 12250.16, 0.00, 78941.77 , 0, 255, 113.09, 19, 178, 117.24, 90, 232, 136.16, 0.00%, 76.68%,0.00%, 15.03%, 8.29%, 0.00%, 0.00%, 0.00%, 0.00%, 0.64%, 35.85%,0.00%, 29.90%, 33.60%, 0.00%, 0.00%, 0.00%, 0.00%, 1.62%, 31.88%,0.00%, 32.09%, 34.41%, 0.00%, 0.00%, 0.00%, 0.00%, 5.81%, 22.36%,0.00%, 35.70%, 36.13%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 158.4, 0.4, 13331.0, 12249.4, 0.0, 0.0, 148714.2, 1.000, 0
6, P-SLICE,    6, 27.00,     206624, 0,0.00,37.200, 39.139, 42.013, 38.044,23, 5 4 3 , -, 0.00%,  0.00%,  0.00%, 0.04%,  0.01%,  0.01%, 0.09%,  0.03%,  0.27%, 0.70%,  0.28%,  2.46%, 0.00%,  0.75%,  4.92%, 14.97%, 46.90%,  0.00%,  0.60%,  2.39%,  4.40%,  2.34%,  2.57%,  4.40%, 11.86%, 50916.08, 12323.86, 0.00, 74762.22 , 0, 255, 112.97, 18, 178, 117.17, 89, 232, 136.16, 0.00%, 75.85%,0.00%, 14.01%, 10.14%, 0.00%, 0.00%, 0.00%, 0.00%, 0.91%, 38.76%,0.00%, 30.16%, 30.16%, 0.00%, 0.00%, 0.00%, 0.00%, 1.75%, 30.66%,0.00%, 34.16%, 33.42%, 0.00%, 0.00%, 0.00%, 0.00%, 4.91%, 23.17%,0.00%, 34.44%, 37.48%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 121.9, 0.3, 12842.8, 11885.3, 0.0, 0.0, 161340.2, 1.000, 0
7, P-SLICE,    7, 27.00,     176216, 0,0.00,37.209, 39.110, 42.010, 38.047,23, 6 5 4 , -, 0.00%,  0.00%,  0.00%, 0.03%,  0.00%,  0.05%, 0.13%,  0.05%,  0.29%, 0.80%,  0.22%,  2.30%, 0.00%,  1.04%,  5.22%, 14.39%, 44.91%,  0.00%,  0.59%,  1.95%,  5.39%,  2.30%,  3.41%,  5.63%, 11.32%, 50806.30, 12361.75, 0.00, 70906.62 , 0, 255, 112.90, 19, 178, 117.22, 89, 232, 136.19, 0.00%, 68.90%,0.00%, 19.14%, 11.96%, 0.00%, 0.00%, 0.00%, 0.00%, 0.86%, 43.05%,0.00%, 28.64%, 27.44%, 0.00%, 0.00%, 0.00%, 0.00%, 2.06%, 33.78%,0.00%, 32.01%, 32.15%, 0.00%, 0.00%, 0.00%, 0.00%, 4.82%, 24.30%,0.00%, 36.43%, 34.44%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 155.6, 0.3, 12769.1, 11997.1, 0.0, 0.0, 173922.5, 1.000, 0
8, P-SLICE,    8, 27.00,     181936, 0,0.00,37.256, 39.162, 42.066, 38.095,23, 7 6 5 , -, 0.00%,  0.00%,  0.00%, 0.03%,  0.00%,  0.06%, 0.09%,  0.00%,  0.28%, 0.75%,  0.28%,  2.71%, 0.00%,  0.93%,  5.22%, 14.49%, 44.76%,  0.00%,  0.51%,  2.07%,  5.68%,  2.40%,  2.66%,  5.48%, 11.58%, 50363.16, 12225.51, 0.00, 71058.19 , 0, 255, 112.87, 20, 180, 117.22, 90, 232, 136.17, 0.00%, 71.96%,0.00%, 16.36%, 11.68%, 0.00%, 0.00%, 0.00%, 0.00%, 1.10%, 37.43%,0.00%, 32.29%, 29.17%, 0.00%, 0.00%, 0.00%, 0.00%, 1.67%, 33.68%,0.00%, 31.25%, 33.40%, 0.00%, 0.00%, 0.00%, 0.00%, 5.38%, 24.84%,0.00%, 37.93%, 31.85%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 155.7, 0.4, 12500.6, 11678.5, 0.0, 0.0, 186235.5, 1.000, 0
9, P-SLICE,    9, 27.00,     200288, 0,0.00,37.260, 39.158, 42.052, 38.097,23, 8 7 6 , -, 0.00%,  0.00%,  0.00%, 0.02%,  0.00%,  0.05%, 0.14%,  0.08%,  0.41%, 0.57%,  0.41%,  3.44%, 0.00%,  0.77%,  5.88%, 14.85%, 45.19%,  0.00%,  0.46%,  1.86%,  5.53%,  2.41%,  2.41%,  4.35%, 11.19%, 50300.16, 12225.57, 0.00, 77947.05 , 0, 255, 112.74, 18, 178, 117.20, 91, 232, 136.16, 0.00%, 75.85%,0.00%, 15.46%, 8.70%, 0.00%, 0.00%, 0.00%, 0.00%, 0.70%, 32.58%,0.00%, 33.97%, 32.75%, 0.00%, 0.00%, 0.00%, 0.00%, 2.90%, 28.61%,0.00%, 34.84%, 33.64%, 0.00%, 0.00%, 0.00%, 0.00%, 6.32%, 23.88%,0.00%, 36.01%, 33.79%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 155.0, 0.3, 12366.9, 11367.3, 0.0, 0.0, 198415.1, 1.000, 0
