Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, Y PSNR, U PSNR, V PSNR, YUV PSNR, Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 32x32, Inter 16x16, Inter 8x8, Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
0, I-SLICE,    0, 19.00,    3881248, 0,0.00,43.621, 43.931, 45.533, 43.899,23,  -, -, 0.00%,  0.00%,  0.00%, 0.54%,  1.02%,  0.82%, 1.92%,  2.63%,  4.40%, 9.76%,  9.35%, 26.27%,43.29%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 11459.32, 4459.85, 0.00, 461143.22 , 0, 255, 113.51, 19, 176, 117.14, 90, 232, 136.18, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 97.42%, 0.00%,0.00%, 2.58%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 11213.9, 110.8, 153811.9, 142684.8, 0.0, 0.0, 164354.0, 1.000, 0
1, P-SLICE,    1, 22.00,    1344848, 0,0.00,39.631, 41.099, 44.036, 40.365,23, 0 , -, 0.00%,  0.00%,  0.00%, 0.27%,  0.52%,  1.00%, 1.63%,  1.89%,  4.96%, 6.36%,  5.15%, 16.91%, 0.00%,  0.00%,  1.03%,  9.53%, 48.27%,  0.00%,  0.01%,  0.18%,  1.57%,  0.00%,  0.00%,  0.07%,  0.66%, 29585.11, 8018.46, 0.00, 145718.88 , 0, 255, 113.48, 18, 180, 117.22, 91, 232, 136.14, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 63.23%, 0.22%,0.00%, 10.54%, 26.02%, 0.00%, 0.00%, 0.00%, 0.00%, 46.45%, 1.33%,0.00%, 19.84%, 32.38%, 0.00%, 0.00%, 0.00%, 0.00%, 35.36%, 2.77%,0.00%, 22.99%, 38.88%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 370.3, 78.4, 53576.0, 49781.3, 0.0, 0.0, 217976.8, 1.000, 0
2, P-SLICE,    2, 22.00,    1169296, 0,0.00,39.618, 41.050, 43.935, 40.336,23, 1 0 , -, 0.00%,  0.00%,  0.00%, 0.07%,  0.15%,  0.19%, 0.48%,  0.76%,  1.38%, 3.57%,  2.54%,  7.81%, 0.00%,  0.03%,  2.95%, 14.14%, 59.43%,  0.00%,  0.10%,  0.62%,  2.28%,  0.00%,  0.19%,  0.64%,  2.68%, 29487.40, 8045.12, 0.00, 105668.30 , 0, 255, 113.39, 20, 177, 117.26, 91, 232, 136.16, 0.00%, 0.00%,0.00%, 75.00%, 25.00%, 0.00%, 0.00%, 0.00%, 0.00%, 11.23%, 7.84%,0.00%, 34.05%, 46.88%, 0.00%, 0.00%, 0.00%, 0.00%, 14.55%, 6.99%,0.00%, 31.66%, 46.79%, 0.00%, 0.00%, 0.00%, 0.00%, 17.43%, 6.22%,0.00%, 28.96%, 47.40%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 302.3, 4.5, 45489.7, 42084.1, 0.0, 0.0, 263463.5, 1.000, 0
3, P-SLICE,    3, 22.00,    1125328, 0,0.00,39.609, 41.041, 43.884, 40.322,23, 2 1 0 , -, 0.00%,  0.00%,  0.00%, 0.07%,  0.14%,  0.12%, 0.42%,  0.53%,  0.93%, 2.80%,  1.89%,  5.92%, 0.00%,  0.04%,  2.83%, 14.64%, 62.99%,  0.00%,  0.16%,  0.55%,  2.19%,  0.02%,  0.28%,  0.81%,  2.67%, 29426.20, 8048.24, 0.00, 102286.69 , 0, 255, 113.31, 20, 181, 117.22, 91, 232, 136.18, 0.00%, 33.33%,0.00%, 55.56%, 11.11%, 0.00%, 0.00%, 0.00%, 0.00%, 9.06%, 12.32%,0.00%, 43.48%, 35.14%, 0.00%, 0.00%, 0.00%, 0.00%, 10.51%, 7.59%,0.00%, 39.29%, 42.61%, 0.00%, 0.00%, 0.00%, 0.00%, 13.25%, 6.08%,0.00%, 33.74%, 46.93%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 262.7, 0.4, 44551.5, 41511.7, 0.0, 0.0, 308064.0, 1.000, 0
4, P-SLICE,    4, 22.00,    1097376, 0,0.00,39.591, 41.040, 43.812, 40.299,23, 3 2 1 , -, 0.00%,  0.00%,  0.00%, 0.07%,  0.14%,  0.10%, 0.37%,  0.38%,  0.71%, 2.22%,  1.64%,  5.27%, 0.00%,  0.05%,  3.04%, 14.21%, 64.74%,  0.00%,  0.16%,  0.57%,  2.40%,  0.02%,  0.38%,  0.90%,  2.66%, 29473.33, 8080.16, 0.00, 99211.19 , 0, 255, 113.19, 19, 178, 117.21, 90, 231, 136.14, 0.00%, 30.00%,0.00%, 40.00%, 30.00%, 0.00%, 0.00%, 0.00%, 0.00%, 7.82%, 13.95%,0.00%, 39.97%, 38.27%, 0.00%, 0.00%, 0.00%, 0.00%, 8.51%, 8.58%,0.00%, 38.41%, 44.50%, 0.00%, 0.00%, 0.00%, 0.00%, 11.33%, 6.28%,0.00%, 36.43%, 45.97%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 284.0, 1.4, 43175.9, 40092.9, 0.0, 0.0, 351355.2, 1.000, 0
5, P-SLICE,    5, 22.00,    1085472, 0,0.00,39.576, 41.019, 43.789, 40.283,23, 4 3 2 , -, 0.00%,  0.00%,  0.00%, 0.08%,  0.13%,  0.12%, 0.32%,  0.44%,  0.74%, 2.19%,  1.67%,  4.47%, 0.00%,  0.08%,  3.02%, 13.97%, 65.76%,  0.00%,  0.25%,  0.57%,  2.54%,  0.02%,  0.29%,  0.77%,  2.56%, 29505.69, 8114.62, 0.00, 97257.64 , 0, 255, 113.09, 19, 178, 117.24, 90, 232, 136.16, 0.00%, 20.00%,0.00%, 66.67%, 13.33%, 0.00%, 0.00%, 0.00%, 0.00%, 8.52%, 13.97%,0.00%, 43.44%, 34.07%, 0.00%, 0.00%, 0.00%, 0.00%, 8.93%, 7.98%,0.00%, 38.88%, 44.21%, 0.00%, 0.00%, 0.00%, 0.00%, 10.31%, 6.32%,0.00%, 36.98%, 46.39%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 154.5, 0.4, 39811.8, 36497.2, 0.0, 0.0, 391080.5, 1.000, 0
6, P-SLICE,    6, 22.00,    1066008, 0,0.00,39.575, 41.011, 43.708, 40.271,23, 5 4 3 , -, 0.00%,  0.00%,  0.00%, 0.08%,  0.13%,  0.09%, 0.31%,  0.39%,  0.57%, 2.09%,  1.28%,  4.18%, 0.00%,  0.07%,  3.19%, 13.77%, 66.36%,  0.00%,  0.16%,  0.49%,  2.08%,  0.05%,  0.39%,  0.96%,  3.32%, 29498.28, 8168.64, 0.00, 90089.96 , 0, 255, 112.97, 18, 178, 117.17, 89, 232, 136.16, 0.00%, 42.11%,0.00%, 31.58%, 26.32%, 0.00%, 0.00%, 0.00%, 0.00%, 7.49%, 13.64%,0.00%, 43.93%, 34.94%, 0.00%, 0.00%, 0.00%, 0.00%, 7.72%, 8.82%,0.00%, 40.63%, 42.83%, 0.00%, 0.00%, 0.00%, 0.00%, 9.33%, 6.68%,0.00%, 36.69%, 47.30%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 127.1, 0.3, 36980.4, 34796.3, 0.0, 0.0, 427866.0, 1.000, 0
7, P-SLICE,    7, 22.00,    1025776, 0,0.00,39.586, 41.005, 43.736, 40.282,23, 6 5 4 , -, 0.00%,  0.00%,  0.00%, 0.04%,  0.14%,  0.12%, 0.33%,  0.39%,  0.54%, 1.79%,  1.56%,  3.84%, 0.00%,  0.09%,  2.76%, 12.93%, 68.13%,  0.00%,  0.20%,  0.71%,  2.40%,  0.07%,  0.36%,  0.82%,  2.79%, 29449.28, 8161.77, 0.00, 88233.22 , 0, 255, 112.90, 19, 178, 117.22, 89, 232, 136.19, 0.00%, 44.00%,0.00%, 48.00%, 8.00%, 0.00%, 0.00%, 0.00%, 0.00%, 8.30%, 15.52%,0.00%, 42.60%, 33.57%, 0.00%, 0.00%, 0.00%, 0.00%, 7.95%, 9.73%,0.00%, 40.06%, 42.26%, 0.00%, 0.00%, 0.00%, 0.00%, 8.75%, 6.33%,0.00%, 36.78%, 48.14%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 93.4, 0.3, 42345.8, 39618.6, 0.0, 0.0, 469985.8, 1.000, 0
8, P-SLICE,    8, 22.00,    1027936, 0,0.00,39.588, 41.022, 43.797, 40.293,23, 7 6 5 , -, 0.00%,  0.00%,  0.00%, 0.05%,  0.13%,  0.10%, 0.36%,  0.32%,  0.53%, 2.13%,  1.62%,  4.40%, 0.00%,  0.11%,  2.44%, 12.44%, 68.24%,  0.00%,  0.20%,  0.62%,  2.55%,  0.06%,  0.42%,  0.76%,  2.53%, 29428.92, 8092.90, 0.00, 88632.12 , 0, 255, 112.87, 20, 180, 117.22, 90, 232, 136.17, 0.00%, 34.62%,0.00%, 46.15%, 19.23%, 0.00%, 0.00%, 0.00%, 0.00%, 8.54%, 18.60%,0.00%, 42.88%, 29.98%, 0.00%, 0.00%, 0.00%, 0.00%, 7.98%, 9.21%,0.00%, 43.26%, 39.54%, 0.00%, 0.00%, 0.00%, 0.00%, 9.82%, 6.12%,0.00%, 38.50%, 45.56%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 151.6, 0.4, 36296.5, 34019.3, 0.0, 0.0, 506114.5, 1.000, 0
9, P-SLICE,    9, 22.00,    1051648, 0,0.00,39.585, 41.027, 43.793, 40.291,23, 8 7 6 , -, 0.00%,  0.00%,  0.00%, 0.05%,  0.14%,  0.10%, 0.35%,  0.47%,  0.77%, 1.99%,  1.66%,  4.93%, 0.00%,  0.16%,  2.80%, 14.10%, 64.92%,  0.00%,  0.20%,  0.47%,  2.49%,  0.07%,  0.32%,  0.88%,  3.12%, 29415.86, 8099.85, 0.00, 69147.03 , 0, 255, 112.74, 18, 178, 117.20, 91, 232, 136.16, 0.00%, 32.35%,0.00%, 61.76%, 5.88%, 0.00%, 0.00%, 0.00%, 0.00%, 8.27%, 14.29%,0.00%, 42.67%, 34.77%, 0.00%, 0.00%, 0.00%, 0.00%, 9.35%, 7.96%,0.00%, 40.67%, 42.02%, 0.00%, 0.00%, 0.00%, 0.00%, 10.62%, 6.95%,0.00%, 37.23%, 45.20%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 158.3, 0.3, 39353.7, 36174.4, 0.0, 0.0, 545307.5, 1.000, 0
