Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, Y PSNR, U PSNR, V PSNR, YUV PSNR, Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 32x32, Inter 16x16, Inter 8x8, Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
0, I-SLICE,    0, 34.00,     468008, 0,0.00,34.735, 37.755, 39.229, 35.674,23,  -, -, 0.00%,  0.00%,  0.00%, 1.16%,  1.28%,  2.09%, 4.90%,  2.85%, 12.76%,11.70%,  6.26%, 36.61%,20.38%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 92967.85, 20235.40, 0.00, 525075.55 , 0, 255, 113.51, 19, 176, 117.14, 90, 232, 136.18, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 96.98%, 0.00%,0.00%, 3.02%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 11447.7, 144.7, 7636903.5, 7239050.2, 0.0, 0.0, 7648180.8, 1.000, 0
1, P-SLICE,    1, 37.00,      27656, 0,0.00,33.972, 37.489, 38.976, 35.037,23, 0 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.08%, 0.18%,  0.08%,  0.36%, 0.83%,  0.29%,  2.14%, 0.00%,  0.50%,  8.52%, 12.48%,  8.16%,  0.00%,  1.59%,  5.03%,  4.07%,  2.11%, 20.90%, 19.81%, 12.87%, 107653.74, 20239.19, 0.00, 131082.17 , 0, 255, 113.48, 18, 180, 117.22, 91, 232, 136.14, 0.00%, 81.00%,0.00%, 16.00%, 3.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.25%, 72.34%,0.00%, 18.61%, 8.80%, 0.00%, 0.00%, 0.00%, 0.00%, 1.65%, 65.45%,0.00%, 24.18%, 8.72%, 0.00%, 0.00%, 0.00%, 0.00%, 9.41%, 48.95%,0.00%, 30.57%, 11.07%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 2167.1, 2501.4, 298248.9, 269449.8, 0.0, 0.0, 7951022.7, 1.000, 0
2, P-SLICE,    2, 37.00,      35736, 0,0.00,33.731, 37.395, 38.892, 34.834,23, 1 0 , -, 0.00%,  0.00%,  0.00%, 0.03%,  0.00%,  0.07%, 0.40%,  0.13%,  0.30%, 1.33%,  0.57%,  2.90%, 0.00%,  2.57%, 11.23%, 15.67%, 14.20%,  0.00%,  1.43%,  4.33%,  6.00%,  6.93%,  6.53%,  9.83%, 15.53%, 113885.60, 20766.77, 0.00, 144279.73 , 0, 255, 113.39, 20, 177, 117.26, 91, 232, 136.16, 0.00%, 72.98%,0.00%, 16.84%, 10.18%, 0.00%, 0.00%, 0.00%, 0.00%, 0.52%, 41.28%,0.00%, 34.37%, 23.83%, 0.00%, 0.00%, 0.00%, 0.00%, 2.72%, 46.20%,0.00%, 31.74%, 19.35%, 0.00%, 0.00%, 0.00%, 0.00%, 9.89%, 44.37%,0.00%, 30.91%, 14.84%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 354.1, 21.2, 345282.4, 313155.7, 0.0, 0.0, 8296346.0, 1.000, 0
3, P-SLICE,    3, 37.00,      38400, 0,0.00,33.536, 37.318, 38.748, 34.661,23, 2 1 0 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.03%, 0.18%,  0.12%,  0.70%, 0.85%,  0.18%,  3.35%, 0.00%,  1.95%, 10.72%, 16.19%, 15.89%,  0.00%,  1.04%,  3.87%,  5.94%,  6.33%,  6.15%, 10.84%, 15.68%, 119126.71, 21234.45, 0.00, 148586.24 , 0, 255, 113.31, 20, 181, 117.22, 91, 232, 136.18, 0.00%, 76.47%,0.00%, 13.24%, 10.29%, 0.00%, 0.00%, 0.00%, 0.00%, 0.17%, 40.07%,0.00%, 31.24%, 28.52%, 0.00%, 0.00%, 0.00%, 0.00%, 3.15%, 46.09%,0.00%, 29.77%, 20.99%, 0.00%, 0.00%, 0.00%, 0.00%, 8.91%, 43.94%,0.00%, 29.33%, 17.82%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 1240.0, 0.4, 345724.9, 314400.1, 0.0, 0.0, 8643066.3, 1.000, 0
4, P-SLICE,    4, 37.00,      38840, 0,0.00,33.390, 37.251, 38.638, 34.529,23, 3 2 1 , -, 0.00%,  0.00%,  0.00%, 0.07%,  0.00%,  0.14%, 0.17%,  0.10%,  0.79%, 0.62%,  0.21%,  2.75%, 0.00%,  2.44%, 12.19%, 14.73%, 15.17%,  0.00%,  1.34%,  3.95%,  4.33%,  7.55%,  5.63%, 11.09%, 16.75%, 123008.62, 21664.36, 0.00, 149054.32 , 0, 255, 113.19, 19, 178, 117.21, 90, 231, 136.14, 0.00%, 75.60%,0.00%, 13.06%, 11.34%, 0.00%, 0.00%, 0.00%, 0.00%, 1.06%, 35.99%,0.00%, 36.88%, 26.06%, 0.00%, 0.00%, 0.00%, 0.00%, 3.45%, 48.78%,0.00%, 29.40%, 18.37%, 0.00%, 0.00%, 0.00%, 0.00%, 7.43%, 43.86%,0.00%, 34.07%, 14.64%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 4906.5, 10.2, 338826.9, 306838.7, 0.0, 0.0, 8986632.3, 1.000, 0
5, P-SLICE,    5, 37.00,      37472, 0,0.00,33.242, 37.199, 38.537, 34.399,23, 4 3 2 , -, 0.00%,  0.00%,  0.00%, 0.10%,  0.00%,  0.03%, 0.10%,  0.07%,  0.26%, 0.39%,  0.16%,  2.32%, 0.00%,  2.29%, 10.64%, 15.13%, 15.72%,  0.00%,  1.05%,  4.13%,  5.66%,  7.04%,  6.84%, 11.33%, 16.73%, 126939.21, 21981.91, 0.00, 150959.74 , 0, 255, 113.09, 19, 178, 117.24, 90, 232, 136.16, 0.00%, 75.44%,0.00%, 12.98%, 11.58%, 0.00%, 0.00%, 0.00%, 0.00%, 0.70%, 42.28%,0.00%, 32.46%, 24.56%, 0.00%, 0.00%, 0.00%, 0.00%, 1.37%, 49.84%,0.00%, 31.47%, 17.32%, 0.00%, 0.00%, 0.00%, 0.00%, 5.90%, 45.84%,0.00%, 34.05%, 14.21%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 113.6, 2.9, 302458.1, 277856.1, 0.0, 0.0, 9289032.7, 1.000, 0
6, P-SLICE,    6, 37.00,      32864, 0,0.00,33.117, 37.155, 38.483, 34.292,23, 5 4 3 , -, 0.00%,  0.00%,  0.00%, 0.07%,  0.00%,  0.07%, 0.11%,  0.00%,  0.61%, 0.65%,  0.14%,  2.63%, 0.00%,  3.07%, 11.00%, 15.12%, 12.01%,  0.00%,  1.19%,  2.96%,  4.91%,  7.79%,  6.75%, 14.03%, 16.88%, 130514.07, 22201.88, 0.00, 150041.57 , 0, 255, 112.97, 18, 178, 117.17, 89, 232, 136.16, 0.00%, 71.76%,0.00%, 15.95%, 12.29%, 0.00%, 0.00%, 0.00%, 0.00%, 0.76%, 41.59%,0.00%, 33.27%, 24.39%, 0.00%, 0.00%, 0.00%, 0.00%, 2.20%, 51.76%,0.00%, 30.33%, 15.71%, 0.00%, 0.00%, 0.00%, 0.00%, 7.47%, 47.48%,0.00%, 33.57%, 11.48%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 153.6, 0.4, 292462.5, 274938.4, 0.0, 0.0, 9581378.2, 1.000, 0
7, P-SLICE,    7, 37.00,      27048, 0,0.00,33.139, 37.124, 38.456, 34.302,23, 6 5 4 , -, 0.00%,  0.00%,  0.00%, 0.12%,  0.00%,  0.04%, 0.12%,  0.08%,  0.25%, 0.99%,  0.08%,  1.60%, 0.00%,  2.88%, 12.04%, 15.41%, 11.71%,  0.00%,  1.52%,  4.27%,  4.81%, 10.11%,  7.77%, 10.19%, 15.99%, 129790.80, 22321.89, 0.00, 145680.78 , 0, 255, 112.90, 19, 178, 117.22, 89, 232, 136.19, 0.00%, 77.85%,0.00%, 13.92%, 8.23%, 0.00%, 0.00%, 0.00%, 0.00%, 0.76%, 43.21%,0.00%, 34.23%, 21.80%, 0.00%, 0.00%, 0.00%, 0.00%, 1.49%, 47.70%,0.00%, 31.71%, 19.11%, 0.00%, 0.00%, 0.00%, 0.00%, 5.93%, 46.17%,0.00%, 35.04%, 12.86%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 169.8, 0.4, 260910.9, 245754.2, 0.0, 0.0, 9842130.9, 1.000, 0
8, P-SLICE,    8, 37.00,      29208, 0,0.00,33.232, 37.156, 38.519, 34.383,23, 7 6 5 , -, 0.00%,  0.00%,  0.00%, 0.04%,  0.00%,  0.00%, 0.19%,  0.04%,  0.35%, 0.54%,  0.19%,  1.82%, 0.00%,  3.33%, 12.16%, 15.80%, 12.85%,  0.00%,  1.74%,  4.14%,  6.74%,  8.75%,  6.08%, 10.53%, 14.71%, 127163.52, 22074.06, 0.00, 143661.46 , 0, 255, 112.87, 20, 180, 117.22, 90, 232, 136.17, 0.00%, 72.44%,0.00%, 16.67%, 10.90%, 0.00%, 0.00%, 0.00%, 0.00%, 0.19%, 39.07%,0.00%, 38.30%, 22.44%, 0.00%, 0.00%, 0.00%, 0.00%, 1.87%, 47.26%,0.00%, 34.04%, 16.83%, 0.00%, 0.00%, 0.00%, 0.00%, 5.54%, 46.48%,0.00%, 36.41%, 11.58%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 8474.9, 0.3, 269718.7, 253952.0, 0.0, 0.0, 10119993.7, 1.000, 0
9, P-SLICE,    9, 37.00,      32552, 0,0.00,33.238, 37.169, 38.534, 34.392,23, 8 7 6 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.03%,  0.07%,  0.69%, 0.45%,  0.21%,  2.21%, 0.00%,  2.10%, 12.25%, 14.42%, 12.73%,  0.00%,  1.31%,  4.52%,  5.52%,  7.76%,  6.66%, 11.25%, 17.81%, 127262.40, 22033.52, 0.00, 148327.37 , 0, 255, 112.74, 18, 178, 117.20, 91, 232, 136.16, 0.00%, 78.67%,0.00%, 12.24%, 9.09%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 39.42%,0.00%, 37.71%, 22.87%, 0.00%, 0.00%, 0.00%, 0.00%, 2.56%, 50.89%,0.00%, 32.96%, 13.59%, 0.00%, 0.00%, 0.00%, 0.00%, 6.07%, 49.42%,0.00%, 32.97%, 11.55%, 0.00%, 0
