Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, Y PSNR, U PSNR, V PSNR, YUV PSNR, Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 32x32, Inter 16x16, Inter 8x8, Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
0, I-SLICE,    0, 34.00,   13910496, 0,0.00,33.517, 32.178, 31.807, 33.136,23,  -, -, 0.00%,  0.00%,  0.00%, 1.26%,  3.91%, 48.02%, 0.43%,  0.63%,  7.47%, 1.20%,  0.96%, 14.34%,21.78%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 135301.01, 92595.64, 0.00, 15080074.10 , 0, 255, 65.63, 0, 255, 60.46, 0, 255, 63.96, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 83.30%, 0.00%,0.00%, 16.70%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 25474.5, 102.8, 179047.3, 170950.9, 0.0, 0.0, 204056.0, 1.000, 0
1, P-SLICE,    1, 37.00,    7971880, 0,0.00,28.191, 31.429, 30.484, 28.882,23, 0 , -, 0.00%,  0.00%,  0.00%, 0.19%,  1.53%, 22.66%, 0.20%,  0.70%, 12.90%, 1.32%,  3.18%, 54.85%, 0.00%,  0.00%,  0.69%,  0.63%,  1.14%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 438691.06, 110629.87, 0.00, 8673042.54 , 0, 255, 70.94, 0, 255, 96.65, 0, 255, 105.99, 0.00%, 0.00%,0.00%, 100.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 97.23%, 0.00%,0.00%, 0.88%, 1.89%, 0.00%, 0.00%, 0.00%, 0.00%, 89.64%, 0.00%,0.00%, 7.26%, 3.10%, 0.00%, 0.00%, 0.00%, 0.00%, 98.12%, 0.00%,0.00%, 0.49%, 1.39%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 674.7, 628.7, 137660.4, 132381.2, 0.0, 0.0, 342166.9, 1.000, 0
2, P-SLICE,    2, 37.00,    3085312, 0,0.00,30.532, 29.301, 28.580, 30.134,23, 1 0 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.02%, 0.00%,  0.01%,  0.02%, 0.11%,  0.20%,  0.76%, 0.00%,  0.15%,  1.34%,  3.24%, 48.18%,  0.00%,  0.08%,  0.33%,  1.56%,  0.32%,  2.51%,  7.89%, 33.30%, 260197.73, 182968.82, 0.00, 1201302.93 , 0, 255, 65.70, 0, 255, 60.50, 0, 255, 64.00, 0.00%, 68.75%,0.00%, 9.56%, 21.69%, 0.00%, 0.00%, 0.00%, 0.00%, 0.39%, 65.68%,0.00%, 5.55%, 28.38%, 0.00%, 0.00%, 0.00%, 0.00%, 0.25%, 69.05%,0.00%, 7.10%, 23.61%, 0.00%, 0.00%, 0.00%, 0.00%, 1.27%, 41.45%,0.00%, 5.55%, 51.73%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 651.4, 607.8, 46629.2, 44657.8, 0.0, 0.0, 389265.9, 1.000, 0
3, P-SLICE,    3, 37.00,    3565368, 0,0.00,28.709, 31.336, 30.257, 29.231,23, 2 1 0 , -, 0.00%,  0.00%,  0.00%, 0.01%,  0.01%,  0.06%, 0.01%,  0.03%,  0.31%, 0.14%,  0.31%,  3.80%, 0.00%,  0.10%,  2.69%,  6.70%, 48.96%,  0.00%,  0.10%,  0.70%,  3.55%,  0.06%,  2.18%,  7.81%, 22.47%, 383962.97, 126857.09, 0.00, 1984026.74 , 0, 255, 70.93, 0, 255, 96.64, 0, 255, 105.97, 0.00%, 39.13%,0.00%, 10.87%, 50.00%, 0.00%, 0.00%, 0.00%, 0.00%, 1.64%, 45.22%,0.00%, 8.39%, 44.76%, 0.00%, 0.00%, 0.00%, 0.00%, 2.18%, 53.20%,0.00%, 11.34%, 33.27%, 0.00%, 0.00%, 0.00%, 0.00%, 5.36%, 32.84%,0.00%, 13.41%, 48.39%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 638.7, 579.3, 49498.3, 46783.0, 0.0, 0.0, 439214.4, 1.000, 0
4, P-SLICE,    4, 37.00,    3781568, 0,0.00,30.656, 29.138, 28.362, 30.179,23, 3 2 1 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.01%,  0.01%, 0.00%,  0.01%,  0.07%, 0.10%,  0.14%,  0.87%, 0.00%,  0.05%,  1.90%,  5.84%, 52.65%,  0.00%,  0.10%,  0.56%,  2.44%,  0.07%,  1.72%,  6.29%, 27.19%, 246613.62, 190937.58, 0.00, 1205920.37 , 0, 255, 65.95, 0, 255, 60.67, 0, 255, 64.07, 0.00%, 59.72%,0.00%, 16.67%, 23.61%, 0.00%, 0.00%, 0.00%, 0.00%, 0.50%, 48.58%,0.00%, 7.54%, 43.38%, 0.00%, 0.00%, 0.00%, 0.00%, 0.61%, 52.10%,0.00%, 11.03%, 36.26%, 0.00%, 0.00%, 0.00%, 0.00%, 1.32%, 35.53%,0.00%, 9.01%, 54.13%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 643.2, 614.7, 55152.5, 52671.5, 0.0, 0.0, 494855.8, 1.000, 0
5, P-SLICE,    5, 37.00,    4164800, 0,0.00,28.787, 31.578, 30.194, 29.312,23, 4 3 2 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.02%,  0.14%, 0.01%,  0.05%,  0.55%, 0.14%,  0.45%,  5.31%, 0.00%,  0.06%,  2.41%,  7.24%, 50.73%,  0.00%,  0.19%,  1.15%,  4.16%,  0.05%,  2.05%,  6.76%, 18.52%, 374808.40, 122594.31, 0.00, 2396294.58 , 0, 255, 71.00, 0, 255, 96.58, 0, 255, 105.98, 0.00%, 48.39%,0.00%, 19.35%, 32.26%, 0.00%, 0.00%, 0.00%, 0.00%, 3.41%, 46.50%,0.00%, 12.91%, 37.18%, 0.00%, 0.00%, 0.00%, 0.00%, 3.79%, 48.86%,0.00%, 15.99%, 31.36%, 0.00%, 0.00%, 0.00%, 0.00%, 7.44%, 28.60%,0.00%, 17.04%, 46.92%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 384.5, 580.5, 54727.0, 51789.1, 0.0, 0.0, 549793.3, 1.000, 0
6, P-SLICE,    6, 37.00,     210320, 0,0.00,31.137, 29.510, 28.730, 30.633,23, 5 4 3 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.01%, 0.00%,  0.42%, 11.48%,  8.47%,  1.81%,  0.00%,  0.75%,  0.57%,  0.14%,  3.72%, 34.95%, 34.02%,  3.66%, 214034.50, 171529.72, 0.00, 226683.14 , 0, 255, 65.95, 0, 255, 60.67, 0, 255, 64.07, 0.00%, 89.96%,0.00%, 1.34%, 8.71%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 75.67%,0.00%, 1.94%, 22.39%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 76.39%,0.00%, 7.45%, 16.16%, 0.00%, 0.00%, 0.00%, 0.00%, 0.16%, 67.60%,0.00%, 10.20%, 22.04%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 401.4, 613.5, 13379.1, 12868.8, 0.0, 0.0, 563405.0, 1.000, 0
7, P-SLICE,    7, 37.00,     307104, 0,0.00,29.392, 32.217, 30.746, 29.914,23, 6 5 4 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.02%, 0.00%,  0.02%,  0.13%, 0.00%, 13.91%, 19.95%, 12.27%,  5.59%,  0.00%,  0.13%,  0.13%,  0.11%, 12.43%, 12.40%, 14.97%,  7.96%, 318144.62, 105567.81, 0.00, 349067.94 , 0, 255, 71.00, 0, 255, 96.58, 0, 255, 105.98, 0.00%, 47.20%,0.00%, 0.89%, 51.91%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 38.57%,0.00%, 0.61%, 60.82%, 0.00%, 0.00%, 0.00%, 0.00%, 0.06%, 47.62%,0.00%, 13.89%, 38.44%, 0.00%, 0.00%, 0.00%, 0.00%, 1.04%, 58.46%,0.00%, 1.56%, 38.93%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 393.0, 570.5, 18873.3, 18112.0, 0.0, 0.0, 582473.8, 1.000, 0
8, P-SLICE,    8, 37.00,    4605832, 0,0.00,30.708, 28.909, 28.260, 30.177,23, 7 6 5 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.01%,  0.03%, 0.00%,  0.02%,  0.14%, 0.11%,  0.18%,  1.06%, 0.00%,  0.17%,  2.38%,  7.19%, 58.33%,  0.00%,  0.07%,  0.33%,  1.74%,  0.13%,  0.98%,  4.49%, 22.62%, 239310.52, 198302.07, 0.00, 1215270.93 , 0, 255, 66.22, 0, 255, 60.88, 0, 255, 64.20, 0.00%, 44.21%,0.00%, 8.95%, 46.84%, 0.00%, 0.00%, 0.00%, 0.00%, 1.38%, 30.32%,0.00%, 9.54%, 58.76%, 0.00%, 0.00%, 0.00%, 0.00%, 1.26%, 38.43%,0.00%, 10.00%, 50.30%, 0.00%, 0.00%, 0.00%, 0.00%, 1.60%, 28.98%,0.00%, 8.23%, 61.18%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 387.9, 613.3, 65664.0, 62830.7, 0.0, 0.0, 648369.2, 1.000, 0
9, P-SLICE,    9, 37.00,    4454648, 0,0.00,28.870, 31.929, 30.348, 29.437,23, 8 7 6 , -, 0.00%,  0.00%,  0.00%, 0.01%,  0.03%,  0.23%, 0.02%,  0.10%,  0.80%, 0.17%,  0.46%,  6.09%, 0.00%,  0.04%,  2.38%,  7.32%, 51.26%,  0.00%,  0.24%,  1.08%,  4.48%,  0.05%,  2.00%,  6.21%, 17.01%, 366535.42, 112718.88, 0.00, 2698544.13 , 0, 255, 71.08, 0, 255, 96.47, 0, 255, 105.94, 0.00%, 55.56%,0.00%, 18.52%, 25.93%, 0.00%, 0.00%, 0.00%, 0.00%, 5.59%, 45.73%,0.00%, 12.54%, 36.15%, 0.00%, 0.00%, 0.00%, 0.00%, 5.80%, 45.69%,0.00%, 16.47%, 32.04%, 0.00%, 0.00%, 0.00%, 0.00%, 8.46%, 27.04%,0.00%, 17.21%, 47.29%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 389.4, 581.2, 57035.1, 53957.3, 0.0, 0.0, 705607.6, 1.000, 0
