Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, Y PSNR, U PSNR, V PSNR, YUV PSNR, Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 32x32, Inter 16x16, Inter 8x8, Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
0, I-SLICE,    0, 34.00,   13919392, 0,0.00,33.527, 32.175, 31.798, 33.142,23,  -, -, 0.00%,  0.00%,  0.00%, 1.37%,  3.91%, 47.51%, 0.57%,  0.61%,  7.32%, 0.93%,  0.70%, 14.49%,22.59%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 135251.32, 92597.28, 0.00, 15068169.19 , 0, 255, 65.63, 0, 255, 60.46, 0, 255, 63.96, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 83.34%, 0.00%,0.00%, 16.66%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 53479.4, 183.8, 686950.0, 666158.9, 0.0, 0.0, 739677.7, 1.000, 0
1, P-SLICE,    1, 37.00,    7990280, 0,0.00,28.190, 31.445, 30.456, 28.880,23, 0 , -, 0.00%,  0.00%,  0.00%, 0.19%,  1.52%, 22.69%, 0.17%,  0.68%, 12.63%, 1.36%,  3.39%, 54.76%, 0.00%,  0.00%,  0.76%,  0.69%,  1.15%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 438978.38, 110785.30, 0.00, 8682296.42 , 0, 255, 70.94, 0, 255, 96.65, 0, 255, 105.99, 0.00%, 0.00%,0.00%, 100.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 96.98%, 0.00%,0.00%, 0.85%, 2.17%, 0.00%, 0.00%, 0.00%, 0.00%, 89.10%, 0.00%,0.00%, 7.18%, 3.71%, 0.00%, 0.00%, 0.00%, 0.00%, 98.10%, 0.00%,0.00%, 0.46%, 1.44%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 1253.0, 733.9, 454823.9, 440831.0, 0.0, 0.0, 1194674.6, 1.000, 0
2, P-SLICE,    2, 37.00,    3088712, 0,0.00,30.523, 29.302, 28.567, 30.126,23, 1 0 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.01%, 0.00%,  0.01%,  0.03%, 0.11%,  0.19%,  0.73%, 0.00%,  0.12%,  1.37%,  3.12%, 48.48%,  0.00%,  0.10%,  0.37%,  1.63%,  0.32%,  2.51%,  7.88%, 33.02%, 260647.75, 183253.81, 0.00, 1203738.63 , 0, 255, 65.70, 0, 255, 60.50, 0, 255, 64.00, 0.00%, 72.83%,0.00%, 9.84%, 17.32%, 0.00%, 0.00%, 0.00%, 0.00%, 0.38%, 65.31%,0.00%, 4.44%, 29.86%, 0.00%, 0.00%, 0.00%, 0.00%, 0.29%, 69.81%,0.00%, 7.16%, 22.74%, 0.00%, 0.00%, 0.00%, 0.00%, 1.22%, 41.17%,0.00%, 5.51%, 52.10%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 729.8, 1170.6, 111900.3, 108448.2, 0.0, 0.0, 1306750.8, 1.000, 0
3, P-SLICE,    3, 37.00,    3569960, 0,0.00,28.697, 31.323, 30.274, 29.222,23, 2 1 0 , -, 0.00%,  0.00%,  0.00%, 0.01%,  0.01%,  0.07%, 0.01%,  0.03%,  0.35%, 0.17%,  0.32%,  3.70%, 0.00%,  0.08%,  2.64%,  6.51%, 48.89%,  0.00%,  0.18%,  0.76%,  3.60%,  0.09%,  2.14%,  7.80%, 22.65%, 385008.69, 126864.28, 0.00, 1992386.84 , 0, 255, 70.93, 0, 255, 96.64, 0, 255, 105.97, 0.00%, 50.53%,0.00%, 6.32%, 43.16%, 0.00%, 0.00%, 0.00%, 0.00%, 1.75%, 45.94%,0.00%, 8.55%, 43.77%, 0.00%, 0.00%, 0.00%, 0.00%, 2.46%, 53.87%,0.00%, 11.09%, 32.58%, 0.00%, 0.00%, 0.00%, 0.00%, 5.28%, 33.09%,0.00%, 13.25%, 48.37%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 681.6, 975.9, 126294.1, 119341.5, 0.0, 0.0, 1433169.6, 1.000, 0
4, P-SLICE,    4, 37.00,    3755584, 0,0.00,30.646, 29.158, 28.342, 30.172,23, 3 2 1 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.01%, 0.00%,  0.01%,  0.08%, 0.10%,  0.14%,  0.94%, 0.00%,  0.04%,  1.88%,  5.58%, 52.31%,  0.00%,  0.11%,  0.44%,  2.02%,  0.06%,  1.66%,  6.64%, 27.97%, 247023.18, 191048.32, 0.00, 1196888.92 , 0, 255, 65.95, 0, 255, 60.67, 0, 255, 64.07, 0.00%, 60.29%,0.00%, 14.71%, 25.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.34%, 48.44%,0.00%, 8.67%, 42.55%, 0.00%, 0.00%, 0.00%, 0.00%, 0.67%, 53.96%,0.00%, 10.28%, 35.09%, 0.00%, 0.00%, 0.00%, 0.00%, 1.42%, 35.93%,0.00%, 8.89%, 53.77%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 1193.6, 1178.3, 125790.8, 119613.1, 0.0, 0.0, 1559641.7, 1.000, 0
5, P-SLICE,    5, 37.00,    4160200, 0,0.00,28.773, 31.549, 30.205, 29.299,23, 4 3 2 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.02%,  0.13%, 0.02%,  0.04%,  0.52%, 0.15%,  0.45%,  5.31%, 0.00%,  0.06%,  2.52%,  7.40%, 50.26%,  0.00%,  0.22%,  1.14%,  4.38%,  0.06%,  2.02%,  6.80%, 18.50%, 376038.77, 122733.13, 0.00, 2401803.98 , 0, 255, 71.00, 0, 255, 96.58, 0, 255, 105.98, 0.00%, 51.43%,0.00%, 8.57%, 40.00%, 0.00%, 0.00%, 0.00%, 0.00%, 2.92%, 45.64%,0.00%, 13.81%, 37.64%, 0.00%, 0.00%, 0.00%, 0.00%, 3.54%, 48.57%,0.00%, 16.23%, 31.67%, 0.00%, 0.00%, 0.00%, 0.00%, 7.47%, 28.95%,0.00%, 17.11%, 46.46%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 412.1, 1019.6, 142097.4, 134721.5, 0.0, 0.0, 1701486.2, 1.000, 0
6, P-SLICE,    6, 37.00,     210496, 0,0.00,31.126, 29.536, 28.736, 30.629,23, 5 4 3 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.51%, 11.85%,  8.42%,  1.77%,  0.00%,  0.54%,  0.56%,  0.17%,  3.38%, 35.90%, 33.23%,  3.67%, 214456.64, 170937.67, 0.00, 227112.23 , 0, 255, 65.95, 0, 255, 60.67, 0, 255, 64.07, 0.00%, 86.94%,0.00%, 3.09%, 9.98%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 75.47%,0.00%, 1.80%, 22.74%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 76.06%,0.00%, 7.25%, 16.69%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 68.42%,0.00%, 11.18%, 20.39%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 420.1, 1164.1, 27974.1, 27143.3, 0.0, 0.0, 1729518.7, 1.000, 0
7, P-SLICE,    7, 37.00,     310736, 0,0.00,29.388, 32.206, 30.744, 29.909,23, 6 5 4 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.02%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.05%, 0.00%, 11.72%, 21.17%, 12.87%,  6.02%,  0.00%,  0.25%,  0.30%,  0.21%, 10.93%, 13.25%, 14.51%,  8.71%, 318354.20, 105701.32, 0.00, 350251.47 , 0, 255, 71.00, 0, 255, 96.58, 0, 255, 105.98, 0.00%, 48.26%,0.00%, 0.36%, 51.38%, 0.00%, 0.00%, 0.00%, 0.00%, 0.05%, 38.91%,0.00%, 1.28%, 59.76%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 46.83%,0.00%, 13.20%, 39.97%, 0.00%, 0.00%, 0.00%, 0.00%, 0.33%, 59.54%,0.00%, 1.64%, 38.49%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 378.9, 1128.2, 43258.2, 41471.4, 0.0, 0.0, 1772587.7, 1.000, 0
8, P-SLICE,    8, 37.00,    4565496, 0,0.00,30.724, 28.925, 28.276, 30.193,23, 7 6 5 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.01%,  0.03%, 0.01%,  0.02%,  0.13%, 0.10%,  0.18%,  1.16%, 0.00%,  0.18%,  2.28%,  7.40%, 57.71%,  0.00%,  0.05%,  0.32%,  1.92%,  0.11%,  1.09%,  4.59%, 22.71%, 238798.07, 197634.21, 0.00, 1198981.19 , 0, 255, 66.22, 0, 255, 60.88, 0, 255, 64.20, 0.00%, 37.57%,0.00%, 14.92%, 47.51%, 0.00%, 0.00%, 0.00%, 0.00%, 1.07%, 32.90%,0.00%, 9.50%, 56.53%, 0.00%, 0.00%, 0.00%, 0.00%, 1.25%, 38.17%,0.00%, 9.84%, 50.74%, 0.00%, 0.00%, 0.00%, 0.00%, 1.73%, 29.39%,0.00%, 8.06%, 60.82%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 680.0, 1173.2, 164747.4, 158408.5, 0.0, 0.0, 1937654.0, 1.000, 0
9, P-SLICE,    9, 37.00,    4466824, 0,0.00,28.851, 31.902, 30.303, 29.414,23, 8 7 6 , -, 0.00%,  0.00%,  0.00%, 0.01%,  0.04%,  0.26%, 0.02%,  0.07%,  0.72%, 0.16%,  0.44%,  5.97%, 0.00%,  0.05%,  2.43%,  7.28%, 51.56%,  0.00%,  0.17%,  1.04%,  4.20%,  0.05%,  2.09%,  6.46%, 16.99%, 368329.57, 113684.36, 0.00, 2695152.59 , 0, 255, 71.08, 0, 255, 96.47, 0, 255, 105.94, 0.00%, 50.85%,0.00%, 16.95%, 32.20%, 0.00%, 0.00%, 0.00%, 0.00%, 5.96%, 45.29%,0.00%, 12.35%, 36.40%, 0.00%, 0.00%, 0.00%, 0.00%, 5.03%, 46.85%,0.00%, 16.21%, 31.91%, 0.00%, 0.00%, 0.00%, 0.00%, 8.29%, 26.71%,0.00%, 16.68%, 48.32%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 680.1, 1106.6, 156971.7, 150148.1, 0.0, 0.0, 2094716.2, 1.000, 0
