Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, Y PSNR, U PSNR, V PSNR, YUV PSNR, Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 32x32, Inter 16x16, Inter 8x8, Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
0, I-SLICE,    0, 34.00,   13995432, 0,0.00,33.505, 32.189, 31.793, 33.127,23,  -, -, 0.00%,  0.00%,  0.00%, 1.42%,  5.30%, 46.75%, 0.62%,  0.60%,  7.21%, 1.27%,  1.00%, 13.93%,21.89%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 135887.39, 92564.41, 0.00, 15364718.23 , 0, 255, 65.63, 0, 255, 60.46, 0, 255, 63.96, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 83.06%, 0.00%,0.00%, 16.94%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 28871.1, 101.8, 298894.2, 287136.0, 0.0, 0.0, 327244.0, 1.000, 0
1, P-SLICE,    1, 37.00,    8061656, 0,0.00,28.168, 31.405, 30.476, 28.861,23, 0 , -, 0.00%,  0.00%,  0.00%, 0.18%,  1.77%, 22.54%, 0.23%,  0.70%, 12.93%, 1.48%,  3.36%, 54.48%, 0.00%,  0.00%,  0.66%,  0.59%,  1.08%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 441521.98, 111047.29, 0.00, 8788487.34 , 0, 255, 70.94, 0, 255, 96.65, 0, 255, 105.99, 0.00%, 0.00%,0.00%, 100.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 97.40%, 0.00%,0.00%, 0.80%, 1.81%, 0.00%, 0.00%, 0.00%, 0.00%, 89.93%, 0.00%,0.00%, 7.25%, 2.82%, 0.00%, 0.00%, 0.00%, 0.00%, 98.20%, 0.00%,0.00%, 0.47%, 1.33%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 759.1, 720.8, 188640.8, 181882.5, 0.0, 0.0, 516391.9, 1.000, 0
2, P-SLICE,    2, 37.00,    3089256, 0,0.00,30.518, 29.306, 28.577, 30.124,23, 1 0 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.02%, 0.00%,  0.01%,  0.02%, 0.11%,  0.17%,  0.72%, 0.00%,  0.13%,  1.32%,  3.22%, 48.34%,  0.00%,  0.06%,  0.37%,  1.62%,  0.31%,  2.49%,  7.92%, 33.17%, 260821.63, 182929.17, 0.00, 1201557.51 , 0, 255, 65.70, 0, 255, 60.50, 0, 255, 64.00, 0.00%, 71.04%,0.00%, 9.65%, 19.31%, 0.00%, 0.00%, 0.00%, 0.00%, 0.53%, 65.44%,0.00%, 4.73%, 29.30%, 0.00%, 0.00%, 0.00%, 0.00%, 0.21%, 69.40%,0.00%, 7.46%, 22.93%, 0.00%, 0.00%, 0.00%, 0.00%, 1.19%, 41.35%,0.00%, 5.69%, 51.77%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 716.1, 688.5, 58534.0, 56147.4, 0.0, 0.0, 575439.8, 1.000, 0
3, P-SLICE,    3, 37.00,    3568048, 0,0.00,28.690, 31.329, 30.283, 29.219,23, 2 1 0 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.01%,  0.08%, 0.01%,  0.03%,  0.34%, 0.15%,  0.36%,  3.48%, 0.00%,  0.10%,  2.80%,  6.75%, 48.93%,  0.00%,  0.15%,  0.81%,  3.51%,  0.06%,  2.02%,  7.68%, 22.73%, 385750.14, 126720.27, 0.00, 1984682.44 , 0, 255, 70.93, 0, 255, 96.64, 0, 255, 105.97, 0.00%, 39.08%,0.00%, 10.34%, 50.57%, 0.00%, 0.00%, 0.00%, 0.00%, 1.91%, 42.93%,0.00%, 9.39%, 45.77%, 0.00%, 0.00%, 0.00%, 0.00%, 2.36%, 52.91%,0.00%, 11.72%, 33.01%, 0.00%, 0.00%, 0.00%, 0.00%, 5.04%, 33.15%,0.00%, 13.25%, 48.56%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 711.6, 647.5, 62532.0, 59191.5, 0.0, 0.0, 638452.2, 1.000, 0
4, P-SLICE,    4, 37.00,    3757168, 0,0.00,30.653, 29.150, 28.332, 30.175,23, 3 2 1 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.01%, 0.00%,  0.01%,  0.06%, 0.11%,  0.13%,  0.89%, 0.00%,  0.03%,  1.85%,  5.66%, 52.59%,  0.00%,  0.11%,  0.57%,  2.66%,  0.07%,  1.68%,  6.48%, 27.08%, 246993.15, 191326.56, 0.00, 1195081.87 , 0, 255, 65.95, 0, 255, 60.67, 0, 255, 64.07, 0.00%, 70.31%,0.00%, 9.38%, 20.31%, 0.00%, 0.00%, 0.00%, 0.00%, 0.29%, 48.88%,0.00%, 8.68%, 42.14%, 0.00%, 0.00%, 0.00%, 0.00%, 0.51%, 53.60%,0.00%, 10.42%, 35.47%, 0.00%, 0.00%, 0.00%, 0.00%, 1.36%, 35.64%,0.00%, 9.19%, 53.81%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 706.2, 690.0, 69669.1, 66661.0, 0.0, 0.0, 708634.5, 1.000, 0
5, P-SLICE,    5, 37.00,    4167664, 0,0.00,28.794, 31.600, 30.189, 29.319,23, 4 3 2 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.02%,  0.11%, 0.01%,  0.05%,  0.47%, 0.17%,  0.47%,  5.15%, 0.00%,  0.05%,  2.36%,  7.40%, 50.99%,  0.00%,  0.23%,  1.05%,  4.12%,  0.05%,  2.01%,  6.71%, 18.60%, 374491.00, 122499.00, 0.00, 2371726.45 , 0, 255, 71.00, 0, 255, 96.58, 0, 255, 105.98, 0.00%, 50.00%,0.00%, 22.41%, 27.59%, 0.00%, 0.00%, 0.00%, 0.00%, 2.71%, 47.35%,0.00%, 13.04%, 36.91%, 0.00%, 0.00%, 0.00%, 0.00%, 3.29%, 48.19%,0.00%, 16.54%, 31.98%, 0.00%, 0.00%, 0.00%, 0.00%, 7.27%, 28.57%,0.00%, 17.60%, 46.55%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 416.6, 644.3, 69056.8, 65376.9, 0.0, 0.0, 777875.6, 1.000, 0
6, P-SLICE,    6, 37.00,     206920, 0,0.00,31.139, 29.538, 28.707, 30.635,23, 5 4 3 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.01%,  0.00%,  0.01%, 0.00%,  0.38%, 11.15%,  8.83%,  1.90%,  0.00%,  0.52%,  0.53%,  0.18%,  3.39%, 35.05%, 34.41%,  3.65%, 213987.80, 171434.05, 0.00, 226664.02 , 0, 255, 65.95, 0, 255, 60.67, 0, 255, 64.07, 0.00%, 89.95%,0.00%, 1.67%, 8.37%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 76.14%,0.00%, 1.74%, 22.12%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 76.07%,0.00%, 7.21%, 16.72%, 0.00%, 0.00%, 0.00%, 0.00%, 0.31%, 66.67%,0.00%, 13.36%, 19.65%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 412.3, 682.0, 15510.7, 14934.0, 0.0, 0.0, 793595.4, 1.000, 0
7, P-SLICE,    7, 37.00,     304296, 0,0.00,29.395, 32.248, 30.730, 29.918,23, 6 5 4 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.04%, 0.00%, 14.02%, 22.11%, 12.24%,  3.91%,  0.00%,  0.02%,  0.25%,  0.15%, 11.86%, 14.28%, 14.31%,  6.82%, 318021.57, 105560.42, 0.00, 348566.54 , 0, 255, 71.00, 0, 255, 96.58, 0, 255, 105.98, 0.00%, 45.82%,0.00%, 1.19%, 52.99%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 39.26%,0.00%, 1.00%, 59.74%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 46.73%,0.00%, 14.99%, 38.27%, 0.00%, 0.00%, 0.00%, 0.00%, 0.33%, 63.83%,0.00%, 1.00%, 34.83%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 411.8, 643.2, 22165.1, 21278.2, 0.0, 0.0, 815933.6, 1.000, 0
8, P-SLICE,    8, 37.00,    4630968, 0,0.00,30.712, 28.911, 28.288, 30.184,23, 7 6 5 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.01%,  0.03%, 0.01%,  0.03%,  0.11%, 0.11%,  0.17%,  1.06%, 0.00%,  0.16%,  2.40%,  7.28%, 58.32%,  0.00%,  0.04%,  0.30%,  1.28%,  0.11%,  1.10%,  4.53%, 22.94%, 239482.82, 197593.75, 0.00, 1209368.09 , 0, 255, 66.22, 0, 255, 60.88, 0, 255, 64.20, 0.00%, 41.04%,0.00%, 11.56%, 47.40%, 0.00%, 0.00%, 0.00%, 0.00%, 1.30%, 31.78%,0.00%, 8.45%, 58.47%, 0.00%, 0.00%, 0.00%, 0.00%, 1.13%, 38.22%,0.00%, 10.07%, 50.58%, 0.00%, 0.00%, 0.00%, 0.00%, 1.60%, 28.87%,0.00%, 8.00%, 61.53%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 414.0, 686.2, 83864.7, 80369.3, 0.0, 0.0, 900017.4, 1.000, 0
9, P-SLICE,    9, 37.00,    4448488, 0,0.00,28.867, 31.943, 30.317, 29.433,23, 8 7 6 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.03%,  0.22%, 0.03%,  0.06%,  0.68%, 0.16%,  0.45%,  5.67%, 0.00%,  0.04%,  2.38%,  7.41%, 51.72%,  0.00%,  0.25%,  1.04%,  4.46%,  0.06%,  2.02%,  6.39%, 16.93%, 367020.70, 113330.09, 0.00, 2649397.91 , 0, 255, 71.08, 0, 255, 96.47, 0, 255, 105.94, 0.00%, 58.18%,0.00%, 16.36%, 25.45%, 0.00%, 0.00%, 0.00%, 0.00%, 5.20%, 46.26%,0.00%, 12.51%, 36.03%, 0.00%, 0.00%, 0.00%, 0.00%, 4.80%, 46.39%,0.00%, 15.97%, 32.85%, 0.00%, 0.00%, 0.00%, 0.00%, 7.92%, 26.94%,0.00%, 17.38%, 47.76%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 412.6, 645.4, 72800.6, 69075.8, 0.0, 0.0, 972995.1, 1.000, 0
