Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, Y PSNR, U PSNR, V PSNR, YUV PSNR, Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 32x32, Inter 16x16, Inter 8x8, Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
0, I-SLICE,    0, 19.00,   56737192, 0,0.00,43.974, 43.202, 43.179, 43.778,23,  -, -, 0.00%,  0.00%,  0.00%, 0.31%,  2.04%, 12.79%, 0.50%,  0.75%, 16.80%, 1.26%,  1.47%, 28.90%,35.18%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 10925.48, 5961.59, 0.00, 22179838.02 , 0, 255, 66.06, 0, 255, 69.44, 0, 255, 64.48, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 96.24%, 0.00%,0.00%, 3.76%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 90550.4, 331.0, 727700.1, 681214.4, 0.0, 0.0, 817048.9, 1.000, 0
1, P-SLICE,    1, 22.00,   57825400, 0,0.00,39.405, 39.245, 39.244, 39.365,23, 0 , -, 0.00%,  0.00%,  0.00%, 0.01%,  0.55%,  0.72%, 0.13%,  0.68%,  3.33%, 2.73%,  8.91%, 62.63%, 0.00%,  0.00%,  0.15%,  1.32%, 18.83%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 35884.79, 17783.52, 0.00, 22832589.75 , 0, 255, 67.50, 0, 255, 86.92, 0, 255, 82.58, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 89.30%, 0.00%,0.00%, 4.87%, 5.83%, 0.00%, 0.00%, 0.00%, 0.00%, 72.46%, 0.00%,0.00%, 16.66%, 10.88%, 0.00%, 0.00%, 0.00%, 0.00%, 79.78%, 0.00%,0.00%, 8.99%, 11.23%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 2195.5, 2541.0, 567945.9, 527201.7, 0.0, 0.0, 1387158.4, 1.000, 0
2, P-SLICE,    2, 22.00,   46512976, 0,0.00,39.291, 38.870, 38.800, 39.177,23, 1 0 , -, 0.00%,  0.00%,  0.00%, 0.01%,  0.30%,  0.56%, 0.12%,  0.53%,  3.01%, 0.84%,  2.04%, 19.87%, 0.00%,  0.00%,  0.66%,  7.73%, 64.33%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 33930.70, 18764.13, 0.00, 9275972.58 , 0, 255, 66.11, 0, 255, 69.63, 0, 255, 64.54, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 56.83%, 0.00%,0.00%, 13.97%, 29.21%, 0.00%, 0.00%, 0.00%, 0.00%, 31.30%, 0.00%,0.00%, 29.66%, 39.03%, 0.00%, 0.00%, 0.00%, 0.00%, 26.13%, 0.00%,0.00%, 32.21%, 41.66%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 1322.7, 2177.2, 391394.8, 362665.6, 0.0, 0.0, 1779372.4, 1.000, 0
3, P-SLICE,    3, 22.00,   57029920, 0,0.00,39.358, 39.238, 39.221, 39.326,23, 2 1 0 , -, 0.00%,  0.00%,  0.00%, 0.01%,  0.23%,  0.23%, 0.07%,  0.45%,  1.68%, 2.13%,  6.59%, 45.73%, 0.00%,  0.00%,  0.13%,  1.61%, 41.14%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 35723.57, 17808.27, 0.00, 19322369.28 , 0, 255, 68.02, 0, 255, 86.87, 0, 255, 81.47, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 77.93%, 0.00%,0.00%, 11.27%, 10.80%, 0.00%, 0.00%, 0.00%, 0.00%, 54.59%, 0.00%,0.00%, 28.36%, 17.05%, 0.00%, 0.00%, 0.00%, 0.00%, 56.97%, 0.00%,0.00%, 22.59%, 20.45%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 1474.1, 1798.9, 373974.8, 345481.3, 0.0, 0.0, 2153882.1, 1.000, 0
4, P-SLICE,    4, 22.00,   48071704, 0,0.00,39.300, 38.904, 38.828, 39.192,23, 3 2 1 , -, 0.00%,  0.00%,  0.00%, 0.01%,  0.37%,  0.82%, 0.23%,  0.91%,  6.56%, 0.91%,  2.44%, 26.31%, 0.00%,  0.00%,  0.43%,  7.70%, 53.31%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 34244.84, 18607.47, 0.00, 10662306.71 , 0, 255, 66.04, 0, 255, 69.56, 0, 255, 64.09, 0.00%, 0.00%,0.00%, 0.00%, 100.00%, 0.00%, 0.00%, 0.00%, 0.00%, 73.66%, 0.00%,0.00%, 9.56%, 16.77%, 0.00%, 0.00%, 0.00%, 0.00%, 49.01%, 0.00%,0.00%, 24.75%, 26.24%, 0.00%, 0.00%, 0.00%, 0.00%, 35.75%, 0.00%,0.00%, 30.78%, 33.47%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 1204.1, 1630.7, 319122.7, 290849.0, 0.0, 0.0, 2473132.5, 1.000, 0
5, P-SLICE,    5, 22.00,   57686864, 0,0.00,39.380, 39.257, 39.246, 39.348,23, 4 3 2 , -, 0.00%,  0.00%,  0.00%, 0.01%,  0.31%,  0.34%, 0.09%,  0.53%,  2.32%, 2.23%,  7.24%, 51.62%, 0.00%,  0.00%,  0.18%,  1.52%, 33.60%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 35779.49, 17748.82, 0.00, 20348684.26 , 0, 255, 68.41, 0, 255, 86.80, 0, 255, 80.85, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 78.33%, 0.00%,0.00%, 11.01%, 10.67%, 0.00%, 0.00%, 0.00%, 0.00%, 62.61%, 0.00%,0.00%, 23.85%, 13.54%, 0.00%, 0.00%, 0.00%, 0.00%, 64.52%, 0.00%,0.00%, 19.20%, 16.28%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 707.2, 1179.1, 374455.1, 346005.4, 0.0, 0.0, 2846511.4, 1.000, 0
6, P-SLICE,    6, 22.00,    1955856, 0,0.00,40.194, 39.941, 39.871, 40.122,23, 5 4 3 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.06%, 11.53%, 43.30%, 25.38%,  0.00%,  0.00%,  0.01%,  0.00%,  0.00%,  0.28%, 10.54%,  8.90%, 26169.61, 14265.67, 0.00, 31061.44 , 0, 255, 66.04, 0, 255, 69.56, 0, 255, 64.09, 0.00%, 0.00%,0.00%, 0.00%, 100.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 2.40%,0.00%, 0.03%, 97.57%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 19.29%,0.00%, 1.50%, 79.21%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 25.96%,0.00%, 0.00%, 74.04%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 716.9, 1319.4, 97092.9, 91313.8, 0.0, 0.0, 2942908.5, 1.000, 0
7, P-SLICE,    7, 22.00,    1916688, 0,0.00,40.476, 40.315, 40.337, 40.438,23, 6 5 4 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  1.57%, 44.76%, 35.48%,  9.73%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.42%,  3.90%,  4.14%, 24959.69, 12935.04, 0.00, 30494.44 , 0, 255, 68.41, 0, 255, 86.80, 0, 255, 80.85, 0.00%, 0.00%,0.00%, 0.49%, 99.51%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.93%,0.00%, 0.00%, 99.07%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 9.46%,0.00%, 4.47%, 86.08%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 29.87%,0.00%, 0.00%, 70.13%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 689.2, 1231.8, 106344.8, 101115.9, 0.0, 0.0, 3047907.2, 1.000, 0
8, P-SLICE,    8, 22.00,   46728040, 0,0.00,39.293, 38.858, 38.792, 39.176,23, 7 6 5 , -, 0.00%,  0.00%,  0.00%, 0.01%,  0.65%,  1.25%, 0.11%,  0.51%,  3.19%, 0.76%,  2.00%, 20.60%, 0.00%,  0.01%,  1.00%,  6.73%, 63.15%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 34057.38, 18877.41, 0.00, 10351068.02 , 0, 255, 65.98, 0, 255, 69.23, 0, 255, 63.56, 0.00%, 0.00%,0.00%, 36.36%, 63.64%, 0.00%, 0.00%, 0.00%, 0.00%, 65.72%, 0.00%,0.00%, 10.45%, 23.83%, 0.00%, 0.00%, 0.00%, 0.00%, 35.12%, 0.00%,0.00%, 30.29%, 34.59%, 0.00%, 0.00%, 0.00%, 0.00%, 27.01%, 0.00%,0.00%, 33.88%, 39.11%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 686.2, 1759.7, 388710.2, 362058.1, 0.0, 0.0, 3436456.1, 1.000, 0
9, P-SLICE,    9, 22.00,   57219064, 0,0.00,39.359, 39.250, 39.224, 39.328,23, 8 7 6 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.25%,  0.24%, 0.07%,  0.38%,  1.80%, 2.12%,  6.93%, 47.49%, 0.00%,  0.00%,  0.13%,  1.59%, 39.01%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 35730.03, 17774.36, 0.00, 19509770.05 , 0, 255, 68.75, 0, 255, 86.78, 0, 255, 80.32, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 78.69%, 0.00%,0.00%, 10.58%, 10.73%, 0.00%, 0.00%, 0.00%, 0.00%, 55.29%, 0.00%,0.00%, 28.21%, 16.51%, 0.00%, 0.00%, 0.00%, 0.00%, 59.17%, 0.00%,0.00%, 21.87%, 18.96%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 686.3, 1169.0, 303101.8, 278716.6, 0.0, 0.0, 3738909.3, 1.000, 0
