Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, Y PSNR, U PSNR, V PSNR, YUV PSNR, Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 32x32, Inter 16x16, Inter 8x8, Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
0, I-SLICE,    0, 24.00,   45332792, 0,0.00,39.741, 39.341, 39.270, 39.632,23,  -, -, 0.00%,  0.00%,  0.00%, 0.29%,  1.61%,  9.14%, 0.56%,  0.74%, 14.48%, 1.45%,  1.70%, 32.43%,37.61%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 30880.38, 16946.70, 0.00, 21560094.33 , 0, 255, 66.06, 0, 255, 69.44, 0, 255, 64.48, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 96.46%, 0.00%,0.00%, 3.54%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 83870.2, 308.4, 1024079.6, 960274.7, 0.0, 0.0, 1106628.4, 1.000, 0
1, P-SLICE,    1, 27.00,   46231184, 0,0.00,35.058, 34.907, 34.886, 35.017,23, 0 , -, 0.00%,  0.00%,  0.00%, 0.03%,  0.43%,  0.56%, 0.17%,  0.71%,  3.12%, 2.81%,  8.67%, 60.26%, 0.00%,  0.00%,  0.14%,  1.29%, 21.82%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 104650.50, 51425.51, 0.00, 22249577.62 , 0, 255, 67.50, 0, 255, 86.92, 0, 255, 82.58, 0.00%, 0.00%,0.00%, 100.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 88.19%, 0.00%,0.00%, 6.04%, 5.77%, 0.00%, 0.00%, 0.00%, 0.00%, 72.18%, 0.00%,0.00%, 16.21%, 11.61%, 0.00%, 0.00%, 0.00%, 0.00%, 76.68%, 0.00%,0.00%, 10.39%, 12.93%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 2258.6, 2628.2, 576396.1, 538328.1, 0.0, 0.0, 1685056.6, 1.000, 0
2, P-SLICE,    2, 27.00,   35380032, 0,0.00,34.951, 34.386, 34.354, 34.805,23, 1 0 , -, 0.00%,  0.00%,  0.00%, 0.02%,  0.24%,  0.38%, 0.13%,  0.61%,  2.72%, 0.91%,  2.23%, 19.90%, 0.00%,  0.00%,  0.63%,  7.28%, 64.95%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 96135.52, 54899.62, 0.00, 9185020.25 , 0, 255, 66.11, 0, 255, 69.63, 0, 255, 64.54, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 50.14%, 0.00%,0.00%, 17.76%, 32.11%, 0.00%, 0.00%, 0.00%, 0.00%, 31.42%, 0.00%,0.00%, 29.04%, 39.54%, 0.00%, 0.00%, 0.00%, 0.00%, 26.19%, 0.00%,0.00%, 31.56%, 42.26%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 2567.1, 1438.1, 373208.5, 345838.6, 0.0, 0.0, 2059900.2, 1.000, 0
3, P-SLICE,    3, 27.00,   45356456, 0,0.00,35.020, 34.857, 34.840, 34.977,23, 2 1 0 , -, 0.00%,  0.00%,  0.00%, 0.02%,  0.16%,  0.17%, 0.09%,  0.41%,  1.39%, 2.10%,  6.40%, 42.71%, 0.00%,  0.00%,  0.12%,  1.64%, 44.80%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 103967.84, 51794.11, 0.00, 18669366.54 , 0, 255, 68.02, 0, 255, 86.87, 0, 255, 81.47, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 74.76%, 0.00%,0.00%, 15.07%, 10.18%, 0.00%, 0.00%, 0.00%, 0.00%, 50.44%, 0.00%,0.00%, 29.67%, 19.89%, 0.00%, 0.00%, 0.00%, 0.00%, 53.33%, 0.00%,0.00%, 23.63%, 23.03%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 1309.9, 1632.2, 425096.8, 394229.7, 0.0, 0.0, 2485209.3, 1.000, 0
4, P-SLICE,    4, 27.00,   36828944, 0,0.00,34.941, 34.407, 34.364, 34.802,23, 3 2 1 , -, 0.00%,  0.00%,  0.00%, 0.02%,  0.25%,  0.64%, 0.23%,  0.94%,  5.87%, 0.96%,  2.62%, 26.96%, 0.00%,  0.00%,  0.39%,  7.02%, 54.10%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 97688.42, 54554.65, 0.00, 10457966.03 , 0, 255, 66.04, 0, 255, 69.56, 0, 255, 64.09, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 69.90%, 0.00%,0.00%, 10.10%, 20.00%, 0.00%, 0.00%, 0.00%, 0.00%, 49.00%, 0.00%,0.00%, 24.35%, 26.65%, 0.00%, 0.00%, 0.00%, 0.00%, 36.08%, 0.00%,0.00%, 29.62%, 34.30%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 1293.1, 1192.9, 375339.3, 348842.9, 0.0, 0.0, 2860341.2, 1.000, 0
5, P-SLICE,    5, 27.00,   46022976, 0,0.00,35.041, 34.901, 34.858, 35.001,23, 4 3 2 , -, 0.00%,  0.00%,  0.00%, 0.01%,  0.26%,  0.28%, 0.08%,  0.54%,  2.11%, 2.31%,  6.91%, 48.66%, 0.00%,  0.00%,  0.15%,  1.55%, 37.13%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 104425.71, 51580.36, 0.00, 19759254.60 , 0, 255, 68.41, 0, 255, 86.80, 0, 255, 80.85, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 78.47%, 0.00%,0.00%, 10.90%, 10.63%, 0.00%, 0.00%, 0.00%, 0.00%, 60.54%, 0.00%,0.00%, 24.57%, 14.89%, 0.00%, 0.00%, 0.00%, 0.00%, 60.92%, 0.00%,0.00%, 20.73%, 18.36%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 929.7, 1770.4, 426858.6, 392561.4, 0.0, 0.0, 3287604.9, 1.000, 0
6, P-SLICE,    6, 27.00,    1453136, 0,0.00,35.720, 35.346, 35.296, 35.620,23, 5 4 3 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.05%, 12.89%, 46.91%, 14.47%,  0.00%,  0.00%,  0.01%,  0.00%,  0.00%,  0.55%, 16.22%,  8.89%, 73617.80, 41245.66, 0.00, 84751.07 , 0, 255, 66.04, 0, 255, 69.56, 0, 255, 64.09, 0.00%, 0.00%,0.00%, 0.00%, 100.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 4.09%,0.00%, 0.03%, 95.88%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 25.34%,0.00%, 1.43%, 73.23%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 38.05%,0.00%, 0.00%, 61.95%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 679.4, 1255.6, 113746.2, 107071.6, 0.0, 0.0, 3400062.9, 1.000, 0
7, P-SLICE,    7, 27.00,    1391496, 0,0.00,36.258, 36.069, 36.097, 36.214,23, 6 5 4 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.81%, 73.04%, 19.01%,  2.14%,  0.00%,  0.01%,  0.02%,  0.00%,  0.00%,  0.32%,  2.76%,  1.88%, 69297.81, 35256.93, 0.00, 82821.82 , 0, 255, 68.41, 0, 255, 86.80, 0, 255, 80.85, 0.00%, 0.00%,0.00%, 0.00%, 100.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.44%,0.00%, 0.00%, 99.56%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 11.49%,0.00%, 10.10%, 78.41%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 46.72%,0.00%, 0.00%, 53.28%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 1337.2, 1676.0, 129392.1, 124453.6, 0.0, 0.0, 3529760.5, 1.000, 0
8, P-SLICE,    8, 27.00,   35620048, 0,0.00,34.910, 34.375, 34.343, 34.773,23, 7 6 5 , -, 0.00%,  0.00%,  0.00%, 0.03%,  0.51%,  1.04%, 0.13%,  0.54%,  2.97%, 0.82%,  2.20%, 21.28%, 0.00%,  0.02%,  0.90%,  6.03%, 63.52%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 97460.08, 55216.46, 0.00, 10115110.94 , 0, 255, 65.98, 0, 255, 69.23, 0, 255, 63.56, 0.00%, 0.00%,0.00%, 40.00%, 60.00%, 0.00%, 0.00%, 0.00%, 0.00%, 63.65%, 0.00%,0.00%, 11.34%, 25.01%, 0.00%, 0.00%, 0.00%, 0.00%, 36.46%, 0.00%,0.00%, 29.08%, 34.46%, 0.00%, 0.00%, 0.00%, 0.00%, 27.67%, 0.00%,0.00%, 32.75%, 39.58%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 583.9, 1196.9, 340518.0, 319351.9, 0.0, 0.0, 3868783.1, 1.000, 0
9, P-SLICE,    9, 27.00,   45563296, 0,0.00,35.033, 34.892, 34.843, 34.992,23, 8 7 6 , -, 0.00%,  0.00%,  0.00%, 0.01%,  0.19%,  0.19%, 0.08%,  0.39%,  1.55%, 2.19%,  6.57%, 44.61%, 0.00%,  0.00%,  0.12%,  1.47%, 42.63%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 103992.50, 51589.51, 0.00, 18992957.96 , 0, 255, 68.75, 0, 255, 86.78, 0, 255, 80.32, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 76.12%, 0.00%,0.00%, 11.49%, 12.39%, 0.00%, 0.00%, 0.00%, 0.00%, 54.40%, 0.00%,0.00%, 27.83%, 17.77%, 0.00%, 0.00%, 0.00%, 0.00%, 55.59%, 0.00%,0.00%, 23.12%, 21.28%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 369.7, 1209.1, 321076.7, 295063.5, 0.0, 0.0, 4189102.1, 1.000, 0
