Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, Y PSNR, U PSNR, V PSNR, YUV PSNR, Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 32x32, Inter 16x16, Inter 8x8, Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
0, I-SLICE,    0, 34.00,   25473136, 0,0.00,30.878, 30.942, 30.921, 30.892,23,  -, -, 0.00%,  0.00%,  0.00%, 0.45%,  1.29%,  7.10%, 0.54%,  0.83%, 10.13%, 1.34%,  1.26%, 30.09%,46.97%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 254644.61, 117731.61, 0.00, 20218706.59 , 0, 255, 66.06, 0, 255, 69.44, 0, 255, 64.48, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 95.87%, 0.00%,0.00%, 4.13%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 51940.3, 112.9, 752921.0, 726033.1, 0.0, 0.0, 804281.7, 1.000, 0
1, P-SLICE,    1, 37.00,   26669872, 0,0.00,25.461, 28.220, 28.116, 26.138,23, 0 , -, 0.00%,  0.00%,  0.00%, 0.11%,  0.66%,  1.14%, 0.20%,  0.78%,  3.15%, 3.44%,  7.91%, 59.50%, 0.00%,  0.00%,  0.28%,  1.70%, 21.14%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 875439.78, 239853.30, 0.00, 21456468.10 , 0, 255, 67.50, 0, 255, 86.92, 0, 255, 82.58, 0.00%, 0.00%,0.00%, 33.33%, 66.67%, 0.00%, 0.00%, 0.00%, 0.00%, 87.31%, 0.00%,0.00%, 6.21%, 6.48%, 0.00%, 0.00%, 0.00%, 0.00%, 67.62%, 0.00%,0.00%, 18.21%, 14.16%, 0.00%, 0.00%, 0.00%, 0.00%, 77.02%, 0.00%,0.00%, 10.04%, 12.94%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 750.6, 1287.1, 475305.7, 454143.7, 0.0, 0.0, 1279743.6, 1.000, 0
2, P-SLICE,    2, 37.00,   17844000, 0,0.00,25.982, 27.308, 27.362, 26.320,23, 1 0 , -, 0.00%,  0.00%,  0.00%, 0.04%,  0.25%,  0.57%, 0.15%,  0.60%,  2.52%, 0.86%,  1.88%, 15.74%, 0.00%,  0.00%,  0.61%,  6.78%, 69.43%,  0.00%,  0.00%,  0.00%,  0.25%,  0.00%,  0.00%,  0.00%,  0.32%, 719363.33, 266596.44, 0.00, 8936497.91 , 0, 255, 66.11, 0, 255, 69.63, 0, 255, 64.54, 0.00%, 0.00%,0.00%, 0.00%, 100.00%, 0.00%, 0.00%, 0.00%, 0.00%, 58.39%, 0.00%,0.00%, 12.70%, 28.91%, 0.00%, 0.00%, 0.00%, 0.00%, 31.59%, 0.03%,0.00%, 27.27%, 41.11%, 0.00%, 0.00%, 0.00%, 0.00%, 20.89%, 0.65%,0.00%, 30.58%, 47.88%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 679.1, 803.6, 362400.4, 342133.4, 0.0, 0.0, 1641870.2, 1.000, 0
3, P-SLICE,    3, 37.00,   25985000, 0,0.00,25.487, 28.095, 28.016, 26.130,23, 2 1 0 , -, 0.00%,  0.00%,  0.00%, 0.04%,  0.21%,  0.23%, 0.06%,  0.37%,  1.27%, 2.41%,  5.50%, 37.76%, 0.00%,  0.00%,  0.20%,  1.95%, 49.87%,  0.00%,  0.00%,  0.00%,  0.08%,  0.00%,  0.00%,  0.00%,  0.03%, 858836.41, 245907.22, 0.00, 17510332.91 , 0, 255, 68.02, 0, 255, 86.87, 0, 255, 81.47, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 70.26%, 0.00%,0.00%, 14.32%, 15.42%, 0.00%, 0.00%, 0.00%, 0.00%, 43.96%, 0.00%,0.00%, 31.91%, 24.13%, 0.00%, 0.00%, 0.00%, 0.00%, 47.74%, 0.12%,0.00%, 24.44%, 27.70%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 1191.9, 1176.2, 451876.5, 432056.0, 0.0, 0.0, 2094513.4, 1.000, 0
4, P-SLICE,    4, 37.00,   19032920, 0,0.00,25.888, 27.571, 27.547, 26.306,23, 3 2 1 , -, 0.00%,  0.00%,  0.00%, 0.04%,  0.29%,  1.00%, 0.30%,  0.93%,  6.01%, 0.92%,  1.94%, 22.06%, 0.00%,  0.00%,  0.47%,  7.38%, 58.57%,  0.00%,  0.00%,  0.00%,  0.04%,  0.00%,  0.00%,  0.00%,  0.04%, 741509.38, 254413.23, 0.00, 10143115.21 , 0, 255, 66.04, 0, 255, 69.56, 0, 255, 64.09, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 74.01%, 0.00%,0.00%, 8.83%, 17.15%, 0.00%, 0.00%, 0.00%, 0.00%, 48.48%, 0.00%,0.00%, 22.09%, 29.43%, 0.00%, 0.00%, 0.00%, 0.00%, 29.82%, 0.10%,0.00%, 29.15%, 40.93%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 709.3, 908.7, 374754.9, 357388.7, 0.0, 0.0, 2469175.5, 1.000, 0
5, P-SLICE,    5, 37.00,   26467760, 0,0.00,25.491, 28.162, 28.076, 26.148,23, 4 3 2 , -, 0.00%,  0.00%,  0.00%, 0.05%,  0.37%,  0.48%, 0.10%,  0.47%,  1.78%, 2.47%,  5.95%, 44.46%, 0.00%,  0.00%,  0.28%,  1.89%, 41.66%,  0.00%,  0.00%,  0.00%,  0.04%,  0.00%,  0.00%,  0.00%,  0.01%, 867059.52, 242916.25, 0.00, 18669979.52 , 0, 255, 68.41, 0, 255, 86.80, 0, 255, 80.85, 0.00%, 0.00%,0.00%, 0.00%, 100.00%, 0.00%, 0.00%, 0.00%, 0.00%, 76.16%, 0.00%,0.00%, 11.19%, 12.65%, 0.00%, 0.00%, 0.00%, 0.00%, 52.49%, 0.00%,0.00%, 27.94%, 19.57%, 0.00%, 0.00%, 0.00%, 0.00%, 55.90%, 0.05%,0.00%, 22.23%, 21.81%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 419.4, 1168.7, 468749.5, 444791.9, 0.0, 0.0, 2938143.3, 1.000, 0
6, P-SLICE,    6, 37.00,     576416, 0,0.00,26.536, 27.855, 27.781, 26.856,23, 5 4 3 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.11%, 10.19%, 27.76%,  7.77%,  0.00%,  0.00%,  0.03%,  0.00%,  0.02%,  5.00%, 41.98%,  7.14%, 614327.78, 231500.23, 0.00, 681466.40 , 0, 255, 66.04, 0, 255, 69.56, 0, 255, 64.09, 0.00%, 16.67%,0.00%, 0.00%, 83.33%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 32.95%,0.00%, 0.03%, 67.03%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 59.35%,0.00%, 1.43%, 39.21%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 47.91%,0.00%, 0.23%, 51.86%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 414.6, 1093.1, 72778.0, 70783.4, 0.0, 0.0, 3010809.7, 1.000, 0
7, P-SLICE,    7, 37.00,     650936, 0,0.00,26.452, 28.950, 28.885, 27.068,23, 6 5 4 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  2.86%, 58.63%, 15.22%,  4.97%,  0.00%,  0.00%,  0.00%,  0.00%,  0.27%,  7.62%,  6.81%,  3.61%, 656569.27, 203087.26, 0.00, 746604.09 , 0, 255, 68.41, 0, 255, 86.80, 0, 255, 80.85, 0.00%, 8.70%,0.00%, 0.33%, 90.97%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 11.51%,0.00%, 0.00%, 88.49%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 27.74%,0.00%, 10.24%, 62.01%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 42.07%,0.00%, 0.00%, 57.93%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 369.3, 1185.6, 98108.4, 94933.2, 0.0, 0.0, 3108773.1, 1.000, 0
8, P-SLICE,    8, 37.00,   18049480, 0,0.00,25.830, 27.432, 27.449, 26.233,23, 7 6 5 , -, 0.00%,  0.00%,  0.00%, 0.09%,  0.53%,  1.46%, 0.11%,  0.50%,  2.63%, 0.71%,  1.72%, 15.61%, 0.00%,  0.01%,  0.92%,  6.27%, 69.15%,  0.00%,  0.00%,  0.00%,  0.13%,  0.00%,  0.00%,  0.00%,  0.15%, 746196.80, 262223.90, 0.00, 9733534.82 , 0, 255, 65.98, 0, 255, 69.23, 0, 255, 63.56, 0.00%, 0.00%,0.00%, 50.00%, 50.00%, 0.00%, 0.00%, 0.00%, 0.00%, 69.35%, 0.00%,0.00%, 10.11%, 20.54%, 0.00%, 0.00%, 0.00%, 0.00%, 32.99%, 0.00%,0.00%, 28.84%, 38.17%, 0.00%, 0.00%, 0.00%, 0.00%, 20.62%, 0.32%,0.00%, 31.61%, 47.44%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 373.4, 1213.4, 412841.2, 397038.6, 0.0, 0.0, 3521500.9, 1.000, 0
9, P-SLICE,    9, 37.00,   26133424, 0,0.00,25.511, 28.156, 28.069, 26.162,23, 8 7 6 , -, 0.00%,  0.00%,  0.00%, 0.04%,  0.26%,  0.27%, 0.09%,  0.35%,  1.42%, 2.38%,  5.66%, 39.20%, 0.00%,  0.00%,  0.23%,  1.94%, 48.05%,  0.00%,  0.00%,  0.00%,  0.06%,  0.00%,  0.00%,  0.00%,  0.04%, 859547.13, 243727.06, 0.00, 17758069.54 , 0, 255, 68.75, 0, 255, 86.78, 0, 255, 80.32, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 71.36%, 0.00%,0.00%, 13.96%, 14.68%, 0.00%, 0.00%, 0.00%, 0.00%, 46.23%, 0.00%,0.00%, 30.98%, 22.79%, 0.00%, 0.00%, 0.00%, 0.00%, 49.52%, 0.11%,0.00%, 24.60%, 25.77%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 669.5, 1161.2, 481159.5, 456491.0, 0.0, 0.0, 4002791.0, 1.000, 0
