, Original, Original, RBER 1E-3, RBER 1E-3, RBER 1E-4, RBER 1E-4, RBER 1E-5, RBER 1E-5, RBER 1E-6, RBER 1E-6, RBER 1E-7, RBER 1E-7
QP 22, 41129.57, 40.421, 41679.88, 40.409, 41175.25, 40.419, 41163.01, 40.421, 41102.45, 40.420, 41126.95, 40.420,
QP 27, 12609.26, 38.480, 12896.72, 38.468, 12649.47, 38.479, 12605.56, 38.481, 12597.66, 38.481, 12602.28, 38.480,
QP 32, 5590.45, 36.861, 5744.77, 36.837, 5609.81, 36.861, 5590.60, 36.859, 5580.83, 36.860, 5589.93, 36.859,
QP 37, 2849.97, 34.924, 2943.38, 34.890, 2862.01, 34.908, 2853.88, 34.922, 2850.77, 34.921, 2850.51, 34.923,


,Original,Original,WBER 1E-3, WBER 1E-3, WBER 1E-4, WBER 1E-4, WBER 1E-5, WBER 1E-5, WBER 1E-6, WBER 1E-6, WBER 1E-7, WBER 1E-7
QP 22, 41129.57, 40.421, 41335.84, 40.413, 41152.78, 40.421, 41124.07, 40.420, 41162.92, 40.422, 41110.41, 40.420,
QP 27, 12609.26, 38.480, 12709.69, 38.475, 12600.47, 38.481, 12599.98, 38.480, 12596.55, 38.479, 12596.59, 38.480,
QP 32, 5590.45, 36.861, 5641.22, 36.851, 5588.52, 36.862, 5582.51, 36.861, 5590.15, 36.859, 5587.31, 36.861,
QP 37, 2849.97, 34.924, 2877.67, 34.901, 2852.16, 34.915, 2849.79, 34.919, 2844.93, 34.920, 2848.13, 34.921,
