Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, Y PSNR, U PSNR, V PSNR, YUV PSNR, Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 32x32, Inter 16x16, Inter 8x8, Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
0, I-SLICE,    0, 19.00,    2550824, 0,0.00,44.779, 46.160, 47.838, 45.334,23,  -, -, 0.00%,  0.00%,  0.00%, 0.05%,  0.09%,  0.21%, 0.62%,  0.53%,  1.25%,24.03%, 14.01%, 50.08%, 9.12%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 8737.76, 2691.09, 0.00, 120941.66 , 17, 235, 125.86, 56, 149, 109.96, 105, 227, 146.28, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 99.06%, 0.00%,0.00%, 0.94%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 11762.7, 80.5, 82291.0, 75443.2, 0.0, 0.0, 93188.0, 1.000, 0
1, P-SLICE,    1, 22.00,     752432, 0,0.00,40.358, 45.188, 46.714, 41.756,23, 0 , -, 0.00%,  0.00%,  0.00%, 0.31%,  0.16%,  1.41%, 3.96%,  1.42%, 16.27%, 6.30%,  3.10%, 26.19%, 0.00%,  0.02%,  0.40%,  7.18%, 22.75%,  0.00%,  0.16%,  3.10%,  2.94%,  0.03%,  0.14%,  2.66%,  1.51%, 25821.45, 3494.45, 0.00, 90016.42 , 17, 235, 125.79, 57, 151, 110.04, 106, 227, 146.19, 0.00%, 66.67%,0.00%, 33.33%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 72.94%, 11.47%,0.00%, 12.06%, 3.53%, 0.00%, 0.00%, 0.00%, 0.00%, 62.58%, 16.67%,0.00%, 17.02%, 3.72%, 0.00%, 0.00%, 0.00%, 0.00%, 55.07%, 6.90%,0.00%, 22.62%, 15.41%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 377.1, 74.8, 29376.2, 27066.4, 0.0, 0.0, 122589.3, 1.000, 0
2, P-SLICE,    2, 22.00,     619664, 0,0.00,40.479, 45.108, 46.615, 41.824,23, 1 0 , -, 0.00%,  0.00%,  0.00%, 0.46%,  0.32%,  1.60%, 1.98%,  0.68%,  5.96%, 3.70%,  1.57%, 16.81%, 0.00%,  0.05%,  6.69%, 13.12%, 34.28%,  0.00%,  0.61%,  1.91%,  3.41%,  0.05%,  1.39%,  2.06%,  3.33%, 24430.83, 3567.68, 0.00, 84383.78 , 17, 235, 125.25, 58, 149, 110.09, 103, 226, 146.37, 0.00%, 50.00%,0.00%, 50.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 21.56%, 18.05%,0.00%, 37.66%, 22.73%, 0.00%, 0.00%, 0.00%, 0.00%, 33.53%, 15.46%,0.00%, 28.32%, 22.69%, 0.00%, 0.00%, 0.00%, 0.00%, 33.60%, 10.26%,0.00%, 25.59%, 30.54%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 313.6, 343.4, 23804.6, 22556.3, 0.0, 0.0, 146696.0, 1.000, 0
3, P-SLICE,    3, 22.00,     593160, 0,0.00,40.499, 45.077, 46.536, 41.826,23, 2 1 0 , -, 0.00%,  0.00%,  0.00%, 0.29%,  0.24%,  1.08%, 1.63%,  0.62%,  4.80%, 4.03%,  1.64%, 16.26%, 0.00%,  0.38%,  5.97%, 13.15%, 36.37%,  0.00%,  0.61%,  1.66%,  3.90%,  0.17%,  0.94%,  1.73%,  4.54%, 24079.85, 3619.43, 0.00, 76805.49 , 17, 235, 124.77, 56, 149, 110.30, 103, 220, 146.53, 0.00%, 30.77%,0.00%, 59.62%, 9.62%, 0.00%, 0.00%, 0.00%, 0.00%, 17.59%, 17.01%,0.00%, 40.39%, 25.00%, 0.00%, 0.00%, 0.00%, 0.00%, 29.87%, 14.38%,0.00%, 30.81%, 24.94%, 0.00%, 0.00%, 0.00%, 0.00%, 31.65%, 12.19%,0.00%, 27.24%, 28.92%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 235.7, 296.5, 27019.1, 25022.2, 0.0, 0.0, 173906.9, 1.000, 0
4, P-SLICE,    4, 22.00,     596824, 0,0.00,40.503, 45.038, 46.530, 41.823,23, 3 2 1 , -, 0.00%,  0.00%,  0.00%, 0.33%,  0.21%,  1.03%, 1.80%,  0.80%,  4.75%, 4.55%,  1.77%, 15.79%, 0.00%,  0.31%,  6.15%, 12.84%, 35.33%,  0.00%,  0.54%,  1.90%,  4.31%,  0.16%,  0.87%,  2.03%,  4.51%, 23931.14, 3649.41, 0.00, 75631.61 , 17, 235, 124.31, 58, 148, 110.47, 108, 220, 146.69, 0.00%, 33.33%,0.00%, 53.33%, 13.33%, 0.00%, 0.00%, 0.00%, 0.00%, 17.18%, 15.46%,0.00%, 42.96%, 24.40%, 0.00%, 0.00%, 0.00%, 0.00%, 30.46%, 16.31%,0.00%, 30.20%, 23.04%, 0.00%, 0.00%, 0.00%, 0.00%, 32.15%, 12.83%,0.00%, 27.33%, 27.69%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 166.6, 296.3, 23731.3, 22521.3, 0.0, 0.0, 197755.7, 1.000, 0
5, P-SLICE,    5, 22.00,     607656, 0,0.00,40.505, 45.003, 46.485, 41.814,23, 4 3 2 , -, 0.00%,  0.00%,  0.00%, 0.28%,  0.30%,  1.06%, 1.93%,  0.81%,  5.09%, 4.47%,  1.79%, 16.75%, 0.00%,  0.45%,  5.71%, 12.40%, 35.79%,  0.00%,  0.54%,  1.50%,  3.85%,  0.15%,  0.92%,  2.11%,  4.10%, 23852.04, 3674.00, 0.00, 74419.42 , 17, 235, 123.96, 56, 148, 110.63, 107, 219, 146.82, 0.00%, 24.56%,0.00%, 61.40%, 14.04%, 0.00%, 0.00%, 0.00%, 0.00%, 18.66%, 16.51%,0.00%, 42.22%, 22.61%, 0.00%, 0.00%, 0.00%, 0.00%, 32.86%, 15.13%,0.00%, 28.53%, 23.49%, 0.00%, 0.00%, 0.00%, 0.00%, 33.22%, 11.47%,0.00%, 28.24%, 27.07%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 130.6, 96.1, 26552.5, 25360.1, 0.0, 0.0, 224204.1, 1.000, 0
6, P-SLICE,    6, 22.00,     613664, 0,0.00,40.507, 45.021, 46.405, 41.809,23, 5 4 3 , -, 0.00%,  0.00%,  0.00%, 0.55%,  0.36%,  1.08%, 1.82%,  0.80%,  5.14%, 4.51%,  1.76%, 17.36%, 0.00%,  0.31%,  5.82%, 13.17%, 34.19%,  0.00%,  0.50%,  1.69%,  4.68%,  0.17%,  1.24%,  1.85%,  2.96%, 23812.79, 3700.48, 0.00, 74618.80 , 17, 235, 124.21, 57, 154, 110.66, 107, 219, 146.77, 0.00%, 35.56%,0.00%, 46.67%, 17.78%, 0.00%, 0.00%, 0.00%, 0.00%, 20.85%, 18.27%,0.00%, 39.80%, 21.08%, 0.00%, 0.00%, 0.00%, 0.00%, 31.73%, 14.49%,0.00%, 30.94%, 22.84%, 0.00%, 0.00%, 0.00%, 0.00%, 34.74%, 11.23%,0.00%, 26.83%, 27.21%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 86.7, 0.3, 25843.8, 23738.7, 0.0, 0.0, 249802.1, 1.000, 0
7, P-SLICE,    7, 22.00,     605856, 0,0.00,40.516, 45.040, 46.436, 41.821,23, 6 5 4 , -, 0.00%,  0.00%,  0.00%, 0.56%,  0.25%,  1.11%, 2.01%,  0.81%,  5.66%, 4.40%,  1.57%, 18.05%, 0.00%,  0.43%,  6.56%, 12.45%, 33.31%,  0.00%,  0.49%,  1.82%,  3.84%,  0.08%,  0.97%,  1.87%,  3.77%, 23764.90, 3686.05, 0.00, 83187.80 , 17, 235, 124.53, 58, 156, 110.64, 107, 219, 146.73, 0.00%, 15.22%,0.00%, 54.35%, 30.43%, 0.00%, 0.00%, 0.00%, 0.00%, 19.27%, 14.76%,0.00%, 42.51%, 23.46%, 0.00%, 0.00%, 0.00%, 0.00%, 34.46%, 14.98%,0.00%, 28.68%, 21.88%, 0.00%, 0.00%, 0.00%, 0.00%, 35.55%, 11.26%,0.00%, 27.28%, 25.91%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 157.3, 165.2, 25143.7, 23148.4, 0.0, 0.0, 274937.1, 1.000, 0
8, P-SLICE,    8, 22.00,     593648, 0,0.00,40.524, 45.039, 46.426, 41.826,23, 7 6 5 , -, 0.00%,  0.00%,  0.00%, 0.46%,  0.22%,  1.18%, 1.94%,  0.67%,  5.42%, 4.70%,  1.76%, 16.41%, 0.00%,  0.43%,  6.04%, 13.67%, 34.64%,  0.00%,  0.60%,  1.68%,  3.79%,  0.18%,  0.92%,  1.77%,  3.53%, 23712.37, 3685.57, 0.00, 78779.20 , 17, 235, 124.36, 56, 150, 110.71, 104, 219, 146.64, 0.00%, 29.09%,0.00%, 54.55%, 16.36%, 0.00%, 0.00%, 0.00%, 0.00%, 19.74%, 16.14%,0.00%, 41.93%, 22.18%, 0.00%, 0.00%, 0.00%, 0.00%, 31.93%, 13.72%,0.00%, 29.79%, 24.56%, 0.00%, 0.00%, 0.00%, 0.00%, 33.91%, 10.84%,0.00%, 27.29%, 27.95%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 155.2, 0.3, 26951.0, 24918.2, 0.0, 0.0, 301711.7, 1.000, 0
9, P-SLICE,    9, 22.00,     592152, 0,0.00,40.523, 45.036, 46.408, 41.823,23, 8 7 6 , -, 0.00%,  0.00%,  0.00%, 0.43%,  0.33%,  1.21%, 1.91%,  0.70%,  5.02%, 4.99%,  1.81%, 16.45%, 0.00%,  0.35%,  6.09%, 13.23%, 34.18%,  0.00%,  0.43%,  1.54%,  4.21%,  0.22%,  1.20%,  2.00%,  3.70%, 23737.16, 3693.79, 0.00, 89025.39 , 17, 235, 124.04, 57, 148, 110.84, 107, 219, 146.56, 0.00%, 38.46%,0.00%, 51.92%, 9.62%, 0.00%, 0.00%, 0.00%, 0.00%, 20.32%, 16.82%,0.00%, 40.86%, 22.01%, 0.00%, 0.00%, 0.00%, 0.00%, 31.29%, 14.52%,0.00%, 32.05%, 22.14%, 0.00%, 0.00%, 0.00%, 0.00%, 34.21%, 11.64%,0.00%, 29.20%, 24.95%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 155.7, 294.0, 26091.5, 23955.1, 0.0, 0.0, 327922.6, 1.000, 0
