Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, Y PSNR, U PSNR, V PSNR, YUV PSNR, Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 32x32, Inter 16x16, Inter 8x8, Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
0, I-SLICE,    0, 19.00,    2550472, 0,0.00,44.779, 46.164, 47.835, 45.334,23,  -, -, 0.00%,  0.00%,  0.00%, 0.05%,  0.09%,  0.22%, 0.62%,  0.51%,  1.27%,23.81%, 13.80%, 50.40%, 9.23%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 8738.02, 2690.46, 0.00, 120799.31 , 17, 235, 125.86, 56, 149, 109.96, 105, 227, 146.28, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 99.06%, 0.00%,0.00%, 0.94%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 12132.5, 96.2, 120733.6, 112958.8, 0.0, 0.0, 132164.4, 1.000, 0
1, P-SLICE,    1, 22.00,     752432, 0,0.00,40.362, 45.187, 46.705, 41.758,23, 0 , -, 0.00%,  0.00%,  0.00%, 0.32%,  0.17%,  1.40%, 3.93%,  1.43%, 16.14%, 6.46%,  3.32%, 26.36%, 0.00%,  0.02%,  0.41%,  7.11%, 22.68%,  0.00%,  0.18%,  2.97%,  3.01%,  0.03%,  0.11%,  2.55%,  1.39%, 25782.35, 3496.01, 0.00, 89498.29 , 17, 235, 125.79, 57, 151, 110.04, 106, 227, 146.19, 0.00%, 66.67%,0.00%, 33.33%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 72.89%, 11.37%,0.00%, 11.95%, 3.79%, 0.00%, 0.00%, 0.00%, 0.00%, 62.98%, 16.19%,0.00%, 17.21%, 3.62%, 0.00%, 0.00%, 0.00%, 0.00%, 55.57%, 6.77%,0.00%, 22.55%, 15.11%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 370.7, 64.8, 34468.2, 32623.0, 0.0, 0.0, 166609.3, 1.000, 0
2, P-SLICE,    2, 22.00,     618544, 0,0.00,40.477, 45.110, 46.616, 41.824,23, 1 0 , -, 0.00%,  0.00%,  0.00%, 0.47%,  0.36%,  1.57%, 1.93%,  0.75%,  5.70%, 3.94%,  1.75%, 16.62%, 0.00%,  0.04%,  6.57%, 12.50%, 34.97%,  0.00%,  0.65%,  1.91%,  3.43%,  0.06%,  1.39%,  1.90%,  3.48%, 24435.29, 3571.77, 0.00, 82947.66 , 17, 235, 125.25, 58, 149, 110.09, 103, 226, 146.37, 0.00%, 60.00%,0.00%, 40.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 21.82%, 18.53%,0.00%, 38.22%, 21.44%, 0.00%, 0.00%, 0.00%, 0.00%, 33.94%, 15.43%,0.00%, 27.89%, 22.74%, 0.00%, 0.00%, 0.00%, 0.00%, 33.43%, 10.35%,0.00%, 25.80%, 30.42%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 181.2, 340.7, 27251.2, 24948.1, 0.0, 0.0, 194039.4, 1.000, 0
3, P-SLICE,    3, 22.00,     591104, 0,0.00,40.495, 45.078, 46.540, 41.823,23, 2 1 0 , -, 0.00%,  0.00%,  0.00%, 0.26%,  0.23%,  0.97%, 1.64%,  0.66%,  5.06%, 4.03%,  1.62%, 16.02%, 0.00%,  0.40%,  5.84%, 13.39%, 36.00%,  0.00%,  0.46%,  1.64%,  3.75%,  0.18%,  1.02%,  1.98%,  4.82%, 24110.93, 3616.09, 0.00, 77511.01 , 17, 235, 124.77, 56, 149, 110.30, 103, 220, 146.53, 0.00%, 30.91%,0.00%, 60.00%, 9.09%, 0.00%, 0.00%, 0.00%, 0.00%, 16.67%, 16.91%,0.00%, 41.61%, 24.82%, 0.00%, 0.00%, 0.00%, 0.00%, 30.22%, 14.87%,0.00%, 30.22%, 24.69%, 0.00%, 0.00%, 0.00%, 0.00%, 31.51%, 12.46%,0.00%, 27.21%, 28.82%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 297.3, 295.6, 32636.4, 30452.6, 0.0, 0.0, 226932.0, 1.000, 0
4, P-SLICE,    4, 22.00,     596760, 0,0.00,40.500, 45.033, 46.518, 41.819,23, 3 2 1 , -, 0.00%,  0.00%,  0.00%, 0.33%,  0.17%,  1.26%, 1.46%,  0.74%,  4.87%, 4.47%,  1.71%, 15.80%, 0.00%,  0.33%,  6.10%, 12.56%, 36.17%,  0.00%,  0.56%,  1.90%,  4.26%,  0.14%,  0.93%,  2.00%,  4.27%, 23941.67, 3655.71, 0.00, 75469.15 , 17, 235, 124.31, 58, 148, 110.47, 108, 220, 146.69, 0.00%, 29.55%,0.00%, 59.09%, 11.36%, 0.00%, 0.00%, 0.00%, 0.00%, 18.74%, 15.94%,0.00%, 41.64%, 23.68%, 0.00%, 0.00%, 0.00%, 0.00%, 30.05%, 16.58%,0.00%, 28.80%, 24.57%, 0.00%, 0.00%, 0.00%, 0.00%, 31.76%, 12.33%,0.00%, 27.49%, 28.43%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 289.9, 295.9, 28545.8, 26354.9, 0.0, 0.0, 255725.2, 1.000, 0
5, P-SLICE,    5, 22.00,     607544, 0,0.00,40.499, 45.010, 46.482, 41.811,23, 4 3 2 , -, 0.00%,  0.00%,  0.00%, 0.32%,  0.33%,  0.95%, 1.81%,  0.76%,  5.29%, 4.57%,  1.70%, 16.65%, 0.00%,  0.41%,  5.99%, 12.12%, 35.87%,  0.00%,  0.56%,  1.59%,  3.85%,  0.14%,  0.93%,  2.02%,  4.16%, 23891.94, 3674.89, 0.00, 75526.36 , 17, 235, 123.96, 56, 148, 110.63, 107, 219, 146.82, 0.00%, 25.00%,0.00%, 55.77%, 19.23%, 0.00%, 0.00%, 0.00%, 0.00%, 17.54%, 16.38%,0.00%, 42.04%, 24.04%, 0.00%, 0.00%, 0.00%, 0.00%, 33.32%, 15.32%,0.00%, 28.14%, 23.22%, 0.00%, 0.00%, 0.00%, 0.00%, 33.05%, 11.55%,0.00%, 28.25%, 27.14%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 159.8, 170.5, 33110.6, 30789.5, 0.0, 0.0, 288828.1, 1.000, 0
6, P-SLICE,    6, 22.00,     614920, 0,0.00,40.505, 45.018, 46.416, 41.808,23, 5 4 3 , -, 0.00%,  0.00%,  0.00%, 0.48%,  0.27%,  1.02%, 1.78%,  0.70%,  5.17%, 5.19%,  1.78%, 17.44%, 0.00%,  0.34%,  5.94%, 13.23%, 33.75%,  0.00%,  0.45%,  1.70%,  4.49%,  0.19%,  1.25%,  1.79%,  3.02%, 23829.83, 3696.80, 0.00, 75629.66 , 17, 235, 124.21, 57, 154, 110.66, 107, 219, 146.77, 0.00%, 36.00%,0.00%, 48.00%, 16.00%, 0.00%, 0.00%, 0.00%, 0.00%, 18.84%, 18.04%,0.00%, 38.36%, 24.77%, 0.00%, 0.00%, 0.00%, 0.00%, 31.39%, 14.33%,0.00%, 30.34%, 23.94%, 0.00%, 0.00%, 0.00%, 0.00%, 35.77%, 11.00%,0.00%, 26.12%, 27.11%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 87.0, 0.3, 31799.2, 30144.6, 0.0, 0.0, 320380.4, 1.000, 0
7, P-SLICE,    7, 22.00,     605336, 0,0.00,40.512, 45.043, 46.430, 41.818,23, 6 5 4 , -, 0.00%,  0.00%,  0.00%, 0.55%,  0.24%,  1.26%, 1.91%,  0.68%,  5.85%, 4.48%,  1.65%, 17.73%, 0.00%,  0.45%,  6.18%, 12.58%, 33.29%,  0.00%,  0.55%,  1.86%,  3.75%,  0.09%,  1.05%,  1.90%,  3.95%, 23795.53, 3682.26, 0.00, 89190.87 , 17, 235, 124.53, 58, 156, 110.64, 107, 219, 146.73, 0.00%, 16.33%,0.00%, 55.10%, 28.57%, 0.00%, 0.00%, 0.00%, 0.00%, 20.87%, 16.29%,0.00%, 41.96%, 20.87%, 0.00%, 0.00%, 0.00%, 0.00%, 34.09%, 15.16%,0.00%, 29.08%, 21.68%, 0.00%, 0.00%, 0.00%, 0.00%, 35.35%, 11.41%,0.00%, 27.02%, 26.22%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 144.4, 171.8, 30035.9, 27731.8, 0.0, 0.0, 350403.5, 1.000, 0
8, P-SLICE,    8, 22.00,     593328, 0,0.00,40.522, 45.039, 46.423, 41.824,23, 7 6 5 , -, 0.00%,  0.00%,  0.00%, 0.42%,  0.29%,  1.10%, 2.07%,  0.95%,  5.36%, 4.64%,  1.67%, 16.53%, 0.00%,  0.50%,  6.14%, 14.23%, 33.84%,  0.00%,  0.48%,  1.58%,  3.17%,  0.17%,  0.88%,  2.02%,  3.97%, 23723.75, 3685.68, 0.00, 82916.79 , 17, 235, 124.36, 56, 150, 110.71, 104, 219, 146.64, 0.00%, 25.00%,0.00%, 56.67%, 18.33%, 0.00%, 0.00%, 0.00%, 0.00%, 19.47%, 14.58%,0.00%, 44.09%, 21.86%, 0.00%, 0.00%, 0.00%, 0.00%, 31.95%, 13.75%,0.00%, 30.72%, 23.59%, 0.00%, 0.00%, 0.00%, 0.00%, 34.35%, 10.74%,0.00%, 27.66%, 27.26%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 158.1, 0.3, 31231.8, 28971.2, 0.0, 0.0, 381464.9, 1.000, 0
9, P-SLICE,    9, 22.00,     594920, 0,0.00,40.535, 45.026, 46.369, 41.826,23, 8 7 6 , -, 0.00%,  0.00%,  0.00%, 0.44%,  0.28%,  1.12%, 1.91%,  0.89%,  5.21%, 5.16%,  1.76%, 16.18%, 0.00%,  0.35%,  6.12%, 12.84%, 35.26%,  0.00%,  0.43%,  1.49%,  4.32%,  0.17%,  0.98%,  1.71%,  3.39%, 23657.93, 3710.17, 0.00, 74606.80 , 17, 235, 124.04, 57, 148, 110.84, 107, 219, 146.56, 0.00%, 32.65%,0.00%, 55.10%, 12.24%, 0.00%, 0.00%, 0.00%, 0.00%, 19.59%, 15.03%,0.00%, 44.42%, 20.96%, 0.00%, 0.00%, 0.00%, 0.00%, 33.30%, 13.30%,0.00%, 31.57%, 21.82%, 0.00%, 0.00%, 0.00%, 0.00%, 33.65%, 11.23%,0.00%, 29.12%, 25.99%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 156.4, 290.2, 32413.5, 30081.2, 0.0, 0.0, 413996.0, 1.000, 0
