Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, Y PSNR, U PSNR, V PSNR, YUV PSNR, Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 32x32, Inter 16x16, Inter 8x8, Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
0, I-SLICE,    0, 29.00,     391240, 0,0.00,38.939, 43.339, 43.914, 40.111,23,  -, -, 0.00%,  0.00%,  0.00%, 2.36%,  5.72%,  4.69%, 4.62%,  4.15%, 12.61%, 8.85%,  4.83%, 36.15%,16.02%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 34983.90, 6030.58, 0.00, 269605.85 , 17, 235, 125.86, 56, 149, 109.96, 105, 227, 146.28, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 94.98%, 0.00%,0.00%, 5.02%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 12319.3, 124.8, 147834.6, 140096.8, 0.0, 0.0, 159445.3, 1.000, 0
1, P-SLICE,    1, 32.00,      73120, 0,0.00,38.041, 42.992, 43.187, 39.303,23, 0 , -, 0.00%,  0.00%,  0.00%, 0.38%,  0.43%,  1.19%, 0.98%,  0.46%,  2.98%, 2.17%,  0.90%,  6.48%, 0.00%,  2.17%, 10.77%, 13.94%, 13.75%,  0.00%,  1.84%,  3.17%,  4.80%,  2.85%,  9.90%, 10.09%, 10.74%, 42841.40, 6652.79, 0.00, 106167.21 , 17, 235, 125.79, 57, 151, 110.04, 106, 227, 146.19, 0.00%, 56.76%,0.00%, 23.24%, 20.00%, 0.00%, 0.00%, 0.00%, 0.00%, 8.19%, 47.90%,0.00%, 22.46%, 21.46%, 0.00%, 0.00%, 0.00%, 0.00%, 13.98%, 41.94%,0.00%, 22.47%, 21.61%, 0.00%, 0.00%, 0.00%, 0.00%, 21.05%, 34.27%,0.00%, 31.16%, 13.52%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 365.4, 108.1, 19925.6, 18848.3, 0.0, 0.0, 179364.3, 1.000, 0
2, P-SLICE,    2, 32.00,      77000, 0,0.00,37.947, 42.864, 43.033, 39.198,23, 1 0 , -, 0.00%,  0.00%,  0.00%, 0.50%,  0.59%,  1.08%, 1.50%,  0.64%,  3.40%, 2.87%,  1.50%,  9.94%, 0.00%,  4.25%, 12.05%, 14.83%, 15.42%,  0.00%,  1.03%,  2.64%,  4.57%,  3.20%,  4.25%,  6.42%,  9.32%, 43753.97, 6902.65, 0.00, 106726.83 , 17, 235, 125.25, 58, 149, 110.09, 103, 226, 146.37, 0.00%, 42.91%,0.00%, 40.55%, 16.54%, 0.00%, 0.00%, 0.00%, 0.00%, 11.13%, 27.07%,0.00%, 26.92%, 34.89%, 0.00%, 0.00%, 0.00%, 0.00%, 18.82%, 30.78%,0.00%, 24.00%, 26.39%, 0.00%, 0.00%, 0.00%, 0.00%, 28.24%, 27.43%,0.00%, 28.99%, 15.34%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 299.8, 336.8, 20055.4, 18771.3, 0.0, 0.0, 199708.5, 1.000, 0
3, P-SLICE,    3, 32.00,      79400, 0,0.00,37.869, 42.770, 42.915, 39.112,23, 2 1 0 , -, 0.00%,  0.00%,  0.00%, 0.62%,  0.65%,  0.65%, 1.21%,  1.00%,  3.09%, 3.47%,  2.18%,  9.78%, 0.00%,  5.04%, 11.37%, 16.46%, 14.10%,  0.00%,  1.06%,  2.74%,  5.68%,  2.89%,  3.36%,  5.36%,  9.31%, 44476.78, 7112.20, 0.00, 118539.72 , 17, 235, 124.77, 56, 149, 110.30, 103, 220, 146.53, 0.00%, 36.43%,0.00%, 40.15%, 23.42%, 0.00%, 0.00%, 0.00%, 0.00%, 10.82%, 24.96%,0.00%, 31.95%, 32.28%, 0.00%, 0.00%, 0.00%, 0.00%, 17.75%, 27.12%,0.00%, 23.57%, 31.56%, 0.00%, 0.00%, 0.00%, 0.00%, 29.91%, 29.05%,0.00%, 27.11%, 13.93%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 291.4, 289.6, 22642.6, 21369.3, 0.0, 0.0, 222589.3, 1.000, 0
4, P-SLICE,    4, 32.00,      79896, 0,0.00,37.777, 42.639, 42.763, 39.008,23, 3 2 1 , -, 0.00%,  0.00%,  0.00%, 0.70%,  0.76%,  0.91%, 1.48%,  0.97%,  2.63%, 3.42%,  1.33%, 10.41%, 0.00%,  4.93%, 11.93%, 15.14%, 14.08%,  0.00%,  1.12%,  2.97%,  4.57%,  3.21%,  3.21%,  6.33%,  9.90%, 45394.74, 7321.03, 0.00, 112180.84 , 17, 235, 124.31, 58, 148, 110.47, 108, 220, 146.69, 0.00%, 39.41%,0.00%, 37.55%, 23.05%, 0.00%, 0.00%, 0.00%, 0.00%, 12.68%, 23.25%,0.00%, 32.36%, 31.71%, 0.00%, 0.00%, 0.00%, 0.00%, 17.23%, 31.49%,0.00%, 21.54%, 29.74%, 0.00%, 0.00%, 0.00%, 0.00%, 29.75%, 28.38%,0.00%, 26.60%, 15.26%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 287.5, 207.5, 22672.0, 21214.4, 0.0, 0.0, 245413.4, 1.000, 0
5, P-SLICE,    5, 32.00,      82400, 0,0.00,37.727, 42.603, 42.726, 38.962,23, 4 3 2 , -, 0.00%,  0.00%,  0.00%, 0.93%,  0.69%,  1.11%, 1.08%,  0.90%,  2.90%, 3.23%,  2.06%,  7.56%, 0.00%,  4.36%, 13.15%, 15.34%, 14.32%,  0.00%,  1.17%,  3.23%,  5.83%,  3.02%,  3.83%,  6.70%,  8.61%, 45884.12, 7444.26, 0.00, 105943.21 , 17, 235, 123.96, 56, 148, 110.63, 107, 219, 146.82, 0.00%, 40.89%,0.00%, 39.68%, 19.43%, 0.00%, 0.00%, 0.00%, 0.00%, 13.04%, 23.93%,0.00%, 29.23%, 33.81%, 0.00%, 0.00%, 0.00%, 0.00%, 16.17%, 32.94%,0.00%, 22.02%, 28.87%, 0.00%, 0.00%, 0.00%, 0.00%, 26.35%, 29.60%,0.00%, 28.25%, 15.81%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 153.8, 168.5, 22675.0, 21053.5, 0.0, 0.0, 268068.0, 1.000, 0
6, P-SLICE,    6, 32.00,      85632, 0,0.00,37.688, 42.553, 42.562, 38.906,23, 5 4 3 , -, 0.00%,  0.00%,  0.00%, 0.89%,  0.74%,  0.71%, 1.48%,  0.80%,  3.07%, 2.69%,  1.54%,  8.10%, 0.00%,  4.58%, 11.70%, 16.25%, 16.13%,  0.00%,  0.74%,  2.36%,  4.02%,  3.07%,  4.26%,  5.97%, 10.90%, 46334.24, 7568.66, 0.00, 129104.09 , 17, 235, 124.21, 57, 154, 110.66, 107, 219, 146.77, 0.00%, 40.15%,0.00%, 35.14%, 24.71%, 0.00%, 0.00%, 0.00%, 0.00%, 12.27%, 26.24%,0.00%, 27.80%, 33.70%, 0.00%, 0.00%, 0.00%, 0.00%, 17.87%, 27.84%,0.00%, 23.89%, 30.40%, 0.00%, 0.00%, 0.00%, 0.00%, 24.41%, 29.57%,0.00%, 27.46%, 18.56%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 114.7, 0.3, 23821.1, 22076.8, 0.0, 0.0, 291662.6, 1.000, 0
7, P-SLICE,    7, 32.00,      86240, 0,0.00,37.681, 42.552, 42.587, 38.903,23, 6 5 4 , -, 0.00%,  0.00%,  0.00%, 0.91%,  0.97%,  1.29%, 1.26%,  1.19%,  3.61%, 3.36%,  1.13%,  8.04%, 0.00%,  4.49%, 13.68%, 16.92%, 13.97%,  0.00%,  1.29%,  3.52%,  4.55%,  3.26%,  4.11%,  5.08%,  7.38%, 46406.73, 7575.85, 0.00, 147340.26 , 17, 235, 124.53, 58, 156, 110.64, 107, 219, 146.73, 0.00%, 42.11%,0.00%, 37.65%, 20.24%, 0.00%, 0.00%, 0.00%, 0.00%, 14.25%, 24.26%,0.00%, 31.17%, 30.32%, 0.00%, 0.00%, 0.00%, 0.00%, 19.18%, 27.24%,0.00%, 23.06%, 30.52%, 0.00%, 0.00%, 0.00%, 0.00%, 27.25%, 25.96%,0.00%, 27.87%, 18.92%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 126.8, 163.1, 22370.2, 20586.6, 0.0, 0.0, 313979.6, 1.000, 0
8, P-SLICE,    8, 32.00,      81968, 0,0.00,37.690, 42.506, 42.512, 38.895,23, 7 6 5 , -, 0.00%,  0.00%,  0.00%, 0.72%,  0.60%,  0.93%, 1.20%,  0.81%,  2.62%, 2.26%,  1.20%,  7.32%, 0.00%,  4.13%, 12.53%, 16.68%, 16.08%,  0.00%,  0.87%,  2.68%,  5.63%,  3.70%,  3.70%,  6.65%,  9.67%, 46370.66, 7686.64, 0.00, 116729.26 , 17, 235, 124.36, 56, 150, 110.71, 104, 219, 146.64, 0.00%, 47.31%,0.00%, 34.62%, 18.08%, 0.00%, 0.00%, 0.00%, 0.00%, 11.66%, 23.64%,0.00%, 29.24%, 35.46%, 0.00%, 0.00%, 0.00%, 0.00%, 15.13%, 30.45%,0.00%, 22.10%, 32.32%, 0.00%, 0.00%, 0.00%, 0.00%, 21.83%, 30.98%,0.00%, 27.56%, 19.63%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 126.1, 0.3, 23489.0, 22150.3, 0.0, 0.0, 337253.5, 1.000, 0
9, P-SLICE,    9, 32.00,      82312, 0,0.00,37.692, 42.480, 42.469, 38.888,23, 8 7 6 , -, 0.00%,  0.00%,  0.00%, 0.62%,  0.62%,  0.62%, 1.45%,  0.79%,  3.18%, 3.35%,  1.33%,  6.70%, 0.00%,  4.31%, 12.71%, 16.77%, 16.26%,  0.00%,  0.79%,  2.10%,  4.57%,  2.64%,  3.86%,  6.64%, 10.70%, 46318.39, 7704.61, 0.00, 119377.35 , 17, 235, 124.04, 57, 148, 110.84, 107, 219, 146.56, 0.00%, 37.96%,0.00%, 36.33%, 25.71%, 0.00%, 0.00%, 0.00%, 0.00%, 9.73%, 24.19%,0.00%, 31.27%, 34.81%, 0.00%, 0.00%, 0.00%, 0.00%, 17.52%, 28.26%,0.00%, 24.13%, 30.09%, 0.00%, 0.00%, 0.00%, 0.00%, 22.89%, 30.71%,0.00%, 25.68%, 20.72%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 126.7, 288.2, 21455.5, 20428.2, 0.0, 0.0, 358777.2, 1.000, 0
