0, I-SLICE,    0, 34.00,     194672, 0,0.00,37.349, 41.741, 41.852, 38.461,23,  -, -, 0.00%,  0.00%,  0.00%, 3.57%,  1.99%,  8.71%, 7.47%,  2.52%, 22.48%, 8.26%,  3.10%, 34.93%, 6.96%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 51309.35, 9250.40, 0.00, 233753.40 , 17, 235, 125.86, 56, 149, 109.96, 105, 227, 146.28, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 93.82%, 0.00%,0.00%, 6.18%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 9577.6, 134.8, 70707.8, 67814.6, 0.0, 0.0, 79549.2, 1.000, 0
1, P-SLICE,    1, 37.00,      35168, 0,0.00,36.491, 41.517, 41.329, 37.724,23, 0 , -, 0.00%,  0.00%,  0.00%, 0.81%,  0.27%,  2.66%, 1.35%,  0.23%,  4.81%, 1.58%,  0.23%,  5.43%, 0.00%,  2.31%, 11.16%, 10.35%,  5.58%,  0.00%,  2.93%,  3.85%,  2.46%,  6.16%, 17.05%,  9.58%, 11.20%, 60902.58, 9748.80, 0.00, 106011.94 , 17, 235, 125.79, 57, 151, 110.04, 106, 227, 146.19, 0.00%, 72.73%,0.00%, 15.00%, 12.27%, 0.00%, 0.00%, 0.00%, 0.00%, 10.71%, 57.28%,0.00%, 21.41%, 10.60%, 0.00%, 0.00%, 0.00%, 0.00%, 21.17%, 44.52%,0.00%, 21.81%, 12.50%, 0.00%, 0.00%, 0.00%, 0.00%, 20.26%, 38.25%,0.00%, 35.24%, 6.25%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 371.6, 97.7, 7355.5, 6975.2, 0.0, 0.0, 86913.2, 1.000, 0
2, P-SLICE,    2, 37.00,      39664, 0,0.00,36.388, 41.389, 41.160, 37.609,23, 1 0 , -, 0.00%,  0.00%,  0.00%, 0.77%,  0.24%,  2.89%, 2.20%,  0.57%,  5.85%, 2.44%,  1.02%,  8.58%, 0.00%,  6.26%,  9.15%, 10.69%,  7.64%,  0.00%,  1.26%,  4.19%,  6.75%,  7.28%,  3.86%,  7.07%, 11.30%, 62811.94, 10139.59, 0.00, 115029.77 , 17, 235, 125.25, 58, 149, 110.09, 103, 226, 146.37, 0.00%, 53.75%,0.00%, 30.93%, 15.32%, 0.00%, 0.00%, 0.00%, 0.00%, 21.48%, 28.19%,0.00%, 28.41%, 21.92%, 0.00%, 0.00%, 0.00%, 0.00%, 28.19%, 36.84%,0.00%, 19.81%, 15.16%, 0.00%, 0.00%, 0.00%, 0.00%, 25.34%, 38.01%,0.00%, 28.60%, 8.05%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 262.4, 345.9, 8199.8, 7746.5, 0.0, 0.0, 95428.9, 1.000, 0
3, P-SLICE,    3, 37.00,      39608, 0,0.00,36.282, 41.354, 41.110, 37.520,23, 2 1 0 , -, 0.00%,  0.00%,  0.00%, 0.82%,  0.29%,  2.17%, 2.54%,  0.74%,  7.58%, 2.46%,  0.78%,  7.04%, 0.00%,  6.27%, 10.03%, 12.08%,  7.66%,  0.00%,  1.39%,  3.11%,  4.26%,  6.92%,  4.71%,  8.93%, 10.24%, 64307.76, 10256.44, 0.00, 119829.37 , 17, 235, 124.77, 56, 149, 110.30, 103, 220, 146.53, 0.00%, 52.48%,0.00%, 32.61%, 14.91%, 0.00%, 0.00%, 0.00%, 0.00%, 16.88%, 31.43%,0.00%, 26.37%, 25.32%, 0.00%, 0.00%, 0.00%, 0.00%, 31.03%, 34.43%,0.00%, 17.33%, 17.21%, 0.00%, 0.00%, 0.00%, 0.00%, 24.32%, 34.30%,0.00%, 33.33%, 8.04%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 255.0, 302.1, 8762.7, 8220.9, 0.0, 0.0, 104574.1, 1.000, 0
4, P-SLICE,    4, 37.00,      42480, 0,0.00,36.205, 41.244, 40.912, 37.424,23, 3 2 1 , -, 0.00%,  0.00%,  0.00%, 0.75%,  0.39%,  2.76%, 2.13%,  0.79%,  5.91%, 2.44%,  0.87%,  7.41%, 0.00%,  6.19%, 11.86%, 11.47%,  7.80%,  0.00%,  1.58%,  3.55%,  4.29%,  5.71%,  4.77%,  7.96%, 11.39%, 65338.84, 10744.62, 0.00, 120412.24 , 17, 235, 124.31, 58, 148, 110.47, 108, 220, 146.69, 0.00%, 48.01%,0.00%, 32.45%, 19.54%, 0.00%, 0.00%, 0.00%, 0.00%, 17.65%, 28.70%,0.00%, 23.17%, 30.48%, 0.00%, 0.00%, 0.00%, 0.00%, 27.76%, 36.18%,0.00%, 16.36%, 19.70%, 0.00%, 0.00%, 0.00%, 0.00%, 24.55%, 35.92%,0.00%, 31.14%, 8.39%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 297.7, 302.8, 8942.7, 8383.3, 0.0, 0.0, 113945.8, 1.000, 0
5, P-SLICE,    5, 37.00,      41976, 0,0.00,36.107, 41.254, 40.841, 37.342,23, 4 3 2 , -, 0.00%,  0.00%,  0.00%, 1.24%,  0.17%,  2.39%, 1.90%,  0.54%,  5.65%, 2.23%,  0.87%,  7.51%, 0.00%,  6.85%, 10.64%, 12.21%,  6.89%,  0.00%,  1.20%,  3.55%,  3.88%,  6.39%,  4.74%,  8.37%, 12.79%, 66746.73, 10739.14, 0.00, 111818.46 , 17, 235, 123.96, 56, 148, 110.63, 107, 219, 146.82, 0.00%, 48.29%,0.00%, 31.46%, 20.25%, 0.00%, 0.00%, 0.00%, 0.00%, 18.62%, 29.15%,0.00%, 25.10%, 27.13%, 0.00%, 0.00%, 0.00%, 0.00%, 25.10%, 37.00%,0.00%, 14.21%, 23.69%, 0.00%, 0.00%, 0.00%, 0.00%, 24.06%, 37.83%,0.00%, 29.96%, 8.15%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 170.4, 173.9, 8804.5, 8255.4, 0.0, 0.0, 122917.0, 1.000, 0
6, P-SLICE,    6, 37.00,      43624, 0,0.00,36.011, 41.185, 40.676, 37.241,23, 5 4 3 , -, 0.00%,  0.00%,  0.00%, 1.24%,  0.19%,  2.10%, 2.45%,  0.54%,  7.00%, 2.76%,  1.24%,  6.34%, 0.00%,  5.68%, 10.89%, 11.12%,  9.33%,  0.00%,  1.01%,  4.28%,  4.63%,  6.26%,  5.29%,  6.92%, 10.70%, 68179.51, 11034.95, 0.00, 118772.73 , 17, 235, 124.21, 57, 154, 110.66, 107, 219, 146.77, 0.00%, 52.44%,0.00%, 29.32%, 18.24%, 0.00%, 0.00%, 0.00%, 0.00%, 17.07%, 30.39%,0.00%, 23.26%, 29.27%, 0.00%, 0.00%, 0.00%, 0.00%, 30.93%, 34.66%,0.00%, 15.76%, 18.65%, 0.00%, 0.00%, 0.00%, 0.00%, 23.33%, 34.56%,0.00%, 29.56%, 12.54%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 119.9, 0.6, 9672.0, 9102.6, 0.0, 0.0, 132536.2, 1.000, 0
7, P-SLICE,    7, 37.00,      44408, 0,0.00,35.974, 41.155, 40.681, 37.210,23, 6 5 4 , -, 0.00%,  0.00%,  0.00%, 0.83%,  0.24%,  2.97%, 2.97%,  0.67%,  6.85%, 2.69%,  0.71%,  6.10%, 0.00%,  6.06%, 11.08%, 13.10%,  8.00%,  0.00%,  0.91%,  2.73%,  3.88%,  6.10%,  4.95%,  7.76%, 11.40%, 68903.54, 11004.00, 0.00, 137448.51 , 17, 235, 124.53, 58, 156, 110.64, 107, 219, 146.73, 0.00%, 50.16%,0.00%, 30.62%, 19.22%, 0.00%, 0.00%, 0.00%, 0.00%, 19.25%, 27.92%,0.00%, 26.98%, 25.85%, 0.00%, 0.00%, 0.00%, 0.00%, 30.78%, 30.78%,0.00%, 17.31%, 21.14%, 0.00%, 0.00%, 0.00%, 0.00%, 22.47%, 36.14%,0.00%, 29.96%, 11.42%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 164.4, 161.9, 8515.6, 7940.1, 0.0, 0.0, 141203.9, 1.000, 0
8, P-SLICE,    8, 37.00,      43304, 0,0.00,35.987, 41.141, 40.613, 37.210,23, 7 6 5 , -, 0.00%,  0.00%,  0.00%, 0.99%,  0.45%,  2.09%, 1.93%,  0.37%,  5.13%, 1.64%,  0.74%,  5.38%, 0.00%,  6.28%, 13.26%, 13.30%,  8.09%,  0.00%,  1.40%,  3.28%,  4.02%,  6.03%,  5.54%,  8.74%, 11.33%, 68837.29, 11172.71, 0.00, 123536.17 , 17, 235, 124.36, 56, 150, 110.71, 104, 219, 146.64, 0.00%, 49.00%,0.00%, 31.67%, 19.33%, 0.00%, 0.00%, 0.00%, 0.00%, 14.88%, 29.24%,0.00%, 23.01%, 32.87%, 0.00%, 0.00%, 0.00%, 0.00%, 22.68%, 36.72%,0.00%, 15.16%, 25.44%, 0.00%, 0.00%, 0.00%, 0.00%, 18.90%, 37.40%,0.00%, 32.00%, 11.70%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 165.5, 0.5, 9136.8, 8640.4, 0.0, 0.0, 150333.5, 1.000, 0
9, P-SLICE,    9, 37.00,      41336, 0,0.00,35.975, 41.128, 40.560, 37.192,23, 8 7 6 , -, 0.00%,  0.00%,  0.00%, 0.71%,  0.43%,  1.86%, 2.69%,  0.32%,  5.18%, 3.04%,  0.83%,  5.85%, 0.00%,  5.73%, 12.65%, 12.93%,  7.39%,  0.00%,  1.03%,  2.85%,  3.91%,  6.17%,  5.54%,  8.70%, 12.18%, 68832.39, 11235.64, 0.00, 120259.79 , 17, 235, 124.04, 57, 148, 110.84, 107, 219, 146.56, 0.00%, 51.83%,0.00%, 31.56%, 16.61%, 0.00%, 0.00%, 0.00%, 0.00%, 13.52%, 29.54%,0.00%, 27.94%, 29.00%, 0.00%, 0.00%, 0.00%, 0.00%, 25.06%, 35.35%,0.00%, 19.01%, 20.58%, 0.00%, 0.00%, 0.00%, 0.00%, 22.78%, 37.69%,0.00%, 28.98%, 10.56%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 165.0, 290.3, 10714.0, 10215.0, 0.0, 0.0, 161272.0, 1.000, 0
