, Original, Original, RBER 1E-3, RBER 1E-3, RBER 1E-4, RBER 1E-4, RBER 1E-5, RBER 1E-5, RBER 1E-6, RBER 1E-6, RBER 1E-7, RBER 1E-7
QP 22, 55629.95, 39.634, 55848.45, 39.631, 55682.00, 39.634, 55687.52, 39.635, 55627.88, 39.634, 55651.90, 39.635,
QP 27, 12898.02, 37.236, 13006.79, 37.229, 12902.88, 37.235, 12897.52, 37.239, 12895.50, 37.238, 12897.22, 37.236,
QP 32, 5252.82, 35.303, 5319.14, 35.286, 5267.59, 35.305, 5259.37, 35.305, 5255.19, 35.301, 5250.85, 35.303,
QP 37, 2460.38, 32.991, 2502.89, 32.964, 2472.64, 32.986, 2462.86, 32.990, 2466.12, 32.995, 2460.01, 32.996,


,Original,Original,WBER 1E-3, WBER 1E-3, WBER 1E-4, WBER 1E-4, WBER 1E-5, WBER 1E-5, WBER 1E-6, WBER 1E-6, WBER 1E-7, WBER 1E-7
QP 22, 55629.95, 39.634, 55767.46, 39.633, 55683.09, 39.635, 55644.18, 39.634, 55636.29, 39.634, 55650.40, 39.635,
QP 27, 12898.02, 37.236, 12951.78, 37.233, 12910.06, 37.237, 12898.37, 37.238, 12884.01, 37.236, 12901.75, 37.237,
QP 32, 5252.82, 35.303, 5276.30, 35.291, 5253.87, 35.306, 5264.38, 35.305, 5257.14, 35.304, 5252.82, 35.303,
QP 37, 2460.38, 32.991, 2477.63, 32.976, 2466.80, 32.997, 2459.89, 32.991, 2464.00, 32.998, 2462.32, 32.995,
