Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, Y PSNR, U PSNR, V PSNR, YUV PSNR, Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 32x32, Inter 16x16, Inter 8x8, Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
0, I-SLICE,    0, 34.00,     468288, 0,0.00,34.747, 37.726, 39.266, 35.684,23,  -, -, 0.00%,  0.00%,  0.00%, 1.21%,  1.27%,  1.95%, 4.95%,  3.03%, 12.39%,11.75%,  6.22%, 36.60%,20.63%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 92738.45, 20222.36, 0.00, 520996.28 , 0, 255, 113.51, 19, 176, 117.14, 90, 232, 136.18, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 97.00%, 0.00%,0.00%, 3.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 6599.0, 100.8, 34500.8, 32566.6, 0.0, 0.0, 40597.9, 1.000, 0
1, P-SLICE,    1, 37.00,      28344, 0,0.00,33.982, 37.485, 38.993, 35.046,23, 0 , -, 0.00%,  0.00%,  0.00%, 0.03%,  0.00%,  0.03%, 0.23%,  0.05%,  0.42%, 0.68%,  0.34%,  1.85%, 0.00%,  0.44%,  8.48%, 13.01%,  7.91%,  0.00%,  1.61%,  4.92%,  3.62%,  2.11%, 20.90%, 20.30%, 13.09%, 107291.05, 20230.36, 0.00, 130966.86 , 0, 255, 113.48, 18, 180, 117.22, 91, 232, 136.14, 0.00%, 82.65%,0.00%, 15.31%, 2.04%, 0.00%, 0.00%, 0.00%, 0.00%, 0.17%, 72.51%,0.00%, 18.44%, 8.89%, 0.00%, 0.00%, 0.00%, 0.00%, 1.80%, 64.77%,0.00%, 23.73%, 9.69%, 0.00%, 0.00%, 0.00%, 0.00%, 8.49%, 49.54%,0.00%, 31.10%, 10.88%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 250.3, 89.0, 4346.2, 3994.6, 0.0, 0.0, 45016.1, 1.000, 0
2, P-SLICE,    2, 37.00,      35976, 0,0.00,33.740, 37.389, 38.872, 34.837,23, 1 0 , -, 0.00%,  0.00%,  0.00%, 0.13%,  0.03%,  0.00%, 0.23%,  0.03%,  0.48%, 0.94%,  0.58%,  2.81%, 0.00%,  2.81%,  9.85%, 15.50%, 15.70%,  0.00%,  1.42%,  4.46%,  6.75%,  6.59%,  6.07%,  9.88%, 15.73%, 113737.06, 20754.14, 0.00, 145805.56 , 0, 255, 113.39, 20, 177, 117.26, 91, 232, 136.16, 0.00%, 70.10%,0.00%, 18.21%, 11.68%, 0.00%, 0.00%, 0.00%, 0.00%, 0.92%, 42.80%,0.00%, 34.87%, 21.40%, 0.00%, 0.00%, 0.00%, 0.00%, 2.43%, 46.88%,0.00%, 31.68%, 19.01%, 0.00%, 0.00%, 0.00%, 0.00%, 8.61%, 44.73%,0.00%, 29.88%, 16.77%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 215.7, 5.1, 4528.5, 4125.7, 0.0, 0.0, 49583.9, 1.000, 0
3, P-SLICE,    3, 37.00,      38152, 0,0.00,33.547, 37.312, 38.736, 34.666,23, 2 1 0 , -, 0.00%,  0.00%,  0.00%, 0.06%,  0.03%,  0.00%, 0.22%,  0.09%,  0.60%, 0.76%,  0.22%,  2.81%, 0.00%,  2.34%, 10.78%, 16.57%, 13.95%,  0.00%,  0.95%,  3.98%,  6.61%,  6.55%,  5.79%, 12.05%, 15.62%, 118777.24, 21278.51, 0.00, 147225.15 , 0, 255, 113.31, 20, 181, 117.22, 91, 232, 136.18, 0.00%, 73.67%,0.00%, 14.23%, 12.10%, 0.00%, 0.00%, 0.00%, 0.00%, 0.54%, 38.24%,0.00%, 32.50%, 28.73%, 0.00%, 0.00%, 0.00%, 0.00%, 2.74%, 47.83%,0.00%, 29.81%, 19.62%, 0.00%, 0.00%, 0.00%, 0.00%, 7.98%, 46.74%,0.00%, 29.79%, 15.49%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 207.4, 0.2, 4958.4, 4558.4, 0.0, 0.0, 54579.2, 1.000, 0
4, P-SLICE,    4, 37.00,      37552, 0,0.00,33.373, 37.226, 38.626, 34.511,23, 3 2 1 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.17%,  0.13%,  0.53%, 0.93%,  0.26%,  2.68%, 0.00%,  2.15%, 11.57%, 14.91%, 14.98%,  0.00%,  1.36%,  3.64%,  5.03%,  7.28%,  6.05%, 11.61%, 16.73%, 123539.19, 21699.31, 0.00, 148752.68 , 0, 255, 113.19, 19, 178, 117.21, 90, 231, 136.14, 0.00%, 77.19%,0.00%, 12.28%, 10.53%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 39.02%,0.00%, 34.84%, 26.13%, 0.00%, 0.00%, 0.00%, 0.00%, 2.67%, 49.20%,0.00%, 31.06%, 17.08%, 0.00%, 0.00%, 0.00%, 0.00%, 7.97%, 44.82%,0.00%, 30.93%, 16.28%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 201.4, 1.8, 4831.8, 4416.0, 0.0, 0.0, 59445.3, 1.000, 0
5, P-SLICE,    5, 37.00,      37688, 0,0.00,33.234, 37.186, 38.542, 34.392,23, 4 3 2 , -, 0.00%,  0.00%,  0.00%, 0.13%,  0.00%,  0.13%, 0.13%,  0.03%,  0.50%, 0.50%,  0.03%,  1.82%, 0.00%,  2.26%, 11.01%, 15.95%, 13.67%,  0.00%,  0.96%,  4.01%,  5.27%,  7.13%,  6.70%, 12.44%, 17.31%, 127249.43, 22011.50, 0.00, 151278.00 , 0, 255, 113.09, 19, 178, 117.24, 90, 232, 136.16, 0.00%, 75.97%,0.00%, 11.66%, 12.37%, 0.00%, 0.00%, 0.00%, 0.00%, 1.40%, 40.46%,0.00%, 31.52%, 26.62%, 0.00%, 0.00%, 0.00%, 0.00%, 2.01%, 49.75%,0.00%, 28.18%, 20.06%, 0.00%, 0.00%, 0.00%, 0.00%, 5.06%, 48.50%,0.00%, 32.76%, 13.68%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 128.2, 1.8, 4865.9, 4501.6, 0.0, 0.0, 64277.9, 1.000, 0
6, P-SLICE,    6, 37.00,      33288, 0,0.00,33.130, 37.137, 38.446, 34.295,23, 5 4 3 , -, 0.00%,  0.00%,  0.00%, 0.14%,  0.07%,  0.17%, 0.14%,  0.03%,  0.31%, 0.42%,  0.17%,  2.31%, 0.00%,  2.76%, 10.73%, 15.02%, 14.74%,  0.00%,  1.68%,  4.19%,  5.42%,  7.72%,  5.87%, 10.90%, 17.19%, 130050.80, 22336.89, 0.00, 147966.41 , 0, 255, 112.97, 18, 178, 117.17, 89, 232, 136.16, 0.00%, 73.67%,0.00%, 15.00%, 11.33%, 0.00%, 0.00%, 0.00%, 0.00%, 2.06%, 40.45%,0.00%, 36.89%, 20.60%, 0.00%, 0.00%, 0.00%, 0.00%, 1.60%, 49.32%,0.00%, 32.42%, 16.67%, 0.00%, 0.00%, 0.00%, 0.00%, 5.96%, 46.48%,0.00%, 33.48%, 14.08%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 128.2, 0.2, 4455.9, 4155.6, 0.0, 0.0, 68690.6, 1.000, 0
7, P-SLICE,    7, 37.00,      26800, 0,0.00,33.142, 37.103, 38.428, 34.298,23, 6 5 4 , -, 0.00%,  0.00%,  0.00%, 0.08%,  0.04%,  0.04%, 0.15%,  0.04%,  0.23%, 0.85%,  0.15%,  1.50%, 0.00%,  2.77%, 10.62%, 14.74%, 13.16%,  0.00%,  1.15%,  3.96%,  5.04%,  9.24%,  7.97%, 11.55%, 16.71%, 129558.15, 22463.15, 0.00, 145139.48 , 0, 255, 112.90, 19, 178, 117.22, 89, 232, 136.19, 0.00%, 76.92%,0.00%, 12.50%, 10.58%, 0.00%, 0.00%, 0.00%, 0.00%, 0.77%, 45.84%,0.00%, 34.43%, 18.96%, 0.00%, 0.00%, 0.00%, 0.00%, 1.38%, 50.56%,0.00%, 30.61%, 17.44%, 0.00%, 0.00%, 0.00%, 0.00%, 5.36%, 46.62%,0.00%, 33.09%, 14.93%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 127.3, 0.3, 4015.5, 3743.2, 0.0, 0.0, 72666.9, 1.000, 0
8, P-SLICE,    8, 37.00,      29336, 0,0.00,33.247, 37.186, 38.521, 34.398,23, 7 6 5 , -, 0.00%,  0.00%,  0.00%, 0.07%,  0.07%,  0.04%, 0.22%,  0.07%,  0.37%, 0.59%,  0.37%,  1.52%, 0.00%,  2.66%,  9.80%, 15.35%, 13.36%,  0.00%,  1.70%,  3.81%,  5.40%,  9.06%,  5.96%, 11.88%, 17.68%, 126807.95, 22008.49, 0.00, 142653.82 , 0, 255, 112.87, 20, 180, 117.22, 90, 232, 136.17, 0.00%, 77.29%,0.00%, 14.20%, 8.52%, 0.00%, 0.00%, 0.00%, 0.00%, 1.05%, 43.40%,0.00%, 37.74%, 17.82%, 0.00%, 0.00%, 0.00%, 0.00%, 2.10%, 49.47%,0.00%, 29.87%, 18.55%, 0.00%, 0.00%, 0.00%, 0.00%, 5.19%, 48.30%,0.00%, 32.74%, 13.78%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 126.4, 0.2, 4218.1, 3951.0, 0.0, 0.0, 76844.9, 1.000, 0
9, P-SLICE,    9, 37.00,      33520, 0,0.00,33.275, 37.187, 38.557, 34.424,23, 8 7 6 , -, 0.00%,  0.00%,  0.00%, 0.07%,  0.00%,  0.00%, 0.03%,  0.07%,  0.59%, 0.28%,  0.07%,  1.77%, 0.00%,  2.29%, 12.41%, 14.84%, 14.25%,  0.00%,  1.56%,  5.07%,  7.54%,  7.58%,  6.81%,  9.87%, 14.88%, 126143.07, 21922.27, 0.00, 147647.49 , 0, 255, 112.74, 18, 178, 117.20, 91, 232, 136.16, 0.00%, 76.76%,0.00%, 11.97%, 11.27%, 0.00%, 0.00%, 0.00%, 0.00%, 0.33%, 40.17%,0.00%, 36.17%, 23.33%, 0.00%, 0.00%, 0.00%, 0.00%, 2.28%, 49.03%,0.00%, 35.12%, 13.57%, 0.00%, 0.00%, 0.00%, 0.00%, 4.50%, 47.57%,0.00%, 34.73%, 13.20%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 127.8, 0.2, 4521.1, 4213.0, 0.0, 0.0, 81326.4, 1.000, 0
