Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, Y PSNR, U PSNR, V PSNR, YUV PSNR, Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 32x32, Inter 16x16, Inter 8x8, Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
0, I-SLICE,    0, 34.00,     467800, 0,0.00,34.744, 37.731, 39.226, 35.678,23,  -, -, 0.00%,  0.00%,  0.00%, 1.09%,  1.40%,  2.03%, 4.94%,  3.11%, 12.97%,11.95%,  6.25%, 35.61%,20.65%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 92786.30, 20312.56, 0.00, 530322.46 , 0, 255, 113.51, 19, 176, 117.14, 90, 232, 136.18, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 96.92%, 0.00%,0.00%, 3.08%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 11637.9, 110.8, 145722.7, 137720.7, 0.0, 0.0, 156757.2, 1.000, 0
1, P-SLICE,    1, 37.00,      26872, 0,0.00,33.950, 37.479, 38.973, 35.019,23, 0 , -, 0.00%,  0.00%,  0.00%, 0.03%,  0.00%,  0.05%, 0.13%,  0.00%,  0.44%, 0.81%,  0.34%,  2.32%, 0.00%,  0.42%,  9.03%, 11.69%,  7.65%,  0.00%,  2.11%,  4.65%,  4.07%,  2.01%, 20.78%, 20.67%, 12.79%, 108002.78, 20258.67, 0.00, 129683.22 , 0, 255, 113.48, 18, 180, 117.22, 91, 232, 136.14, 0.00%, 82.80%,0.00%, 15.05%, 2.15%, 0.00%, 0.00%, 0.00%, 0.00%, 0.24%, 71.53%,0.00%, 20.07%, 8.16%, 0.00%, 0.00%, 0.00%, 0.00%, 1.53%, 67.36%,0.00%, 22.71%, 8.40%, 0.00%, 0.00%, 0.00%, 0.00%, 10.14%, 49.24%,0.00%, 29.42%, 11.20%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 367.4, 98.5, 8769.0, 8025.2, 0.0, 0.0, 165530.9, 1.000, 0
2, P-SLICE,    2, 37.00,      36976, 0,0.00,33.743, 37.400, 38.861, 34.840,23, 1 0 , -, 0.00%,  0.00%,  0.00%, 0.06%,  0.03%,  0.10%, 0.23%,  0.06%,  0.81%, 1.10%,  0.45%,  3.49%, 0.00%,  2.59%, 10.64%, 14.06%, 16.04%,  0.00%,  1.16%,  4.07%,  6.63%,  6.53%,  7.18%,  9.28%, 15.49%, 113714.84, 20787.83, 0.00, 143881.88 , 0, 255, 113.39, 20, 177, 117.26, 91, 232, 136.16, 0.00%, 71.63%,0.00%, 17.73%, 10.64%, 0.00%, 0.00%, 0.00%, 0.00%, 1.01%, 43.51%,0.00%, 33.90%, 21.59%, 0.00%, 0.00%, 0.00%, 0.00%, 3.85%, 46.83%,0.00%, 31.18%, 18.14%, 0.00%, 0.00%, 0.00%, 0.00%, 9.90%, 43.40%,0.00%, 30.14%, 16.56%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 215.0, 4.3, 9978.9, 9012.9, 0.0, 0.0, 175376.3, 1.000, 0
3, P-SLICE,    3, 37.00,      36808, 0,0.00,33.507, 37.311, 38.715, 34.634,23, 2 1 0 , -, 0.00%,  0.00%,  0.00%, 0.06%,  0.00%,  0.03%, 0.26%,  0.03%,  0.64%, 1.09%,  0.19%,  3.37%, 0.00%,  2.37%, 11.12%, 15.03%, 14.07%,  0.00%,  1.60%,  3.78%,  6.06%,  6.60%,  5.93%, 10.87%, 16.89%, 119891.90, 21262.34, 0.00, 146157.79 , 0, 255, 113.31, 20, 181, 117.22, 91, 232, 136.18, 0.00%, 73.57%,0.00%, 13.57%, 12.86%, 0.00%, 0.00%, 0.00%, 0.00%, 0.51%, 40.17%,0.00%, 36.92%, 22.39%, 0.00%, 0.00%, 0.00%, 0.00%, 3.04%, 47.85%,0.00%, 30.26%, 18.85%, 0.00%, 0.00%, 0.00%, 0.00%, 9.42%, 46.49%,0.00%, 30.45%, 13.64%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 209.4, 0.4, 11358.6, 10492.2, 0.0, 0.0, 186594.3, 1.000, 0
4, P-SLICE,    4, 37.00,      39416, 0,0.00,33.372, 37.233, 38.609, 34.509,23, 3 2 1 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.10%, 0.23%,  0.00%,  0.58%, 0.87%,  0.32%,  1.68%, 0.00%,  1.81%, 12.62%, 16.20%, 14.81%,  0.00%,  1.42%,  4.19%,  6.07%,  6.97%,  5.71%, 10.42%, 16.01%, 123490.81, 21771.25, 0.00, 150577.65 , 0, 255, 113.19, 19, 178, 117.21, 90, 231, 136.14, 0.00%, 79.41%,0.00%, 10.66%, 9.93%, 0.00%, 0.00%, 0.00%, 0.00%, 0.49%, 35.93%,0.00%, 35.28%, 28.29%, 0.00%, 0.00%, 0.00%, 0.00%, 2.55%, 46.22%,0.00%, 31.53%, 19.69%, 0.00%, 0.00%, 0.00%, 0.00%, 6.05%, 46.47%,0.00%, 32.40%, 15.08%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 291.9, 1.4, 12404.2, 11532.0, 0.0, 0.0, 198947.3, 1.000, 0
5, P-SLICE,    5, 37.00,      38088, 0,0.00,33.241, 37.203, 38.537, 34.398,23, 4 3 2 , -, 0.00%,  0.00%,  0.00%, 0.14%,  0.00%,  0.20%, 0.07%,  0.00%,  0.44%, 0.47%,  0.34%,  2.10%, 0.00%,  2.91%, 10.59%, 16.89%, 13.71%,  0.00%,  1.35%,  4.16%,  5.85%,  6.90%,  6.40%, 11.10%, 16.38%, 126986.07, 22026.45, 0.00, 152329.41 , 0, 255, 113.09, 19, 178, 117.24, 90, 232, 136.16, 0.00%, 70.34%,0.00%, 15.17%, 14.48%, 0.00%, 0.00%, 0.00%, 0.00%, 1.81%, 41.49%,0.00%, 33.70%, 23.01%, 0.00%, 0.00%, 0.00%, 0.00%, 1.55%, 46.74%,0.00%, 31.61%, 20.10%, 0.00%, 0.00%, 0.00%, 0.00%, 6.20%, 47.33%,0.00%, 33.93%, 12.54%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 132.0, 1.0, 11462.4, 10984.3, 0.0, 0.0, 210203.0, 1.000, 0
6, P-SLICE,    6, 37.00,      32992, 0,0.00,33.133, 37.138, 38.463, 34.300,23, 5 4 3 , -, 0.00%,  0.00%,  0.00%, 0.07%,  0.00%,  0.14%, 0.17%,  0.07%,  0.38%, 0.42%,  0.17%,  2.47%, 0.00%,  2.44%, 10.80%, 16.51%, 12.89%,  0.00%,  1.39%,  3.90%,  5.22%,  7.70%,  7.14%, 11.25%, 16.86%, 130007.42, 22262.25, 0.00, 148088.08 , 0, 255, 112.97, 18, 178, 117.17, 89, 232, 136.16, 0.00%, 75.95%,0.00%, 13.06%, 11.00%, 0.00%, 0.00%, 0.00%, 0.00%, 1.07%, 43.67%,0.00%, 35.12%, 20.14%, 0.00%, 0.00%, 0.00%, 0.00%, 1.94%, 46.93%,0.00%, 29.56%, 21.57%, 0.00%, 0.00%, 0.00%, 0.00%, 6.61%, 47.60%,0.00%, 31.91%, 13.89%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 155.3, 0.3, 11127.1, 10496.7, 0.0, 0.0, 221144.7, 1.000, 0
7, P-SLICE,    7, 37.00,      27312, 0,0.00,33.153, 37.115, 38.446, 34.310,23, 6 5 4 , -, 0.00%,  0.00%,  0.00%, 0.08%,  0.04%,  0.00%, 0.20%,  0.04%,  0.16%, 0.87%,  0.24%,  1.18%, 0.00%,  2.68%, 11.58%, 13.44%, 13.71%,  0.00%,  2.01%,  3.19%,  5.83%,  9.69%,  7.17%, 10.95%, 16.94%, 129135.63, 22354.27, 0.00, 145462.00 , 0, 255, 112.90, 19, 178, 117.22, 89, 232, 136.19, 0.00%, 78.34%,0.00%, 12.74%, 8.92%, 0.00%, 0.00%, 0.00%, 0.00%, 0.57%, 43.96%,0.00%, 33.77%, 21.70%, 0.00%, 0.00%, 0.00%, 0.00%, 1.41%, 50.56%,0.00%, 30.42%, 17.61%, 0.00%, 0.00%, 0.00%, 0.00%, 4.74%, 47.22%,0.00%, 36.36%, 11.68%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 122.8, 0.3, 9619.2, 9128.0, 0.0, 0.0, 230547.3, 1.000, 0
8, P-SLICE,    8, 37.00,      28664, 0,0.00,33.243, 37.167, 38.533, 34.395,23, 7 6 5 , -, 0.00%,  0.00%,  0.00%, 0.07%,  0.00%,  0.00%, 0.15%,  0.07%,  0.33%, 0.52%,  0.00%,  1.26%, 0.00%,  2.81%, 11.15%, 15.41%, 13.85%,  0.00%,  2.04%,  3.74%,  5.33%,  8.56%,  6.19%, 10.96%, 17.56%, 126792.26, 22037.01, 0.00, 142741.38 , 0, 255, 112.87, 20, 180, 117.22, 90, 232, 136.17, 0.00%, 75.24%,0.00%, 15.31%, 9.45%, 0.00%, 0.00%, 0.00%, 0.00%, 0.38%, 42.29%,0.00%, 35.24%, 22.10%, 0.00%, 0.00%, 0.00%, 0.00%, 1.81%, 47.95%,0.00%, 34.30%, 15.94%, 0.00%, 0.00%, 0.00%, 0.00%, 3.75%, 48.28%,0.00%, 34.84%, 13.12%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 87.3, 0.3, 8399.9, 8095.0, 0.0, 0.0, 238693.1, 1.000, 0
9, P-SLICE,    9, 37.00,      33976, 0,0.00,33.261, 37.191, 38.546, 34.413,23, 8 7 6 , -, 0.00%,  0.00%,  0.00%, 0.07%,  0.00%,  0.13%, 0.34%,  0.13%,  0.37%, 0.74%,  0.30%,  1.57%, 0.00%,  2.88%, 10.79%, 15.01%, 14.71%,  0.00%,  1.57%,  4.46%,  5.70%,  7.00%,  5.29%, 11.36%, 17.59%, 126481.34, 21945.50, 0.00, 146522.29 , 0, 255, 112.74, 18, 178, 117.20, 91, 232, 136.16, 0.00%, 70.85%,0.00%, 14.58%, 14.58%, 0.00%, 0.00%, 0.00%, 0.00%, 1.13%, 38.46%,0.00%, 37.90%, 22.51%, 0.00%, 0.00%, 0.00%, 0.00%, 2.65%, 49.95%,0.00%, 30.69%, 16.72%, 0.00%, 0.00%, 0.00%, 0.00%, 5.37%, 47.87%,0.00%, 31.75%, 15.01%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 107.8, 0.2, 11482.8, 10830.0, 0.0, 0.0, 249944.2, 1.000, 0
