0, I-SLICE,    0, 34.00,     480424, 0,0.00,34.704, 37.706, 39.249, 35.647,23,  -, -, 0.00%,  0.00%,  0.00%, 1.13%,  1.72%,  1.56%, 5.54%,  3.35%, 12.30%,12.71%,  6.61%, 35.47%,19.61%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 94025.67, 20338.92, 0.00, 546618.90 , 0, 255, 113.51, 19, 176, 117.14, 90, 232, 136.18, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 96.99%, 0.00%,0.00%, 3.01%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 6316.9, 101.8, 61725.8, 58398.7, 0.0, 0.0, 67573.9, 1.000, 0
1, P-SLICE,    1, 37.00,      28160, 0,0.00,33.936, 37.441, 39.003, 35.008,23, 0 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.13%,  0.03%,  0.21%, 1.09%,  0.44%,  2.16%, 0.00%,  0.55%,  9.02%, 12.27%,  8.87%,  0.00%,  1.79%,  4.71%,  3.95%,  1.92%, 21.01%, 19.14%, 12.71%, 108471.11, 20329.36, 0.00, 131127.71 , 0, 255, 113.48, 18, 180, 117.22, 91, 232, 136.14, 0.00%, 77.89%,0.00%, 17.89%, 4.21%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 71.65%,0.00%, 19.36%, 8.99%, 0.00%, 0.00%, 0.00%, 0.00%, 1.00%, 65.36%,0.00%, 25.45%, 8.20%, 0.00%, 0.00%, 0.00%, 0.00%, 10.41%, 46.99%,0.00%, 28.52%, 14.08%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 248.8, 77.4, 4776.2, 4407.6, 0.0, 0.0, 72443.4, 1.000, 0
2, P-SLICE,    2, 37.00,      36008, 0,0.00,33.701, 37.362, 38.874, 34.806,23, 1 0 , -, 0.00%,  0.00%,  0.00%, 0.10%,  0.03%,  0.10%, 0.26%,  0.10%,  0.43%, 0.99%,  0.73%,  2.68%, 0.00%,  2.78%, 10.19%, 15.08%, 14.81%,  0.00%,  1.39%,  3.87%,  7.51%,  6.88%,  6.28%, 10.85%, 14.95%, 114757.23, 20807.65, 0.00, 146113.84 , 0, 255, 113.39, 20, 177, 117.26, 91, 232, 136.16, 0.00%, 71.23%,0.00%, 16.10%, 12.67%, 0.00%, 0.00%, 0.00%, 0.00%, 1.28%, 42.41%,0.00%, 34.37%, 21.94%, 0.00%, 0.00%, 0.00%, 0.00%, 2.59%, 48.11%,0.00%, 32.86%, 16.43%, 0.00%, 0.00%, 0.00%, 0.00%, 8.87%, 45.27%,0.00%, 31.27%, 14.60%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 205.5, 5.5, 5047.4, 4614.4, 0.0, 0.0, 77531.3, 1.000, 0
3, P-SLICE,    3, 37.00,      39088, 0,0.00,33.518, 37.287, 38.719, 34.640,23, 2 1 0 , -, 0.00%,  0.00%,  0.00%, 0.06%,  0.00%,  0.03%, 0.25%,  0.06%,  0.77%, 0.65%,  0.25%,  2.82%, 0.00%,  2.35%, 11.80%, 15.33%, 16.05%,  0.00%,  0.96%,  4.99%,  6.75%,  6.23%,  5.17%,  9.48%, 15.99%, 119759.05, 21367.45, 0.00, 148260.34 , 0, 255, 113.31, 20, 181, 117.22, 91, 232, 136.18, 0.00%, 72.56%,0.00%, 18.77%, 8.66%, 0.00%, 0.00%, 0.00%, 0.00%, 0.52%, 34.02%,0.00%, 36.08%, 29.38%, 0.00%, 0.00%, 0.00%, 0.00%, 3.51%, 46.84%,0.00%, 30.59%, 19.06%, 0.00%, 0.00%, 0.00%, 0.00%, 7.44%, 45.53%,0.00%, 30.65%, 16.38%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 206.1, 0.4, 5617.9, 5162.1, 0.0, 0.0, 83193.8, 1.000, 0
4, P-SLICE,    4, 37.00,      37984, 0,0.00,33.346, 37.197, 38.584, 34.482,23, 3 2 1 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.06%, 0.10%,  0.00%,  0.64%, 0.80%,  0.38%,  1.91%, 0.00%,  1.95%, 11.67%, 15.92%, 15.28%,  0.00%,  1.28%,  4.34%,  5.49%,  6.83%,  6.22%,  9.79%, 17.35%, 124217.65, 21892.61, 0.00, 149621.68 , 0, 255, 113.19, 19, 178, 117.21, 90, 231, 136.14, 0.00%, 77.82%,0.00%, 11.27%, 10.91%, 0.00%, 0.00%, 0.00%, 0.00%, 0.33%, 38.97%,0.00%, 34.16%, 26.53%, 0.00%, 0.00%, 0.00%, 0.00%, 2.38%, 45.91%,0.00%, 29.02%, 22.69%, 0.00%, 0.00%, 0.00%, 0.00%, 6.33%, 46.74%,0.00%, 30.74%, 16.19%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 199.5, 1.5, 5520.2, 5096.7, 0.0, 0.0, 88751.6, 1.000, 0
5, P-SLICE,    5, 37.00,      37928, 0,0.00,33.227, 37.153, 38.481, 34.375,23, 4 3 2 , -, 0.00%,  0.00%,  0.00%, 0.07%,  0.07%,  0.03%, 0.17%,  0.00%,  0.60%, 0.54%,  0.27%,  1.87%, 0.00%,  2.71%, 10.24%, 15.80%, 14.39%,  0.00%,  1.37%,  4.92%,  6.02%,  7.26%,  5.42%, 11.18%, 17.07%, 127467.72, 22229.26, 0.00, 151513.30 , 0, 255, 113.09, 19, 178, 117.24, 90, 232, 136.16, 0.00%, 72.82%,0.00%, 14.43%, 12.75%, 0.00%, 0.00%, 0.00%, 0.00%, 0.97%, 39.49%,0.00%, 34.05%, 25.49%, 0.00%, 0.00%, 0.00%, 0.00%, 2.36%, 49.28%,0.00%, 30.94%, 17.42%, 0.00%, 0.00%, 0.00%, 0.00%, 5.56%, 47.92%,0.00%, 31.53%, 15.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 128.4, 0.7, 5466.7, 5077.3, 0.0, 0.0, 94183.9, 1.000, 0
6, P-SLICE,    6, 37.00,      33880, 0,0.00,33.122, 37.100, 38.459, 34.286,23, 5 4 3 , -, 0.00%,  0.00%,  0.00%, 0.07%,  0.00%,  0.07%, 0.14%,  0.04%,  0.35%, 0.64%,  0.21%,  1.88%, 0.00%,  2.41%, 11.97%, 15.30%, 13.32%,  0.00%,  1.31%,  3.97%,  5.99%,  7.83%,  7.30%, 10.84%, 16.37%, 130326.81, 22438.77, 0.00, 150261.51 , 0, 255, 112.97, 18, 178, 117.17, 89, 232, 136.16, 0.00%, 76.47%,0.00%, 15.92%, 7.61%, 0.00%, 0.00%, 0.00%, 0.00%, 0.68%, 41.54%,0.00%, 33.16%, 24.62%, 0.00%, 0.00%, 0.00%, 0.00%, 1.73%, 48.32%,0.00%, 30.52%, 19.42%, 0.00%, 0.00%, 0.00%, 0.00%, 5.82%, 47.66%,0.00%, 34.67%, 11.86%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 125.9, 0.2, 4944.1, 4631.3, 0.0, 0.0, 99089.7, 1.000, 0
7, P-SLICE,    7, 37.00,      26816, 0,0.00,33.140, 37.072, 38.445, 34.295,23, 6 5 4 , -, 0.00%,  0.00%,  0.00%, 0.04%,  0.04%,  0.00%, 0.00%,  0.00%,  0.37%, 0.54%,  0.21%,  1.28%, 0.00%,  2.97%, 10.80%, 16.32%, 11.12%,  0.00%,  1.32%,  3.96%,  4.86%, 10.26%,  8.28%, 10.88%, 16.77%, 129636.75, 22504.36, 0.00, 145577.84 , 0, 255, 112.90, 19, 178, 117.22, 89, 232, 136.19, 0.00%, 77.57%,0.00%, 14.64%, 7.79%, 0.00%, 0.00%, 0.00%, 0.00%, 0.40%, 46.88%,0.00%, 33.20%, 19.52%, 0.00%, 0.00%, 0.00%, 0.00%, 1.18%, 47.06%,0.00%, 31.76%, 20.00%, 0.00%, 0.00%, 0.00%, 0.00%, 4.52%, 48.43%,0.00%, 36.35%, 10.70%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 126.7, 0.2, 4465.7, 4183.5, 0.0, 0.0, 103518.5, 1.000, 0
8, P-SLICE,    8, 37.00,      28800, 0,0.00,33.227, 37.138, 38.492, 34.374,23, 7 6 5 , -, 0.00%,  0.00%,  0.00%, 0.08%,  0.00%,  0.04%, 0.19%,  0.04%,  0.30%, 0.68%,  0.08%,  1.24%, 0.00%,  3.09%, 10.16%, 17.57%, 12.04%,  0.00%,  1.54%,  4.44%,  5.49%,  8.77%,  6.28%, 11.10%, 16.89%, 127234.00, 22195.36, 0.00, 143492.88 , 0, 255, 112.87, 20, 180, 117.22, 90, 232, 136.17, 0.00%, 73.97%,0.00%, 17.46%, 8.57%, 0.00%, 0.00%, 0.00%, 0.00%, 0.62%, 43.24%,0.00%, 36.80%, 19.33%, 0.00%, 0.00%, 0.00%, 0.00%, 1.57%, 46.20%,0.00%, 34.45%, 17.79%, 0.00%, 0.00%, 0.00%, 0.00%, 4.39%, 49.25%,0.00%, 34.27%, 12.09%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 128.2, 0.2, 4648.1, 4367.3, 0.0, 0.0, 108133.8, 1.000, 0
9, P-SLICE,    9, 37.00,      33976, 0,0.00,33.242, 37.144, 38.519, 34.389,23, 8 7 6 , -, 0.00%,  0.00%,  0.00%, 0.07%,  0.00%,  0.04%, 0.25%,  0.18%,  0.53%, 0.71%,  0.28%,  1.84%, 0.00%,  2.79%, 12.30%, 17.21%, 12.05%,  0.00%,  1.70%,  5.30%,  7.28%,  7.39%,  6.15%,  9.90%, 14.03%, 127088.48, 22173.92, 0.00, 146095.19 , 0, 255, 112.74, 18, 178, 117.20, 91, 232, 136.16, 0.00%, 72.57%,0.00%, 13.89%, 13.54%, 0.00%, 0.00%, 0.00%, 0.00%, 0.52%, 38.74%,0.00%, 38.57%, 22.16%, 0.00%, 0.00%, 0.00%, 0.00%, 2.86%, 45.55%,0.00%, 34.75%, 16.84%, 0.00%, 0.00%, 0.00%, 0.00%, 6.33%, 47.71%,0.00%, 35.44%, 10.52%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 120.6, 0.4, 5200.9, 4886.2, 0.0, 0.0, 113293.6, 1.000, 0
10, P-SLICE,   10, 37.00,      36216, 0,0.00,33.213, 37.172, 38.577, 34.378,23, 9 8 7 , -, 0.00%,  0.00%,  0.00%, 0.03%,  0.00%,  0.00%, 0.16%,  0.07%,  0.52%, 0.69%,  0.20%,  1.90%, 0.00%,  1.80%, 10.96%, 15.41%, 14.46%,  0.00%,  0.88%,  4.02%,  4.09%,  7.36%,  7.07%, 12.72%, 17.66%, 128198.43, 21904.82, 0.00, 153248.33 , 0, 255, 112.63, 18, 179, 117.18, 91, 233, 136.18, 0.00%, 80.36%,0.00%, 9.64%, 10.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.17%, 41.97%,0.00%, 31.78%, 26.08%, 0.00%, 0.00%, 0.00%, 0.00%, 2.29%, 50.89%,0.00%, 30.12%, 16.70%, 0.00%, 0.00%, 0.00%, 0.00%, 5.94%, 46.44%,0.00%, 33.66%, 13.97%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 126.8, 0.2, 5282.2, 4883.9, 0.0, 0.0, 118536.3, 1.000, 0
11, P-SLICE,   11, 37.00,      38608, 0,0.00,33.209, 37.173, 38.590, 34.377,23, 10 9 8 , -, 0.00%,  0.00%,  0.00%, 0.03%,  0.00%,  0.09%, 0.16%,  0.03%,  0.38%, 1.07%,  0.25%,  1.42%, 0.00%,  2.20%, 11.26%, 15.88%, 16.10%,  0.00%,  0.88%,  3.71%,  6.48%,  6.67%,  5.35%, 11.86%, 16.19%, 128521.19, 21919.70, 0.00, 155641.10 , 0, 255, 112.53, 20, 179, 117.18, 91, 232, 136.13, 0.00%, 75.18%,0.00%, 11.35%, 13.48%, 0.00%, 0.00%, 0.00%, 0.00%, 0.71%, 35.36%,0.00%, 34.29%, 29.64%, 0.00%, 0.00%, 0.00%, 0.00%, 1.77%, 48.62%,0.00%, 31.43%, 18.17%, 0.00%, 0.00%, 0.00%, 0.00%, 5.58%, 46.22%,0.00%, 34.49%, 13.72%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 126.0, 0.2, 5593.3, 5153.8, 0.0, 0.0, 124094.0, 1.000, 0
12, P-SLICE,   12, 37.00,      40464, 0,0.00,33.177, 37.189, 38.625, 34.359,23, 11 10 9 , -, 0.00%,  0.00%,  0.00%, 0.16%,  0.03%,  0.22%, 0.43%,  0.09%,  0.78%, 1.30%,  0.40%,  1.86%, 0.00%,  2.11%, 10.28%, 16.06%, 16.56%,  0.00%,  0.96%,  3.67%,  7.18%,  6.77%,  5.31%,  9.75%, 16.06%, 129453.39, 21910.51, 0.00, 160428.62 , 0, 255, 112.43, 20, 179, 117.10, 90, 231, 136.17, 0.00%, 76.22%,0.00%, 11.54%, 12.24%, 0.00%, 0.00%, 0.00%, 0.00%, 2.38%, 37.00%,0.00%, 33.70%, 26.92%, 0.00%, 0.00%, 0.00%, 0.00%, 4.24%, 43.59%,0.00%, 30.17%, 22.00%, 0.00%, 0.00%, 0.00%, 0.00%, 7.03%, 45.72%,0.00%, 30.81%, 16.44%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 126.1, 0.2, 5536.8, 5080.2, 0.0, 0.0, 129596.0, 1.000, 0
13, P-SLICE,   13, 37.00,      40528, 0,0.00,33.145, 37.197, 38.600, 34.334,23, 12 11 10 , -, 0.00%,  0.00%,  0.00%, 0.16%,  0.00%,  0.12%, 0.34%,  0.16%,  0.81%, 1.28%,  0.31%,  2.12%, 0.00%,  1.87%, 11.00%, 15.68%, 14.90%,  0.00%,  0.97%,  4.09%,  7.37%,  6.87%,  5.53%, 10.40%, 16.00%, 130313.16, 21892.84, 0.00, 161217.71 , 0, 255, 112.36, 20, 181, 117.14, 91, 231, 136.16, 0.00%, 78.57%,0.00%, 8.93%, 12.50%, 0.00%, 0.00%, 0.00%, 0.00%, 1.58%, 36.56%,0.00%, 32.86%, 29.00%, 0.00%, 0.00%, 0.00%, 0.00%, 4.17%, 46.03%,0.00%, 28.87%, 20.93%, 0.00%, 0.00%, 0.00%, 0.00%, 7.51%, 47.22%,0.00%, 29.29%, 15.97%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 126.4, 1.1, 5754.2, 5275.8, 0.0, 0.0, 135315.8, 1.000, 0
14, P-SLICE,   14, 37.00,      42784, 0,0.00,33.098, 37.149, 38.566, 34.288,23, 13 12 11 , -, 0.00%,  0.00%,  0.00%, 0.09%,  0.03%,  0.12%, 0.31%,  0.06%,  0.83%, 1.11%,  0.71%,  2.68%, 0.00%,  1.97%, 10.43%, 15.17%, 15.94%,  0.00%,  0.92%,  3.60%,  5.85%,  6.83%,  5.23%, 10.06%, 18.04%, 131828.85, 22127.63, 0.00, 163929.94 , 0, 255, 112.23, 20, 179, 117.13, 91, 231, 136.19, 0.00%, 77.62%,0.00%, 8.04%, 14.34%, 0.00%, 0.00%, 0.00%, 0.00%, 1.46%, 36.56%,0.00%, 36.75%, 25.23%, 0.00%, 0.00%, 0.00%, 0.00%, 4.00%, 45.49%,0.00%, 29.92%, 20.59%, 0.00%, 0.00%, 0.00%, 0.00%, 8.69%, 46.19%,0.00%, 31.49%, 13.63%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 125.5, 0.2, 5829.4, 5342.0, 0.0, 0.0, 141108.7, 1.000, 0
