Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, Y PSNR, U PSNR, V PSNR, YUV PSNR, Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 32x32, Inter 16x16, Inter 8x8, Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
0, I-SLICE,    0, 34.00,     467712, 0,0.00,34.741, 37.734, 39.236, 35.677,23,  -, -, 0.00%,  0.00%,  0.00%, 1.07%,  1.40%,  1.77%, 4.99%,  2.92%, 13.38%,11.90%,  6.12%, 35.90%,20.54%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 92878.85, 20187.43, 0.00, 510419.30 , 0, 255, 113.51, 19, 176, 117.14, 90, 232, 136.18, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 96.97%, 0.00%,0.00%, 3.03%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 12051.7, 112.0, 92447.4, 86922.5, 0.0, 0.0, 103798.8, 1.000, 0
1, P-SLICE,    1, 37.00,      27888, 0,0.00,33.973, 37.476, 38.985, 35.038,23, 0 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.03%, 0.16%,  0.05%,  0.27%, 0.53%,  0.35%,  1.62%, 0.00%,  0.59%,  9.15%, 12.80%,  7.87%,  0.00%,  1.92%,  5.32%,  4.71%,  1.89%, 21.92%, 18.36%, 12.48%, 107562.99, 20233.08, 0.00, 132049.56 , 0, 255, 113.48, 18, 180, 117.22, 91, 232, 136.14, 0.00%, 76.34%,0.00%, 22.58%, 1.08%, 0.00%, 0.00%, 0.00%, 0.00%, 0.08%, 72.20%,0.00%, 18.21%, 9.51%, 0.00%, 0.00%, 0.00%, 0.00%, 1.30%, 64.07%,0.00%, 24.91%, 9.72%, 0.00%, 0.00%, 0.00%, 0.00%, 7.37%, 50.63%,0.00%, 30.88%, 11.13%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 254.3, 86.3, 7454.3, 6856.6, 0.0, 0.0, 111307.1, 1.000, 0
2, P-SLICE,    2, 37.00,      36208, 0,0.00,33.737, 37.396, 38.859, 34.835,23, 1 0 , -, 0.00%,  0.00%,  0.00%, 0.03%,  0.06%,  0.03%, 0.25%,  0.06%,  0.57%, 1.34%,  0.54%,  3.44%, 0.00%,  2.45%,  9.94%, 16.44%, 13.86%,  0.00%,  1.75%,  4.11%,  6.28%,  6.60%,  5.99%, 10.26%, 15.97%, 113736.28, 20774.65, 0.00, 143360.64 , 0, 255, 113.39, 20, 177, 117.26, 91, 232, 136.16, 0.00%, 72.89%,0.00%, 15.14%, 11.97%, 0.00%, 0.00%, 0.00%, 0.00%, 0.72%, 43.47%,0.00%, 33.81%, 22.00%, 0.00%, 0.00%, 0.00%, 0.00%, 2.81%, 45.33%,0.00%, 31.96%, 19.90%, 0.00%, 0.00%, 0.00%, 0.00%, 10.84%, 45.32%,0.00%, 30.32%, 13.51%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 221.6, 5.6, 7323.1, 6880.9, 0.0, 0.0, 118578.8, 1.000, 0
3, P-SLICE,    3, 37.00,      37576, 0,0.00,33.537, 37.299, 38.718, 34.655,23, 2 1 0 , -, 0.00%,  0.00%,  0.00%, 0.03%,  0.00%,  0.00%, 0.29%,  0.13%,  0.76%, 1.11%,  0.32%,  2.58%, 0.00%,  2.13%, 11.52%, 15.73%, 14.71%,  0.00%,  1.18%,  3.57%,  5.60%,  6.65%,  5.99%, 11.91%, 15.79%, 119005.63, 21304.06, 0.00, 147482.85 , 0, 255, 113.31, 20, 181, 117.22, 91, 232, 136.18, 0.00%, 75.72%,0.00%, 14.49%, 9.78%, 0.00%, 0.00%, 0.00%, 0.00%, 0.17%, 38.27%,0.00%, 34.18%, 27.38%, 0.00%, 0.00%, 0.00%, 0.00%, 3.64%, 47.79%,0.00%, 31.27%, 17.31%, 0.00%, 0.00%, 0.00%, 0.00%, 8.40%, 44.80%,0.00%, 31.07%, 15.73%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 298.8, 0.4, 8477.1, 7768.6, 0.0, 0.0, 127017.1, 1.000, 0
4, P-SLICE,    4, 37.00,      38616, 0,0.00,33.382, 37.232, 38.607, 34.517,23, 3 2 1 , -, 0.00%,  0.00%,  0.00%, 0.03%,  0.03%,  0.03%, 0.10%,  0.06%,  0.42%, 0.68%,  0.36%,  2.14%, 0.00%,  2.24%, 11.14%, 15.40%, 15.85%,  0.00%,  1.23%,  4.16%,  7.18%,  7.02%,  5.88%, 11.18%, 14.85%, 123131.72, 21725.63, 0.00, 149210.06 , 0, 255, 113.19, 19, 178, 117.21, 90, 231, 136.14, 0.00%, 75.79%,0.00%, 10.88%, 13.33%, 0.00%, 0.00%, 0.00%, 0.00%, 0.53%, 38.76%,0.00%, 35.04%, 25.66%, 0.00%, 0.00%, 0.00%, 0.00%, 1.87%, 48.96%,0.00%, 29.36%, 19.81%, 0.00%, 0.00%, 0.00%, 0.00%, 6.52%, 45.08%,0.00%, 31.45%, 16.95%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 210.4, 1.4, 8021.5, 7311.7, 0.0, 0.0, 134906.3, 1.000, 0
5, P-SLICE,    5, 37.00,      37088, 0,0.00,33.230, 37.185, 38.525, 34.386,23, 4 3 2 , -, 0.00%,  0.00%,  0.00%, 0.13%,  0.00%,  0.13%, 0.10%,  0.03%,  0.52%, 0.56%,  0.10%,  2.39%, 0.00%,  2.55%, 10.08%, 15.60%, 13.84%,  0.00%,  1.41%,  3.96%,  4.87%,  7.00%,  5.50%, 12.95%, 18.29%, 127207.26, 22048.18, 0.00, 152193.81 , 0, 255, 113.09, 19, 178, 117.24, 90, 232, 136.16, 0.00%, 73.29%,0.00%, 13.70%, 13.01%, 0.00%, 0.00%, 0.00%, 0.00%, 1.52%, 40.04%,0.00%, 30.17%, 28.27%, 0.00%, 0.00%, 0.00%, 0.00%, 1.97%, 50.99%,0.00%, 28.70%, 18.34%, 0.00%, 0.00%, 0.00%, 0.00%, 6.35%, 48.36%,0.00%, 32.79%, 12.50%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 160.4, 3.9, 7716.3, 7059.8, 0.0, 0.0, 142453.2, 1.000, 0
6, P-SLICE,    6, 37.00,      31312, 0,0.00,33.092, 37.141, 38.469, 34.270,23, 5 4 3 , -, 0.00%,  0.00%,  0.00%, 0.04%,  0.00%,  0.07%, 0.18%,  0.00%,  0.43%, 0.32%,  0.14%,  1.69%, 0.00%,  2.37%, 11.48%, 15.90%, 12.24%,  0.00%,  1.26%,  4.41%,  6.32%,  8.18%,  7.21%, 11.45%, 16.33%, 131244.28, 22222.05, 0.00, 149118.07 , 0, 255, 112.97, 18, 178, 117.17, 89, 232, 136.16, 0.00%, 77.55%,0.00%, 15.65%, 6.80%, 0.00%, 0.00%, 0.00%, 0.00%, 0.54%, 42.22%,0.00%, 34.17%, 23.08%, 0.00%, 0.00%, 0.00%, 0.00%, 1.88%, 49.00%,0.00%, 31.71%, 17.41%, 0.00%, 0.00%, 0.00%, 0.00%, 4.72%, 49.61%,0.00%, 34.04%, 11.64%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 90.7, 0.3, 7912.9, 7395.0, 0.0, 0.0, 150150.6, 1.000, 0
7, P-SLICE,    7, 37.00,      26776, 0,0.00,33.101, 37.120, 38.445, 34.271,23, 6 5 4 , -, 0.00%,  0.00%,  0.00%, 0.08%,  0.04%,  0.04%, 0.16%,  0.00%,  0.43%, 1.06%,  0.28%,  1.77%, 0.00%,  2.68%, 10.76%, 15.64%, 10.76%,  0.00%,  1.50%,  3.82%,  5.36%,  9.73%,  7.60%, 11.43%, 16.86%, 130789.17, 22364.25, 0.00, 146191.20 , 0, 255, 112.90, 19, 178, 117.22, 89, 232, 136.19, 0.00%, 78.41%,0.00%, 12.38%, 9.21%, 0.00%, 0.00%, 0.00%, 0.00%, 0.79%, 45.47%,0.00%, 31.30%, 22.44%, 0.00%, 0.00%, 0.00%, 0.00%, 1.88%, 48.44%,0.00%, 29.16%, 20.53%, 0.00%, 0.00%, 0.00%, 0.00%, 6.83%, 48.79%,0.00%, 33.48%, 10.90%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 156.0, 0.4, 6980.2, 6524.4, 0.0, 0.0, 156944.8, 1.000, 0
8, P-SLICE,    8, 37.00,      28792, 0,0.00,33.217, 37.159, 38.524, 34.373,23, 7 6 5 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.04%,  0.00%, 0.08%,  0.00%,  0.42%, 0.34%,  0.11%,  1.53%, 0.00%,  3.22%, 11.42%, 16.48%, 12.61%,  0.00%,  1.38%,  4.60%,  5.86%,  8.66%,  6.86%, 11.00%, 15.40%, 127561.64, 22102.41, 0.00, 143882.53 , 0, 255, 112.87, 20, 180, 117.22, 90, 232, 136.17, 0.00%, 72.90%,0.00%, 18.06%, 9.03%, 0.00%, 0.00%, 0.00%, 0.00%, 0.19%, 41.83%,0.00%, 38.13%, 19.84%, 0.00%, 0.00%, 0.00%, 0.00%, 1.53%, 47.88%,0.00%, 33.06%, 17.53%, 0.00%, 0.00%, 0.00%, 0.00%, 4.42%, 47.19%,0.00%, 36.39%, 11.99%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 155.9, 0.3, 7528.5, 7052.6, 0.0, 0.0, 164287.3, 1.000, 0
9, P-SLICE,    9, 37.00,      33568, 0,0.00,33.247, 37.169, 38.534, 34.398,23, 8 7 6 , -, 0.00%,  0.00%,  0.00%, 0.07%,  0.00%,  0.03%, 0.20%,  0.10%,  0.64%, 0.61%,  0.24%,  2.24%, 0.00%,  2.37%, 11.86%, 15.89%, 13.89%,  0.00%,  1.46%,  4.84%,  6.78%,  7.32%,  6.06%,  9.99%, 15.41%, 127004.02, 22023.90, 0.00, 148007.24 , 0, 255, 112.74, 18, 178, 117.20, 91, 232, 136.16, 0.00%, 75.52%,0.00%, 11.19%, 13.29%, 0.00%, 0.00%, 0.00%, 0.00%, 0.52%, 38.61%,0.00%, 33.91%, 26.96%, 0.00%, 0.00%, 0.00%, 0.00%, 2.99%, 46.84%,0.00%, 31.34%, 18.82%, 0.00%, 0.00%, 0.00%, 0.00%, 6.52%, 46.92%,0.00%, 34.60%, 11.96%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 156.5, 0.3, 5475.9, 5165.7, 0.0, 0.0, 169578.6, 1.000, 0
