Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, Y PSNR, U PSNR, V PSNR, YUV PSNR, Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 32x32, Inter 16x16, Inter 8x8, Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
0, I-SLICE,    0, 29.00,     868920, 0,0.00,37.073, 38.909, 41.157, 37.813,23,  -, -, 0.00%,  0.00%,  0.00%, 0.74%,  1.03%,  1.13%, 4.12%,  2.60%,  9.21%,12.10%,  6.48%, 35.59%,27.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 53249.71, 14267.63, 0.00, 482162.79 , 0, 255, 113.51, 19, 176, 117.14, 90, 232, 136.18, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 97.45%, 0.00%,0.00%, 2.55%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 10851.0, 108.9, 114092.2, 107507.2, 0.0, 0.0, 124124.2, 1.000, 0
1, P-SLICE,    1, 32.00,      62168, 0,0.00,35.884, 38.400, 40.768, 36.809,23, 0 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.04%, 0.10%,  0.02%,  0.32%, 1.11%,  0.57%,  3.00%, 0.00%,  0.21%,  7.16%, 13.72%, 18.17%,  0.00%,  1.11%,  3.84%,  4.76%,  0.84%, 14.65%, 18.11%, 12.28%, 69573.38, 15188.78, 0.00, 96834.70 , 0, 255, 113.48, 18, 180, 117.22, 91, 232, 136.14, 0.00%, 80.00%,0.00%, 12.73%, 7.27%, 0.00%, 0.00%, 0.00%, 0.00%, 0.17%, 68.64%,0.00%, 18.14%, 13.06%, 0.00%, 0.00%, 0.00%, 0.00%, 1.22%, 60.79%,0.00%, 25.34%, 12.65%, 0.00%, 0.00%, 0.00%, 0.00%, 10.52%, 38.32%,0.00%, 32.56%, 18.60%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 216.4, 89.8, 9026.4, 8325.2, 0.0, 0.0, 133020.2, 1.000, 0
2, P-SLICE,    2, 32.00,      79624, 0,0.00,35.749, 38.343, 40.639, 36.685,23, 1 0 , -, 0.00%,  0.00%,  0.00%, 0.07%,  0.00%,  0.00%, 0.15%,  0.13%,  0.76%, 1.15%,  0.50%,  3.69%, 0.00%,  0.91%,  8.59%, 15.57%, 26.96%,  0.00%,  0.69%,  2.65%,  6.55%,  3.97%,  4.88%,  8.02%, 14.77%, 71672.56, 15519.14, 0.00, 105368.57 , 0, 255, 113.39, 20, 177, 117.26, 91, 232, 136.16, 0.00%, 81.33%,0.00%, 9.78%, 8.89%, 0.00%, 0.00%, 0.00%, 0.00%, 0.46%, 39.18%,0.00%, 29.42%, 30.95%, 0.00%, 0.00%, 0.00%, 0.00%, 3.82%, 39.11%,0.00%, 32.75%, 24.32%, 0.00%, 0.00%, 0.00%, 0.00%, 9.07%, 36.25%,0.00%, 32.67%, 22.01%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 310.6, 9.2, 9125.7, 8236.7, 0.0, 0.0, 142280.7, 1.000, 0
3, P-SLICE,    3, 32.00,      85576, 0,0.00,35.642, 38.282, 40.542, 36.584,23, 2 1 0 , -, 0.00%,  0.00%,  0.00%, 0.04%,  0.02%,  0.00%, 0.06%,  0.06%,  0.47%, 1.00%,  0.41%,  3.68%, 0.00%,  1.18%,  8.08%, 15.94%, 29.29%,  0.00%,  0.43%,  2.26%,  6.84%,  4.04%,  3.65%,  8.03%, 14.51%, 73342.49, 15787.40, 0.00, 105036.17 , 0, 255, 113.31, 20, 181, 117.22, 91, 232, 136.18, 0.00%, 77.46%,0.00%, 15.16%, 7.38%, 0.00%, 0.00%, 0.00%, 0.00%, 0.52%, 33.39%,0.00%, 31.64%, 34.44%, 0.00%, 0.00%, 0.00%, 0.00%, 2.23%, 38.38%,0.00%, 32.17%, 27.23%, 0.00%, 0.00%, 0.00%, 0.00%, 8.36%, 35.08%,0.00%, 36.13%, 20.44%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 295.5, 0.3, 8560.6, 7952.1, 0.0, 0.0, 150949.3, 1.000, 0
4, P-SLICE,    4, 32.00,      85352, 0,0.00,35.555, 38.204, 40.422, 36.495,23, 3 2 1 , -, 0.00%,  0.00%,  0.00%, 0.02%,  0.02%,  0.09%, 0.13%,  0.04%,  0.34%, 0.62%,  0.28%,  3.38%, 0.00%,  0.99%,  7.56%, 16.85%, 29.35%,  0.00%,  0.62%,  2.69%,  6.74%,  4.29%,  3.84%,  7.69%, 14.44%, 74634.62, 16128.60, 0.00, 102564.77 , 0, 255, 113.19, 19, 178, 117.21, 90, 231, 136.14, 0.00%, 81.22%,0.00%, 10.61%, 8.16%, 0.00%, 0.00%, 0.00%, 0.00%, 1.06%, 36.70%,0.00%, 30.85%, 31.38%, 0.00%, 0.00%, 0.00%, 0.00%, 1.86%, 37.42%,0.00%, 34.63%, 26.09%, 0.00%, 0.00%, 0.00%, 0.00%, 7.15%, 35.31%,0.00%, 34.63%, 22.92%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 209.0, 1.6, 11329.9, 10730.7, 0.0, 0.0, 162154.9, 1.000, 0
5, P-SLICE,    5, 32.00,      83304, 0,0.00,35.451, 38.174, 40.320, 36.400,23, 4 3 2 , -, 0.00%,  0.00%,  0.00%, 0.04%,  0.00%,  0.06%, 0.06%,  0.00%,  0.39%, 0.64%,  0.32%,  3.16%, 0.00%,  0.95%,  7.71%, 15.61%, 28.61%,  0.00%,  0.75%,  2.86%,  6.57%,  4.10%,  4.40%,  8.85%, 14.91%, 76426.26, 16303.94, 0.00, 102266.85 , 0, 255, 113.09, 19, 178, 117.24, 90, 232, 136.16, 0.00%, 81.28%,0.00%, 11.91%, 6.81%, 0.00%, 0.00%, 0.00%, 0.00%, 0.83%, 39.74%,0.00%, 31.46%, 27.98%, 0.00%, 0.00%, 0.00%, 0.00%, 1.62%, 42.15%,0.00%, 29.85%, 26.37%, 0.00%, 0.00%, 0.00%, 0.00%, 6.95%, 36.18%,0.00%, 33.57%, 23.30%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 88.1, 0.4, 9806.6, 8954.8, 0.0, 0.0, 171717.2, 1.000, 0
6, P-SLICE,    6, 32.00,      77840, 0,0.00,35.381, 38.139, 40.269, 36.337,23, 5 4 3 , -, 0.00%,  0.00%,  0.00%, 0.07%,  0.00%,  0.04%, 0.07%,  0.02%,  0.33%, 0.77%,  0.24%,  2.71%, 0.00%,  0.99%,  8.34%, 15.62%, 28.05%,  0.00%,  0.73%,  2.16%,  4.91%,  4.27%,  4.03%,  9.66%, 17.01%, 77507.98, 16489.82, 0.00, 98061.63 , 0, 255, 112.97, 18, 178, 117.17, 89, 232, 136.16, 0.00%, 81.17%,0.00%, 12.97%, 5.86%, 0.00%, 0.00%, 0.00%, 0.00%, 0.83%, 36.00%,0.00%, 30.67%, 32.50%, 0.00%, 0.00%, 0.00%, 0.00%, 1.50%, 42.42%,0.00%, 31.99%, 24.09%, 0.00%, 0.00%, 0.00%, 0.00%, 6.31%, 37.16%,0.00%, 33.92%, 22.61%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 88.7, 0.3, 11115.2, 10409.0, 0.0, 0.0, 182587.5, 1.000, 0
7, P-SLICE,    7, 32.00,      61504, 0,0.00,35.391, 38.109, 40.270, 36.341,23, 6 5 4 , -, 0.00%,  0.00%,  0.00%, 0.08%,  0.00%,  0.03%, 0.14%,  0.03%,  0.24%, 0.73%,  0.24%,  2.01%, 0.00%,  1.71%,  7.72%, 15.78%, 25.92%,  0.00%,  0.68%,  3.50%,  6.14%,  5.87%,  6.03%,  8.53%, 14.62%, 77271.65, 16518.60, 0.00, 95156.86 , 0, 255, 112.90, 19, 178, 117.22, 89, 232, 136.19, 0.00%, 77.42%,0.00%, 12.19%, 10.39%, 0.00%, 0.00%, 0.00%, 0.00%, 0.75%, 46.17%,0.00%, 31.40%, 21.68%, 0.00%, 0.00%, 0.00%, 0.00%, 1.44%, 42.64%,0.00%, 34.46%, 21.46%, 0.00%, 0.00%, 0.00%, 0.00%, 5.32%, 36.94%,0.00%, 39.75%, 17.99%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 152.0, 0.3, 8931.8, 8601.8, 0.0, 0.0, 191339.8, 1.000, 0
8, P-SLICE,    8, 32.00,      66648, 0,0.00,35.483, 38.181, 40.323, 36.425,23, 7 6 5 , -, 0.00%,  0.00%,  0.00%, 0.05%,  0.00%,  0.05%, 0.14%,  0.02%,  0.32%, 0.48%,  0.32%,  2.09%, 0.00%,  1.07%,  7.67%, 16.39%, 28.01%,  0.00%,  0.87%,  2.89%,  6.74%,  4.46%,  4.90%,  8.99%, 14.55%, 75806.67, 16238.02, 0.00, 93089.40 , 0, 255, 112.87, 20, 180, 117.22, 90, 232, 136.17, 0.00%, 80.66%,0.00%, 12.76%, 6.58%, 0.00%, 0.00%, 0.00%, 0.00%, 0.67%, 42.59%,0.00%, 30.13%, 26.60%, 0.00%, 0.00%, 0.00%, 0.00%, 1.66%, 41.33%,0.00%, 36.18%, 20.82%, 0.00%, 0.00%, 0.00%, 0.00%, 5.02%, 36.93%,0.00%, 36.18%, 21.88%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 86.7, 0.3, 9069.1, 8730.1, 0.0, 0.0, 200171.9, 1.000, 0
9, P-SLICE,    9, 32.00,      76080, 0,0.00,35.502, 38.161, 40.315, 36.436,23, 8 7 6 , -, 0.00%,  0.00%,  0.00%, 0.04%,  0.00%,  0.00%, 0.13%,  0.04%,  0.51%, 0.84%,  0.40%,  2.72%, 0.00%,  1.26%,  7.63%, 16.89%, 27.17%,  0.00%,  0.95%,  3.16%,  7.03%,  4.24%,  3.58%,  8.07%, 15.34%, 75526.60, 16346.92, 0.00, 97727.99 , 0, 255, 112.74, 18, 178, 117.20, 91, 232, 136.16, 0.00%, 77.11%,0.00%, 10.84%, 12.05%, 0.00%, 0.00%, 0.00%, 0.00%, 0.36%, 37.14%,0.00%, 32.61%, 29.89%, 0.00%, 0.00%, 0.00%, 0.00%, 2.38%, 38.99%,0.00%, 36.07%, 22.56%, 0.00%, 0.00%, 0.00%, 0.00%, 6.73%, 38.05%,0.00%, 34.21%, 21.02%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 86.4, 0.3, 9439.8, 9012.2, 0.0, 0.0, 209374.6, 1.000, 0
10, P-SLICE,   10, 32.00,      83656, 0,0.00,35.461, 38.194, 40.346, 36.413,23, 9 8 7 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.04%,  0.02%, 0.04%,  0.07%,  0.57%, 1.00%,  0.33%,  3.34%, 0.00%,  1.29%,  7.97%, 15.03%, 28.35%,  0.00%,  0.50%,  2.27%,  5.05%,  4.19%,  3.49%,  9.28%, 17.15%, 76346.42, 16210.87, 0.00, 104550.98 , 0, 255, 112.63, 18, 179, 117.18, 91, 233, 136.18, 0.00%, 76.49%,0.00%, 9.96%, 13.55%, 0.00%, 0.00%, 0.00%, 0.00%, 0.54%, 33.21%,0.00%, 33.03%, 33.21%, 0.00%, 0.00%, 0.00%, 0.00%, 2.48%, 42.39%,0.00%, 30.05%, 25.08%, 0.00%, 0.00%, 0.00%, 0.00%, 7.73%, 36.71%,0.00%, 33.42%, 22.15%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 86.6, 0.3, 10747.8, 9816.4, 0.0, 0.0, 219885.6, 1.000, 0
