Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, Y PSNR, U PSNR, V PSNR, YUV PSNR, Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 32x32, Inter 16x16, Inter 8x8, Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
0, I-SLICE,    0, 34.00,     472752, 0,0.00,34.743, 37.719, 39.270, 35.681,23,  -, -, 0.00%,  0.00%,  0.00%, 1.13%,  1.58%,  1.60%, 4.81%,  3.18%, 11.51%,12.51%,  6.63%, 36.22%,20.83%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 92899.69, 20146.22, 0.00, 561919.13 , 0, 255, 113.51, 19, 176, 117.14, 90, 232, 136.18, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 97.10%, 0.00%,0.00%, 2.90%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 10786.3, 114.2, 7544610.2, 7169855.4, 0.0, 0.0, 7555147.0, 1.000, 0
1, P-SLICE,    1, 37.00,      28224, 0,0.00,33.971, 37.458, 38.994, 35.035,23, 0 , -, 0.00%,  0.00%,  0.00%, 0.03%,  0.00%,  0.08%, 0.00%,  0.05%,  0.29%, 0.75%,  0.42%,  1.41%, 0.00%,  0.31%,  9.19%, 12.59%,  8.33%,  0.00%,  1.82%,  6.25%,  4.89%,  2.08%, 20.61%, 19.65%, 11.27%, 107534.68, 20279.70, 0.00, 131347.64 , 0, 255, 113.48, 18, 180, 117.22, 91, 232, 136.14, 0.00%, 86.96%,0.00%, 9.78%, 3.26%, 0.00%, 0.00%, 0.00%, 0.00%, 0.33%, 70.71%,0.00%, 20.02%, 8.94%, 0.00%, 0.00%, 0.00%, 0.00%, 0.87%, 66.69%,0.00%, 22.18%, 10.25%, 0.00%, 0.00%, 0.00%, 0.00%, 7.73%, 48.52%,0.00%, 30.78%, 12.97%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 2402.3, 8285.9, 269287.4, 242279.6, 0.0, 0.0, 7834383.4, 1.000, 0
2, P-SLICE,    2, 37.00,      35560, 0,0.00,33.711, 37.361, 38.869, 34.812,23, 1 0 , -, 0.00%,  0.00%,  0.00%, 0.06%,  0.00%,  0.00%, 0.39%,  0.13%,  0.48%, 1.22%,  0.45%,  2.25%, 0.00%,  2.38%, 10.55%, 16.28%, 14.86%,  0.00%,  1.64%,  4.47%,  5.24%,  6.63%,  6.50%,  9.43%, 17.02%, 114517.88, 20825.12, 0.00, 144131.02 , 0, 255, 113.39, 20, 177, 117.26, 91, 232, 136.16, 0.00%, 73.57%,0.00%, 16.07%, 10.36%, 0.00%, 0.00%, 0.00%, 0.00%, 0.34%, 43.40%,0.00%, 35.51%, 20.75%, 0.00%, 0.00%, 0.00%, 0.00%, 3.20%, 44.58%,0.00%, 31.79%, 20.43%, 0.00%, 0.00%, 0.00%, 0.00%, 8.05%, 45.65%,0.00%, 30.41%, 15.90%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 321.4, 43.0, 323201.3, 292029.7, 0.0, 0.0, 8157618.3, 1.000, 0
3, P-SLICE,    3, 37.00,      38288, 0,0.00,33.547, 37.287, 38.716, 34.661,23, 2 1 0 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.34%,  0.12%,  0.68%, 0.96%,  0.34%,  3.02%, 0.00%,  2.09%, 10.47%, 15.31%, 15.71%,  0.00%,  1.29%,  4.47%,  5.64%,  6.65%,  5.08%, 10.47%, 17.34%, 118735.39, 21354.49, 0.00, 148009.41 , 0, 255, 113.31, 20, 181, 117.22, 91, 232, 136.18, 0.00%, 76.06%,0.00%, 14.44%, 9.51%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 37.84%,0.00%, 34.73%, 27.42%, 0.00%, 0.00%, 0.00%, 0.00%, 3.63%, 47.60%,0.00%, 31.11%, 17.66%, 0.00%, 0.00%, 0.00%, 0.00%, 8.56%, 45.60%,0.00%, 29.58%, 16.26%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 1440.6, 2.4, 380021.2, 343357.2, 0.0, 0.0, 8538768.5, 1.000, 0
4, P-SLICE,    4, 37.00,      39464, 0,0.00,33.384, 37.214, 38.664, 34.523,23, 3 2 1 , -, 0.00%,  0.00%,  0.00%, 0.03%,  0.00%,  0.16%, 0.13%,  0.09%,  0.38%, 1.17%,  0.54%,  2.40%, 0.00%,  2.02%, 11.58%, 15.75%, 14.20%,  0.00%,  1.39%,  3.95%,  6.03%,  6.53%,  6.25%, 10.57%, 16.82%, 123190.92, 21704.70, 0.00, 150411.33 , 0, 255, 113.19, 19, 178, 117.21, 90, 231, 136.14, 0.00%, 76.38%,0.00%, 8.49%, 15.13%, 0.00%, 0.00%, 0.00%, 0.00%, 0.98%, 39.35%,0.00%, 32.52%, 27.15%, 0.00%, 0.00%, 0.00%, 0.00%, 1.94%, 47.03%,0.00%, 31.60%, 19.43%, 0.00%, 0.00%, 0.00%, 0.00%, 8.42%, 46.89%,0.00%, 31.28%, 13.41%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 8001.5, 30.0, 345657.0, 316705.2, 0.0, 0.0, 8892264.3, 1.000, 0
5, P-SLICE,    5, 37.00,      37272, 0,0.00,33.244, 37.167, 38.575, 34.401,23, 4 3 2 , -, 0.00%,  0.00%,  0.00%, 0.10%,  0.00%,  0.07%, 0.17%,  0.00%,  0.47%, 0.67%,  0.20%,  1.85%, 0.00%,  2.19%, 12.61%, 14.90%, 13.82%,  0.00%,  1.51%,  4.31%,  5.75%,  7.33%,  5.55%, 10.97%, 17.52%, 126915.85, 21955.05, 0.00, 151670.71 , 0, 255, 113.09, 19, 178, 117.24, 90, 232, 136.16, 0.00%, 77.03%,0.00%, 12.72%, 10.25%, 0.00%, 0.00%, 0.00%, 0.00%, 0.85%, 35.59%,0.00%, 35.25%, 28.31%, 0.00%, 0.00%, 0.00%, 0.00%, 2.07%, 49.56%,0.00%, 30.68%, 17.69%, 0.00%, 0.00%, 0.00%, 0.00%, 5.69%, 48.60%,0.00%, 31.32%, 14.40%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 1002.5, 3838.8, 364734.0, 345670.8, 0.0, 0.0, 9261670.7, 1.000, 0
6, P-SLICE,    6, 37.00,      32504, 0,0.00,33.105, 37.105, 38.519, 34.282,23, 5 4 3 , -, 0.00%,  0.00%,  0.00%, 0.04%,  0.00%,  0.08%, 0.23%,  0.04%,  0.26%, 0.56%,  0.34%,  1.73%, 0.00%,  2.74%, 13.12%, 16.54%, 12.10%,  0.00%,  1.35%,  3.53%,  4.70%,  8.27%,  7.29%, 11.35%, 15.75%, 130814.14, 22351.37, 0.00, 150193.39 , 0, 255, 112.97, 18, 178, 117.17, 89, 232, 136.16, 0.00%, 75.09%,0.00%, 13.31%, 11.60%, 0.00%, 0.00%, 0.00%, 0.00%, 0.52%, 39.52%,0.00%, 33.51%, 26.46%, 0.00%, 0.00%, 0.00%, 0.00%, 1.65%, 46.59%,0.00%, 32.71%, 19.06%, 0.00%, 0.00%, 0.00%, 0.00%, 5.95%, 46.26%,0.00%, 34.27%, 13.52%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 113.8, 0.5, 318875.5, 299985.3, 0.0, 0.0, 9580490.2, 1.000, 0
7, P-SLICE,    7, 37.00,      27600, 0,0.00,33.118, 37.078, 38.505, 34.286,23, 6 5 4 , -, 0.00%,  0.00%,  0.00%, 0.08%,  0.04%,  0.00%, 0.04%,  0.04%,  0.29%, 0.71%,  0.21%,  1.62%, 0.00%,  3.54%, 11.28%, 14.23%, 13.23%,  0.00%,  1.75%,  3.70%,  6.49%, 10.24%,  6.49%, 10.32%, 15.69%, 130451.60, 22371.10, 0.00, 146310.49 , 0, 255, 112.90, 19, 178, 117.22, 89, 232, 136.19, 0.00%, 74.32%,0.00%, 14.20%, 11.48%, 0.00%, 0.00%, 0.00%, 0.00%, 0.64%, 41.95%,0.00%, 34.75%, 22.67%, 0.00%, 0.00%, 0.00%, 0.00%, 1.31%, 48.98%,0.00%, 35.61%, 14.10%, 0.00%, 0.00%, 0.00%, 0.00%, 5.30%, 46.27%,0.00%, 37.41%, 11.02%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 152.3, 0.6, 246859.9, 229603.4, 0.0, 0.0, 9827356.5, 1.000, 0
8, P-SLICE,    8, 37.00,      29592, 0,0.00,33.250, 37.124, 38.554, 34.397,23, 7 6 5 , -, 0.00%,  0.00%,  0.00%, 0.18%,  0.04%,  0.00%, 0.11%,  0.04%,  0.26%, 0.51%,  0.26%,  1.43%, 0.00%,  2.76%, 10.40%, 14.96%, 14.81%,  0.00%,  1.36%,  3.56%,  4.81%,  8.49%,  7.39%, 11.65%, 16.98%, 126631.32, 22095.66, 0.00, 143053.05 , 0, 255, 112.87, 20, 180, 117.22, 90, 232, 136.17, 0.00%, 75.49%,0.00%, 15.36%, 9.15%, 0.00%, 0.00%, 0.00%, 0.00%, 1.14%, 45.16%,0.00%, 33.78%, 19.92%, 0.00%, 0.00%, 0.00%, 0.00%, 1.32%, 49.76%,0.00%, 32.69%, 16.23%, 0.00%, 0.00%, 0.00%, 0.00%, 4.63%, 45.76%,0.00%, 37.19%, 12.42%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 764.3, 10.0, 284267.4, 271066.8, 0.0, 0.0, 10112204.3, 1.000, 0
9, P-SLICE,    9, 37.00,      34120, 0,0.00,33.270, 37.137, 38.584, 34.418,23, 8 7 6 , -, 0.00%,  0.00%,  0.00%, 0.14%,  0.00%,  0.03%, 0.17%,  0.07%,  0.82%, 0.75%,  0.14%,  1.63%, 0.00%,  2.04%, 12.09%, 15.22%, 13.18%,  0.00%,  1.63%,  4.73%,  6.06%,  7.59%,  6.06%, 11.27%, 16.38%, 126268.71, 22064.14, 0.00, 149157.32 , 0, 255, 112.74, 18, 178, 117.20, 91, 232, 136.16, 0.00%, 78.80%,0.00%, 11.66%, 9.54%, 0.00%, 0.00%, 0.00%, 0.00%, 0.85%, 38.57%,0.00%, 34.13%, 26.45%, 0.00%, 0.00%, 0.00%, 0.00%, 3.27%, 49.58%,0.00%, 31.65%, 15.51%, 0.00%, 0.00%, 0.00%, 0.00%, 5.44%, 48.46%,0.00%, 33.24%, 12.87%, 0.00%,
