, Original, Original, RBER 1E-3, RBER 1E-3, RBER 1E-4, RBER 1E-4, RBER 1E-5, RBER 1E-5, RBER 1E-6, RBER 1E-6, RBER 1E-7, RBER 1E-7
QP 22, 700908.42, 40.409, 701672.06, 40.403, 701048.20, 40.410, 700987.27, 40.410, 701199.89, 40.410, 700988.20, 40.409,
QP 27, 460084.17, 36.748, 460525.59, 36.741, 460165.50, 36.746, 459933.70, 36.747, 460117.83, 36.748, 459931.41, 36.747,
QP 32, 292111.83, 33.206, 292504.08, 33.200, 292162.73, 33.206, 292049.88, 33.205, 291868.20, 33.205, 292308.80, 33.206,
QP 37, 183887.45, 29.613, 184019.67, 29.610, 183651.47, 29.610, 183625.61, 29.617, 183786.69, 29.614, 183609.57, 29.614,


,Original,Original,WBER 1E-3, WBER 1E-3, WBER 1E-4, WBER 1E-4, WBER 1E-5, WBER 1E-5, WBER 1E-6, WBER 1E-6, WBER 1E-7, WBER 1E-7
QP 22, 700908.42, 40.409, 701548.97, 40.406, 700933.17, 40.409, 701031.80, 40.410, 700939.55, 40.410, 700815.19, 40.411,
QP 27, 460084.17, 36.748, 460155.56, 36.742, 460200.05, 36.746, 460219.17, 36.748, 459842.06, 36.747, 460029.23, 36.748,
QP 32, 292111.83, 33.206, 292219.12, 33.199, 292284.66, 33.205, 292193.67, 33.208, 291805.78, 33.203, 291923.13, 33.206,
QP 37, 183887.45, 29.613, 183685.30, 29.615, 183661.37, 29.611, 183438.47, 29.617, 183675.77, 29.616, 183563.54, 29.615,
