, Original, Original, RBER 1E-3, RBER 1E-3, RBER 1E-4, RBER 1E-4, RBER 1E-5, RBER 1E-5, RBER 1E-6, RBER 1E-6, RBER 1E-7, RBER 1E-7
QP 22, 1613029.12, 39.894, 1615874.25, 39.888, 1613394.75, 39.894, 1613080.12, 39.895, 1613109.94, 39.896, 1613007.19, 39.895,
QP 27, 1257636.56, 35.535, 1260045.66, 35.525, 1257810.94, 35.534, 1257596.44, 35.534, 1257626.34, 35.535, 1257641.62, 35.535,
QP 32, 948016.78, 30.927, 949920.19, 30.916, 948240.56, 30.926, 948043.22, 30.928, 947951.72, 30.927, 947963.34, 30.926,
QP 37, 682539.00, 26.143, 683967.00, 26.131, 682806.66, 26.142, 682543.78, 26.142, 682561.08, 26.142, 682616.02, 26.143,


,Original,Original,WBER 1E-3, WBER 1E-3, WBER 1E-4, WBER 1E-4, WBER 1E-5, WBER 1E-5, WBER 1E-6, WBER 1E-6, WBER 1E-7, WBER 1E-7
QP 22, 1613029.12, 39.894, 1614205.31, 39.891, 1613206.31, 39.894, 1613059.88, 39.895, 1613110.69, 39.895, 1613018.62, 39.894,
QP 27, 1257636.56, 35.535, 1258479.56, 35.530, 1257725.44, 35.534, 1257585.19, 35.534, 1257588.19, 35.534, 1257646.88, 35.535,
QP 32, 948016.78, 30.927, 948726.56, 30.922, 948064.03, 30.926, 948049.22, 30.927, 947984.72, 30.926, 948030.56, 30.928,
QP 37, 682539.00, 26.143, 683123.44, 26.140, 682617.98, 26.142, 682524.66, 26.144, 682620.84, 26.143, 682631.48, 26.144,
