QP 22
, RBER 1E-3, RBER 1E-3, RBER 1E-4, RBER 1E-4, RBER 1E-5, RBER 1E-5, RBER 1E-6, RBER 1E-6, RBER 1E-7, RBER 1E-7
WBER 1E-3, 146510.81, 40.154, 37874.64, 40.975, 29844.04, 41.136, 29246.29, 41.154, 29207.68, 41.154,
WBER 1E-4, 146221.88, 40.154, 37871.21, 40.976, 29831.21, 41.137, 29259.81, 41.154, 29216.22, 41.155,
WBER 1E-5, 150365.32, 39.801, 37856.18, 40.977, 29818.34, 41.136, 29259.81, 41.154, 29216.22, 41.155,
WBER 1E-6, 146221.88, 40.154, 37871.21, 40.976, 29831.21, 41.137, 29259.81, 41.154, 29216.22, 41.155,
WBER 1E-7, 146221.88, 40.154, 38349.08, 40.870, 29831.21, 41.137, 29260.26, 41.155, 29209.84, 41.156,




QP 27
, RBER 1E-3, RBER 1E-3, RBER 1E-4, RBER 1E-4, RBER 1E-5, RBER 1E-5, RBER 1E-6, RBER 1E-6, RBER 1E-7, RBER 1E-7
WBER 1E-3, 75251.43, 37.100, 13951.11, 38.827, 10323.75, 39.472, 10035.09, 39.512, 10023.50, 39.516,
WBER 1E-4, 75251.43, 37.100, 13951.11, 38.827, 10323.75, 39.472, 10035.09, 39.512, 10023.50, 39.516,
WBER 1E-5, 75224.53, 37.101, 13942.94, 38.827, 10314.07, 39.471, 10034.61, 39.512, 10018.69, 39.514,
WBER 1E-6, 75224.53, 37.101, 13942.94, 38.827, 10361.01, 39.469, 10034.61, 39.512, 10018.69, 39.514,
WBER 1E-7, 77049.02, 36.780, 14099.27, 38.742, 10314.07, 39.471, 10034.61, 39.512, 10018.69, 39.514,




QP 32
, RBER 1E-3, RBER 1E-3, RBER 1E-4, RBER 1E-4, RBER 1E-5, RBER 1E-5, RBER 1E-6, RBER 1E-6, RBER 1E-7, RBER 1E-7
WBER 1E-3, 29297.73, 34.345, 6697.52, 36.938, 4937.96, 37.861, 4803.29, 37.924, 4785.86, 37.930,
WBER 1E-4, 29297.73, 34.345, 6712.16, 36.926, 4937.96, 37.861, 4803.29, 37.924, 4785.86, 37.930,
WBER 1E-5, 29297.73, 34.345, 6712.16, 36.926, 4937.96, 37.861, 4803.29, 37.924, 4785.86, 37.930,
WBER 1E-6, 29289.66, 34.345, 6693.76, 36.934, 4944.30, 37.859, 4800.79, 37.920, 4788.58, 37.923,
WBER 1E-7, 29289.66, 34.345, 6693.76, 36.934, 4944.30, 37.859, 4800.79, 37.920, 4788.90, 37.927,




QP 37
, RBER 1E-3, RBER 1E-3, RBER 1E-4, RBER 1E-4, RBER 1E-5, RBER 1E-5, RBER 1E-6, RBER 1E-6, RBER 1E-7, RBER 1E-7
WBER 1E-3, 7224.40, 32.193, 3258.34, 35.000, 2543.28, 36.009, 2492.40, 36.094, 2480.30, 36.098,
WBER 1E-4, 7224.40, 32.193, 3255.29, 34.999, 2543.28, 36.009, 2492.40, 36.094, 2480.30, 36.098,
WBER 1E-5, 7224.40, 32.193, 3258.34, 35.000, 2543.28, 36.009, 2492.40, 36.094, 2485.61, 36.103,
WBER 1E-6, 7224.40, 32.193, 3258.34, 35.000, 2543.28, 36.009, 2492.40, 36.094, 2480.30, 36.098,
WBER 1E-7, 7129.11, 32.214, 3258.92, 35.003, 2550.84, 36.011, 2493.13, 36.091, 2486.07, 36.096,




