QP 22
, RBER 1E-3, RBER 1E-3, RBER 1E-4, RBER 1E-4, RBER 1E-5, RBER 1E-5, RBER 1E-6, RBER 1E-6, RBER 1E-7, RBER 1E-7
WBER 1E-3, 26656.96, 38.877, 24822.05, 38.974, 24330.71, 39.018, 24261.26, 39.029, 24254.63, 39.031,
WBER 1E-4, 26656.96, 38.877, 24822.05, 38.974, 24330.71, 39.018, 24261.26, 39.029, 24254.63, 39.031,
WBER 1E-5, 26656.96, 38.877, 24822.05, 38.974, 24330.71, 39.018, 24261.26, 39.029, 34930.32, 39.781,
WBER 1E-6, 26656.96, 38.877, 24822.05, 38.974, 24330.71, 39.018, 24261.26, 39.029, 24254.63, 39.031,
WBER 1E-7, 26659.36, 38.876, 24803.02, 38.973, 24310.76, 39.020, 24263.18, 39.030, 24257.04, 39.031,




QP 27
, RBER 1E-3, RBER 1E-3, RBER 1E-4, RBER 1E-4, RBER 1E-5, RBER 1E-5, RBER 1E-6, RBER 1E-6, RBER 1E-7, RBER 1E-7
WBER 1E-3, 16261.91, 35.168, 15151.00, 35.415, 14927.28, 35.506, 14908.71, 35.521, 14909.10, 35.523,
WBER 1E-4, 16261.91, 35.168, 15151.00, 35.415, 14927.28, 35.506, 14908.71, 35.521, 14909.10, 35.523,
WBER 1E-5, 84608.41, 35.885, 15151.00, 35.415, 14927.28, 35.506, 14908.71, 35.521, 14909.10, 35.523,
WBER 1E-6, 16261.91, 35.168, 15151.00, 35.415, 14927.28, 35.506, 14908.71, 35.521, 14909.10, 35.523,
WBER 1E-7, 16241.30, 35.168, 15154.81, 35.422, 14934.98, 35.508, 14906.13, 35.522, 14901.70, 35.521,




QP 32
, RBER 1E-3, RBER 1E-3, RBER 1E-4, RBER 1E-4, RBER 1E-5, RBER 1E-5, RBER 1E-6, RBER 1E-6, RBER 1E-7, RBER 1E-7
WBER 1E-3, 9524.29, 32.049, 9091.09, 32.418, 9017.67, 32.523, 9018.03, 32.532, 9010.81, 32.537,
WBER 1E-4, 9524.29, 32.049, 9091.09, 32.418, 9017.67, 32.523, 9018.03, 32.532, 9010.81, 32.537,
WBER 1E-5, 9524.29, 32.049, 9091.09, 32.418, 9017.67, 32.523, 9018.03, 32.532, 9010.81, 32.537,
WBER 1E-6, 9524.29, 32.049, 9091.09, 32.418, 9017.67, 32.523, 9018.03, 32.532, 9010.81, 32.537,
WBER 1E-7, 9505.10, 32.056, 9099.74, 32.417, 9020.39, 32.521, 9014.59, 32.535, 9014.75, 32.538,




QP 37
, RBER 1E-3, RBER 1E-3, RBER 1E-4, RBER 1E-4, RBER 1E-5, RBER 1E-5, RBER 1E-6, RBER 1E-6, RBER 1E-7, RBER 1E-7
WBER 1E-3, 9170.98, 30.668, 2643.91, 33.095, 2106.83, 34.187, 2069.10, 34.227, 2068.25, 34.237,
WBER 1E-4, 9246.35, 30.671, 2640.32, 33.078, 2106.05, 34.190, 2069.10, 34.227, 2068.25, 34.237,
WBER 1E-5, 9170.98, 30.668, 2640.32, 33.078, 2106.05, 34.190, 2069.10, 34.227, 2068.25, 34.237,
WBER 1E-6, 9170.98, 30.668, 2648.76, 33.078, 2106.68, 34.186, 2069.10, 34.227, 2069.03, 34.235,
WBER 1E-7, 5653.81, 29.554, 5499.19, 29.889, 5473.50, 29.972, 5471.43, 29.985, 5469.94, 29.986,




