QP 22
, RBER 1E-3, RBER 1E-3, RBER 1E-4, RBER 1E-4, RBER 1E-5, RBER 1E-5, RBER 1E-6, RBER 1E-6, RBER 1E-7, RBER 1E-7
WBER 1E-3, 2492470.50, 38.439, 2056914.94, 38.710, 2003199.94, 38.864, 2001202.50, 38.872, 2000889.94, 38.872,
WBER 1E-4, 2492583.38, 38.439, 2057045.44, 38.708, 2003406.38, 38.864, 2001168.94, 38.866, 2000972.25, 38.872,
WBER 1E-5, 2492583.38, 38.439, 2057045.44, 38.708, 2003406.38, 38.864, 2001045.56, 38.872, 2000875.31, 38.873,
WBER 1E-6, 2492583.38, 38.439, 2057045.44, 38.708, 2003406.38, 38.864, 2001045.56, 38.872, 2000914.69, 38.872,
WBER 1E-7, 2492583.38, 38.439, 2060652.56, 38.573, 2003406.38, 38.864, 2001045.56, 38.872, 2000917.88, 38.872,




QP 27
, RBER 1E-3, RBER 1E-3, RBER 1E-4, RBER 1E-4, RBER 1E-5, RBER 1E-5, RBER 1E-6, RBER 1E-6, RBER 1E-7, RBER 1E-7
WBER 1E-3, 1985266.69, 33.619, 1578570.00, 34.325, 1546252.69, 34.509, 1544887.59, 34.519, 1544883.94, 34.519,
WBER 1E-4, 1908810.19, 33.949, 1578506.44, 34.324, 1546196.72, 34.510, 1544957.16, 34.519, 1544817.09, 34.520,
WBER 1E-5, 1908810.19, 33.949, 1578501.56, 34.325, 1546190.53, 34.510, 1545022.69, 34.519, 1544782.78, 34.519,
WBER 1E-6, 1908875.06, 33.948, 1578501.56, 34.325, 1546252.69, 34.509, 1545022.69, 34.519, 1544782.78, 34.519,
WBER 1E-7, 1908875.06, 33.948, 1578501.56, 34.325, 1546190.53, 34.510, 1545022.69, 34.519, 1544834.72, 34.518,




QP 32
, RBER 1E-3, RBER 1E-3, RBER 1E-4, RBER 1E-4, RBER 1E-5, RBER 1E-5, RBER 1E-6, RBER 1E-6, RBER 1E-7, RBER 1E-7
WBER 1E-3, 1387199.72, 29.453, 1221507.38, 29.823, 1151463.38, 30.116, 1150768.97, 30.125, 1150769.06, 30.124,
WBER 1E-4, 1387361.81, 29.454, 1168473.47, 29.930, 1151632.69, 30.114, 1150768.97, 30.125, 1150653.75, 30.126,
WBER 1E-5, 1389317.34, 29.405, 1168053.94, 29.934, 1151529.09, 30.114, 1150768.97, 30.125, 1150653.75, 30.126,
WBER 1E-6, 1386987.00, 29.453, 1168114.69, 29.934, 1151459.91, 30.115, 1150717.50, 30.125, 1150583.91, 30.124,
WBER 1E-7, 1450332.19, 29.400, 1168547.53, 29.926, 1151459.91, 30.115, 1150681.78, 30.123, 1150713.75, 30.125,




QP 37
, RBER 1E-3, RBER 1E-3, RBER 1E-4, RBER 1E-4, RBER 1E-5, RBER 1E-5, RBER 1E-6, RBER 1E-6, RBER 1E-7, RBER 1E-7
WBER 1E-3, 948945.00, 25.040, 831519.56, 25.638, 824195.81, 25.764, 823871.81, 25.769, 823815.94, 25.770,
WBER 1E-4, 946084.31, 25.047, 831519.56, 25.638, 824233.03, 25.763, 823845.94, 25.769, 823815.94, 25.770,
WBER 1E-5, 946084.31, 25.047, 823963.12, 25.767, 824195.81, 25.764, 823845.94, 25.769, 823811.53, 25.768,
WBER 1E-6, 946112.81, 25.049, 831384.66, 25.637, 824195.81, 25.764, 823886.91, 25.770, 823805.53, 25.769,
WBER 1E-7, 946112.81, 25.049, 831568.50, 25.637, 824313.47, 25.765, 823849.12, 25.770, 823805.53, 25.769,




