0, I-SLICE,    0, 19.00,    2549528, 0,0.00,44.780, 46.160, 47.833, 45.334,27,  -, -, 0.00%,  0.00%,  0.00%, 0.05%,  0.09%,  0.19%, 0.59%,  0.37%,  1.20%,23.35%, 13.41%, 49.80%,10.95%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 8729.71, 2695.67, 0.00, 115909.74 , 17, 235, 125.86, 56, 149, 109.96, 105, 227, 146.28, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 99.06%, 0.00%,0.00%, 0.94%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 9881.2, 71.8, 58299.1, 54958.9, 0.0, 0.0, 67444.6, 1.000, 0
1, P-SLICE,    4, 22.00,     854152, 0,1.48,40.454, 45.051, 46.530, 41.788,24, 0 , -, 0.00%,  0.00%,  0.00%, 0.37%,  0.26%,  1.46%, 5.34%,  2.04%, 20.62%, 8.34%,  3.49%, 34.56%, 0.00%,  0.00%,  0.07%,  4.41%, 12.70%,  0.00%,  0.02%,  2.15%,  2.32%,  0.00%,  0.02%,  1.04%,  0.78%, 24662.22, 3642.77, 0.00, 117755.74 , 17, 235, 124.31, 58, 148, 110.47, 108, 220, 146.69, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 94.63%, 2.01%,0.00%, 2.68%, 0.67%, 0.00%, 0.00%, 0.00%, 0.00%, 78.66%, 8.96%,0.00%, 10.75%, 1.62%, 0.00%, 0.00%, 0.00%, 0.00%, 72.53%, 4.84%,0.00%, 15.61%, 7.01%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 42709.0, 382.0, 304200.1, 288521.0, 0.0, 0.0, 413981.7, 1.000, 0
2, B-SLICE,    2, 23.00,     445240, 0,1.51,40.111, 44.966, 46.392, 41.503,27, 0 ,4 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.10%, 11.62%, 20.93%, 45.05%,  0.00%,  1.69%,  1.61%,  3.49%,  0.09%,  5.24%,  3.69%,  6.50%, 27175.49, 3709.90, 0.00, 157226.49 , 17, 235, 125.25, 58, 149, 110.09, 103, 226, 146.37, 0.00%, 46.15%,0.00%, 46.15%, 7.69%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 37.36%,0.00%, 43.60%, 19.03%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 20.19%,0.00%, 45.39%, 34.42%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 17.06%,0.00%, 39.79%, 43.15%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 124.8, 19.8, 519075.8, 492270.2, 0.0, 0.0, 933518.2, 1.000, 0
3, b-SLICE,    1, 24.00,     275896, 0,1.54,39.907, 44.955, 46.327, 41.341,29, 0 ,2 4 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.17%, 13.90%, 19.21%, 37.38%,  0.00%,  2.74%,  2.35%,  4.61%,  0.09%,  6.94%,  5.60%,  7.01%, 28166.25, 3709.30, 0.00, 90400.01 , 17, 235, 125.79, 57, 151, 110.04, 106, 227, 146.19, 0.00%, 33.33%,0.00%, 53.33%, 13.33%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 41.05%,0.00%, 42.93%, 16.02%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 29.26%,0.00%, 43.48%, 27.26%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 21.89%,0.00%, 43.04%, 35.06%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 82.7, 6.0, 572240.1, 546535.2, 0.0, 0.0, 1506006.7, 1.000, 0
4, b-SLICE,    3, 24.00,     273904, 0,1.50,39.921, 44.819, 46.115, 41.307,28, 2 0 ,4 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.69%,  7.78%, 18.20%, 38.31%,  0.00%,  1.70%,  1.96%,  3.46%,  1.27%, 10.70%,  6.36%,  9.56%, 27524.29, 3858.96, 0.00, 78936.90 , 17, 235, 124.77, 56, 149, 110.30, 103, 220, 146.53, 0.00%, 64.76%,0.00%, 29.52%, 5.71%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 61.45%,0.00%, 23.08%, 15.48%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 31.38%,0.00%, 36.04%, 32.58%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 23.32%,0.00%, 39.44%, 37.23%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 74.9, 10.0, 547713.2, 522605.4, 0.0, 0.0, 2053486.5, 1.000, 0
5, P-SLICE,    8, 22.00,     743032, 0,1.48,40.601, 45.101, 46.547, 41.907,24, 4 2 0 , -, 0.00%,  0.00%,  0.00%, 0.87%,  0.51%,  2.79%, 3.07%,  1.23%, 10.41%, 7.34%,  2.57%, 28.41%, 0.00%,  0.02%,  5.43%, 11.49%, 19.62%,  0.00%,  0.12%,  0.71%,  2.56%,  0.00%,  0.16%,  0.82%,  1.86%, 23318.29, 3626.69, 0.00, 117443.27 , 17, 235, 124.36, 56, 150, 110.71, 104, 219, 146.64, 0.00%, 0.00%,0.00%, 100.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 42.26%, 2.91%,0.00%, 32.61%, 22.22%, 0.00%, 0.00%, 0.00%, 0.00%, 53.06%, 5.52%,0.00%, 20.97%, 20.45%, 0.00%, 0.00%, 0.00%, 0.00%, 59.12%, 6.82%,0.00%, 17.44%, 16.63%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 10809.1, 200.7, 640460.0, 613246.9, 0.0, 0.0, 2704163.5, 1.000, 0
6, B-SLICE,    6, 23.00,     449128, 0,1.46,40.135, 44.885, 46.137, 41.479,27, 4 2 0 ,8 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.53%, 11.53%, 20.03%, 44.13%,  0.00%,  1.47%,  1.82%,  3.51%,  0.22%,  5.78%,  4.29%,  6.69%, 26098.63, 3849.11, 0.00, 147384.99 , 17, 235, 124.21, 57, 154, 110.66, 107, 219, 146.77, 0.00%, 29.17%,0.00%, 58.33%, 12.50%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 38.62%,0.00%, 35.45%, 25.94%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 23.37%,0.00%, 37.81%, 38.83%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 17.56%,0.00%, 39.00%, 43.45%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 3.7, 7.5, 759427.2, 727087.5, 0.0, 0.0, 3463920.1, 1.000, 0
7, b-SLICE,    5, 24.00,     291336, 0,1.47,39.910, 44.788, 46.065, 41.289,29, 4 2 ,6 8 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.67%, 10.92%, 17.87%, 39.14%,  0.00%,  2.38%,  1.88%,  3.33%,  1.06%,  7.87%,  5.68%,  9.19%, 27431.68, 3890.85, 0.00, 74454.51 , 17, 235, 123.96, 56, 148, 110.63, 107, 219, 146.82, 0.00%, 61.29%,0.00%, 35.48%, 3.23%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 48.42%,0.00%, 35.59%, 15.99%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 29.72%,0.00%, 36.60%, 33.67%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 22.31%,0.00%, 39.75%, 37.93%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 73.2, 5.0, 695078.9, 662060.7, 0.0, 0.0, 4159237.2, 1.000, 0
8, b-SLICE,    7, 24.00,     285456, 0,1.47,39.913, 44.823, 46.056, 41.295,28, 6 4 2 ,8 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  1.52%,  7.41%, 20.06%, 40.96%,  0.00%,  0.83%,  1.56%,  2.52%,  2.66%,  5.78%,  6.29%, 10.41%, 27412.60, 3868.99, 0.00, 86917.62 , 17, 235, 124.53, 58, 156, 110.64, 107, 219, 146.73, 0.00%, 63.59%,0.00%, 27.18%, 9.22%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 47.18%,0.00%, 30.68%, 22.14%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 28.12%,0.00%, 37.06%, 34.81%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 22.00%,0.00%, 36.19%, 41.82%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.9, 3.2, 712230.1, 680993.4, 0.0, 0.0, 4871155.2, 1.000, 0
9, P-SLICE,   13, 22.00,     719776, 0,1.54,40.646, 45.056, 46.612, 41.943,23, 8 6 4 , -, 0.00%,  0.00%,  0.00%, 0.74%,  0.57%,  2.73%, 3.43%,  1.25%, 10.59%, 6.57%,  2.01%, 28.43%, 0.00%,  0.02%,  5.43%, 10.76%, 21.10%,  0.00%,  0.17%,  0.67%,  2.42%,  0.00%,  0.20%,  0.80%,  2.11%, 22976.94, 3622.01, 0.00, 109233.46 , 17, 235, 123.88, 57, 144, 110.68, 108, 217, 145.41, 0.00%, 0.00%,0.00%, 100.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 41.02%, 3.84%,0.00%, 33.96%, 21.18%, 0.00%, 0.00%, 0.00%, 0.00%, 55.55%, 5.32%,0.00%, 20.92%, 18.21%, 0.00%, 0.00%, 0.00%, 0.00%, 56.86%, 6.95%,0.00%, 20.69%, 15.50%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 7733.4, 279.9, 786056.2, 751420.6, 0.0, 0.0, 5663928.1, 1.000, 0
