0, I-SLICE,    0, 19.00,    3874736, 0,0.00,43.637, 43.924, 45.535, 43.910,27,  -, -, 0.00%,  0.00%,  0.00%, 0.46%,  0.87%,  0.87%, 1.96%,  2.55%,  4.04%, 9.13%,  8.79%, 23.62%,47.70%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 11409.96, 4457.34, 0.00, 441298.97 , 0, 255, 113.51, 19, 176, 117.14, 90, 232, 136.18, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 97.25%, 0.00%,0.00%, 2.75%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 10203.1, 112.5, 84262.5, 77557.5, 0.0, 0.0, 93850.8, 1.000, 0
1, P-SLICE,    4, 22.00,    1533640, 0,2.77,39.603, 41.087, 43.805, 40.314,24, 0 , -, 0.00%,  0.00%,  0.00%, 0.48%,  0.64%,  1.23%, 2.10%,  2.05%,  6.14%, 7.40%,  5.64%, 24.02%, 0.00%,  0.00%,  0.57%,  6.12%, 41.64%,  0.00%,  0.01%,  0.14%,  1.44%,  0.00%,  0.00%,  0.02%,  0.36%, 29505.81, 8108.41, 0.00, 249412.72 , 0, 255, 113.19, 19, 178, 117.21, 90, 231, 136.14, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 80.20%, 0.20%,0.00%, 3.47%, 16.12%, 0.00%, 0.00%, 0.00%, 0.00%, 62.12%, 0.94%,0.00%, 11.62%, 25.32%, 0.00%, 0.00%, 0.00%, 0.00%, 45.23%, 2.20%,0.00%, 24.15%, 28.41%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 46186.6, 165.2, 342676.8, 327768.3, 0.0, 0.0, 482190.4, 1.000, 0
2, B-SLICE,    2, 23.00,     695800, 0,2.71,38.980, 40.601, 43.961, 39.805,27, 0 ,4 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.07%,  5.30%, 19.35%, 61.41%,  0.00%,  0.74%,  0.91%,  2.81%,  0.09%,  1.68%,  2.08%,  5.54%, 34670.61, 8647.78, 0.00, 78007.08 , 0, 255, 113.39, 20, 177, 117.26, 91, 232, 136.16, 0.00%, 55.56%,0.00%, 44.44%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 31.38%,0.00%, 40.16%, 28.45%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 13.41%,0.00%, 39.89%, 46.70%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 11.61%,0.00%, 35.23%, 53.16%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 152.8, 19.0, 574367.2, 545778.1, 0.0, 0.0, 1057050.9, 1.000, 0
3, b-SLICE,    1, 24.00,     389240, 0,2.69,38.584, 40.246, 43.969, 39.465,29, 0 ,2 4 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.21%,  6.86%, 17.20%, 52.67%,  0.00%,  1.14%,  1.89%,  5.36%,  0.21%,  4.48%,  3.00%,  6.97%, 37786.90, 9144.58, 0.00, 54967.67 , 0, 255, 113.48, 18, 180, 117.22, 91, 232, 136.14, 0.00%, 50.00%,0.00%, 44.44%, 5.56%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 45.02%,0.00%, 35.34%, 19.64%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 22.15%,0.00%, 42.86%, 35.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 18.18%,0.00%, 38.88%, 42.94%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 148.3, 9.5, 595019.4, 568676.1, 0.0, 0.0, 1652386.6, 1.000, 0
4, b-SLICE,    3, 24.00,     370832, 0,2.72,38.575, 40.236, 43.757, 39.430,28, 2 0 ,4 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.42%,  7.57%, 17.35%, 48.97%,  0.00%,  0.86%,  1.13%,  3.38%,  0.51%,  5.56%,  4.43%,  9.82%, 37445.35, 9216.27, 0.00, 52079.78 , 0, 255, 113.31, 20, 181, 117.22, 91, 232, 136.18, 0.00%, 55.07%,0.00%, 39.13%, 5.80%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 45.90%,0.00%, 29.03%, 25.07%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 24.28%,0.00%, 31.05%, 44.67%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 20.17%,0.00%, 33.15%, 46.68%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 137.2, 14.9, 568451.7, 542424.0, 0.0, 0.0, 2220670.9, 1.000, 0
5, P-SLICE,    9, 22.00,    1239024, 0,2.81,39.568, 41.028, 43.800, 40.279,23, 4 2 0 , -, 0.00%,  0.00%,  0.00%, 0.24%,  0.28%,  0.28%, 1.06%,  0.88%,  2.25%, 3.32%,  2.94%, 11.96%, 0.00%,  0.11%,  2.93%, 12.69%, 54.61%,  0.00%,  0.14%,  0.34%,  1.39%,  0.05%,  0.65%,  1.09%,  2.78%, 29569.44, 8105.11, 0.00, 164462.73 , 0, 255, 112.74, 18, 178, 117.20, 91, 232, 136.16, 0.00%, 31.82%,0.00%, 45.45%, 22.73%, 0.00%, 0.00%, 0.00%, 0.00%, 17.78%, 17.46%,0.00%, 27.46%, 37.30%, 0.00%, 0.00%, 0.00%, 0.00%, 22.87%, 7.85%,0.00%, 26.91%, 42.37%, 0.00%, 0.00%, 0.00%, 0.00%, 23.14%, 5.30%,0.00%, 34.21%, 37.35%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 11167.8, 3.6, 624140.2, 596990.7, 0.0, 0.0, 2855028.8, 1.000, 0
6, B-SLICE,    7, 23.00,     711504, 0,2.97,38.983, 40.562, 43.638, 39.762,26, 4 2 0 ,9 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.22%,  5.03%, 18.86%, 62.11%,  0.00%,  0.71%,  0.90%,  2.76%,  0.20%,  1.69%,  2.19%,  5.34%, 33848.83, 8809.69, 0.00, 79547.13 , 0, 255, 112.90, 19, 178, 117.22, 89, 232, 136.19, 0.00%, 47.73%,0.00%, 50.00%, 2.27%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 32.37%,0.00%, 38.54%, 29.09%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 14.07%,0.00%, 43.24%, 42.69%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 11.18%,0.00%, 41.68%, 47.14%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 5.7, 8.2, 817152.5, 778438.7, 0.0, 0.0, 3672513.3, 1.000, 0
7, b-SLICE,    5, 24.00,     391072, 0,2.82,38.583, 40.231, 43.608, 39.417,29, 4 2 ,7 9 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.30%,  6.19%, 15.53%, 53.87%,  0.00%,  1.06%,  1.84%,  5.05%,  0.45%,  3.74%,  3.29%,  8.67%, 37118.58, 9280.05, 0.00, 55236.18 , 0, 255, 113.09, 19, 178, 117.24, 90, 232, 136.16, 0.00%, 60.00%,0.00%, 38.46%, 1.54%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 43.70%,0.00%, 37.82%, 18.49%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 24.82%,0.00%, 41.03%, 34.15%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 19.50%,0.00%, 39.99%, 40.51%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 135.0, 5.7, 716476.8, 681986.2, 0.0, 0.0, 4389451.1, 1.000, 0
8, b-SLICE,    6, 24.00,     415536, 0,2.91,38.586, 40.237, 43.518, 39.409,29, 4 2 ,7 9 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.27%,  6.15%, 16.01%, 56.29%,  0.00%,  0.76%,  1.52%,  5.10%,  0.47%,  3.54%,  2.67%,  7.20%, 37098.01, 9359.76, 0.00, 54470.89 , 0, 255, 112.97, 18, 178, 117.17, 89, 232, 136.16, 0.00%, 63.64%,0.00%, 34.85%, 1.52%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 41.18%,0.00%, 38.39%, 20.43%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 20.75%,0.00%, 42.77%, 36.48%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 17.26%,0.00%, 41.47%, 41.27%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.9, 2.9, 710362.9, 677711.4, 0.0, 0.0, 5099660.8, 1.000, 0
9, b-SLICE,    8, 24.00,     335696, 0,2.88,38.564, 40.211, 43.648, 39.405,28, 7 4 2 ,9 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.67%,  6.62%, 18.01%, 48.18%,  0.00%,  1.09%,  1.58%,  3.74%,  0.95%,  4.31%,  4.28%, 10.56%, 37289.85, 9296.47, 0.00, 49829.40 , 0, 255, 112.87, 20, 180, 117.22, 90, 232, 136.17, 0.00%, 58.62%,0.00%, 38.79%, 2.59%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 44.92%,0.00%, 33.49%, 21.59%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 24.56%,0.00%, 33.37%, 42.07%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 21.72%,0.00%, 32.54%, 45.74%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 1.0, 2.9, 658603.1, 628519.4, 0.0, 0.0, 5757950.9, 1.000, 0
