Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, Y PSNR, U PSNR, V PSNR, YUV PSNR, Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 32x32, Inter 16x16, Inter 8x8, Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
0, I-SLICE,    0, 24.00,   27627960, 0,0.00,40.778, 39.706, 39.541, 40.489,27,  -, -, 0.00%,  0.00%,  0.00%, 0.66%,  2.37%, 48.25%, 0.44%,  0.41%, 10.82%, 0.68%,  0.73%, 17.37%,18.25%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 23611.66, 15472.45, 0.00, 15534768.68 , 0, 255, 65.63, 0, 255, 60.46, 0, 255, 63.96, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 87.45%, 0.00%,0.00%, 12.55%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 47569.9, 118.5, 297043.7, 280604.9, 0.0, 0.0, 343929.7, 1.000, 0
1, i-SLICE,    1, 24.00,   23494352, 1,1.01,40.534, 40.776, 40.549, 40.566,27,  -, -, 0.00%,  0.00%,  0.00%, 0.28%,  0.98%, 15.21%, 0.28%,  0.22%,  9.31%, 1.22%,  0.96%, 35.47%,36.07%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 24773.20, 11918.99, 0.00, 10387282.21 , 0, 255, 70.94, 0, 255, 96.65, 0, 255, 105.99, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 93.36%, 0.00%,0.00%, 6.64%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 13703.0, 8.9, 271732.3, 258100.0, 0.0, 0.0, 627797.5, 1.000, 0
2, P-SLICE,    2, 27.00,   10766192, 0,1.01,36.516, 35.386, 35.175, 36.207,27, 1 0 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.04%, 0.00%,  0.01%,  0.10%, 0.06%,  0.13%,  1.36%, 0.00%,  0.15%,  2.76%, 17.01%, 75.64%,  0.00%,  0.00%,  0.00%,  0.46%,  0.00%,  0.00%,  0.01%,  2.27%, 63280.53, 42726.16, 0.00, 1212971.62 , 0, 255, 65.70, 0, 255, 60.50, 0, 255, 64.00, 0.00%, 0.00%,0.00%, 0.00%, 100.00%, 0.00%, 0.00%, 0.00%, 0.00%, 1.29%, 0.00%,0.00%, 3.13%, 95.58%, 0.00%, 0.00%, 0.00%, 0.00%, 0.63%, 0.07%,0.00%, 14.97%, 84.34%, 0.00%, 0.00%, 0.00%, 0.00%, 1.95%, 3.41%,0.00%, 15.66%, 78.99%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 177559.1, 733.5, 1865856.2, 1828389.5, 0.0, 0.0, 2670459.0, 1.000, 0
3, P-SLICE,    7, 27.00,   12334520, 0,1.01,36.222, 37.161, 36.727, 36.403,23, 2 1 0 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.03%,  0.52%, 0.01%,  0.03%,  1.09%, 0.14%,  0.51%,  9.85%, 0.00%,  0.02%,  1.91%, 12.37%, 66.54%,  0.00%,  0.01%,  0.14%,  1.95%,  0.00%,  0.02%,  0.43%,  4.45%, 68728.62, 30045.61, 0.00, 2788326.71 , 0, 255, 71.00, 0, 255, 96.58, 0, 255, 105.98, 0.00%, 0.00%,0.00%, 0.00%, 100.00%, 0.00%, 0.00%, 0.00%, 0.00%, 21.97%, 1.12%,0.00%, 2.70%, 74.21%, 0.00%, 0.00%, 0.00%, 0.00%, 7.87%, 3.92%,0.00%, 16.33%, 71.88%, 0.00%, 0.00%, 0.00%, 0.00%, 12.59%, 7.66%,0.00%, 20.63%, 59.12%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 10528.3, 860.5, 2187465.3, 2133964.5, 0.0, 0.0, 4863555.9, 1.000, 0
4, B-SLICE,    5, 28.00,     484032, 0,1.01,36.429, 37.744, 37.286, 36.700,26, 2 1 0 ,7 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.18%, 14.47%, 15.52%,  9.30%,  0.00%,  0.81%,  2.19%,  2.53%,  0.26%, 12.12%, 22.71%, 19.92%, 62318.67, 25367.40, 0.00, 67690.30 , 0, 255, 71.00, 0, 255, 96.58, 0, 255, 105.98, 0.00%, 58.62%,0.00%, 0.00%, 41.38%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 47.20%,0.00%, 2.75%, 50.05%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 59.80%,0.00%, 11.08%, 29.12%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 70.70%,0.00%, 18.53%, 10.77%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 510.4, 11.5, 1901572.4, 1860208.5, 0.0, 0.0, 6768007.7, 1.000, 0
5, b-SLICE,    3, 29.00,    7793240, 0,1.01,34.793, 36.625, 35.989, 35.172,29, 2 1 ,5 7 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.04%,  2.46%, 10.93%, 73.34%,  0.00%,  0.07%,  0.47%,  3.99%,  0.01%,  0.33%,  1.28%,  7.09%, 94563.74, 35016.95, 0.00, 1462828.54 , 0, 255, 70.93, 0, 255, 96.64, 0, 255, 105.97, 0.00%, 21.21%,0.00%, 0.00%, 78.79%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 13.96%,0.00%, 9.74%, 76.30%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 13.45%,0.00%, 32.00%, 54.55%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 13.13%,0.00%, 44.79%, 42.08%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 321.1, 17.6, 3157701.8, 3084318.4, 0.0, 0.0, 9928253.1, 1.000, 0
6, b-SLICE,    4, 29.00,    9604280, 0,1.01,34.738, 33.712, 33.360, 34.438,29, 2 1 ,5 7 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.05%,  2.19%, 14.45%, 76.61%,  0.00%,  0.00%,  0.02%,  1.11%,  0.00%,  0.00%,  0.10%,  5.45%, 95755.83, 65155.95, 0.00, 1192313.24 , 0, 255, 65.95, 0, 255, 60.67, 0, 255, 64.07, 0.00%, 0.00%,0.00%, 0.00%, 100.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 6.20%, 93.80%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.86%,0.00%, 18.62%, 80.52%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 7.90%,0.00%, 20.11%, 72.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 8.5, 4.2, 2524301.8, 2469062.6, 0.0, 0.0, 12451407.8, 1.000, 0
7, b-SLICE,    6, 29.00,    9781752, 0,1.01,34.515, 33.642, 33.329, 34.258,28, 5 2 1 ,7 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.01%,  1.52%, 13.20%, 78.50%,  0.00%,  0.00%,  0.02%,  1.21%,  0.00%,  0.00%,  0.09%,  5.46%, 101012.81, 65812.22, 0.00, 1249022.40 , 0, 255, 65.95, 0, 255, 60.67, 0, 255, 64.07, 0.00%, 0.00%,0.00%, 0.00%, 100.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 6.12%, 93.88%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.80%,0.00%, 19.76%, 79.45%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 7.83%,0.00%, 20.60%, 71.58%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 2.0, 2.6, 2661440.5, 2606432.9, 0.0, 0.0, 15111365.9, 1.000, 0
8, P-SLICE,    8, 27.00,   14644184, 0,1.01,36.023, 34.987, 34.825, 35.744,27, 7 5 2 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.03%,  0.63%, 0.01%,  0.05%,  0.87%, 0.11%,  0.17%,  2.32%, 0.00%,  0.00%,  0.53%, 11.55%, 82.55%,  0.00%,  0.00%,  0.00%,  0.30%,  0.00%,  0.00%,  0.00%,  0.87%, 71985.75, 48070.13, 0.00, 1590283.80 , 0, 255, 66.22, 0, 255, 60.88, 0, 255, 64.20, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 55.41%, 0.00%,0.00%, 2.12%, 42.47%, 0.00%, 0.00%, 0.00%, 0.00%, 7.33%, 0.01%,0.00%, 24.71%, 67.95%, 0.00%, 0.00%, 0.00%, 0.00%, 3.02%, 1.36%,0.00%, 23.42%, 72.20%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 46635.8, 631.2, 2232617.1, 2181006.5, 0.0, 0.0, 17388358.4, 1.000, 0
9, P-SLICE,    9, 27.00,   11556296, 0,1.01,36.034, 37.024, 36.639, 36.233,27, 8 7 5 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.02%,  0.40%, 0.00%,  0.02%,  0.78%, 0.08%,  0.29%,  7.15%, 0.00%,  0.00%,  0.73%, 10.44%, 72.94%,  0.00%,  0.00%,  0.18%,  2.34%,  0.00%,  0.01%,  0.46%,  4.16%, 71273.36, 30339.75, 0.00, 2212433.41 , 0, 255, 71.08, 0, 255, 96.47, 0, 255, 105.94, 0.00%, 0.00%,0.00%, 0.00%, 100.00%, 0.00%, 0.00%, 0.00%, 0.00%, 36.23%, 0.72%,0.00%, 3.68%, 59.37%, 0.00%, 0.00%, 0.00%, 0.00%, 6.55%, 5.26%,0.00%, 21.48%, 66.70%, 0.00%, 0.00%, 0.00%, 0.00%, 8.65%, 7.47%,0.00%, 28.01%, 55.87%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 9919.1, 566.3, 2518867.1, 2460271.4, 0.0, 0.0, 19916238.0, 1.000, 0
