0, I-SLICE,    0, 29.00,   34523776, 0,0.00,35.507, 34.594, 34.602, 35.279,27,  -, -, 0.00%,  0.00%,  0.00%, 0.26%,  1.07%,  6.20%, 0.44%,  0.72%, 11.80%, 1.54%,  1.44%, 32.93%,43.60%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 87577.67, 49565.80, 0.00, 20516079.11 , 0, 255, 66.06, 0, 255, 69.44, 0, 255, 64.48, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 96.53%, 0.00%,0.00%, 3.47%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 50794.4, 189.8, 334135.9, 314462.6, 0.0, 0.0, 384351.6, 1.000, 0
1, i-SLICE,    1, 29.00,   40606096, 1,1.02,35.944, 34.847, 34.893, 35.675,27,  -, -, 0.00%,  0.00%,  0.00%, 0.02%,  0.10%,  0.63%, 0.11%,  0.16%,  2.36%, 1.89%,  1.99%, 28.67%,64.07%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 79364.88, 46933.64, 0.00, 23593799.65 , 0, 255, 67.50, 0, 255, 86.92, 0, 255, 82.58, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 92.26%, 0.00%,0.00%, 7.74%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 15454.8, 5.5, 338844.9, 320142.7, 0.0, 0.0, 736988.5, 1.000, 0
2, P-SLICE,    2, 32.00,   25853224, 0,1.01,30.453, 30.645, 30.627, 30.499,27, 1 0 , -, 0.00%,  0.00%,  0.00%, 0.02%,  0.12%,  0.23%, 0.16%,  0.63%,  3.05%, 0.78%,  2.01%, 18.00%, 0.00%,  0.00%,  0.36%,  8.20%, 66.44%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 267740.79, 129367.44, 0.00, 8537863.10 , 0, 255, 66.11, 0, 255, 69.63, 0, 255, 64.54, 0.00%, 0.00%,0.00%, 0.00%, 100.00%, 0.00%, 0.00%, 0.00%, 0.00%, 50.16%, 0.00%,0.00%, 16.15%, 33.70%, 0.00%, 0.00%, 0.00%, 0.00%, 31.20%, 0.00%,0.00%, 28.18%, 40.62%, 0.00%, 0.00%, 0.00%, 0.00%, 23.83%, 0.01%,0.00%, 32.78%, 43.38%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 182459.4, 1214.2, 1833609.5, 1781484.5, 0.0, 0.0, 2752781.2, 1.000, 0
3, P-SLICE,    7, 32.00,   35735192, 0,1.03,30.440, 31.148, 31.134, 30.615,23, 2 1 0 , -, 0.00%,  0.00%,  0.00%, 0.02%,  0.24%,  0.26%, 0.11%,  0.55%,  2.01%, 2.37%,  6.52%, 46.75%, 0.00%,  0.00%,  0.17%,  1.88%, 39.11%,  0.00%,  0.00%,  0.00%,  0.01%,  0.00%,  0.00%,  0.00%,  0.00%, 302464.81, 124987.43, 0.00, 19131575.93 , 0, 255, 68.41, 0, 255, 86.80, 0, 255, 80.85, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 75.21%, 0.00%,0.00%, 12.05%, 12.74%, 0.00%, 0.00%, 0.00%, 0.00%, 55.86%, 0.00%,0.00%, 25.49%, 18.65%, 0.00%, 0.00%, 0.00%, 0.00%, 58.71%, 0.01%,0.00%, 21.59%, 19.68%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 6886.5, 1134.4, 3177574.9, 3098040.4, 0.0, 0.0, 5931378.0, 1.000, 0
4, B-SLICE,    5, 33.00,     418696, 0,1.03,31.415, 32.014, 32.098, 31.576,26, 2 1 0 ,7 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%, 49.65%, 26.21%,  0.31%,  0.00%,  0.03%,  0.02%,  0.00%,  0.00%,  4.19%, 19.00%,  0.60%, 218382.49, 95174.86, 0.00, 238982.35 , 0, 255, 68.41, 0, 255, 86.80, 0, 255, 80.85, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 7.83%,0.00%, 0.18%, 91.99%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 40.33%,0.00%, 4.15%, 55.52%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 66.07%,0.00%, 0.00%, 33.93%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 518.9, 9.0, 1864359.6, 1824371.7, 0.0, 0.0, 7798706.6, 1.000, 0
5, b-SLICE,    3, 34.00,   30968864, 0,1.02,28.618, 29.463, 29.395, 28.821,29, 2 1 ,5 7 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.55%,  3.59%, 95.80%,  0.00%,  0.00%,  0.00%,  0.04%,  0.00%,  0.00%,  0.00%,  0.02%, 441042.07, 199009.04, 0.00, 12529586.37 , 0, 255, 68.02, 0, 255, 86.87, 0, 255, 81.47, 0.00%, 0.00%,0.00%, 100.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 60.00%, 40.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 71.16%, 28.84%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.06%,0.00%, 64.07%, 35.87%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 492.7, 17.3, 4549979.9, 4438392.3, 0.0, 0.0, 12352214.7, 1.000, 0
6, b-SLICE,    4, 34.00,   23543560, 0,1.01,28.613, 28.752, 28.745, 28.647,29, 2 1 ,5 7 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.02%,  1.42%,  9.81%, 88.74%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 403216.17, 207643.89, 0.00, 6612927.59 , 0, 255, 66.04, 0, 255, 69.56, 0, 255, 64.09, 0.00%, 0.00%,0.00%, 33.33%, 66.67%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 45.71%, 54.29%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 52.39%, 47.61%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.01%,0.00%, 52.50%, 47.49%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 8.3, 10.0, 3523524.5, 3435983.7, 0.0, 0.0, 15874215.1, 1.000, 0
7, b-SLICE,    6, 34.00,   23562248, 0,1.01,28.605, 28.745, 28.759, 28.642,28, 5 2 1 ,7 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  1.49%, 10.05%, 88.45%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 403865.18, 207928.10, 0.00, 6654188.87 , 0, 255, 66.04, 0, 255, 69.56, 0, 255, 64.09, 0.00%, 0.00%,0.00%, 66.67%, 33.33%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 42.18%, 57.82%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 51.71%, 48.29%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 51.44%, 48.56%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 3.5, 3.1, 3591915.4, 3499869.4, 0.0, 0.0, 19463117.2, 1.000, 0
8, P-SLICE,   10, 32.00,   27270960, 0,1.01,30.401, 30.683, 30.654, 30.468,25, 7 5 2 , -, 0.00%,  0.00%,  0.00%, 0.04%,  0.35%,  1.02%, 0.27%,  1.24%,  7.19%, 0.94%,  2.27%, 25.75%, 0.00%,  0.00%,  0.44%,  7.31%, 53.18%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 276105.73, 128108.02, 0.00, 10911473.06 , 0, 255, 65.98, 0, 255, 69.23, 0, 255, 63.56, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 76.36%, 0.00%,0.00%, 8.37%, 15.27%, 0.00%, 0.00%, 0.00%, 0.00%, 53.29%, 0.00%,0.00%, 22.72%, 23.99%, 0.00%, 0.00%, 0.00%, 0.00%, 35.25%, 0.00%,0.00%, 31.02%, 33.73%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 49329.1, 613.6, 2453168.0, 2383834.6, 0.0, 0.0, 21961374.2, 1.000, 0
9, B-SLICE,    9, 33.00,   33725088, 0,1.02,29.485, 30.270, 30.258, 29.680,27, 7 5 2 ,10 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.93%,  4.94%, 94.10%,  0.00%,  0.00%,  0.00%,  0.02%,  0.00%,  0.00%,  0.00%,  0.01%, 370000.36, 167333.94, 0.00, 13809281.78 , 0, 255, 68.75, 0, 255, 86.78, 0, 255, 80.32, 0.00%, 0.00%,0.00%, 100.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 57.04%, 42.96%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 63.06%, 36.94%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.03%,0.00%, 58.78%, 41.19%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 5.1, 3.1, 4456293.5, 4348430.8, 0.0, 0.0, 26419232.4, 1.000, 0
