Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, Y PSNR, U PSNR, V PSNR, YUV PSNR, Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 64x64 (Rect), Inter 64x64 (Amp), Inter 32x32, Inter 32x32 (Rect), Inter 32x32 (Amp), Inter 16x16, Inter 16x16 (Rect), Inter 16x16 (Amp), Inter 8x8, Inter 8x8 (Rect), Inter 8x8 (Amp), Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
0, I-SLICE,    0, 29.00,      58152, 0,0.00,35.261, 38.032, 39.786, 36.173,11,  -, -, 0.00%,  0.00%,  0.00%, 0.00%,  0.35%,  0.46%, 1.28%,  1.39%,  4.53%,11.96%,  4.30%, 37.75%,37.98%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 81123.06, 18516.56, 0.00, 627343.22 , 16, 235, 91.42, 63, 194, 120.59, 99, 199, 146.80, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 1203.8, 77.9, 103411.4, 70431.0, 0.0, 0.0, 104095.5, 1.000, 0
1, P-SLICE,    1, 32.00,       4744, 0,0.00,34.182, 37.784, 39.673, 35.319,10, 0 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.41%, 0.82%,  0.41%,  2.47%, 2.88%,  0.00%,  0.82%,  0.00%,  3.29%,  4.12%,  1.65%,  5.76%,  9.05%,  4.12%, 12.76%,  9.88%,  0.00%,  0.00%,  1.65%,  4.94%,  4.53%,  0.00%,  3.29%, 13.17%, 13.99%, 102484.22, 18319.06, 0.00, 141247.72 , 16, 235, 91.43, 65, 197, 120.56, 98, 199, 146.79, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 50.00%, 0.00%, 25.00%, 25.00%, 0.00%, 35.29%,11.76%, 17.65%, 5.88%, 1.47%, 10.29%, 10.29%, 7.35%, 1.10%, 48.35%,10.99%, 12.09%, 3.30%, 0.55%, 0.55%, 10.99%, 12.09%, 8.26%, 41.28%,0.00%, 13.76%, 14.68%, 1.83%, 2.75%, 7.34%, 10.09%,100.00%, 54.1, 55.1, 67725.7, 41814.8, 0.0, 0.0, 171857.1, 1.000, 0
2, P-SLICE,    2, 32.00,       6936, 0,0.00,33.882, 37.736, 39.702, 35.091,9, 1 0 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.36%, 0.00%,  0.00%,  1.45%, 1.09%,  0.00%,  0.00%,  0.00%,  3.99%,  4.35%,  2.90%,  9.78%,  5.43%,  4.71%, 19.20%,  8.70%,  0.00%,  0.00%,  1.45%,  3.26%,  3.62%,  0.00%,  1.45%, 11.59%, 16.67%, 109609.94, 18370.94, 0.00, 159594.28 , 16, 235, 91.43, 61, 203, 120.46, 98, 200, 146.88, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 20.51%,20.51%, 20.51%, 7.69%, 8.97%, 11.54%, 2.56%, 7.69%, 1.03%, 42.27%,13.40%, 17.53%, 10.31%, 4.12%, 5.15%, 1.03%, 5.15%, 2.92%, 40.88%,0.00%, 16.79%, 21.90%, 1.82%, 2.55%, 6.20%, 6.93%,100.00%, 9.1, 9.3, 105628.5, 58739.8, 0.0, 0.0, 277497.5, 1.000, 0
3, P-SLICE,    3, 32.00,       6616, 0,0.00,33.553, 37.632, 39.580, 34.816,8, 2 1 0 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.31%, 0.00%,  0.31%,  0.93%, 1.85%,  0.00%,  0.00%,  0.00%,  1.85%,  4.32%,  1.54%,  5.86%,  5.25%,  3.70%, 20.68%, 16.05%,  0.00%,  0.00%,  0.31%,  1.23%,  1.85%,  0.00%,  3.40%, 11.73%, 18.83%, 118137.17, 18982.50, 0.00, 161280.17 , 16, 235, 0, I-SLICE,    0, 29.00,      58152, 0,0.00,35.261, 38.032, 39.786, 36.173,11,  -, -, 0.00%,  0.00%,  0.00%, 0.00%,  0.35%,  0.46%, 1.28%,  1.39%,  4.53%,11.96%,  4.30%, 37.75%,37.98%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 81123.06, 18516.56, 0.00, 627343.22 , 16, 235, 91.42, 63, 194, 120.59, 99, 199, 146.80, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 1185.1, 75.7, 117366.3, 81940.9, 0.0, 0.0, 118058.0, 1.000, 0
1, P-SLICE,    1, 32.00,       4744, 0,0.00,34.182, 37.784, 39.673, 35.319,10, 0 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.41%, 0.82%,  0.41%,  2.47%, 2.88%,  0.00%,  0.82%,  0.00%,  3.29%,  4.12%,  1.65%,  5.76%,  9.05%,  4.12%, 12.76%,  9.88%,  0.00%,  0.00%,  1.65%,  4.94%,  4.53%,  0.00%,  3.29%, 13.17%, 13.99%, 102484.22, 18319.06, 0.00, 141247.72 , 16, 235, 91.43, 65, 197, 120.56, 98, 199, 146.79, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 50.00%, 0.00%, 25.00%, 25.00%, 0.00%, 35.29%,11.76%, 17.65%, 5.88%, 1.47%, 10.29%, 10.29%, 7.35%, 1.10%, 48.35%,10.99%, 12.09%, 3.30%, 0.55%, 0.55%, 10.99%, 12.09%, 8.26%, 41.28%,0.00%, 13.76%, 14.68%, 1.83%, 2.75%, 7.34%, 10.09%,100.00%, 101.5, 66.5, 78995.5, 48198.4, 0.0, 0.0, 197160.3, 1.000, 0
2, P-SLICE,    2, 32.00,       6936, 0,0.00,33.882, 37.736, 39.702, 35.091,9, 1 0 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.36%, 0.00%,  0.00%,  1.45%, 1.09%,  0.00%,  0.00%,  0.00%,  3.99%,  4.35%,  2.90%,  9.78%,  5.43%,  4.71%, 19.20%,  8.70%,  0.00%,  0.00%,  1.45%,  3.26%,  3.62%,  0.00%,  1.45%, 11.59%, 16.67%, 109609.94, 18370.94, 0.00, 159594.28 , 16, 235, 91.43, 61, 203, 120.46, 98, 200, 146.88, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 20.51%,20.51%, 20.51%, 7.69%, 8.97%, 11.54%, 2.56%, 7.69%, 1.03%, 42.27%,13.40%, 17.53%, 10.31%, 4.12%, 5.15%, 1.03%, 5.15%, 2.92%, 40.88%,0.00%, 16.79%, 21.90%, 1.82%, 2.55%, 6.20%, 6.93%,100.00%, 40.5, 28.3, 116631.2, 62750.8, 0.0, 0.0, 313834.7, 1.000, 0
3, P-SLICE,    3, 32.00,       6616, 0,0.00,33.553, 37.632, 39.580, 34.816,8, 2 1 0 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.31%, 0.00%,  0.31%,  0.93%, 1.85%,  0.00%,  0.00%,  0.00%,  1.85%,  4.32%,  1.54%,  5.86%,  5.25%,  3.70%, 20.68%, 16.05%,  0.00%,  0.00%,  0.31%,  1.23%,  1.85%,  0.00%,  3.40%, 11.73%, 18.83%, 118137.17, 18982.50, 0.00, 161280.17 , 16, 235, 91.44, 61, 204, 120.42, 96, 199, 146.86, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 32.43%,13.51%, 5.41%, 10.81%, 13.51%, 10.81%, 6.76%, 6.76%, 1.10%, 46.15%,13.19%, 7.69%, 13.19%, 2.20%, 4.40%, 3.30%, 8.79%, 2.11%, 35.26%,0.00%, 11.05%, 24.21%, 2.11%, 5.26%, 5.53%, 14.47%,100.00%, 10.1, 3.2, 153343.4, 88985.1, 0.0, 0.0, 467187.4, 1.000, 0
4, P-SLICE,    4, 32.00,       5888, 0,0.00,33.331, 37.501, 39.423, 34.614,7, 3 2 1 0 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.38%,  1.53%, 1.92%,  0.00%,  0.00%,  0.38%,  2.30%,  4.21%,  1.53%,  7.66%,  6.13%,  3.45%, 13.03%, 10.73%,  0.00%,  0.00%,  0.38%,  2.30%,  3.07%,  0.00%,  5.36%, 17.24%, 18.39%, 124572.61, 19544.39, 0.00, 169720.00 , 16, 235, 91.43, 61, 204, 120.28, 85, 199, 146.93, 0.00%, 0.00%,100.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 41.67%,11.11%, 5.56%, 11.11%, 4.17%, 12.50%, 8.33%, 5.56%, 0.00%, 53.12%,9.38%, 8.33%, 12.50%, 3.65%, 3.65%, 2.08%, 7.29%, 4.07%, 45.53%,0.00%, 8.13%, 19.51%, 3.25%, 6.50%, 3.25%, 9.76%,100.00%, 5.4, 0.3, 161132.4, 92088.0, 0.0, 0.0, 628321.7, 1.000, 0
5, P-SLICE,    5, 32.00,       5224, 0,0.00,33.206, 37.478, 39.341, 34.507,6, 4 3 2 1 0 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.84%, 2.11%,  0.42%,  0.00%,  0.00%,  5.49%,  2.95%,  2.95%,  7.59%,  5.49%,  5.06%, 18.14%,  8.86%,  0.00%,  0.00%,  1.69%,  2.53%,  0.84%,  0.00%,  4.22%, 12.66%, 18.14%, 128011.06, 19675.56, 0.00, 158591.67 , 16, 235, 91.47, 63, 206, 120.23, 84, 199, 146.94, 0.00%, 0.00%,0.00%, 100.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 34.15%,17.07%, 17.07%, 14.63%, 4.88%, 2.44%, 4.88%, 4.88%, 0.00%, 45.57%,15.19%, 13.92%, 8.86%, 1.90%, 5.70%, 2.53%, 6.33%, 1.80%, 40.54%,0.00%, 15.32%, 23.42%, 3.15%, 4.95%, 1.80%, 9.01%,100.00%, 2.9, 0.8, 188523.0, 106918.0, 0.0, 0.0, 816866.5, 1.000, 0
6, P-SLICE,    6, 32.00,       5952, 0,0.00,33.295, 37.496, 39.273, 34.567,5, 5 4 3 2 1 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.36%, 0.00%,  0.36%,  0.72%, 0.72%,  0.00%,  0.00%,  0.36%,  1.08%,  2.51%,  4.66%,  8.24%,  3.94%,  7.17%, 14.34%, 10.39%,  0.00%,  0.00%,  0.72%,  2.15%,  2.87%,  0.00%,  2.87%, 15.77%, 20.79%, 125462.78, 19710.33, 0.00, 154577.94 , 16, 235, 91.38, 61, 203, 120.25, 89, 199, 147.01, 0.00%, 0.00%,100.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 30.30%,39.39%, 9.09%, 0.00%, 3.03%, 0.00%, 7.58%, 10.61%, 0.95%, 47.62%,19.05%, 10.48%, 11.43%, 0.95%, 0.00%, 2.86%, 6.67%, 2.17%, 47.83%,0.00%, 15.94%, 13.04%, 2.17%, 3.62%, 4.35%, 10.87%,100.00%, 39.3, 2.9, 209733.8, 125386.0, 0.0, 0.0, 1026615.8, 1.000, 0
