Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, Y PSNR, U PSNR, V PSNR, YUV PSNR, Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 64x64 (Rect), Inter 64x64 (Amp), Inter 32x32, Inter 32x32 (Rect), Inter 32x32 (Amp), Inter 16x16, Inter 16x16 (Rect), Inter 16x16 (Amp), Inter 8x8, Inter 8x8 (Rect), Inter 8x8 (Amp), Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
0, I-SLICE,    0, 29.00,      68408, 0,0.00,34.831, 37.987, 39.838, 35.851,3,  -, -, 0.00%,  0.00%,  0.00%, 0.00%,  8.33%,  0.00%, 2.41%,  4.61%,  2.19%,14.47%,  7.68%, 44.08%,16.23%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 92334.94, 19321.06, 0.00, 1824874.28 , 16, 235, 91.42, 63, 194, 120.59, 99, 199, 146.80, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 1098.1, 76.2, 13260.9, 9070.3, 0.0, 0.0, 13791.7, 1.000, 0
1, P-SLICE,    1, 32.00,       5184, 0,-238586.00,33.913, 37.810, 39.699, 35.123,2, 0 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.82%,  0.00%,  0.82%, 0.41%,  0.00%,  0.41%,  0.41%,  3.29%,  2.47%,  2.88%,  6.58%,  9.88%,  4.94%, 16.46%,  9.05%,  0.00%,  0.00%,  2.06%,  4.94%, 11.52%,  0.00%,  3.70%,  9.05%, 10.29%, 110088.89, 18259.50, 0.00, 166064.50 , 16, 235, 91.43, 65, 197, 120.56, 98, 199, 146.79, 0.00%, 0.00%,50.00%, 0.00%, 0.00%, 0.00%, 0.00%, 25.00%, 25.00%, 0.00%, 40.00%,20.00%, 17.14%, 5.71%, 5.71%, 2.86%, 5.71%, 2.86%, 0.00%, 39.53%,13.95%, 11.63%, 6.98%, 5.23%, 2.91%, 8.14%, 11.63%, 3.36%, 44.54%,0.00%, 12.61%, 21.01%, 3.36%, 3.36%, 5.04%, 6.72%,100.00%, 61.0, 56.2, 18802.4, 12184.3, 0.0, 0.0, 32649.6, 1.000, 0
2, i-SLICE,    2, 29.00,      68424, 0,-237905.00,34.802, 37.968, 39.807, 35.823,1,  -, -, 0.00%,  0.00%,  0.00%, 0.50%,  9.52%,  0.25%, 4.01%,  4.51%,  3.01%, 9.77%,  9.27%, 46.62%,12.53%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 93323.56, 19350.94, 0.00, 1840216.61 , 16, 235, 91.43, 61, 203, 120.46, 98, 200, 146.88, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 13.2, 0.1, 11248.5, 7396.6, 0.0, 0.0, 43899.9, 1.000, 0
3, P-SLICE,    3, 32.00,       4848, 0,-240109.00,33.785, 37.829, 39.668, 35.026,0, 2 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.49%,  0.49%, 0.00%,  0.00%,  0.98%,  0.49%,  1.96%,  6.37%,  1.96%,  7.35%,  9.31%,  3.92%, 16.67%,  8.33%,  0.00%,  0.00%,  2.45%,  4.90%,  4.41%,  0.00%,  4.41%, 12.75%, 12.75%, 113026.72, 18172.78, 0.00, 156426.89 , 16, 235, 91.44, 61, 204, 120.42, 96, 199, 146.86, 0.00%, 0.00%,33.33%, 0.00%, 0.00%, 0.00%, 0.00%, 33.33%, 33.33%, 0.00%, 40.00%,11.43%, 11.43%, 0.00%, 5.71%, 11.43%, 8.57%, 11.43%, 0.00%, 46.15%,10.26%, 16.67%, 2.56%, 3.21%, 1.92%, 8.97%, 10.26%, 2.27%, 39.77%,0.00%, 20.45%, 18.18%, 3.98%, 5.11%, 1.70%, 8.52%,0.00%, 7.1, 9.0, 15267.6, 8227.2, 0.0, 0.0, 59179.7, 1.000, 0

Summary
Command, Date/Time, Elapsed Time, FPS, Bitrate, Y PSNR, U PSNR, V PSNR, Global PSNR, SSIM, SSIM (dB), I count, I ave-QP, I kbps, I-PSNR Y, I-PSNR U, I-PSNR V, I-SSIM (dB), P count, P ave-QP, P kbps, P-PSNR Y, P-PSNR U, P-PSNR V, P-SSIM (dB), B count, B ave-QP, B kbps, B-PSNR Y, B-PSNR U, B-PSNR V, B-SSIM (dB), MaxCLL, MaxFALL, Version
" --input-res 384x192 --no-asm --frame-threads 1 --no-wpp --no-pmode --no-pme --lookahead-slices 0 --bframes 0 --b-adapt 0 --keyint 2 --tune psnr --psnr --frames 4 --fps 50 --qp 32 --ctu 64 --min-cu-size 8 --max-merge 5 --rc-lookahead 60 --rd 6 --rdoq-level 2 --tu-intra 4 --tu-inter 4 --scenecut 40 --ref 5 --limit-refs 0 --merange 92 --subme 5 --me star --rect --amp --no-limit-modes --no-early-skip --no-fast-intra --b-intra --sao --signhide --weightp --weightb --aq-mode 1 --log-level 4 --csv-log-level 2 --wber-me 0 --rber-me 0 --psnr --csv x265_BlowingBubbles_2560x1600_FPS-30_Fr-200_QP-32_teste_ConstrutorSearch_TesteComparacao_Rber.csv --input /home/italo/Documentos/HM-16.5/origCfP/cropped/BlowingBubbles_384x192_50.yuv -o str.bin", Wed Jul 18 13:57:05 2018, 59.58, 0.07, 1835.80, 34.333, 37.899, 39.753, 35.456, -, -, 2     , 29.00, 3420.80 , 34.816, 37.978, 39.823, -, 2     , 32.00, 250.80  , 33.849, 37.820, 39.684, -, -, -, -, -, -, -, -, 235   , 91    , 2.5
0, I-SLICE,    0, 29.00,      67960, 0,0.00,34.785, 37.996, 39.900, 35.826,3,  -, -, 0.00%,  0.00%,  0.00%, 0.00%, 11.11%,  0.00%, 6.50%,  6.50%,  2.17%,10.03%,  4.61%, 46.88%,12.20%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 93452.17, 19173.44, 0.00, 1865004.94 , 16, 235, 91.42, 63, 194, 120.59, 99, 199, 146.80, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 1088.1, 77.8, 13389.1, 9134.4, 0.0, 0.0, 13920.0, 1.000, 0
1, P-SLICE,    1, 32.00,       5056, 0,-238586.00,33.866, 37.859, 39.749, 35.100,2, 0 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.42%,  0.00%,  1.27%, 0.42%,  0.00%,  0.00%,  0.84%,  3.38%,  3.38%,  2.53%,  7.17%,  8.02%,  6.33%, 15.61%,  9.28%,  0.00%,  0.00%,  0.84%,  3.80%,  2.95%,  0.00%,  4.22%, 13.92%, 15.61%, 111376.33, 18134.06, 0.00, 163171.72 , 16, 235, 91.43, 65, 197, 120.56, 98, 199, 146.79, 0.00%, 0.00%,100.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 35.29%,17.65%, 14.71%, 8.82%, 5.88%, 2.94%, 11.76%, 2.94%, 0.00%, 45.16%,16.13%, 10.75%, 7.53%, 4.84%, 1.61%, 6.45%, 7.53%, 3.74%, 41.12%,0.00%, 14.02%, 20.56%, 2.80%, 3.74%, 5.61%, 8.41%,100.00%, 64.8, 72.5, 19047.1, 12406.7, 0.0, 0.0, 33030.5, 1.000, 0
