Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, Y PSNR, U PSNR, V PSNR, YUV PSNR, Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 64x64 (Rect), Inter 64x64 (Amp), Inter 32x32, Inter 32x32 (Rect), Inter 32x32 (Amp), Inter 16x16, Inter 16x16 (Rect), Inter 16x16 (Amp), Inter 8x8, Inter 8x8 (Rect), Inter 8x8 (Amp), Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
0, I-SLICE,    0, 29.00,      68392, 0,0.00,34.805, 37.921, 39.924, 35.835,3,  -, -, 0.00%,  0.00%,  0.00%, 0.00%,  8.16%,  0.00%, 4.20%,  8.16%,  3.03%,10.72%,  8.39%, 43.36%,13.99%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 93045.39, 19215.06, 0.00, 1876783.06 , 16, 235, 91.42, 63, 194, 120.59, 99, 199, 146.80, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 1041.6, 75.5, 79967.9, 54215.4, 0.0, 0.0, 80486.8, 1.000, 0
1, P-SLICE,    1, 32.00,       4984, 0,-238586.00,33.860, 37.761, 39.744, 35.083,2, 0 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.42%,  0.00%,  0.00%,  0.84%,  2.11%,  4.22%,  1.69%,  6.33%, 12.66%,  5.91%, 11.81%, 10.13%,  0.00%,  0.00%,  1.69%,  3.38%,  2.95%,  0.00%,  3.80%, 15.19%, 16.88%, 111225.17, 18261.78, 0.00, 165162.56 , 16, 235, 91.43, 65, 197, 120.56, 98, 199, 146.79, 0.00%, 0.00%,100.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 40.62%,12.50%, 12.50%, 3.12%, 4.69%, 4.69%, 14.06%, 7.81%, 0.00%, 42.72%,13.59%, 7.77%, 6.80%, 6.31%, 2.43%, 8.74%, 11.65%, 0.00%, 47.47%,0.00%, 9.09%, 19.19%, 2.02%, 4.04%, 10.61%, 7.58%,100.00%, 60.4, 59.8, 39935.0, 24127.6, 0.0, 0.0, 120481.0, 1.000, 0
2, i-SLICE,    2, 29.00,      68368, 0,-237905.00,34.835, 38.009, 39.797, 35.852,1,  -, -, 0.00%,  0.00%,  0.00%, 0.00%,  8.94%,  0.00%, 5.07%,  6.76%,  2.90%, 9.66%,  7.00%, 45.17%,14.49%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 92403.33, 19389.06, 0.00, 1901569.17 , 16, 235, 91.43, 61, 203, 120.46, 98, 200, 146.88, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 16.6, 0.1, 78674.7, 52969.1, 0.0, 0.0, 199160.1, 1.000, 0
3, P-SLICE,    3, 32.00,       4720, 0,-240109.00,33.778, 37.820, 39.607, 35.011,0, 2 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 1.56%,  0.52%,  0.00%, 0.00%,  0.00%,  1.04%,  1.04%,  2.60%,  3.65%,  3.12%,  9.38%,  8.33%,  7.81%, 12.50%, 13.54%,  0.00%,  0.00%,  2.08%,  2.60%,  0.00%,  0.00%,  5.21%, 11.46%, 13.54%, 113221.72, 18317.61, 0.00, 161969.50 , 16, 235, 91.44, 61, 204, 120.42, 96, 199, 146.86, 0.00%, 0.00%,50.00%, 0.00%, 0.00%, 0.00%, 0.00%, 25.00%, 25.00%, 0.00%, 43.75%,18.75%, 15.62%, 0.00%, 4.69%, 4.69%, 3.12%, 9.38%, 0.00%, 35.53%,19.74%, 15.79%, 7.89%, 1.97%, 3.29%, 6.58%, 9.21%, 5.00%, 32.50%,0.00%, 13.75%, 16.25%, 3.75%, 6.25%, 10.00%, 12.50%,0.00%, 5.9, 7.1, 33247.6, 18234.9, 0.0, 0.0, 232417.6, 1.000, 0

Summary
Command, Date/Time, Elapsed Time, FPS, Bitrate, Y PSNR, U PSNR, V PSNR, Global PSNR, SSIM, SSIM (dB), I count, I ave-QP, I kbps, I-PSNR Y, I-PSNR U, I-PSNR V, I-SSIM (dB), P count, P ave-QP, P kbps, P-PSNR Y, P-PSNR U, P-PSNR V, P-SSIM (dB), B count, B ave-QP, B kbps, B-PSNR Y, B-PSNR U, B-PSNR V, B-SSIM (dB), MaxCLL, MaxFALL, Version
" --input-res 384x192 --no-asm --frame-threads 1 --no-wpp --no-pmode --no-pme --lookahead-slices 0 --bframes 0 --b-adapt 0 --keyint 2 --tune psnr --psnr --frames 4 --fps 50 --qp 32 --ctu 64 --min-cu-size 8 --max-merge 5 --rc-lookahead 60 --rd 6 --rdoq-level 2 --tu-intra 4 --tu-inter 4 --scenecut 40 --ref 5 --limit-refs 0 --merange 92 --subme 5 --me star --rect --amp --no-limit-modes --no-early-skip --no-fast-intra --b-intra --sao --signhide --weightp --weightb --aq-mode 1 --log-level 4 --csv-log-level 2 --wber-me 0 --rber-me 0 --psnr --csv x265_BlowingBubbles_2560x1600_FPS-30_Fr-200_QP-32_teste_InitAdiPredict_TesteComparacao_Rber.csv --input /home/italo/Documentos/HM-16.5/origCfP/cropped/BlowingBubbles_384x192_50.yuv -o str.bin", Wed Jul 18 14:10:55 2018, 232.89, 0.02, 1830.80, 34.319, 37.878, 39.768, 35.445, -, -, 2     , 29.00, 3419.00 , 34.820, 37.965, 39.860, -, 2     , 32.00, 242.60  , 33.819, 37.790, 39.675, -, -, -, -, -, -, -, -, 235   , 91    , 2.5
0, I-SLICE,    0, 29.00,      68288, 0,0.00,34.855, 38.003, 39.770, 35.863,3,  -, -, 0.00%,  0.00%,  0.00%, 0.00%,  7.48%,  0.00%, 4.27%,  4.70%,  2.35%, 9.62%,  8.12%, 50.00%,13.46%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 91838.83, 19309.94, 0.00, 1848656.11 , 16, 235, 91.42, 63, 194, 120.59, 99, 199, 146.80, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 1047.8, 75.4, 83700.0, 57932.8, 0.0, 0.0, 84215.5, 1.000, 0
1, P-SLICE,    1, 32.00,       4920, 0,-238586.00,33.903, 37.807, 39.620, 35.105,2, 0 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.43%,  0.00%, 0.00%,  0.43%,  0.43%, 0.87%,  0.00%,  0.00%,  0.87%,  3.90%,  1.73%,  4.76%,  3.46%,  7.79%,  6.49%, 17.32%, 11.26%,  0.00%,  0.00%,  1.30%,  1.30%,  0.00%,  0.00%,  3.90%, 17.32%, 16.45%, 110078.78, 18396.17, 0.00, 162465.17 , 16, 235, 91.43, 65, 197, 120.56, 98, 199, 146.79, 0.00%, 0.00%,100.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 33.33%,30.56%, 13.89%, 11.11%, 2.78%, 0.00%, 5.56%, 2.78%, 1.18%, 50.59%,17.65%, 7.06%, 2.35%, 5.88%, 4.71%, 5.29%, 5.29%, 1.89%, 35.85%,0.00%, 14.15%, 23.58%, 2.36%, 4.25%, 7.08%, 10.85%,100.00%, 61.6, 50.2, 38706.0, 23317.6, 0.0, 0.0, 122968.6, 1.000, 0
