Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, Y PSNR, U PSNR, V PSNR, YUV PSNR, Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 64x64 (Rect), Inter 64x64 (Amp), Inter 32x32, Inter 32x32 (Rect), Inter 32x32 (Amp), Inter 16x16, Inter 16x16 (Rect), Inter 16x16 (Amp), Inter 8x8, Inter 8x8 (Rect), Inter 8x8 (Amp), Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
0, I-SLICE,    0, 29.00,      58512, 0,0.00,35.296, 37.997, 39.791, 36.195,5,  -, -, 0.00%,  0.00%,  0.00%, 0.11%,  0.00%,  0.22%, 1.80%,  1.35%,  4.94%,12.23%,  4.49%, 41.75%,33.11%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 80660.28, 18794.22, 0.00, 636686.61 , 16, 235, 91.42, 63, 194, 120.59, 99, 199, 146.80, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 1094.5, 75.2, 7141.5, 5112.9, 0.0, 0.0, 7704.1, 1.000, 0
1, P-SLICE,    1, 32.00,       4928, 0,-238586.00,34.230, 37.798, 39.746, 35.365,4, 0 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.38%, 0.77%,  0.00%,  3.07%, 1.92%,  0.00%,  0.00%,  0.00%,  3.07%,  3.45%,  3.45%,  4.98%,  4.98%,  4.21%, 14.18%,  7.66%,  0.00%,  0.00%,  1.92%,  1.92%,  4.98%,  0.00%,  4.21%, 16.86%, 18.01%, 101261.67, 18203.00, 0.00, 140801.44 , 16, 235, 91.43, 65, 197, 120.56, 98, 199, 146.79, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 38.10%,21.43%, 19.05%, 0.00%, 4.76%, 2.38%, 5.95%, 8.33%, 1.15%, 56.32%,12.64%, 9.20%, 5.75%, 3.45%, 1.15%, 5.17%, 5.17%, 7.87%, 47.24%,0.00%, 13.39%, 15.75%, 2.36%, 3.94%, 3.94%, 5.51%,100.00%, 63.6, 55.4, 14239.4, 9452.6, 0.0, 0.0, 21988.0, 1.000, 0
2, i-SLICE,    2, 29.00,      58192, 0,-237905.00,35.280, 38.032, 39.912, 36.203,3,  -, -, 0.00%,  0.00%,  0.00%, 0.12%,  0.36%,  0.00%, 1.58%,  1.95%,  7.42%,10.46%,  5.35%, 37.35%,35.40%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 80789.56, 18521.33, 0.00, 656675.56 , 16, 235, 91.43, 61, 203, 120.46, 98, 200, 146.88, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 10.6, 0.1, 5187.3, 3401.0, 0.0, 0.0, 27179.0, 1.000, 0
3, P-SLICE,    3, 32.00,       4616, 0,-240109.00,34.089, 37.881, 39.747, 35.270,2, 2 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 1.00%,  1.00%,  0.00%, 3.48%,  0.00%,  0.00%,  0.50%,  1.99%,  5.97%,  4.48%,  4.98%,  6.97%,  5.47%, 10.45%, 10.95%,  0.00%,  0.00%,  1.00%,  2.49%,  0.50%,  0.00%,  8.96%, 15.42%, 14.43%, 104386.67, 18007.78, 0.00, 142720.94 , 16, 235, 91.44, 61, 204, 120.42, 96, 199, 146.86, 0.00%, 0.00%,100.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 44.44%,20.00%, 6.67%, 2.22%, 6.67%, 4.44%, 5.56%, 10.00%, 0.00%, 50.70%,15.49%, 7.04%, 7.04%, 4.23%, 7.04%, 3.52%, 4.93%, 5.19%, 38.96%,0.00%, 10.39%, 16.88%, 5.84%, 8.44%, 5.19%, 9.09%,100.00%, 4.8, 5.8, 10854.6, 5948.9, 0.0, 0.0, 38041.3, 1.000, 0
4, i-SLICE,    4, 29.00,      60040, 0,-240079.00,35.188, 37.968, 39.706, 36.100,1,  -, -, 0.00%,  0.00%,  0.00%, 0.11%,  0.34%,  0.00%, 2.06%,  1.37%,  4.93%, 8.93%,  5.50%, 40.55%,36.20%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 82531.44, 19006.78, 0.00, 647784.50 , 16, 235, 91.43, 61, 204, 120.28, 85, 199, 146.93, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 8.3, 0.1, 5245.0, 3437.3, 0.0, 0.0, 43294.7, 1.000, 0
5, P-SLICE,    5, 32.00,       3136, 0,-241683.00,34.076, 37.847, 39.552, 35.232,0, 4 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.69%, 4.17%,  2.08%,  0.00%,  0.69%,  4.17%,  5.56%,  4.86%,  0.69%,  2.08%,  5.56%, 12.50%,  9.03%,  0.00%,  0.00%,  2.08%,  3.47%,  5.56%,  0.69%, 11.11%,  9.72%, 15.28%, 104585.61, 18342.22, 0.00, 136243.44 , 16, 235, 91.47, 63, 206, 120.23, 84, 199, 146.94, 0.00%, 20.00%,20.00%, 60.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 47.50%,17.50%, 7.50%, 7.50%, 7.50%, 2.50%, 7.50%, 2.50%, 0.00%, 61.29%,25.81%, 3.23%, 0.00%, 3.23%, 6.45%, 0.00%, 0.00%, 1.61%, 48.39%,0.00%, 9.68%, 19.35%, 4.84%, 3.23%, 3.23%, 9.68%,100.00%, 2.2, 1.5, 9049.0, 5234.9, 0.0, 0.0, 52343.8, 1.000, 0

Summary
Command, Date/Time, Elapsed Time, FPS, Bitrate, Y PSNR, U PSNR, V PSNR, Global PSNR, SSIM, SSIM (dB), I count, I ave-QP, I kbps, I-PSNR Y, I-PSNR U, I-PSNR V, I-SSIM (dB), P count, P ave-QP, P kbps, P-PSNR Y, P-PSNR U, P-PSNR V, P-SSIM (dB), B count, B ave-QP, B kbps, B-PSNR Y, B-PSNR U, B-PSNR V, B-SSIM (dB), MaxCLL, MaxFALL, Version
" --input-res 384x192 --no-asm --frame-threads 1 --no-wpp --no-pmode --no-pme --lookahead-slices 0 --bframes 0 --b-adapt 0 --keyint 2 --tune psnr --psnr --frames 6 --fps 50 --qp 32 --ctu 64 --min-cu-size 8 --max-merge 5 --rc-lookahead 60 --rd 6 --rdoq-level 2 --tu-intra 4 --tu-inter 4 --scenecut 40 --ref 5 --limit-refs 0 --merange 92 --subme 5 --me star --rect --amp --no-limit-modes --no-early-skip --no-fast-intra --b-intra --sao --signhide --weightp --weightb --aq-mode 1 --log-level 4 --csv-log-level 2 --wber-me 0 --rber-me 0 --psnr --csv x265_BlowingBubbles_2560x1600_FPS-30_Fr-200_QP-32_teste_PredictConstruct_Rber.csv --input /home/italo/Documentos/HM-16.5/origCfP/cropped/BlowingBubbles_384x192_50.yuv -o str.bin", Wed Jul 11 15:46:47 2018, 52.83, 0.11, 1578.53, 34.693, 37.920, 39.742, 35.728, -, -, 3     , 29.00, 2945.73 , 35.255, 37.999, 39.803, -, 3     , 32.00, 211.33  , 34.131, 37.842, 39.682, -, -, -, -, -, -, -, -, 235   , 91    , 2.5
