Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, Y PSNR, U PSNR, V PSNR, YUV PSNR, Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 32x32, Inter 16x16, Inter 8x8, Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
0, I-SLICE,    0, 29.00,      66136, 0,0.00,35.736, 38.493, 40.253, 36.645,9,  -, -, 0.00%,  0.00%,  0.00%, 0.00%,  0.11%,  0.00%, 1.27%,  1.48%,  3.90%,10.44%,  4.11%, 34.39%,44.30%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 73670.78, 17168.00, 0.00, 669206.67 , 16, 235, 91.42, 63, 194, 120.59, 99, 199, 146.80, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 16.4, 2.3, 98.2, 0.0, 150.2, 0.0, 108.7, 1.833, 2
1, P-SLICE,    4, 32.00,      11760, 0,4.34,33.200, 37.849, 39.671, 34.590,5, 0 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.21%,  0.42%, 1.25%,  1.04%,  6.25%, 0.00%,  0.00%,  3.54%, 14.79%, 42.29%,  0.00%,  0.00%,  5.00%,  8.96%,  0.00%,  0.62%,  5.42%, 10.21%, 130633.78, 18294.56, 0.00, 276547.33 , 16, 235, 91.43, 61, 204, 120.28, 85, 199, 146.93, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 15.00%,0.00%, 80.00%, 5.00%, 0.00%, 0.00%, 0.00%, 0.00%, 2.42%, 40.32%,0.00%, 49.19%, 8.06%, 0.00%, 0.00%, 0.00%, 0.00%, 12.20%, 27.38%,0.00%, 37.80%, 22.62%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 40.1, 74.1, 40.4, 0.0, 56.8, 0.0, 144.7, 1.833, 2
2, B-SLICE,    2, 33.00,       4632, 0,4.01,33.615, 37.961, 39.892, 34.943,7, 0 ,4 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%, 12.08%, 13.75%, 31.25%,  0.00%,  5.00%,  7.08%, 10.00%,  0.00%,  2.92%,  5.83%, 12.08%, 116358.17, 17475.22, 0.00, 172157.11 , 16, 235, 91.43, 61, 203, 120.46, 98, 200, 146.88, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 39.58%,0.00%, 56.25%, 4.17%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 48.44%,0.00%, 43.75%, 7.81%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 41.41%,0.00%, 46.88%, 11.72%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.1, 37.0, 40.0, 0.0, 60.3, 0.0, 185.5, 1.722, 1
3, b-SLICE,    1, 34.00,       2048, 0,3.95,33.998, 38.064, 39.966, 35.252,8, 0 ,2 4 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%, 11.63%,  9.30%, 20.93%,  0.00%,  5.43%,  1.55%,  0.00%,  0.00%, 31.78%,  9.30%, 10.08%, 106198.44, 17109.50, 0.00, 135285.94 , 16, 235, 91.43, 65, 197, 120.56, 98, 199, 146.79, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 76.19%,0.00%, 23.81%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 53.85%,0.00%, 46.15%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 32.50%,0.00%, 40.00%, 27.50%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.1, 38.9, 34.2, 0.0, 52.8, 0.0, 220.1, 1.667, 1
4, b-SLICE,    3, 34.00,       1944, 0,4.22,33.151, 37.865, 39.760, 34.566,6, 2 0 ,4 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  1.52%, 12.12%,  6.06%, 17.42%,  0.00%,  4.55%,  3.03%,  0.00%,  0.76%, 21.21%, 11.36%, 21.97%, 129136.50, 17921.89, 0.00, 151837.83 , 16, 235, 91.44, 61, 204, 120.42, 96, 199, 146.86, 0.00%, 33.33%,0.00%, 66.67%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 68.00%,0.00%, 32.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 70.37%,0.00%, 25.93%, 3.70%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 55.77%,0.00%, 28.85%, 15.38%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.3, 1.2, 35.6, 0.0, 48.7, 0.0, 222.7, 1.611, 1
5, P-SLICE,    9, 32.00,      12064, 0,4.72,33.002, 37.692, 39.425, 34.392,0, 4 2 0 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.23%, 0.45%,  0.45%,  7.21%, 0.00%,  0.00%,  5.18%, 20.72%, 40.77%,  0.00%,  0.00%,  4.28%, 10.36%,  0.00%,  0.23%,  0.90%,  9.23%, 136490.94, 19188.39, 0.00, 263036.44 , 16, 235, 90.80, 63, 203, 120.33, 90, 200, 146.89, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 4.17%,0.00%, 95.83%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.86%, 19.83%,0.00%, 64.66%, 14.66%, 0.00%, 0.00%, 0.00%, 0.00%, 11.84%, 28.62%,0.00%, 39.80%, 19.74%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.2, 2.6, 56.6, 0.0, 91.9, 0.0, 276.3, 1.944, 1
6, B-SLICE,    7, 33.00,       4560, 0,4.65,33.059, 37.805, 39.532, 34.461,2, 4 2 0 ,9 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.40%, 12.70%, 15.87%, 35.32%,  0.00%,  3.97%,  7.94%, 14.29%,  0.00%,  0.40%,  1.59%,  7.54%, 132599.83, 18452.89, 0.00, 161111.83 , 16, 235, 91.26, 63, 205, 120.25, 88, 199, 146.96, 0.00%, 0.00%,0.00%, 100.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 25.58%,0.00%, 62.79%, 11.63%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 37.50%,0.00%, 57.81%, 4.69%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 38.19%,0.00%, 50.00%, 11.81%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 55.5, 54.8, 0.0, 85.4, 0.0, 332.1, 1.722, 3
7, b-SLICE,    5, 34.00,       1744, 0,4.42,32.740, 37.756, 39.527, 34.215,4, 4 2 ,7 9 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  3.12%, 22.92%, 11.46%, 15.62%,  0.00%, 10.42%,  0.00%,  4.17%,  1.04%, 18.75%,  7.29%,  5.21%, 141898.06, 18587.33, 0.00, 158457.61 , 16, 235, 91.47, 63, 206, 120.23, 84, 199, 146.94, 0.00%, 25.00%,0.00%, 75.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 56.00%,0.00%, 44.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 38.89%,0.00%, 50.00%, 11.11%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 37.50%,0.00%, 33.33%, 29.17%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 53.5, 42.2, 0.0, 59.6, 0.0, 382.2, 1.611, 1
8, b-SLICE,    6, 34.00,       1904, 0,4.40,32.684, 37.716, 39.488, 34.163,3, 4 2 ,7 9 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  2.86%, 30.48%, 11.43%, 21.90%,  0.00%,  4.76%,  0.00%,  0.00%,  0.95%, 11.43%,  7.62%,  8.57%, 143700.89, 18758.39, 0.00, 156567.72 , 16, 235, 91.38, 61, 203, 120.25, 89, 199, 147.01, 0.00%, 25.00%,0.00%, 75.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 34.69%,0.00%, 61.22%, 4.08%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 40.00%,0.00%, 60.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 28.12%,0.00%, 46.88%, 25.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.2, 2.1, 49.6, 0.0, 61.1, 0.0, 385.2, 1.556, 2
9, b-SLICE,    8, 34.00,       1080, 0,4.61,32.801, 37.741, 39.484, 34.254,1, 7 4 2 ,9 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  3.57%,  9.52%, 11.90%, 10.71%,  0.00%,  3.57%,  4.76%,  1.19%,  4.76%, 30.95%, 11.90%,  7.14%, 139724.61, 18699.28, 0.00, 146453.89 , 16, 235, 91.08, 67, 205, 120.23, 86, 200, 146.91, 0.00%, 57.14%,0.00%, 42.86%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 78.38%,0.00%, 18.92%, 2.70%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 58.33%,0.00%, 33.33%, 8.33%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 43.75%,0.00%, 43.75%, 12.50%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 2.8, 41.9, 0.0, 64.0, 0.0, 426.3, 1.722, 3
