Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, Y PSNR, U PSNR, V PSNR, YUV PSNR, Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 64x64 (Rect), Inter 64x64 (Amp), Inter 32x32, Inter 32x32 (Rect), Inter 32x32 (Amp), Inter 16x16, Inter 16x16 (Rect), Inter 16x16 (Amp), Inter 8x8, Inter 8x8 (Rect), Inter 8x8 (Amp), Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
0, I-SLICE,    0, 29.00,      58512, 0,0.00,35.296, 37.997, 39.791, 36.195,39,  -, -, 0.00%,  0.00%,  0.00%, 0.11%,  0.00%,  0.22%, 1.80%,  1.35%,  4.94%,12.23%,  4.49%, 41.75%,33.11%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 80660.28, 18794.22, 0.00, 636686.61 , 16, 235, 91.42, 63, 194, 120.59, 99, 199, 146.80, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 62.2, 0.0, 282.7, 184.9, 0.0, 0.0, 337.6, 1.000, 0
1, P-SLICE,    1, 32.00,       4928, 0,0.00,34.230, 37.798, 39.746, 35.365,38, 0 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.38%, 0.77%,  0.00%,  3.07%, 1.92%,  0.00%,  0.00%,  0.00%,  3.07%,  3.45%,  3.45%,  4.98%,  4.98%,  4.21%, 14.18%,  7.66%,  0.00%,  0.00%,  1.92%,  1.92%,  4.98%,  0.00%,  4.21%, 16.86%, 18.01%, 101261.67, 18203.00, 0.00, 140801.44 , 16, 235, 91.43, 65, 197, 120.56, 98, 199, 146.79, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 38.10%,21.43%, 19.05%, 0.00%, 4.76%, 2.38%, 5.95%, 8.33%, 1.15%, 56.32%,12.64%, 9.20%, 5.75%, 3.45%, 1.15%, 5.17%, 5.17%, 7.87%, 47.24%,0.00%, 13.39%, 15.75%, 2.36%, 3.94%, 3.94%, 5.51%,100.00%, 0.2, 0.0, 617.5, 372.5, 0.0, 0.0, 954.9, 1.000, 0
2, P-SLICE,    2, 32.00,       6912, 0,0.00,33.949, 37.809, 39.756, 35.157,37, 1 0 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.32%, 0.00%,  0.32%,  1.29%, 1.94%,  0.00%,  0.00%,  0.00%,  2.59%,  2.59%,  2.91%,  8.09%,  5.18%,  2.59%, 19.09%,  8.41%,  0.00%,  0.00%,  1.29%,  2.91%,  5.18%,  0.00%,  2.27%, 13.59%, 19.42%, 108228.00, 18225.94, 0.00, 157728.22 , 16, 235, 91.43, 61, 203, 120.46, 98, 200, 146.88, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 30.56%,25.00%, 19.44%, 2.78%, 6.94%, 1.39%, 6.94%, 6.94%, 0.99%, 50.50%,7.92%, 11.88%, 12.87%, 1.98%, 1.98%, 3.96%, 7.92%, 3.01%, 45.78%,0.00%, 12.05%, 23.49%, 1.51%, 2.11%, 5.12%, 6.93%,100.00%, 0.1, 0.1, 1016.1, 591.4, 0.0, 0.0, 1970.7, 1.000, 0
3, P-SLICE,    3, 32.00,       6720, 0,0.00,33.590, 37.697, 39.562, 34.850,36, 2 1 0 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.40%, 0.40%,  0.40%,  1.61%, 2.01%,  0.00%,  0.00%,  0.80%,  0.40%,  4.42%,  4.02%,  7.23%, 10.04%,  8.84%, 15.26%, 10.04%,  0.00%,  0.00%,  1.20%,  5.22%,  4.02%,  0.00%,  2.41%, 10.04%, 11.24%, 117025.22, 18771.67, 0.00, 160197.28 , 16, 235, 91.44, 61, 204, 120.42, 96, 199, 146.86, 0.00%, 0.00%,100.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 29.03%,32.26%, 0.00%, 3.23%, 6.45%, 12.90%, 6.45%, 9.68%, 0.96%, 36.54%,21.15%, 5.77%, 11.54%, 3.37%, 7.21%, 4.33%, 9.13%, 5.61%, 35.51%,0.00%, 17.76%, 17.76%, 2.80%, 3.74%, 5.61%, 11.21%,100.00%, 0.2, 0.1, 1308.1, 782.6, 0.0, 0.0, 3278.6, 1.000, 0
4, P-SLICE,    4, 32.00,       6160, 0,0.00,33.402, 37.552, 39.440, 34.675,35, 3 2 1 0 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.34%,  1.35%, 0.67%,  0.34%,  0.00%,  0.00%,  2.36%,  2.36%,  1.68%,  7.41%,  4.71%,  5.05%, 17.85%,  9.09%,  0.00%,  0.00%,  2.02%,  2.36%,  5.05%,  0.00%,  2.69%, 13.80%, 20.88%, 122723.17, 19455.61, 0.00, 173793.33 , 16, 235, 91.43, 61, 204, 120.28, 85, 199, 146.93, 0.00%, 0.00%,0.00%, 0.00%, 100.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 42.42%,15.15%, 15.15%, 6.06%, 4.55%, 4.55%, 1.52%, 10.61%, 0.00%, 48.48%,15.15%, 11.11%, 11.11%, 2.02%, 1.01%, 3.54%, 7.58%, 3.09%, 47.53%,0.00%, 9.88%, 22.84%, 1.54%, 2.16%, 5.25%, 7.72%,100.00%, 0.1, 0.0, 1384.4, 800.9, 0.0, 0.0, 4662.7, 1.000, 0
5, P-SLICE,    5, 32.00,       5296, 0,0.00,33.274, 37.610, 39.354, 34.576,34, 4 3 2 1 0 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.43%, 0.00%,  0.00%,  0.87%, 2.16%,  0.00%,  0.43%,  0.87%,  3.03%,  3.03%,  1.73%,  8.23%,  5.63%,  4.33%, 16.45%,  9.09%,  0.00%,  0.00%,  0.00%,  3.46%,  1.30%,  0.00%,  6.06%, 14.29%, 18.61%, 125968.78, 19286.22, 0.00, 159942.06 , 16, 235, 91.47, 63, 206, 120.23, 84, 199, 146.94, 0.00%, 0.00%,66.67%, 0.00%, 0.00%, 0.00%, 0.00%, 16.67%, 16.67%, 0.00%, 43.75%,12.50%, 9.38%, 12.50%, 3.12%, 0.00%, 7.81%, 10.94%, 1.19%, 48.81%,11.90%, 11.90%, 10.71%, 4.76%, 3.57%, 1.19%, 5.95%, 1.87%, 42.99%,0.00%, 14.95%, 20.56%, 5.61%, 4.67%, 1.87%, 7.48%,100.00%, 0.2, 0.0, 1630.4, 980.9, 0.0, 0.0, 6292.9, 1.000, 0
6, P-SLICE,    6, 32.00,       5616, 0,0.00,33.298, 37.646, 39.288, 34.590,33, 5 4 3 2 1 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  1.89%, 1.14%,  0.00%,  0.38%,  0.38%,  2.27%,  1.89%,  1.14%, 12.12%,  5.68%,  4.55%, 14.39%, 15.15%,  0.00%,  0.00%,  1.14%,  7.20%,  6.82%,  0.38%,  3.41%,  9.47%, 10.61%, 125225.17, 19400.39, 0.00, 152075.11 , 16, 235, 91.38, 61, 203, 120.25, 89, 199, 147.01, 0.00%, 33.33%,33.33%, 0.00%, 0.00%, 16.67%, 16.67%, 0.00%, 0.00%, 0.00%, 46.15%,11.54%, 23.08%, 0.00%, 1.92%, 5.77%, 1.92%, 9.62%, 0.00%, 42.72%,11.65%, 16.50%, 14.56%, 1.94%, 2.91%, 4.37%, 5.34%, 3.88%, 35.66%,0.00%, 19.38%, 10.08%, 4.65%, 6.20%, 6.98%, 13.18%,100.00%, 0.2, 0.1, 1757.1, 1039.4, 0.0, 0.0, 8049.8, 1.000, 0
7, P-SLICE,    7, 32.00,       4984, 0,0.00,33.270, 37.645, 39.344, 34.576,32, 6 5 4 3 2 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.85%,  0.00%,  0.85%, 1.28%,  0.00%,  0.43%,  0.00%,  4.70%,  4.70%,  2.14%,  5.13%,  9.83%,  5.56%, 13.25%, 11.97%,  0.00%,  0.00%,  1.71%,  4.27%,  3.42%,  0.00%,  4.27%,  9.40%, 16.24%, 126258.56, 19280.22, 0.00, 150013.44 , 16, 235, 91.26, 63, 205, 120.25, 88, 199, 146.96, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 100.00%, 0.00%, 0.00%, 0.00%, 0.00%, 34.15%,12.20%, 19.51%, 7.32%, 6.10%, 8.54%, 4.88%, 7.32%, 0.00%, 40.00%,16.25%, 12.50%, 2.50%, 5.62%, 5.62%, 8.75%, 8.75%, 3.67%, 42.20%,0.00%, 10.09%, 18.35%, 4.59%, 7.34%, 4.59%, 9.17%,100.00%, 0.0, 0.0, 1762.7, 1087.1, 0.0, 0.0, 9812.2, 1.000, 0
8, P-SLICE,    8, 32.00,       5328, 0,0.00,33.271, 37.538, 39.247, 34.552,31, 7 6 5 4 3 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.35%,  0.35%,  1.39%,  2.08%,  1.74%, 11.11%,  7.29%,  5.56%, 13.89%, 15.62%,  0.00%,  0.00%,  0.69%,  5.90%,  4.17%,  0.00%,  3.12%, 10.42%, 16.32%, 125944.94, 19711.83, 0.00, 147797.11 , 16, 235, 91.08, 67, 205, 120.23, 86, 200, 146.91, 0.00%, 0.00%,50.00%, 0.00%, 0.00%, 0.00%, 0.00%, 25.00%, 25.00%, 0.00%, 42.31%,19.23%, 7.69%, 7.69%, 3.85%, 11.54%, 5.77%, 1.92%, 0.00%, 40.52%,13.79%, 14.66%, 12.93%, 2.59%, 6.03%, 4.74%, 4.74%, 0.00%, 40.97%,0.00%, 11.81%, 15.97%, 4.51%, 10.76%, 3.12%, 12.85%,0.00%, 0.0, 0.1, 1791.2, 1085.0, 0.0, 0.0, 11603.0, 1.000, 0
9, P-SLICE,    9, 32.00,       6320, 0,0.00,33.263, 37.471, 39.176, 34.528,30, 8 7 6 5 4 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.66%, 0.66%,  0.33%,  0.00%,  0.33%,  1.98%,  2.64%,  2.97%,  7.26%,  4.95%,  3.96%, 19.14%, 16.83%,  0.00%,  0.00%,  0.00%,  0.33%,  0.66%,  0.00%,  2.97%, 10.23%, 24.09%, 126698.67, 20169.61, 0.00, 154572.28 , 16, 235, 90.80, 63, 203, 120.33, 90, 200, 146.89, 0.00%, 0.00%,50.00%, 50.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 28.12%,28.12%, 6.25%, 12.50%, 4.69%, 1.56%, 7.81%, 10.94%, 0.00%, 39.51%,14.81%, 11.11%, 16.05%, 1.85%, 1.85%, 3.09%, 11.73%, 1.08%, 40.32%,0.00%, 11.83%, 19.35%, 1.61%, 5.38%, 4.57%, 15.86%,100.00%, 0.0, 0.0, 1814.9, 1149.8, 0.0, 0.0, 13417.6, 1.000, 0
